"PercentageofYardagecoveredbyTeeShotsPar4s_RANKTHISWEEK_2005","PercentageofYardagecoveredbyTeeShotsPar4s_RANKLASTWEEK_2005","PercentageofYardagecoveredbyTeeShotsPar4s_PLAYERNAME_2005","PercentageofYardagecoveredbyTeeShotsPar4s_ROUNDS_2005","PercentageofYardagecoveredbyTeeShotsPar4s_AVGPct_2005","PercentageofYardagecoveredbyTeeShotsPar4s_TOTALSHOTDISTANCE_2005","PercentageofYardagecoveredbyTeeShotsPar4s_TOTALDISTANCE_2005","stat_name","year"
1,1,"Scott Hend",75,70.35,203099.5,288708,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
2,2,"John Daly",78,70.24,178255.3,253798,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
3,3,"Tiger Woods",76,69.75,176117.7,252501,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
4,4,"Brett Wetterich",76,69.47,211452,304377,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
5,5,"Vijay Singh",111,69.08,276703.2,400556,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
6,6,"Hank Kuehne",84,68.75,229418,333680,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
7,7,"Scott Gutschewski",86,68.74,220579.5,320906,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
8,8,"Sergio Garcia",73,68.68,165399.5,240825,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
9,9,"Brenden Pappas",51,68.35,151039.2,220975,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
10,10,"Brendan Jones",81,68.29,222405.3,325662,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
11,11,"Mathias Gronberg",60,68.24,173134.2,253715,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
12,12,"Lucas Glover",88,68.23,240296.2,352199,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
13,13,"Kevin Stadler",96,68.21,246924.5,362001,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
14,14,"Chris Smith",93,68.09,255632.9,375455,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
15,15,"Harrison Frazar",105,67.94,283234.8,416910,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
16,16,"Tag Ridings",93,67.83,250618.5,369472,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
17,17,"Rod Pampling",89,67.81,216116.4,318692,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
18,18,"Charles Warren",89,67.78,243168.1,358770,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
19,19,"Phil Mickelson",81,67.77,154202.7,227535,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
20,20,"Stuart Appleby",84,67.73,196904.6,290728,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
21,21,"John Elliott",58,67.72,158613.2,234232,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
22,22,"Fred Couples",72,67.71,132349.1,195460,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
23,23,"Kenny Perry",82,67.67,188955.4,279220,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
24,24,"Dennis Paulson",63,67.6,169253.1,250357,"PercentageofYardagecoveredbyTeeShotsPar4s",2005
