"ProximitytoHolefrom_RANKTHISWEEK_2014","ProximitytoHolefrom_RANKLASTWEEK_2014","ProximitytoHolefrom_PLAYERNAME_2014","ProximitytoHolefrom_ROUNDS_2014","ProximitytoHolefrom_AVGDTP_2014","ProximitytoHolefrom_TOTALDISTANCEFEET_2014","ProximitytoHolefrom_OFSHOTS_2014","ProximitytoHolefrom_SCRAMBLINGRANK_2014","stat_name","year"
1,1,"Jerry Kelly",80,NA,237.083,96,16,"ProximitytoHolefrom",2014
2,2,"Chris Stroud",88,NA,305.75,117,18,"ProximitytoHolefrom",2014
3,3,"JJ Henry",91,NA,231.333,87,121,"ProximitytoHolefrom",2014
3,3,"Troy Matteson",62,NA,210.75,79,168,"ProximitytoHolefrom",2014
5,5,"Ben Curtis",77,NA,242.75,89,126,"ProximitytoHolefrom",2014
5,5,"Charles Howell III",106,NA,398.333,144,30,"ProximitytoHolefrom",2014
5,5,"Camilo Villegas",95,NA,314.667,115,125,"ProximitytoHolefrom",2014
8,8,"Robert Garrigus",80,NA,355.667,125,116,"ProximitytoHolefrom",2014
8,8,"Kevin Kisner",85,NA,301.083,105,122,"ProximitytoHolefrom",2014
8,8,"Kevin Stadler",90,NA,252.333,88,159,"ProximitytoHolefrom",2014
8,8,"Daniel Summerhays",98,NA,350.833,123,96,"ProximitytoHolefrom",2014
8,8,"Tyrone Van Aswegen",79,NA,262.583,93,94,"ProximitytoHolefrom",2014
13,13,"Brad Fritsch",50,NA,159.417,55,54,"ProximitytoHolefrom",2014
13,13,"Brian Gay",81,NA,324.5,110,3,"ProximitytoHolefrom",2014
13,13,"Zach Johnson",97,NA,384.583,133,36,"ProximitytoHolefrom",2014
13,13,"William McGirt",96,NA,387.417,131,79,"ProximitytoHolefrom",2014
13,13,"Kevin Na",94,NA,365.583,127,4,"ProximitytoHolefrom",2014
13,13,"Ian Poulter",57,NA,210.417,72,98,"ProximitytoHolefrom",2014
19,19,"Bud Cauley",56,NA,203.917,68,57,"ProximitytoHolefrom",2014
19,19,"Bronson La Cassie",51,NA,160.583,53,48,"ProximitytoHolefrom",2014
19,19,"Kevin Tway",64,NA,158.917,53,162,"ProximitytoHolefrom",2014
19,19,"Nick Watney",80,NA,275.833,93,132,"ProximitytoHolefrom",2014
19,19,"Charlie Wi",72,NA,293.25,97,15,"ProximitytoHolefrom",2014
