"TenthTeeLateScoringAverage_RANKTHISWEEK_2006","TenthTeeLateScoringAverage_RANKLASTWEEK_2006","TenthTeeLateScoringAverage_PLAYERNAME_2006","TenthTeeLateScoringAverage_ROUNDS_2006","TenthTeeLateScoringAverage_AVG_2006","TenthTeeLateScoringAverage_TOTALSTROKES_2006","TenthTeeLateScoringAverage_TOTAL10THTEELATERNDS_2006","stat_name","year"
1,1,"Steve Stricker",64,68.67,412,6,"TenthTeeLateScoringAverage",2006
2,2,"David Howell",52,68.75,275,4,"TenthTeeLateScoringAverage",2006
2,2,"Geoff Ogilvy",76,68.75,550,8,"TenthTeeLateScoringAverage",2006
4,4,"Stephen Ames",63,68.82,757,11,"TenthTeeLateScoringAverage",2006
5,5,"Ian Poulter",53,68.88,551,8,"TenthTeeLateScoringAverage",2006
6,6,"Stuart Appleby",83,69,483,7,"TenthTeeLateScoringAverage",2006
7,7,"Fred Funk",106,69.06,1243,18,"TenthTeeLateScoringAverage",2006
8,8,"Arron Oberholser",82,69.14,484,7,"TenthTeeLateScoringAverage",2006
9,9,"KJ Choi",93,69.23,900,13,"TenthTeeLateScoringAverage",2006
10,10,"Robert Allenby",79,69.36,763,11,"TenthTeeLateScoringAverage",2006
11,11,"Dean Wilson",115,69.52,1599,23,"TenthTeeLateScoringAverage",2006
12,12,"Phil Mickelson",74,69.6,348,5,"TenthTeeLateScoringAverage",2006
13,13,"Ernie Els",69,69.67,209,3,"TenthTeeLateScoringAverage",2006
14,14,"Tim Clark",80,69.75,558,8,"TenthTeeLateScoringAverage",2006
15,15,"Billy Mayfair",94,69.79,977,14,"TenthTeeLateScoringAverage",2006
16,16,"Brian Gay",107,69.84,1327,19,"TenthTeeLateScoringAverage",2006
17,17,"Jeff Gove",91,69.89,1258,18,"TenthTeeLateScoringAverage",2006
18,18,"Stewart Cink",93,69.92,839,12,"TenthTeeLateScoringAverage",2006
19,19,"Luke Donald",66,70,70,1,"TenthTeeLateScoringAverage",2006
19,19,"Bernhard Langer",77,70,840,12,"TenthTeeLateScoringAverage",2006
19,19,"Jeff Sluman",101,70,1120,16,"TenthTeeLateScoringAverage",2006
19,19,"Bubba Watson",83,70,840,12,"TenthTeeLateScoringAverage",2006
23,23,"Mike Weir",88,70.14,982,14,"TenthTeeLateScoringAverage",2006
24,24,"Chad Campbell",91,70.18,772,11,"TenthTeeLateScoringAverage",2006
25,25,"Rich Beem",85,70.19,1123,16,"TenthTeeLateScoringAverage",2006
26,26,"Jeff Overton",95,70.24,1194,17,"TenthTeeLateScoringAverage",2006
27,27,"Jerry Kelly",100,70.25,1124,16,"TenthTeeLateScoringAverage",2006
28,28,"Lucas Glover",105,70.27,1054,15,"TenthTeeLateScoringAverage",2006
28,28,"JJ Henry",96,70.27,773,11,"TenthTeeLateScoringAverage",2006
