"ConsecutiveFairwaysHit_RANKTHISWEEK_2008","ConsecutiveFairwaysHit_RANKLASTWEEK_2008","ConsecutiveFairwaysHit_PLAYERNAME_2008","ConsecutiveFairwaysHit_EVENTS_2008","ConsecutiveFairwaysHit_BESTSTREAK_2008","ConsecutiveFairwaysHit_CURRENTSTREAK_2008","stat_name","year"
1,1,"Harrison Frazar",23,35,NA,"ConsecutiveFairwaysHit",2008
2,2,"Martin Laird",29,34,NA,"ConsecutiveFairwaysHit",2008
3,3,"Robert Gamez",26,33,1,"ConsecutiveFairwaysHit",2008
4,4,"Jeff Maggert",28,32,NA,"ConsecutiveFairwaysHit",2008
5,5,"Heath Slocum",29,31,7,"ConsecutiveFairwaysHit",2008
5,5,"David Toms",20,31,NA,"ConsecutiveFairwaysHit",2008
7,7,"Zach Johnson",25,29,8,"ConsecutiveFairwaysHit",2008
7,7,"Larry Mize",16,29,10,"ConsecutiveFairwaysHit",2008
7,7,"John Riegger",24,29,NA,"ConsecutiveFairwaysHit",2008
7,7,"Scott Verplank",24,29,4,"ConsecutiveFairwaysHit",2008
11,11,"Charley Hoffman",29,28,2,"ConsecutiveFairwaysHit",2008
12,12,"Todd Hamilton",28,27,2,"ConsecutiveFairwaysHit",2008
12,12,"Jay Williamson",33,27,NA,"ConsecutiveFairwaysHit",2008
14,14,"Joe Durant",28,26,NA,"ConsecutiveFairwaysHit",2008
14,14,"Steve Elkington",25,26,4,"ConsecutiveFairwaysHit",2008
14,14,"Colt Knost",5,26,2,"ConsecutiveFairwaysHit",2008
14,14,"Brett Wetterich",11,26,NA,"ConsecutiveFairwaysHit",2008
14,14,"Ron Whittaker",22,26,3,"ConsecutiveFairwaysHit",2008
19,19,"Michael Bradley",14,25,4,"ConsecutiveFairwaysHit",2008
19,19,"Gavin Coles",16,25,NA,"ConsecutiveFairwaysHit",2008
19,19,"Arron Oberholser",10,25,NA,"ConsecutiveFairwaysHit",2008
19,19,"Scott Sterling",28,25,NA,"ConsecutiveFairwaysHit",2008
23,23,"Rich Beem",29,24,NA,"ConsecutiveFairwaysHit",2008
23,23,"Shane Bertsch",29,24,NA,"ConsecutiveFairwaysHit",2008
23,23,"Jim Furyk",26,24,1,"ConsecutiveFairwaysHit",2008
23,23,"Trevor Immelman",22,24,1,"ConsecutiveFairwaysHit",2008
23,23,"John Morse",7,24,1,"ConsecutiveFairwaysHit",2008
23,23,"John Rollins",28,24,3,"ConsecutiveFairwaysHit",2008
23,23,"Charles Warren",29,24,3,"ConsecutiveFairwaysHit",2008
30,30,"Mark Brooks",17,23,4,"ConsecutiveFairwaysHit",2008
30,30,"Jay Delsing",8,23,4,"ConsecutiveFairwaysHit",2008
30,30,"Brad Elder",23,23,NA,"ConsecutiveFairwaysHit",2008
30,30,"Hunter Mahan",27,23,1,"ConsecutiveFairwaysHit",2008
30,30,"Chez Reavie",30,23,1,"ConsecutiveFairwaysHit",2008
30,30,"Omar Uresti",24,23,3,"ConsecutiveFairwaysHit",2008
36,36,"Ryan Armour",32,22,NA,"ConsecutiveFairwaysHit",2008
36,36,"Dan Forsman",11,22,NA,"ConsecutiveFairwaysHit",2008
36,36,"Jason Gore",33,22,NA,"ConsecutiveFairwaysHit",2008
36,36,"Mathias Gronberg",30,22,5,"ConsecutiveFairwaysHit",2008
36,36,"Bill Haas",31,22,NA,"ConsecutiveFairwaysHit",2008
41,41,"Olin Browne",27,21,3,"ConsecutiveFairwaysHit",2008
41,41,"Brian Gay",31,21,NA,"ConsecutiveFairwaysHit",2008
41,41,"Bob Heintz",17,21,3,"ConsecutiveFairwaysHit",2008
41,41,"Billy Mayfair",29,21,7,"ConsecutiveFairwaysHit",2008
41,41,"Ryan Moore",24,21,1,"ConsecutiveFairwaysHit",2008
41,41,"Kevin Na",29,21,8,"ConsecutiveFairwaysHit",2008
41,41,"Pat Perez",27,21,1,"ConsecutiveFairwaysHit",2008
41,41,"Chris Riley",17,21,2,"ConsecutiveFairwaysHit",2008
41,41,"Kevin Sutherland",26,21,2,"ConsecutiveFairwaysHit",2008
41,41,"Mark Wilson",29,21,NA,"ConsecutiveFairwaysHit",2008
51,51,"Aaron Baddeley",22,20,NA,"ConsecutiveFairwaysHit",2008
51,51,"Briny Baird",30,20,3,"ConsecutiveFairwaysHit",2008
51,51,"Bart Bryant",23,20,2,"ConsecutiveFairwaysHit",2008
51,51,"Brandel Chamblee",1,20,NA,"ConsecutiveFairwaysHit",2008
51,51,"Brian Davis",34,20,3,"ConsecutiveFairwaysHit",2008
51,51,"Kenneth Ferrie",25,20,2,"ConsecutiveFairwaysHit",2008
51,51,"Philip Francis",1,20,3,"ConsecutiveFairwaysHit",2008
51,51,"Richard Green",9,20,2,"ConsecutiveFairwaysHit",2008
51,51,"Soren Kjeldsen",3,20,NA,"ConsecutiveFairwaysHit",2008
51,51,"Justin Leonard",25,20,4,"ConsecutiveFairwaysHit",2008
51,51,"Steve Marino",32,20,8,"ConsecutiveFairwaysHit",2008
51,51,"Jim McGovern",26,20,3,"ConsecutiveFairwaysHit",2008
