"BirdietoBogeyRatio_RANKTHISWEEK_2015","BirdietoBogeyRatio_RANKLASTWEEK_2015","BirdietoBogeyRatio_PLAYERNAME_2015","BirdietoBogeyRatio_ROUNDS_2015","BirdietoBogeyRatio_BIRDIETOBOGEYRATIO_2015","BirdietoBogeyRatio_TOTALBIRDIESANDBETTER_2015","BirdietoBogeyRatio_TOTALBOGEYSANDWORSE_2015","stat_name","year"
1,1,"Jason Day",75,2.24,351,157,"BirdietoBogeyRatio",2015
2,2,"Jordan Spieth",91,1.96,407,208,"BirdietoBogeyRatio",2015
3,3,"Will Wilcox",58,1.77,219,124,"BirdietoBogeyRatio",2015
4,4,"Bubba Watson",71,1.72,307,178,"BirdietoBogeyRatio",2015
5,5,"Justin Rose",69,1.71,295,173,"BirdietoBogeyRatio",2015
6,6,"Henrik Stenson",63,1.69,248,147,"BirdietoBogeyRatio",2015
7,7,"Justin Thomas",106,1.68,456,272,"BirdietoBogeyRatio",2015
8,8,"Jason Bohn",95,1.66,384,231,"BirdietoBogeyRatio",2015
8,8,"Hideki Matsuyama",95,1.66,384,231,"BirdietoBogeyRatio",2015
10,10,"Zach Johnson",90,1.6,348,217,"BirdietoBogeyRatio",2015
11,11,"Dustin Johnson",75,1.59,319,201,"BirdietoBogeyRatio",2015
12,12,"Matt Kuchar",97,1.57,376,239,"BirdietoBogeyRatio",2015
13,13,"Brendan Steele",88,1.54,344,224,"BirdietoBogeyRatio",2015
13,13,"Robert Streb",110,1.54,443,288,"BirdietoBogeyRatio",2015
15,15,"Rickie Fowler",76,1.51,295,195,"BirdietoBogeyRatio",2015
15,15,"Jim Furyk",71,1.51,238,158,"BirdietoBogeyRatio",2015
17,17,"Paul Casey",87,1.5,325,217,"BirdietoBogeyRatio",2015
17,17,"Russell Knox",96,1.5,360,240,"BirdietoBogeyRatio",2015
17,17,"Pat Perez",96,1.5,389,259,"BirdietoBogeyRatio",2015
20,20,"Brooks Koepka",84,1.49,336,225,"BirdietoBogeyRatio",2015
21,21,"Harris English",105,1.48,388,262,"BirdietoBogeyRatio",2015
22,22,"Jerry Kelly",79,1.47,305,207,"BirdietoBogeyRatio",2015
22,22,"Rory Sabbatini",81,1.47,318,217,"BirdietoBogeyRatio",2015
24,24,"Tony Finau",106,1.46,447,306,"BirdietoBogeyRatio",2015
24,24,"Sergio Garcia",59,1.46,225,154,"BirdietoBogeyRatio",2015
26,26,"Danny Lee",120,1.45,486,336,"BirdietoBogeyRatio",2015
27,27,"Daniel Berger",97,1.44,382,266,"BirdietoBogeyRatio",2015
27,27,"Kevin Na",98,1.44,376,261,"BirdietoBogeyRatio",2015
27,27,"Patrick Reed",103,1.44,401,278,"BirdietoBogeyRatio",2015
27,27,"Shawn Stefani",94,1.44,380,263,"BirdietoBogeyRatio",2015
31,31,"Jonathan Byrd",69,1.43,241,169,"BirdietoBogeyRatio",2015
31,31,"Jim Herman",88,1.43,321,225,"BirdietoBogeyRatio",2015
31,31,"John Peterson",84,1.43,288,201,"BirdietoBogeyRatio",2015
34,34,"Chad Collins",79,1.42,275,193,"BirdietoBogeyRatio",2015
34,34,"William McGirt",103,1.42,367,258,"BirdietoBogeyRatio",2015
34,34,"Brandt Snedeker",98,1.42,365,257,"BirdietoBogeyRatio",2015
37,37,"Louis Oosthuizen",68,1.41,245,174,"BirdietoBogeyRatio",2015
37,37,"Webb Simpson",81,1.41,293,208,"BirdietoBogeyRatio",2015
39,39,"Steven Bowditch",103,1.4,394,281,"BirdietoBogeyRatio",2015
39,39,"Stewart Cink",77,1.4,288,205,"BirdietoBogeyRatio",2015
39,39,"Russell Henley",87,1.4,333,238,"BirdietoBogeyRatio",2015
39,39,"Matt Jones",89,1.4,350,250,"BirdietoBogeyRatio",2015
39,39,"Kevin Kisner",104,1.4,373,267,"BirdietoBogeyRatio",2015
44,44,"Brendon de Jonge",106,1.39,406,292,"BirdietoBogeyRatio",2015
44,44,"Colt Knost",90,1.39,321,231,"BirdietoBogeyRatio",2015
46,46,"Ryan Moore",81,1.38,306,222,"BirdietoBogeyRatio",2015
46,46,"Hudson Swafford",97,1.38,382,276,"BirdietoBogeyRatio",2015
46,46,"Brendon Todd",96,1.38,349,252,"BirdietoBogeyRatio",2015
49,49,"Bryce Molder",91,1.37,314,229,"BirdietoBogeyRatio",2015
49,49,"Jimmy Walker",89,1.37,356,259,"BirdietoBogeyRatio",2015
51,51,"Graham DeLaet",65,1.36,241,177,"BirdietoBogeyRatio",2015
51,51,"Charley Hoffman",97,1.36,374,275,"BirdietoBogeyRatio",2015
51,51,"Patrick Rodgers",57,1.36,211,155,"BirdietoBogeyRatio",2015
54,54,"Zac Blair",108,1.35,360,266,"BirdietoBogeyRatio",2015
54,54,"JB Holmes",89,1.35,358,266,"BirdietoBogeyRatio",2015
54,54,"Billy Horschel",99,1.35,375,278,"BirdietoBogeyRatio",2015
54,54,"Ryan Palmer",80,1.35,296,220,"BirdietoBogeyRatio",2015
58,58,"Bill Haas",89,1.34,301,225,"BirdietoBogeyRatio",2015
58,58,"David Hearn",97,1.34,362,271,"BirdietoBogeyRatio",2015
58,58,"Tom Hoge",83,1.34,311,232,"BirdietoBogeyRatio",2015
58,58,"Whee Kim",71,1.34,259,193,"BirdietoBogeyRatio",2015
58,58,"Jason Kokrak",88,1.34,344,257,"BirdietoBogeyRatio",2015
58,58,"George McNeill",93,1.34,346,258,"BirdietoBogeyRatio",2015
58,58,"Daniel Summerhays",101,1.34,385,288,"BirdietoBogeyRatio",2015
58,58,"Steve Wheatcroft",87,1.34,332,247,"BirdietoBogeyRatio",2015
66,66,"Steven Alker",62,1.33,216,163,"BirdietoBogeyRatio",2015
66,66,"Keegan Bradley",87,1.33,330,248,"BirdietoBogeyRatio",2015
66,66,"Scott Brown",97,1.33,365,275,"BirdietoBogeyRatio",2015
66,66,"David Lingmerth",90,1.33,340,255,"BirdietoBogeyRatio",2015
66,66,"Kevin Streelman",95,1.33,324,243,"BirdietoBogeyRatio",2015
71,71,"Martin Laird",77,1.32,287,218,"BirdietoBogeyRatio",2015
71,71,"Johnson Wagner",68,1.32,241,182,"BirdietoBogeyRatio",2015
73,73,"Kevin Chappell",86,1.31,333,254,"BirdietoBogeyRatio",2015
73,73,"Brian Harman",90,1.31,328,251,"BirdietoBogeyRatio",2015
73,73,"Chris Kirk",76,1.31,279,213,"BirdietoBogeyRatio",2015
73,73,"Scott Piercy",90,1.31,351,267,"BirdietoBogeyRatio",2015
73,73,"Ian Poulter",68,1.31,244,186,"BirdietoBogeyRatio",2015
73,73,"Boo Weekley",79,1.31,300,229,"BirdietoBogeyRatio",2015
79,79,"Chad Campbell",97,1.3,343,263,"BirdietoBogeyRatio",2015
79,79,"Alex Cejka",94,1.3,334,257,"BirdietoBogeyRatio",2015
79,79,"Sean OHair",86,1.3,331,254,"BirdietoBogeyRatio",2015
79,79,"Chris Stroud",84,1.3,322,248,"BirdietoBogeyRatio",2015
79,79,"Nick Watney",91,1.3,351,270,"BirdietoBogeyRatio",2015
84,84,"Blayne Barber",76,1.29,286,222,"BirdietoBogeyRatio",2015
84,84,"Francesco Molinari",56,1.29,176,136,"BirdietoBogeyRatio",2015
84,84,"Greg Owen",58,1.29,198,154,"BirdietoBogeyRatio",2015
87,87,"Adam Hadwin",95,1.28,337,263,"BirdietoBogeyRatio",2015
87,87,"Mark Hubbard",79,1.28,276,215,"BirdietoBogeyRatio",2015
87,87,"Carlos Ortiz",100,1.28,372,291,"BirdietoBogeyRatio",2015
87,87,"Carl Pettersson",106,1.28,392,307,"BirdietoBogeyRatio",2015
87,87,"Kyle Reifers",96,1.28,329,258,"BirdietoBogeyRatio",2015
92,92,"Ben Martin",93,1.27,352,278,"BirdietoBogeyRatio",2015
92,92,"Alex Prugh",84,1.27,293,231,"BirdietoBogeyRatio",2015
92,92,"Michael Putnam",87,1.27,297,234,"BirdietoBogeyRatio",2015
95,95,"Aaron Baddeley",76,1.26,275,218,"BirdietoBogeyRatio",2015
95,95,"Martin Flores",95,1.26,317,252,"BirdietoBogeyRatio",2015
95,95,"James Hahn",94,1.26,349,276,"BirdietoBogeyRatio",2015
95,95,"Charles Howell III",105,1.26,362,288,"BirdietoBogeyRatio",2015
95,95,"Spencer Levin",99,1.26,327,260,"BirdietoBogeyRatio",2015
95,95,"Vijay Singh",78,1.26,282,224,"BirdietoBogeyRatio",2015
95,95,"David Toms",62,1.26,190,151,"BirdietoBogeyRatio",2015
102,102,"KJ Choi",66,1.25,215,172,"BirdietoBogeyRatio",2015
102,102,"Jon Curran",83,1.25,267,213,"BirdietoBogeyRatio",2015
102,102,"John Huh",102,1.25,350,279,"BirdietoBogeyRatio",2015
102,102,"Jeff Overton",94,1.25,331,265,"BirdietoBogeyRatio",2015
102,102,"Cameron Percy",72,1.25,260,208,"BirdietoBogeyRatio",2015
102,102,"Chez Reavie",56,1.25,206,165,"BirdietoBogeyRatio",2015
102,102,"Adam Scott",51,1.25,186,149,"BirdietoBogeyRatio",2015
102,102,"Mark Wilson",89,1.25,297,238,"BirdietoBogeyRatio",2015
110,110,"Hunter Mahan",88,1.24,306,246,"BirdietoBogeyRatio",2015
110,110,"Phil Mickelson",70,1.24,284,229,"BirdietoBogeyRatio",2015
112,112,"Erik Compton",86,1.23,317,258,"BirdietoBogeyRatio",2015
112,112,"Marc Leishman",74,1.23,263,214,"BirdietoBogeyRatio",2015
114,114,"Sangmoon Bae",98,1.22,362,297,"BirdietoBogeyRatio",2015
114,114,"Andres Gonzales",90,1.22,317,260,"BirdietoBogeyRatio",2015
114,114,"Chesson Hadley",101,1.22,395,324,"BirdietoBogeyRatio",2015
