"SubParRounds_RANKTHISWEEK_2006","SubParRounds_RANKLASTWEEK_2006","SubParRounds_PLAYERNAME_2006","SubParRounds_EVENTS_2006","stat_name","year"
1,1,"Brett Quigley",33,"SubParRounds",2006
2,2,"Jim Furyk",24,"SubParRounds",2006
3,3,"Brian Gay",31,"SubParRounds",2006
3,3,"Vijay Singh",27,"SubParRounds",2006
5,5,"Daniel Chopra",33,"SubParRounds",2006
5,5,"Frank Lickliter II",29,"SubParRounds",2006
5,5,"Tom Pernice Jr",33,"SubParRounds",2006
8,8,"Jason Bohn",29,"SubParRounds",2006
8,8,"Steve Flesch",33,"SubParRounds",2006
8,8,"Fred Funk",29,"SubParRounds",2006
8,8,"Jerry Kelly",31,"SubParRounds",2006
8,8,"Dean Wilson",34,"SubParRounds",2006
13,13,"Lucas Glover",31,"SubParRounds",2006
13,13,"Bo Van Pelt",28,"SubParRounds",2006
15,15,"Joe Durant",28,"SubParRounds",2006
15,15,"Trevor Immelman",24,"SubParRounds",2006
15,15,"Kevin Sutherland",29,"SubParRounds",2006
18,18,"David Branshaw",29,"SubParRounds",2006
18,18,"Nathan Green",30,"SubParRounds",2006
18,18,"Charley Hoffman",29,"SubParRounds",2006
18,18,"John Senden",28,"SubParRounds",2006
22,22,"Woody Austin",31,"SubParRounds",2006
22,22,"Nick Watney",29,"SubParRounds",2006
24,24,"Hunter Mahan",29,"SubParRounds",2006
24,24,"Justin Rose",28,"SubParRounds",2006
26,26,"Stewart Cink",26,"SubParRounds",2006
26,26,"Ryuji Imada",31,"SubParRounds",2006
26,26,"Kent Jones",32,"SubParRounds",2006
26,26,"Ryan Palmer",30,"SubParRounds",2006
30,30,"Jeff Gove",29,"SubParRounds",2006
30,30,"Shaun Micheel",29,"SubParRounds",2006
32,32,"Michael Allen",25,"SubParRounds",2006
32,32,"Harrison Frazar",29,"SubParRounds",2006
32,32,"Brent Geiberger",30,"SubParRounds",2006
32,32,"Bill Haas",30,"SubParRounds",2006
32,32,"Jonathan Kaye",32,"SubParRounds",2006
32,32,"Joe Ogilvie",29,"SubParRounds",2006
32,32,"Heath Slocum",30,"SubParRounds",2006
32,32,"Jeff Sluman",29,"SubParRounds",2006
40,40,"Jeff Brehaut",33,"SubParRounds",2006
40,40,"Alex Cejka",30,"SubParRounds",2006
40,40,"KJ Choi",26,"SubParRounds",2006
40,40,"Jerry Smith",29,"SubParRounds",2006
40,40,"Charles Warren",27,"SubParRounds",2006
40,40,"Brett Wetterich",25,"SubParRounds",2006
46,46,"Shane Bertsch",34,"SubParRounds",2006
46,46,"Tim Clark",22,"SubParRounds",2006
46,46,"Stephen Leaney",27,"SubParRounds",2006
46,46,"Steve Lowery",31,"SubParRounds",2006
46,46,"Shigeki Maruyama",30,"SubParRounds",2006
46,46,"Billy Mayfair",29,"SubParRounds",2006
46,46,"Sean OHair",30,"SubParRounds",2006
46,46,"Jeff Overton",28,"SubParRounds",2006
46,46,"Carl Pettersson",28,"SubParRounds",2006
46,46,"Duffy Waldorf",28,"SubParRounds",2006
46,46,"Mark Wilson",24,"SubParRounds",2006
57,57,"Arjun Atwal",33,"SubParRounds",2006
57,57,"Paul Azinger",30,"SubParRounds",2006
57,57,"Brian Davis",28,"SubParRounds",2006
57,57,"Bubba Dickerson",32,"SubParRounds",2006
57,57,"JJ Henry",28,"SubParRounds",2006
57,57,"Richard Johnson",29,"SubParRounds",2006
57,57,"Phil Mickelson",19,"SubParRounds",2006
57,57,"Ted Purdy",33,"SubParRounds",2006
57,57,"Scott Verplank",25,"SubParRounds",2006
57,57,"Camilo Villegas",29,"SubParRounds",2006
57,57,"Mike Weir",24,"SubParRounds",2006
68,68,"Henrik Bjornstad",31,"SubParRounds",2006
68,68,"Olin Browne",30,"SubParRounds",2006
68,68,"Chad Campbell",25,"SubParRounds",2006
68,68,"Mathias Gronberg",30,"SubParRounds",2006
68,68,"Will Ma Kenzie",29,"SubParRounds",2006
68,68,"Troy Matteson",32,"SubParRounds",2006
68,68,"Arron Oberholser",23,"SubParRounds",2006
68,68,"Greg Owen",24,"SubParRounds",2006
68,68,"John Rollins",28,"SubParRounds",2006
68,68,"Steve Stricker",17,"SubParRounds",2006
78,78,"Robert Allenby",22,"SubParRounds",2006
78,78,"Jonathan Byrd",20,"SubParRounds",2006
78,78,"Todd Fischer",35,"SubParRounds",2006
78,78,"Daisuke Maruyama",25,"SubParRounds",2006
78,78,"Vaughn Taylor",26,"SubParRounds",2006
78,78,"Bubba Watson",27,"SubParRounds",2006
84,84,"Stuart Appleby",23,"SubParRounds",2006
84,84,"Eric Axley",29,"SubParRounds",2006
84,84,"Chris DiMarco",26,"SubParRounds",2006
84,84,"Bob Estes",25,"SubParRounds",2006
84,84,"DJ Trahan",33,"SubParRounds",2006
89,89,"Briny Baird",25,"SubParRounds",2006
89,89,"Robert Damron",31,"SubParRounds",2006
89,89,"Marco Dawson",27,"SubParRounds",2006
89,89,"Jesper Parnevik",24,"SubParRounds",2006
89,89,"Patrick Sheehan",34,"SubParRounds",2006
94,94,"Rich Beem",27,"SubParRounds",2006
94,94,"Robert Garrigus",28,"SubParRounds",2006
94,94,"Dudley Hart",29,"SubParRounds",2006
94,94,"David McKenzie",28,"SubParRounds",2006
94,94,"Tiger Woods",15,"SubParRounds",2006
99,99,"Bart Bryant",26,"SubParRounds",2006
99,99,"Mark Calcavecchia",27,"SubParRounds",2006
99,99,"Zach Johnson",27,"SubParRounds",2006
99,99,"Davis Love III",23,"SubParRounds",2006
99,99,"Tag Ridings",33,"SubParRounds",2006
99,99,"Chris Riley",27,"SubParRounds",2006
99,99,"Rory Sabbatini",24,"SubParRounds",2006
99,99,"Adam Scott",19,"SubParRounds",2006
107,107,"Billy Andrade",24,"SubParRounds",2006
107,107,"Craig Barlow",22,"SubParRounds",2006
107,107,"Kris Cox",28,"SubParRounds",2006
107,107,"Luke Donald",18,"SubParRounds",2006
107,107,"Robert Gamez",30,"SubParRounds",2006
107,107,"JB Holmes",26,"SubParRounds",2006
107,107,"Justin Leonard",26,"SubParRounds",2006
107,107,"Joey Sindelar",29,"SubParRounds",2006
107,107,"Nicholas Thompson",32,"SubParRounds",2006
116,116,"Jason Gore",29,"SubParRounds",2006
116,116,"Charles Howell III",30,"SubParRounds",2006
116,116,"Brandt Jobe",28,"SubParRounds",2006
116,116,"Skip Kendall",22,"SubParRounds",2006
116,116,"Rod Pampling",24,"SubParRounds",2006
116,116,"Tim Petrovic",30,"SubParRounds",2006
116,116,"David Toms",22,"SubParRounds",2006
123,123,"Ben Crane",26,"SubParRounds",2006
123,123,"Ernie Els",18,"SubParRounds",2006
123,123,"Bernhard Langer",24,"SubParRounds",2006
123,123,"Corey Pavin",23,"SubParRounds",2006
127,127,"Ben Curtis",26,"SubParRounds",2006
127,127,"Geoff Ogilvy",20,"SubParRounds",2006
129,129,"Steve Jones",27,"SubParRounds",2006
129,129,"Paul Stankowski",22,"SubParRounds",2006
131,131,"Stephen Ames",21,"SubParRounds",2006
131,131,"Aaron Baddeley",25,"SubParRounds",2006
131,131,"Mathew Goggin",26,"SubParRounds",2006
131,131,"Paul Goydos",24,"SubParRounds",2006
131,131,"Bob Tway",25,"SubParRounds",2006
136,136,"John Cook",22,"SubParRounds",2006
136,136,"Carlos Franco",29,"SubParRounds",2006
136,136,"Tim Herron",27,"SubParRounds",2006
139,139,"Mark Brooks",36,"SubParRounds",2006
139,139,"Retief Goosen",18,"SubParRounds",2006
139,139,"John Huston",27,"SubParRounds",2006
139,139,"Jeff Maggert",26,"SubParRounds",2006
139,139,"Jose Maria Olazabal",18,"SubParRounds",2006
139,139,"DA Points",28,"SubParRounds",2006
139,139,"Jason Schultz",28,"SubParRounds",2006
139,139,"Omar Uresti",22,"SubParRounds",2006
147,147,"Lee Janzen",28,"SubParRounds",2006
147,147,"Greg Kraft",26,"SubParRounds",2006
147,147,"Bob May",21,"SubParRounds",2006
147,147,"Ryan Moore",22,"SubParRounds",2006
147,147,"Kenny Perry",22,"SubParRounds",2006
147,147,"Chris Smith",21,"SubParRounds",2006
153,153,"Doug Barron",28,"SubParRounds",2006
153,153,"Danny Ellis",23,"SubParRounds",2006
153,153,"Sergio Garcia",17,"SubParRounds",2006
153,153,"Ian Leggatt",29,"SubParRounds",2006
153,153,"Wes Short Jr",33,"SubParRounds",2006
153,153,"Ron Whittaker",28,"SubParRounds",2006
159,159,"Chris Couch",27,"SubParRounds",2006
