"Total3Putts1015_RANKTHISWEEK_2006","Total3Putts1015_RANKLASTWEEK_2006","Total3Putts1015_PLAYERNAME_2006","Total3Putts1015_ROUNDS_2006","Total3Putts1015_TOTAL3PUTTS1015_2006","Total3Putts1015_TOTAL3PUTTS_2006","stat_name","year"
1,1,"Mark Calcavecchia",94,9,66,"Total3Putts1015",2006
2,2,"Shane Bertsch",104,7,47,"Total3Putts1015",2006
2,2,"Dudley Hart",83,7,48,"Total3Putts1015",2006
2,2,"Camilo Villegas",95,7,48,"Total3Putts1015",2006
5,5,"Kris Cox",83,6,45,"Total3Putts1015",2006
5,5,"Joe Durant",101,6,61,"Total3Putts1015",2006
5,5,"Robert Garrigus",85,6,55,"Total3Putts1015",2006
5,5,"Matt Hansen",68,6,61,"Total3Putts1015",2006
5,5,"John Huston",74,6,51,"Total3Putts1015",2006
5,5,"Frank Lickliter II",99,6,44,"Total3Putts1015",2006
5,5,"Ted Purdy",103,6,52,"Total3Putts1015",2006
5,5,"Nicholas Thompson",96,6,74,"Total3Putts1015",2006
13,13,"Arjun Atwal",97,5,44,"Total3Putts1015",2006
13,13,"Tim Clark",80,5,38,"Total3Putts1015",2006
13,13,"Robert Damron",91,5,49,"Total3Putts1015",2006
13,13,"Nathan Green",108,5,55,"Total3Putts1015",2006
13,13,"Lee Janzen",79,5,47,"Total3Putts1015",2006
13,13,"Kent Jones",103,5,49,"Total3Putts1015",2006
13,13,"DJ Trahan",92,5,47,"Total3Putts1015",2006
20,20,"Alex Aragon",63,4,38,"Total3Putts1015",2006
20,20,"Briny Baird",81,4,39,"Total3Putts1015",2006
20,20,"Doug Barron",74,4,47,"Total3Putts1015",2006
20,20,"Alex Cejka",93,4,41,"Total3Putts1015",2006
20,20,"Fred Couples",52,4,31,"Total3Putts1015",2006
20,20,"Lucas Glover",105,4,39,"Total3Putts1015",2006
20,20,"Tim Herron",82,4,34,"Total3Putts1015",2006
20,20,"Charley Hoffman",100,4,45,"Total3Putts1015",2006
20,20,"JB Holmes",81,4,58,"Total3Putts1015",2006
20,20,"Brandt Jobe",91,4,32,"Total3Putts1015",2006
20,20,"Steve Jones",83,4,41,"Total3Putts1015",2006
20,20,"Jerry Kelly",100,4,45,"Total3Putts1015",2006
20,20,"Troy Matteson",101,4,54,"Total3Putts1015",2006
20,20,"Wes Short Jr",96,4,80,"Total3Putts1015",2006
20,20,"Hidemichi Tanaka",74,4,33,"Total3Putts1015",2006
20,20,"Tjaart van der Walt",60,4,37,"Total3Putts1015",2006
20,20,"Bo Van Pelt",102,4,58,"Total3Putts1015",2006
20,20,"Bubba Watson",83,4,45,"Total3Putts1015",2006
38,38,"Michael Allen",84,3,26,"Total3Putts1015",2006
38,38,"Tommy Armour III",65,3,28,"Total3Putts1015",2006
38,38,"Aaron Baddeley",78,3,20,"Total3Putts1015",2006
38,38,"Chad Campbell",91,3,36,"Total3Putts1015",2006
38,38,"Michael Connell",51,3,32,"Total3Putts1015",2006
38,38,"Chris Couch",75,3,45,"Total3Putts1015",2006
38,38,"John Daly",51,3,37,"Total3Putts1015",2006
38,38,"Steve Elkington",52,3,37,"Total3Putts1015",2006
38,38,"Bob Estes",85,3,35,"Total3Putts1015",2006
38,38,"Jason Gore",86,3,55,"Total3Putts1015",2006
38,38,"Paul Goydos",72,3,41,"Total3Putts1015",2006
38,38,"JP Hayes",55,3,40,"Total3Putts1015",2006
38,38,"Charles Howell III",96,3,48,"Total3Putts1015",2006
38,38,"Jonathan Kaye",95,3,65,"Total3Putts1015",2006
38,38,"Justin Leonard",83,3,25,"Total3Putts1015",2006
38,38,"Sean OHair",100,3,54,"Total3Putts1015",2006
38,38,"Greg Owen",79,3,45,"Total3Putts1015",2006
38,38,"Tom Pernice Jr",108,3,52,"Total3Putts1015",2006
38,38,"Vijay Singh",103,3,47,"Total3Putts1015",2006
38,38,"Jerry Smith",94,3,59,"Total3Putts1015",2006
38,38,"Kirk Triplett",58,3,26,"Total3Putts1015",2006
38,38,"Dean Wilson",115,3,45,"Total3Putts1015",2006
38,38,"Mark Wilson",79,3,39,"Total3Putts1015",2006
61,61,"Robert Allenby",79,2,27,"Total3Putts1015",2006
61,61,"Woody Austin",107,2,65,"Total3Putts1015",2006
61,61,"Rich Beem",85,2,39,"Total3Putts1015",2006
61,61,"David Branshaw",98,2,59,"Total3Putts1015",2006
61,61,"Jeff Brehaut",100,2,53,"Total3Putts1015",2006
61,61,"Olin Browne",108,2,41,"Total3Putts1015",2006
61,61,"KJ Choi",93,2,36,"Total3Putts1015",2006
61,61,"Ben Crane",85,2,24,"Total3Putts1015",2006
61,61,"Ben Curtis",86,2,33,"Total3Putts1015",2006
61,61,"Bubba Dickerson",98,2,53,"Total3Putts1015",2006
61,61,"James Driscoll",80,2,63,"Total3Putts1015",2006
61,61,"John Engler Jr",69,2,34,"Total3Putts1015",2006
61,61,"Todd Fischer",101,2,35,"Total3Putts1015",2006
61,61,"Steve Flesch",119,2,51,"Total3Putts1015",2006
61,61,"Fred Funk",106,2,43,"Total3Putts1015",2006
61,61,"Mathew Goggin",72,2,50,"Total3Putts1015",2006
61,61,"Scott Gutschewski",53,2,20,"Total3Putts1015",2006
61,61,"Bill Haas",99,2,41,"Total3Putts1015",2006
61,61,"Ryan Hietala",61,2,26,"Total3Putts1015",2006
61,61,"Richard Johnson",94,2,28,"Total3Putts1015",2006
61,61,"Bernhard Langer",77,2,32,"Total3Putts1015",2006
61,61,"Tom Lehman",70,2,28,"Total3Putts1015",2006
61,61,"Peter Lonard",77,2,44,"Total3Putts1015",2006
61,61,"Davis Love III",85,2,26,"Total3Putts1015",2006
61,61,"Will Ma Kenzie",91,2,58,"Total3Putts1015",2006
61,61,"Jeff Maggert",81,2,37,"Total3Putts1015",2006
61,61,"Hunter Mahan",98,2,58,"Total3Putts1015",2006
61,61,"Daisuke Maruyama",83,2,41,"Total3Putts1015",2006
61,61,"David McKenzie",82,2,42,"Total3Putts1015",2006
61,61,"Arron Oberholser",82,2,38,"Total3Putts1015",2006
61,61,"Jeff Overton",95,2,47,"Total3Putts1015",2006
61,61,"Ryan Palmer",101,2,43,"Total3Putts1015",2006
61,61,"Rod Pampling",89,2,28,"Total3Putts1015",2006
61,61,"Pat Perez",50,2,29,"Total3Putts1015",2006
61,61,"Kenny Perry",73,2,36,"Total3Putts1015",2006
61,61,"Carl Pettersson",95,2,47,"Total3Putts1015",2006
61,61,"Tag Ridings",103,2,47,"Total3Putts1015",2006
61,61,"Chris Riley",86,2,36,"Total3Putts1015",2006
61,61,"Rory Sabbatini",84,2,39,"Total3Putts1015",2006
61,61,"Adam Scott",70,2,34,"Total3Putts1015",2006
61,61,"John Senden",96,2,50,"Total3Putts1015",2006
61,61,"Paul Stankowski",70,2,40,"Total3Putts1015",2006
61,61,"Kevin Sutherland",100,2,48,"Total3Putts1015",2006
61,61,"Roger Tambellini",64,2,45,"Total3Putts1015",2006
61,61,"Bob Tway",81,2,36,"Total3Putts1015",2006
61,61,"Duffy Waldorf",96,2,45,"Total3Putts1015",2006
61,61,"Nick Watney",97,2,65,"Total3Putts1015",2006
61,61,"Mike Weir",88,2,36,"Total3Putts1015",2006
109,109,"Stephen Ames",63,1,23,"Total3Putts1015",2006
109,109,"Billy Andrade",78,1,39,"Total3Putts1015",2006
109,109,"Henrik Bjornstad",97,1,54,"Total3Putts1015",2006
109,109,"Jason Bohn",104,1,54,"Total3Putts1015",2006
109,109,"Bart Bryant",87,1,39,"Total3Putts1015",2006
109,109,"Jonathan Byrd",66,1,31,"Total3Putts1015",2006
109,109,"Stewart Cink",93,1,27,"Total3Putts1015",2006
109,109,"Danny Ellis",68,1,26,"Total3Putts1015",2006
109,109,"Brad Faxon",78,1,30,"Total3Putts1015",2006
109,109,"Harrison Frazar",95,1,32,"Total3Putts1015",2006
109,109,"Jim Furyk",89,1,20,"Total3Putts1015",2006
109,109,"Robert Gamez",94,1,49,"Total3Putts1015",2006
109,109,"Sergio Garcia",59,1,31,"Total3Putts1015",2006
109,109,"Brian Gay",107,1,25,"Total3Putts1015",2006
109,109,"Retief Goosen",68,1,16,"Total3Putts1015",2006
109,109,"Jeff Gove",91,1,50,"Total3Putts1015",2006
109,109,"Mathias Gronberg",92,1,43,"Total3Putts1015",2006
109,109,"Todd Hamilton",72,1,29,"Total3Putts1015",2006
109,109,"David Howell",52,1,15,"Total3Putts1015",2006
109,109,"Freddie Jacobson",56,1,25,"Total3Putts1015",2006
109,109,"Greg Kraft",79,1,30,"Total3Putts1015",2006
109,109,"Stephen Leaney",84,1,32,"Total3Putts1015",2006
109,109,"Ian Leggatt",80,1,33,"Total3Putts1015",2006
109,109,"Thomas Levet",53,1,42,"Total3Putts1015",2006
109,109,"JL Lewis",57,1,30,"Total3Putts1015",2006
109,109,"Steve Lowery",99,1,44,"Total3Putts1015",2006
109,109,"Shigeki Maruyama",94,1,39,"Total3Putts1015",2006
109,109,"Len Mattiace",59,1,32,"Total3Putts1015",2006
109,109,"Bob May",65,1,28,"Total3Putts1015",2006
109,109,"Jon Mills",68,1,30,"Total3Putts1015",2006
109,109,"Mark OMeara",52,1,17,"Total3Putts1015",2006
109,109,"Corey Pavin",74,1,25,"Total3Putts1015",2006
109,109,"Tim Petrovic",95,1,44,"Total3Putts1015",2006
109,109,"DA Points",82,1,33,"Total3Putts1015",2006
109,109,"Ian Poulter",53,1,23,"Total3Putts1015",2006
109,109,"Justin Rose",98,1,40,"Total3Putts1015",2006
109,109,"Joey Sindelar",90,1,53,"Total3Putts1015",2006
