"AccuracyRating_RANKTHISWEEK_2012","AccuracyRating_RANKLASTWEEK_2012","AccuracyRating_PLAYERNAME_2012","AccuracyRating_EVENTS_2012","AccuracyRating_RATING_2012","stat_name","year"
1,1,"Glen Day",1,8.7,"AccuracyRating",2012
2,2,"Fred Funk",1,8.6,"AccuracyRating",2012
3,3,"Jim Herman",1,8.3,"AccuracyRating",2012
4,4,"Mark Brooks",1,8.2,"AccuracyRating",2012
5,5,"Dustin Morris",1,8.1,"AccuracyRating",2012
6,6,"Kyle Thompson",3,7.9,"AccuracyRating",2012
6,6,"Danny Willett",1,7.9,"AccuracyRating",2012
8,8,"Jim Furyk",15,7.8,"AccuracyRating",2012
8,8,"Boo Weekley",9,7.8,"AccuracyRating",2012
10,10,"Tim Clark",10,7.7,"AccuracyRating",2012
10,10,"Jason Dufner",16,7.7,"AccuracyRating",2012
10,10,"Rory McIlroy",9,7.7,"AccuracyRating",2012
10,10,"Heath Slocum",14,7.7,"AccuracyRating",2012
10,10,"Steve Stricker",13,7.7,"AccuracyRating",2012
15,15,"Simon Dyson",2,7.6,"AccuracyRating",2012
15,15,"Robert Gamez",2,7.6,"AccuracyRating",2012
15,15,"Paul Goydos",2,7.6,"AccuracyRating",2012
15,15,"Justin Rose",13,7.6,"AccuracyRating",2012
15,15,"Kevin Stadler",14,7.6,"AccuracyRating",2012
15,15,"Kyle Stanley",14,7.6,"AccuracyRating",2012
21,21,"Woody Austin",2,7.5,"AccuracyRating",2012
21,21,"Robert Damron",1,7.5,"AccuracyRating",2012
21,21,"Will Ma Kenzie",1,7.5,"AccuracyRating",2012
21,21,"John Mallinger",12,7.5,"AccuracyRating",2012
21,21,"Graeme McDowell",8,7.5,"AccuracyRating",2012
21,21,"David Toms",8,7.5,"AccuracyRating",2012
21,21,"Marc Turnesa",2,7.5,"AccuracyRating",2012
21,21,"Bo Van Pelt",16,7.5,"AccuracyRating",2012
21,21,"Tiger Woods",11,7.5,"AccuracyRating",2012
30,30,"Thomas Aiken",1,7.4,"AccuracyRating",2012
30,30,"Kris Blanks",9,7.4,"AccuracyRating",2012
30,30,"Ben Curtis",10,7.4,"AccuracyRating",2012
