"ScramblingAverageDistancetoHole_RANKTHISWEEK_2016","ScramblingAverageDistancetoHole_RANKLASTWEEK_2016","ScramblingAverageDistancetoHole_PLAYERNAME_2016","ScramblingAverageDistancetoHole_ROUNDS_2016","ScramblingAverageDistancetoHole_AVGDTP_2016","ScramblingAverageDistancetoHole_TOTALDISTANCEFEET_2016","ScramblingAverageDistancetoHole_ATTEMPTS_2016","stat_name","year"
1,2,"Luke Donald",49,NA,1216.417,195,"ScramblingAverageDistancetoHole",2016
2,1,"Patrick Reed",53,NA,1297.167,202,"ScramblingAverageDistancetoHole",2016
3,4,"DJ Trahan",23,NA,376.083,58,"ScramblingAverageDistancetoHole",2016
4,6,"Jamie Lovemark",57,NA,1800.75,272,"ScramblingAverageDistancetoHole",2016
4,6,"Phil Mickelson",37,NA,977.25,148,"ScramblingAverageDistancetoHole",2016
6,6,"Marc Leishman",41,NA,967.75,146,"ScramblingAverageDistancetoHole",2016
6,6,"Webb Simpson",34,NA,1041.917,156,"ScramblingAverageDistancetoHole",2016
6,6,"Jordan Spieth",34,NA,775.333,117,"ScramblingAverageDistancetoHole",2016
9,11,"Aaron Baddeley",51,NA,1451.833,214,"ScramblingAverageDistancetoHole",2016
9,5,"Alex Cejka",47,NA,1056.833,157,"ScramblingAverageDistancetoHole",2016
9,12,"Bill Haas",42,NA,998.333,147,"ScramblingAverageDistancetoHole",2016
9,3,"David Toms",38,NA,1278.083,189,"ScramblingAverageDistancetoHole",2016
13,19,"Rickie Fowler",42,NA,920.333,135,"ScramblingAverageDistancetoHole",2016
13,15,"Si Woo Kim",63,NA,2181.083,318,"ScramblingAverageDistancetoHole",2016
13,19,"Justin Rose",35,NA,858.333,125,"ScramblingAverageDistancetoHole",2016
16,28,"Kevin Chappell",49,NA,1615.667,233,"ScramblingAverageDistancetoHole",2016
16,15,"Brandt Snedeker",47,NA,1255.083,182,"ScramblingAverageDistancetoHole",2016
18,12,"Padraig Harrington",38,NA,1331.833,190,"ScramblingAverageDistancetoHole",2016
18,19,"Matt Kuchar",46,NA,1178.917,168,"ScramblingAverageDistancetoHole",2016
18,19,"Justin Leonard",28,NA,1124.75,161,"ScramblingAverageDistancetoHole",2016
18,19,"Kevin Na",52,NA,1213.333,174,"ScramblingAverageDistancetoHole",2016
18,19,"Sean OHair",45,NA,1482.333,212,"ScramblingAverageDistancetoHole",2016
23,28,"Retief Goosen",37,NA,1374.667,194,"ScramblingAverageDistancetoHole",2016
23,12,"Patton Kizzire",57,NA,1681.5,237,"ScramblingAverageDistancetoHole",2016
25,30,"Shane Bertsch",30,NA,717.833,100,"ScramblingAverageDistancetoHole",2016
25,30,"Jason Day",36,NA,803.667,112,"ScramblingAverageDistancetoHole",2016
25,19,"Charles Howell III",63,NA,1915.5,268,"ScramblingAverageDistancetoHole",2016
25,15,"Ian Poulter",37,NA,1142.333,159,"ScramblingAverageDistancetoHole",2016
25,48,"Adam Scott",39,NA,710.5,99,"ScramblingAverageDistancetoHole",2016
30,30,"Chad Campbell",54,NA,1731.5,240,"ScramblingAverageDistancetoHole",2016
30,33,"Jon Curran",55,NA,1774.167,244,"ScramblingAverageDistancetoHole",2016
30,15,"Patrick Rodgers",49,NA,1332.083,183,"ScramblingAverageDistancetoHole",2016
30,43,"Mark Wilson",42,NA,1498.667,207,"ScramblingAverageDistancetoHole",2016
34,19,"Rory McIlroy",37,NA,871.667,119,"ScramblingAverageDistancetoHole",2016
34,35,"Bubba Watson",30,NA,491.333,67,"ScramblingAverageDistancetoHole",2016
36,33,"Stuart Appleby",39,NA,1586.083,213,"ScramblingAverageDistancetoHole",2016
36,54,"Paul Casey",39,NA,824.833,111,"ScramblingAverageDistancetoHole",2016
36,38,"Branden Grace",31,NA,767.75,103,"ScramblingAverageDistancetoHole",2016
36,38,"Scott Langley",41,NA,1416.583,191,"ScramblingAverageDistancetoHole",2016
36,38,"Bryce Molder",50,NA,1779.583,239,"ScramblingAverageDistancetoHole",2016
36,38,"Bernd Wiesberger",23,NA,400.667,54,"ScramblingAverageDistancetoHole",2016
36,19,"Tim Wilkinson",40,NA,1118.25,151,"ScramblingAverageDistancetoHole",2016
43,76,"Lucas Glover",53,NA,1624.917,217,"ScramblingAverageDistancetoHole",2016
43,43,"Charley Hoffman",49,NA,1626.5,216,"ScramblingAverageDistancetoHole",2016
43,43,"Zach Johnson",42,NA,1204.417,160,"ScramblingAverageDistancetoHole",2016
43,69,"Francesco Molinari",36,NA,1540.417,205,"ScramblingAverageDistancetoHole",2016
43,43,"Rory Sabbatini",40,NA,1135.333,152,"ScramblingAverageDistancetoHole",2016
43,43,"Steve Stricker",25,NA,1008.75,134,"ScramblingAverageDistancetoHole",2016
49,62,"Ernie Els",34,NA,1436.167,189,"ScramblingAverageDistancetoHole",2016
49,48,"Billy Hurley III",22,NA,828.417,109,"ScramblingAverageDistancetoHole",2016
49,48,"Danny Lee",53,NA,1524.417,201,"ScramblingAverageDistancetoHole",2016
49,48,"Louis Oosthuizen",25,NA,340.833,45,"ScramblingAverageDistancetoHole",2016
49,48,"Ryan Palmer",46,NA,1655.25,219,"ScramblingAverageDistancetoHole",2016
49,48,"Andres Romero",22,NA,605.75,80,"ScramblingAverageDistancetoHole",2016
49,54,"Brendon Todd",43,NA,1713.167,226,"ScramblingAverageDistancetoHole",2016
56,35,"Roberto Castro",55,NA,1856.833,241,"ScramblingAverageDistancetoHole",2016
56,54,"KJ Choi",47,NA,1773.583,231,"ScramblingAverageDistancetoHole",2016
56,62,"David Hearn",55,NA,1728.583,225,"ScramblingAverageDistancetoHole",2016
56,54,"Mark Hubbard",73,NA,2616.583,343,"ScramblingAverageDistancetoHole",2016
56,54,"John Huh",51,NA,1840.667,240,"ScramblingAverageDistancetoHole",2016
56,54,"Jerry Kelly",44,NA,1370.333,178,"ScramblingAverageDistancetoHole",2016
56,35,"Spencer Levin",62,NA,2056.75,268,"ScramblingAverageDistancetoHole",2016
56,69,"Rob Oppenheim",37,NA,1160.417,151,"ScramblingAverageDistancetoHole",2016
64,76,"Harris English",51,NA,1440,185,"ScramblingAverageDistancetoHole",2016
64,62,"Andrew Landry",24,NA,550.75,71,"ScramblingAverageDistancetoHole",2016
64,38,"Peter Malnati",53,NA,1966.167,253,"ScramblingAverageDistancetoHole",2016
67,85,"Derek Ernst",36,NA,1005.417,128,"ScramblingAverageDistancetoHole",2016
67,62,"William McGirt",54,NA,2058.75,264,"ScramblingAverageDistancetoHole",2016
69,76,"Sergio Garcia",28,NA,484.5,61,"ScramblingAverageDistancetoHole",2016
69,81,"Sung Kang",51,NA,1935.917,245,"ScramblingAverageDistancetoHole",2016
69,110,"Henrik Norlander",41,NA,1061.25,134,"ScramblingAverageDistancetoHole",2016
69,81,"Jeff Overton",51,NA,2016.667,256,"ScramblingAverageDistancetoHole",2016
69,103,"Brendan Steele",48,NA,1558.667,196,"ScramblingAverageDistancetoHole",2016
69,76,"Tyrone Van Aswegen",67,NA,2323.333,294,"ScramblingAverageDistancetoHole",2016
75,54,"Tyler Aldridge",53,NA,1808.833,225,"ScramblingAverageDistancetoHole",2016
75,69,"Whee Kim",54,NA,1990.333,250,"ScramblingAverageDistancetoHole",2016
75,54,"Luke List",51,NA,1789.333,224,"ScramblingAverageDistancetoHole",2016
75,81,"Will Ma Kenzie",54,NA,1697.667,212,"ScramblingAverageDistancetoHole",2016
75,90,"Kyle Reifers",63,NA,2075.833,259,"ScramblingAverageDistancetoHole",2016
75,69,"Vijay Singh",42,NA,1799.167,225,"ScramblingAverageDistancetoHole",2016
75,69,"Shawn Stefani",45,NA,1766.417,221,"ScramblingAverageDistancetoHole",2016
82,85,"Abraham Ancer",26,NA,810.583,100,"ScramblingAverageDistancetoHole",2016
82,62,"Fabian Gomez",49,NA,1758.25,218,"ScramblingAverageDistancetoHole",2016
82,85,"Russell Henley",42,NA,1604.083,198,"ScramblingAverageDistancetoHole",2016
82,76,"Jim Herman",55,NA,1689.75,208,"ScramblingAverageDistancetoHole",2016
86,85,"Zac Blair",56,NA,2204.75,271,"ScramblingAverageDistancetoHole",2016
86,110,"Jason Bohn",37,NA,1279.5,156,"ScramblingAverageDistancetoHole",2016
86,90,"Smylie Kaufman",57,NA,1724.917,211,"ScramblingAverageDistancetoHole",2016
86,90,"DH Lee",35,NA,1294.417,158,"ScramblingAverageDistancetoHole",2016
