"ScoringAverage_RANKTHISWEEK_2011","ScoringAverage_RANKLASTWEEK_2011","ScoringAverage_PLAYERNAME_2011","ScoringAverage_ROUNDS_2011","ScoringAverage_AVG_2011","ScoringAverage_TOTALSTROKES_2011","ScoringAverage_TOTALADJUSTMENT_2011","ScoringAverage_TOTALROUNDS_2011","stat_name","year"
1,1,"Luke Donald",73,68.861,4643,NA,67,"ScoringAverage",2011
2,2,"Webb Simpson",98,69.252,6778,8.689,98,"ScoringAverage",2011
3,3,"Steve Stricker",70,69.362,4784,1.974,69,"ScoringAverage",2011
4,4,"Matt Kuchar",94,69.515,6125,NA,88,"ScoringAverage",2011
5,5,"Nick Watney",80,69.518,5357,NA,77,"ScoringAverage",2011
6,6,"Sergio Garcia",61,69.564,4284,NA,61,"ScoringAverage",2011
7,7,"Charl Schwartzel",58,69.619,3948,NA,56,"ScoringAverage",2011
8,8,"Charles Howell III",108,69.66,7544,NA,108,"ScoringAverage",2011
9,9,"Jason Day",76,69.706,5100,NA,73,"ScoringAverage",2011
9,9,"David Toms",78,69.706,5425,12.077,78,"ScoringAverage",2011
11,11,"Spencer Levin",113,69.851,7910,NA,113,"ScoringAverage",2011
12,12,"Freddie Jacobson",92,69.854,6455,NA,92,"ScoringAverage",2011
13,13,"Brandt Snedeker",85,69.859,5945,NA,85,"ScoringAverage",2011
14,14,"Adam Scott",60,69.872,4144,NA,59,"ScoringAverage",2011
15,15,"Gary Woodland",93,69.875,6520,NA,93,"ScoringAverage",2011
16,16,"Phil Mickelson",79,69.891,5406,NA,77,"ScoringAverage",2011
17,17,"Hunter Mahan",92,69.905,6228,NA,89,"ScoringAverage",2011
18,18,"Zach Johnson",79,69.966,5466,NA,78,"ScoringAverage",2011
19,19,"KJ Choi",77,69.993,5289,NA,75,"ScoringAverage",2011
20,20,"Rickie Fowler",84,70.007,5711,NA,81,"ScoringAverage",2011
21,21,"Bo Van Pelt",92,70.092,6327,NA,90,"ScoringAverage",2011
22,22,"Bill Haas",93,70.135,6450,2.414,92,"ScoringAverage",2011
23,23,"Geoff Ogilvy",69,70.164,4655,NA,66,"ScoringAverage",2011
24,24,"John Senden",94,70.199,6606,NA,94,"ScoringAverage",2011
25,25,"Jason Dufner",78,70.2,5488,NA,78,"ScoringAverage",2011
26,26,"Robert Karlsson",61,70.211,4168,NA,59,"ScoringAverage",2011
27,27,"Brian Gay",90,70.214,6329,NA,90,"ScoringAverage",2011
28,28,"Aaron Baddeley",77,70.23,5407,0.748,77,"ScoringAverage",2011
29,29,"Jerry Kelly",85,70.241,5970,0.448,85,"ScoringAverage",2011
30,30,"Keegan Bradley",91,70.257,6427,NA,91,"ScoringAverage",2011
31,31,"Chad Campbell",99,70.273,6970,NA,99,"ScoringAverage",2011
32,32,"YE Yang",63,70.277,4177,NA,59,"ScoringAverage",2011
33,33,"Robert Allenby",84,70.284,5867,NA,83,"ScoringAverage",2011
34,34,"Carl Pettersson",95,70.289,6674,3.473,95,"ScoringAverage",2011
35,35,"Kyle Stanley",98,70.317,6891,0.107,98,"ScoringAverage",2011
36,36,"Justin Rose",79,70.332,5425,NA,77,"ScoringAverage",2011
37,37,"Brandt Jobe",100,70.334,7033,0.365,100,"ScoringAverage",2011
38,38,"Martin Laird",77,70.341,5333,12.888,76,"ScoringAverage",2011
39,39,"Ryan Moore",79,70.345,5297,NA,75,"ScoringAverage",2011
40,40,"Jim Furyk",87,70.37,6069,NA,86,"ScoringAverage",2011
41,41,"Chris Kirk",87,70.414,6115,10.988,87,"ScoringAverage",2011
42,42,"John Merrick",71,70.423,4978,22.064,71,"ScoringAverage",2011
43,43,"Jimmy Walker",79,70.424,5582,NA,79,"ScoringAverage",2011
44,44,"Brendon de Jonge",105,70.429,7370,25.073,105,"ScoringAverage",2011
45,45,"Kevin Na",84,70.432,5916,0.273,84,"ScoringAverage",2011
46,46,"Trevor Immelman",84,70.433,5932,NA,84,"ScoringAverage",2011
46,46,"Bryce Molder",82,70.433,5754,21.487,82,"ScoringAverage",2011
48,48,"Ben Crane",76,70.434,5142,NA,73,"ScoringAverage",2011
49,49,"Briny Baird",60,70.435,4222,4.123,60,"ScoringAverage",2011
50,50,"Lucas Glover",74,70.445,5235,NA,74,"ScoringAverage",2011
51,51,"Dustin Johnson",72,70.457,5023,NA,71,"ScoringAverage",2011
52,52,"Rory Sabbatini",85,70.46,6010,NA,85,"ScoringAverage",2011
53,53,"Brian Davis",105,70.469,7392,7.242,105,"ScoringAverage",2011
54,54,"Andres Romero",77,70.495,5442,NA,77,"ScoringAverage",2011
55,55,"JB Holmes",57,70.523,3751,NA,53,"ScoringAverage",2011
56,56,"Mark Wilson",89,70.526,6138,NA,87,"ScoringAverage",2011
57,57,"Kevin Streelman",90,70.54,6362,NA,90,"ScoringAverage",2011
58,58,"Davis Love III",70,70.548,4953,NA,70,"ScoringAverage",2011
59,59,"Ricky Barnes",78,70.572,5530,NA,78,"ScoringAverage",2011
60,60,"John Rollins",85,70.584,5984,15.668,85,"ScoringAverage",2011
61,61,"Chris Couch",73,70.595,5123,30.446,73,"ScoringAverage",2011
62,62,"Greg Chalmers",88,70.596,6212,0.486,88,"ScoringAverage",2011
63,63,"Vijay Singh",79,70.61,5584,NA,79,"ScoringAverage",2011
64,64,"DA Points",89,70.621,6302,NA,89,"ScoringAverage",2011
65,65,"Bubba Watson",85,70.625,5574,5.365,79,"ScoringAverage",2011
66,66,"Tim Herron",85,70.634,6010,NA,85,"ScoringAverage",2011
67,67,"Johnson Wagner",81,70.654,5731,NA,81,"ScoringAverage",2011
68,68,"JJ Henry",96,70.671,6789,NA,96,"ScoringAverage",2011
69,69,"Angel Cabrera",50,70.696,3551,NA,50,"ScoringAverage",2011
70,70,"Blake Adams",116,70.7,8169,32.151,116,"ScoringAverage",2011
70,70,"Stewart Cink",72,70.7,4970,NA,70,"ScoringAverage",2011
72,72,"David Hearn",88,70.709,6195,27.379,88,"ScoringAverage",2011
73,73,"William McGirt",103,70.726,7272,12.766,103,"ScoringAverage",2011
74,74,"Aron Price",58,70.729,4095,7.294,58,"ScoringAverage",2011
75,75,"Retief Goosen",50,70.731,3467,NA,49,"ScoringAverage",2011
76,76,"Steve Marino",76,70.735,5374,1.867,76,"ScoringAverage",2011
77,77,"Chez Reavie",92,70.744,6496,12.419,92,"ScoringAverage",2011
78,78,"Billy Mayfair",94,70.747,6619,31.258,94,"ScoringAverage",2011
79,79,"Cameron Tringale",110,70.751,7771,11.629,110,"ScoringAverage",2011
80,80,"Charlie Wi",83,70.757,5873,NA,83,"ScoringAverage",2011
81,81,"Anthony Kim",72,70.775,5054,NA,71,"ScoringAverage",2011
82,82,"Jonathan Byrd",83,70.783,5787,17.207,82,"ScoringAverage",2011
83,83,"Scott Piercy",78,70.792,5525,NA,78,"ScoringAverage",2011
84,84,"George McNeill",69,70.797,4871,14.002,69,"ScoringAverage",2011
85,85,"Nick OHern",89,70.8,6294,7.211,89,"ScoringAverage",2011
86,86,"Jeff Overton",92,70.802,6461,NA,91,"ScoringAverage",2011
87,87,"Rod Pampling",72,70.803,5075,22.808,72,"ScoringAverage",2011
88,88,"Padraig Harrington",60,70.809,4182,NA,59,"ScoringAverage",2011
89,89,"Sean OHair",71,70.81,4990,NA,70,"ScoringAverage",2011
90,90,"Tommy Gainey",104,70.814,7362,2.668,104,"ScoringAverage",2011
91,91,"Ian Poulter",52,70.824,3616,NA,51,"ScoringAverage",2011
92,92,"Hunter Haas",96,70.826,6781,18.304,96,"ScoringAverage",2011
92,92,"Pat Perez",76,70.826,5380,2.767,76,"ScoringAverage",2011
94,94,"Chris Stroud",88,70.838,6213,20.776,88,"ScoringAverage",2011
95,95,"Ben Curtis",66,70.839,4680,NA,66,"ScoringAverage",2011
96,96,"Ryan Palmer",82,70.847,5672,NA,80,"ScoringAverage",2011
97,97,"Sung Kang",63,70.849,4467,NA,63,"ScoringAverage",2011
98,98,"Shane Bertsch",62,70.869,4374,19.885,62,"ScoringAverage",2011
99,99,"DJ Trahan",91,70.87,6434,15.151,91,"ScoringAverage",2011
100,100,"Michael Bradley",74,70.877,5237,7.91,74,"ScoringAverage",2011
101,101,"Harrison Frazar",58,70.891,4144,NA,58,"ScoringAverage",2011
102,102,"David Mathis",83,70.899,5879,5.611,83,"ScoringAverage",2011
103,103,"Chris DiMarco",93,70.909,6587,7.571,93,"ScoringAverage",2011
103,103,"Vaughn Taylor",89,70.909,6301,9.927,89,"ScoringAverage",2011
105,105,"Robert Garrigus",83,70.931,5889,NA,83,"ScoringAverage",2011
106,106,"Michael Thompson",79,70.942,5585,19.397,79,"ScoringAverage",2011
107,107,"Woody Austin",59,70.943,4168,17.613,59,"ScoringAverage",2011
108,108,"Marc Leishman",87,70.948,6183,NA,87,"ScoringAverage",2011
