"SpinRate_RANKTHISWEEK_2012","SpinRate_RANKLASTWEEK_2012","SpinRate_PLAYERNAME_2012","SpinRate_ROUNDS_2012","SpinRate_AVG_2012","SpinRate_TOTALSPINSPEED_2012","SpinRate_TOTALATTEMPTS_2012","SpinRate_HIGHESTSPINRATE_2012","SpinRate_LOWESTSPINRATE_2012","stat_name","year"
1,1,"Brendon de Jonge",115,3241.5,272287,84,5977,1543,"SpinRate",2012
2,2,"Chris Couch",61,3237,100347,31,4831,1840,"SpinRate",2012
3,3,"Henrik Stenson",51,3220.8,41870,13,5999,2260,"SpinRate",2012
4,4,"Nathan Green",73,3191.2,130840,41,4810,2210,"SpinRate",2012
5,5,"Ken Duke",104,3171.9,260095,82,6647,1603,"SpinRate",2012
6,6,"George McNeill",85,3160.7,167517,53,4593,1886,"SpinRate",2012
7,7,"John Senden",81,3132.6,187956,60,3767,2326,"SpinRate",2012
8,8,"Sangmoon Bae",81,3110.3,146185,47,6360,1690,"SpinRate",2012
9,9,"Richard Lee",71,3110,143058,46,9299,2184,"SpinRate",2012
10,10,"Charlie Beljan",61,3101.3,96140,31,5726,2087,"SpinRate",2012
11,11,"Aaron Baddeley",73,3096,114551,37,4081,2223,"SpinRate",2012
12,12,"Sergio Garcia",57,3091.7,117483,38,4106,2250,"SpinRate",2012
13,13,"Nick Watney",97,3077.4,196954,64,4342,2330,"SpinRate",2012
14,14,"William McGirt",96,3064.1,245130,80,4015,1975,"SpinRate",2012
15,15,"Scott Dunlap",57,3061.2,128570,42,8097,2248,"SpinRate",2012
16,16,"Matt Jones",53,3053.2,97702,32,6089,2294,"SpinRate",2012
17,17,"Bill Haas",79,3046.2,173636,57,3953,2410,"SpinRate",2012
18,18,"Geoff Ogilvy",73,3039,154989,51,4092,2414,"SpinRate",2012
19,19,"Tom Gillis",75,3035.1,194249,64,4875,1646,"SpinRate",2012
20,20,"Stephen Gangluff",57,3018,108647,36,9362,1968,"SpinRate",2012
21,21,"Jonathan Byrd",69,3010.2,123417,41,4835,1992,"SpinRate",2012
22,22,"Luke Donald",63,3003.1,144149,48,3867,2257,"SpinRate",2012
23,23,"Martin Flores",95,2955.9,147795,50,6079,2048,"SpinRate",2012
24,24,"Chris DiMarco",83,2951.6,159388,54,5220,1803,"SpinRate",2012
25,25,"Adam Scott",59,2947.5,112006,38,5808,2222,"SpinRate",2012
26,26,"Billy Hurley III",70,2936.1,137996,47,5368,2011,"SpinRate",2012
27,27,"Dicky Pride",62,2933.1,143724,49,4327,2035,"SpinRate",2012
28,28,"James Driscoll",83,2927,163914,56,3912,1536,"SpinRate",2012
29,29,"YE Yang",64,2919.7,116787,40,3667,2076,"SpinRate",2012
30,30,"Mark Anderson",75,2912.5,125236,43,5650,2046,"SpinRate",2012
31,31,"Josh Teater",97,2911.6,209632,72,4255,1536,"SpinRate",2012
32,32,"JJ Killeen",101,2899.1,153653,53,5817,1700,"SpinRate",2012
33,33,"Kris Blanks",65,2895.9,144796,50,4548,1718,"SpinRate",2012
34,34,"Bubba Watson",68,2894.4,121566,42,3702,2050,"SpinRate",2012
35,35,"Seung Yul Noh",105,2889.2,208021,72,5895,1675,"SpinRate",2012
36,36,"Ben Curtis",62,2881.4,132545,46,5332,1812,"SpinRate",2012
37,37,"Kevin Na",80,2875.3,138014,48,5283,1707,"SpinRate",2012
38,38,"Hunter Haas",69,2870.6,117695,41,3544,1893,"SpinRate",2012
39,39,"Colt Knost",79,2867.3,166304,58,3788,1546,"SpinRate",2012
40,40,"Miguel Angel Carballo",73,2866.3,120386,42,6157,1898,"SpinRate",2012
41,41,"Charley Hoffman",88,2865.9,200615,70,4397,2026,"SpinRate",2012
42,42,"Bobby Gates",87,2865.5,146140,51,4956,1637,"SpinRate",2012
43,43,"Bob Estes",78,2865.1,143254,50,3846,2177,"SpinRate",2012
44,44,"Brendon Todd",78,2863.1,143153,50,8338,2054,"SpinRate",2012
45,45,"Graham DeLaet",79,2860.1,151585,53,4877,1658,"SpinRate",2012
46,46,"Charles Howell III",98,2857.8,162897,57,5026,2008,"SpinRate",2012
47,47,"Blake Adams",107,2856.5,131401,46,7852,1538,"SpinRate",2012
48,48,"Rickie Fowler",84,2852.9,151205,53,4747,1795,"SpinRate",2012
49,49,"Mark Wilson",84,2842.7,184778,65,4808,2014,"SpinRate",2012
50,50,"Freddie Jacobson",61,2841.5,110818,39,5742,1983,"SpinRate",2012
51,51,"Stuart Appleby",75,2839.1,147632,52,5258,1992,"SpinRate",2012
52,52,"Greg Chalmers",88,2838,181631,64,3659,1747,"SpinRate",2012
53,53,"Marc Leishman",84,2837.8,144728,51,7675,1978,"SpinRate",2012
54,54,"Trevor Immelman",76,2828.1,132923,47,5088,1847,"SpinRate",2012
55,55,"Jim Furyk",85,2824.5,172294,61,4931,1961,"SpinRate",2012
56,56,"Robert Karlsson",54,2822.2,101600,36,4741,1989,"SpinRate",2012
57,57,"Tom Pernice Jr",62,2822,132635,47,5964,1810,"SpinRate",2012
58,58,"Edward Loar",59,2817.4,95790,34,3953,1756,"SpinRate",2012
59,59,"Pat Perez",81,2812.9,154708,55,3760,1742,"SpinRate",2012
60,60,"Steve Wheatcroft",56,2807.3,98255,35,6021,2050,"SpinRate",2012
61,61,"Rod Pampling",88,2804.8,157070,56,3572,2059,"SpinRate",2012
62,62,"Jhonattan Vegas",77,2802.3,159732,57,4170,1767,"SpinRate",2012
63,63,"Cameron Tringale",88,2785.2,167113,60,3536,1953,"SpinRate",2012
64,64,"Jimmy Walker",101,2783.1,183684,66,4934,1803,"SpinRate",2012
65,65,"Matt Every",80,2782.6,147479,53,6956,1906,"SpinRate",2012
66,66,"David Mathis",83,2779.3,150081,54,3827,1535,"SpinRate",2012
67,67,"Lee Westwood",60,2772.6,85950,31,4281,2010,"SpinRate",2012
68,68,"Rory McIlroy",60,2770.4,77571,28,8006,1920,"SpinRate",2012
69,69,"Vijay Singh",99,2770.2,155130,56,4609,1855,"SpinRate",2012
70,70,"Ryuji Imada",78,2769.3,149543,54,3729,1677,"SpinRate",2012
71,71,"Louis Oosthuizen",65,2768.5,116277,42,3555,1870,"SpinRate",2012
72,72,"Roberto Castro",92,2766.6,185363,67,5924,1695,"SpinRate",2012
73,73,"Martin Laird",77,2764.8,124416,45,4038,1956,"SpinRate",2012
74,74,"Ricky Barnes",92,2761,198794,72,3905,1977,"SpinRate",2012
75,75,"Derek Lamely",64,2759.2,118644,43,10941,1839,"SpinRate",2012
76,76,"Ryan Moore",89,2758.7,223452,81,3915,1565,"SpinRate",2012
77,77,"Phil Mickelson",79,2754.5,129461,47,4783,1836,"SpinRate",2012
78,78,"Bill Lunde",83,2752.3,151379,55,4854,1950,"SpinRate",2012
79,79,"Michael Bradley",63,2744.3,87818,32,3724,2102,"SpinRate",2012
80,80,"Jason Bohn",81,2743.4,150888,55,3612,1937,"SpinRate",2012
81,81,"Andres Romero",68,2741.2,134320,49,3934,1584,"SpinRate",2012
82,82,"JB Holmes",90,2730.9,169316,62,4752,1738,"SpinRate",2012
83,83,"Kevin Stadler",85,2727.6,133653,49,4750,1954,"SpinRate",2012
84,84,"Zach Johnson",95,2726.4,174490,64,8948,1846,"SpinRate",2012
85,85,"Brendan Steele",77,2725.5,147179,54,3872,2055,"SpinRate",2012
86,86,"Kevin Chappell",91,2720.8,168687,62,4812,1508,"SpinRate",2012
87,87,"Chris Stroud",86,2718.6,163113,60,3581,1773,"SpinRate",2012
88,88,"Bo Van Pelt",84,2717.6,165774,61,4536,1800,"SpinRate",2012
89,89,"Harris English",98,2717.4,190219,70,4803,1732,"SpinRate",2012
90,90,"Roland Thatcher",55,2715.7,97764,36,6173,1906,"SpinRate",2012
91,91,"Boo Weekley",74,2714.8,146600,54,3610,1603,"SpinRate",2012
92,92,"Angel Cabrera",54,2711.9,75932,28,4408,1892,"SpinRate",2012
