"TotalDriving_RANKTHISWEEK_2009","TotalDriving_RANKLASTWEEK_2009","TotalDriving_PLAYERNAME_2009","TotalDriving_EVENTS_2009","TotalDriving_TOTAL_2009","TotalDriving_DISTANCERANK_2009","TotalDriving_ACCURACYRANK_2009","stat_name","year"
1,1,"Jonathan Byrd",25,92,33,59,"TotalDriving",2009
2,2,"Lucas Glover",26,95,25,70,"TotalDriving",2009
3,3,"Kenny Perry",24,97,48,49,"TotalDriving",2009
3,3,"John Rollins",27,97,30,67,"TotalDriving",2009
5,5,"Robert Allenby",21,98,48,50,"TotalDriving",2009
5,5,"Boo Weekley",22,98,62,36,"TotalDriving",2009
7,7,"Hunter Mahan",25,102,28,74,"TotalDriving",2009
8,8,"Ryan Moore",27,104,33,71,"TotalDriving",2009
8,8,"Greg Owen",30,104,59,45,"TotalDriving",2009
8,8,"Heath Slocum",30,104,97,7,"TotalDriving",2009
11,11,"Kirk Triplett",20,105,100,5,"TotalDriving",2009
12,12,"Tiger Woods",17,107,21,86,"TotalDriving",2009
13,13,"Charles Warren",20,111,18,93,"TotalDriving",2009
14,14,"Scott McCarron",27,117,114,3,"TotalDriving",2009
15,15,"John Senden",29,118,40,78,"TotalDriving",2009
16,16,"Michael Allen",22,119,80,39,"TotalDriving",2009
17,17,"Martin Laird",24,121,14,107,"TotalDriving",2009
17,17,"Jeff Maggert",28,121,83,38,"TotalDriving",2009
19,19,"Kris Blanks",20,122,65,57,"TotalDriving",2009
20,20,"David Toms",27,123,119,4,"TotalDriving",2009
21,21,"Bo Van Pelt",30,124,56,68,"TotalDriving",2009
22,22,"Jason Bohn",25,126,108,18,"TotalDriving",2009
22,22,"DJ Trahan",30,126,79,47,"TotalDriving",2009
24,24,"Tommy Armour III",19,129,95,34,"TotalDriving",2009
24,24,"Nicholas Thompson",31,129,38,91,"TotalDriving",2009
26,26,"Mathew Goggin",26,131,69,62,"TotalDriving",2009
27,27,"Jason Gore",24,132,72,60,"TotalDriving",2009
27,27,"Bill Haas",29,132,22,110,"TotalDriving",2009
29,29,"Ted Purdy",30,134,45,89,"TotalDriving",2009
30,30,"Steve Marino",29,139,35,104,"TotalDriving",2009
30,30,"Billy Mayfair",28,139,119,20,"TotalDriving",2009
32,32,"Will Ma Kenzie",24,140,78,62,"TotalDriving",2009
33,33,"Steve Elkington",23,142,107,35,"TotalDriving",2009
34,34,"Steve Lowery",27,143,74,69,"TotalDriving",2009
35,35,"Peter Tomasulo",25,144,50,94,"TotalDriving",2009
36,36,"Ernie Els",19,145,68,77,"TotalDriving",2009
37,37,"Troy Matteson",30,146,9,137,"TotalDriving",2009
37,37,"Mark Wilson",28,146,118,28,"TotalDriving",2009
39,39,"Jason Dufner",26,148,102,46,"TotalDriving",2009
40,40,"Bill Lunde",27,149,57,92,"TotalDriving",2009
40,40,"Jay Williamson",22,149,123,26,"TotalDriving",2009
42,42,"Ben Crane",27,150,109,41,"TotalDriving",2009
43,43,"Tim Clark",23,152,150,2,"TotalDriving",2009
44,44,"Zach Johnson",26,153,143,10,"TotalDriving",2009
45,45,"John Merrick",28,154,29,125,"TotalDriving",2009
45,45,"Ryan Palmer",26,154,26,128,"TotalDriving",2009
47,47,"Justin Leonard",26,155,123,32,"TotalDriving",2009
48,48,"Sergio Garcia",17,156,18,138,"TotalDriving",2009
48,48,"Scott Verplank",24,156,145,11,"TotalDriving",2009
50,50,"Davis Love III",27,157,14,143,"TotalDriving",2009
50,50,"Steve Stricker",22,157,104,53,"TotalDriving",2009
52,52,"Joe Durant",20,158,157,1,"TotalDriving",2009
52,52,"Marc Leishman",28,158,17,141,"TotalDriving",2009
54,54,"Kevin Streelman",29,159,30,129,"TotalDriving",2009
55,55,"Jeff Klauk",29,160,147,13,"TotalDriving",2009
55,55,"Matt Weibring",22,160,84,76,"TotalDriving",2009
57,57,"Nick Watney",24,161,6,155,"TotalDriving",2009
58,58,"Robert Garrigus",25,162,1,161,"TotalDriving",2009
58,58,"Patrick Sheehan",15,162,146,16,"TotalDriving",2009
60,60,"Charlie Wi",28,164,112,52,"TotalDriving",2009
61,61,"Darron Stiles",20,165,153,12,"TotalDriving",2009
62,62,"Stephen Ames",23,167,94,73,"TotalDriving",2009
62,62,"Alex Cejka",25,167,143,24,"TotalDriving",2009
62,62,"Charley Hoffman",27,167,11,156,"TotalDriving",2009
65,65,"Kent Jones",24,168,141,27,"TotalDriving",2009
66,66,"Sean OHair",23,169,46,123,"TotalDriving",2009
66,66,"Tag Ridings",16,169,4,165,"TotalDriving",2009
66,66,"Justin Rose",22,169,90,79,"TotalDriving",2009
69,69,"JJ Henry",28,171,44,127,"TotalDriving",2009
70,70,"Jason Day",18,172,36,136,"TotalDriving",2009
70,70,"Dustin Johnson",25,172,3,169,"TotalDriving",2009
70,70,"Vijay Singh",21,172,41,131,"TotalDriving",2009
70,70,"Chris Stroud",28,172,72,100,"TotalDriving",2009
70,70,"Johnson Wagner",26,172,88,84,"TotalDriving",2009
75,75,"Chad Campbell",26,173,70,103,"TotalDriving",2009
75,75,"Chez Reavie",27,173,154,19,"TotalDriving",2009
77,77,"James Nitties",27,174,63,111,"TotalDriving",2009
78,78,"Chris Riley",22,176,167,9,"TotalDriving",2009
78,78,"Camilo Villegas",21,176,50,126,"TotalDriving",2009
80,80,"Bob Estes",23,177,137,40,"TotalDriving",2009
80,80,"Jim Furyk",23,177,152,25,"TotalDriving",2009
80,80,"Colt Knost",24,177,154,23,"TotalDriving",2009
80,80,"Michael Letzig",28,177,43,134,"TotalDriving",2009
84,84,"Brian Davis",32,178,127,51,"TotalDriving",2009
84,84,"DA Points",29,178,141,37,"TotalDriving",2009
86,86,"Scott Piercy",28,179,12,167,"TotalDriving",2009
87,87,"Bubba Watson",24,180,2,178,"TotalDriving",2009
88,88,"Harrison Frazar",28,182,10,172,"TotalDriving",2009
88,88,"Gary Woodland",18,182,5,177,"TotalDriving",2009
90,90,"Bart Bryant",17,183,175,8,"TotalDriving",2009
91,91,"Daniel Chopra",28,185,26,159,"TotalDriving",2009
