"Back9LowestRound_RANKTHISWEEK_2010","Back9LowestRound_RANKLASTWEEK_2010","Back9LowestRound_PLAYERNAME_2010","Back9LowestRound_ROUNDS_2010","Back9LowestRound_LOWRND_2010","stat_name","year"
1,1,"Paul Goydos",78,28,"Back9LowestRound",2010
1,1,"Nick Watney",91,28,"Back9LowestRound",2010
3,3,"Charley Hoffman",85,29,"Back9LowestRound",2010
3,3,"Freddie Jacobson",83,29,"Back9LowestRound",2010
3,3,"Ryan Moore",80,29,"Back9LowestRound",2010
3,3,"Jeff Overton",89,29,"Back9LowestRound",2010
3,3,"Carl Pettersson",99,29,"Back9LowestRound",2010
3,3,"Alex Prugh",88,29,"Back9LowestRound",2010
3,3,"Nicholas Thompson",88,29,"Back9LowestRound",2010
10,10,"Blake Adams",84,30,"Back9LowestRound",2010
10,10,"Stephen Ames",75,30,"Back9LowestRound",2010
10,10,"Woody Austin",93,30,"Back9LowestRound",2010
10,10,"Aaron Baddeley",94,30,"Back9LowestRound",2010
10,10,"Briny Baird",87,30,"Back9LowestRound",2010
10,10,"Ricky Barnes",103,30,"Back9LowestRound",2010
10,10,"Kris Blanks",91,30,"Back9LowestRound",2010
10,10,"Jonathan Byrd",85,30,"Back9LowestRound",2010
10,10,"Ben Curtis",78,30,"Back9LowestRound",2010
10,10,"John Daly",63,30,"Back9LowestRound",2010
10,10,"Jason Day",82,30,"Back9LowestRound",2010
10,10,"Luke Donald",71,30,"Back9LowestRound",2010
10,10,"James Driscoll",78,30,"Back9LowestRound",2010
10,10,"Jason Dufner",87,30,"Back9LowestRound",2010
10,10,"Joe Durant",67,30,"Back9LowestRound",2010
10,10,"David Duval",71,30,"Back9LowestRound",2010
10,10,"Matt Every",60,30,"Back9LowestRound",2010
10,10,"Rickie Fowler",98,30,"Back9LowestRound",2010
10,10,"Robert Garrigus",71,30,"Back9LowestRound",2010
10,10,"Mathew Goggin",85,30,"Back9LowestRound",2010
10,10,"Retief Goosen",75,30,"Back9LowestRound",2010
10,10,"Mathias Gronberg",61,30,"Back9LowestRound",2010
10,10,"JB Holmes",100,30,"Back9LowestRound",2010
10,10,"Ryuji Imada",90,30,"Back9LowestRound",2010
10,10,"Dustin Johnson",83,30,"Back9LowestRound",2010
10,10,"Matt Jones",89,30,"Back9LowestRound",2010
10,10,"Skip Kendall",58,30,"Back9LowestRound",2010
10,10,"Martin Laird",91,30,"Back9LowestRound",2010
10,10,"Michael Letzig",84,30,"Back9LowestRound",2010
10,10,"Spencer Levin",110,30,"Back9LowestRound",2010
10,10,"Bill Lunde",79,30,"Back9LowestRound",2010
10,10,"Steve Marino",81,30,"Back9LowestRound",2010
10,10,"Billy Mayfair",78,30,"Back9LowestRound",2010
10,10,"Scott McCarron",90,30,"Back9LowestRound",2010
10,10,"Rory McIlroy",54,30,"Back9LowestRound",2010
10,10,"George McNeill",79,30,"Back9LowestRound",2010
10,10,"Rocco Mediate",71,30,"Back9LowestRound",2010
10,10,"Shaun Micheel",70,30,"Back9LowestRound",2010
10,10,"Bryce Molder",84,30,"Back9LowestRound",2010
10,10,"Geoff Ogilvy",62,30,"Back9LowestRound",2010
10,10,"Pat Perez",90,30,"Back9LowestRound",2010
10,10,"Chris Riley",73,30,"Back9LowestRound",2010
10,10,"John Rollins",81,30,"Back9LowestRound",2010
10,10,"Justin Rose",78,30,"Back9LowestRound",2010
10,10,"Brandt Snedeker",89,30,"Back9LowestRound",2010
10,10,"Kevin Stadler",86,30,"Back9LowestRound",2010
10,10,"Kevin Streelman",90,30,"Back9LowestRound",2010
10,10,"Steve Stricker",73,30,"Back9LowestRound",2010
10,10,"Brian Stuard",81,30,"Back9LowestRound",2010
10,10,"Camilo Villegas",78,30,"Back9LowestRound",2010
10,10,"Charles Warren",64,30,"Back9LowestRound",2010
10,10,"Bubba Watson",77,30,"Back9LowestRound",2010
10,10,"Boo Weekley",88,30,"Back9LowestRound",2010
10,10,"Brett Wetterich",54,30,"Back9LowestRound",2010
10,10,"Charlie Wi",95,30,"Back9LowestRound",2010
10,10,"Garrett Willis",82,30,"Back9LowestRound",2010
10,10,"Mark Wilson",87,30,"Back9LowestRound",2010
10,10,"Chris Wilson",65,30,"Back9LowestRound",2010
68,68,"Robert Allenby",76,31,"Back9LowestRound",2010
68,68,"Stuart Appleby",101,31,"Back9LowestRound",2010
68,68,"Cameron Beckman",68,31,"Back9LowestRound",2010
68,68,"Matt Bettencourt",91,31,"Back9LowestRound",2010
68,68,"Michael Bradley",77,31,"Back9LowestRound",2010
68,68,"Chad Campbell",95,31,"Back9LowestRound",2010
68,68,"Paul Casey",64,31,"Back9LowestRound",2010
68,68,"Greg Chalmers",93,31,"Back9LowestRound",2010
68,68,"KJ Choi",82,31,"Back9LowestRound",2010
68,68,"Stewart Cink",84,31,"Back9LowestRound",2010
68,68,"Tim Clark",88,31,"Back9LowestRound",2010
68,68,"Chad Collins",87,31,"Back9LowestRound",2010
68,68,"Michael Connell",89,31,"Back9LowestRound",2010
68,68,"Chris Couch",66,31,"Back9LowestRound",2010
68,68,"Ben Crane",85,31,"Back9LowestRound",2010
68,68,"Brian Davis",101,31,"Back9LowestRound",2010
68,68,"Graham DeLaet",88,31,"Back9LowestRound",2010
68,68,"Chris DiMarco",88,31,"Back9LowestRound",2010
68,68,"Steve Elkington",74,31,"Back9LowestRound",2010
68,68,"Ernie Els",72,31,"Back9LowestRound",2010
68,68,"Martin Flores",75,31,"Back9LowestRound",2010
68,68,"Jim Furyk",76,31,"Back9LowestRound",2010
68,68,"Brian Gay",101,31,"Back9LowestRound",2010
68,68,"Tom Gillis",97,31,"Back9LowestRound",2010
68,68,"Lucas Glover",75,31,"Back9LowestRound",2010
68,68,"Padraig Harrington",57,31,"Back9LowestRound",2010
68,68,"JP Hayes",79,31,"Back9LowestRound",2010
68,68,"JJ Henry",92,31,"Back9LowestRound",2010
68,68,"Charles Howell III",103,31,"Back9LowestRound",2010
68,68,"Trevor Immelman",55,31,"Back9LowestRound",2010
68,68,"Lee Janzen",77,31,"Back9LowestRound",2010
68,68,"Zach Johnson",93,31,"Back9LowestRound",2010
68,68,"Richard Johnson",90,31,"Back9LowestRound",2010
68,68,"Jerry Kelly",99,31,"Back9LowestRound",2010
68,68,"Cliff Kresge",50,31,"Back9LowestRound",2010
68,68,"Matt Kuchar",97,31,"Back9LowestRound",2010
68,68,"Derek Lamely",81,31,"Back9LowestRound",2010
68,68,"Marc Leishman",87,31,"Back9LowestRound",2010
68,68,"Justin Leonard",89,31,"Back9LowestRound",2010
68,68,"Davis Love III",79,31,"Back9LowestRound",2010
68,68,"Jarrod Lyle",54,31,"Back9LowestRound",2010
68,68,"Will Ma Kenzie",72,31,"Back9LowestRound",2010
68,68,"Hunter Mahan",85,31,"Back9LowestRound",2010
68,68,"Troy Matteson",84,31,"Back9LowestRound",2010
68,68,"Andrew McLardy",52,31,"Back9LowestRound",2010
68,68,"John Merrick",109,31,"Back9LowestRound",2010
68,68,"Troy Merritt",86,31,"Back9LowestRound",2010
68,68,"Phil Mickelson",76,31,"Back9LowestRound",2010
68,68,"Kevin Na",94,31,"Back9LowestRound",2010
68,68,"James Nitties",92,31,"Back9LowestRound",2010
68,68,"Sean OHair",84,31,"Back9LowestRound",2010
68,68,"Greg Owen",69,31,"Back9LowestRound",2010
68,68,"Ryan Palmer",84,31,"Back9LowestRound",2010
68,68,"Rod Pampling",77,31,"Back9LowestRound",2010
68,68,"Tom Pernice Jr",74,31,"Back9LowestRound",2010
68,68,"Kenny Perry",69,31,"Back9LowestRound",2010
68,68,"Tim Petrovic",105,31,"Back9LowestRound",2010
68,68,"Scott Piercy",88,31,"Back9LowestRound",2010
68,68,"DA Points",90,31,"Back9LowestRound",2010
68,68,"Aron Price",70,31,"Back9LowestRound",2010
68,68,"Ted Purdy",86,31,"Back9LowestRound",2010
68,68,"Andres Romero",73,31,"Back9LowestRound",2010
68,68,"Rory Sabbatini",79,31,"Back9LowestRound",2010
68,68,"Adam Scott",70,31,"Back9LowestRound",2010
68,68,"John Senden",103,31,"Back9LowestRound",2010
68,68,"Michael Sim",64,31,"Back9LowestRound",2010
68,68,"Webb Simpson",98,31,"Back9LowestRound",2010
68,68,"Vijay Singh",75,31,"Back9LowestRound",2010
68,68,"Paul Stankowski",62,31,"Back9LowestRound",2010
68,68,"Chris Stroud",90,31,"Back9LowestRound",2010
68,68,"Kevin Sutherland",86,31,"Back9LowestRound",2010
68,68,"Vaughn Taylor",87,31,"Back9LowestRound",2010
68,68,"Chris Tidland",77,31,"Back9LowestRound",2010
68,68,"David Toms",86,31,"Back9LowestRound",2010
68,68,"DJ Trahan",92,31,"Back9LowestRound",2010
68,68,"Jerod Turner",54,31,"Back9LowestRound",2010
68,68,"Omar Uresti",74,31,"Back9LowestRound",2010
68,68,"Bo Van Pelt",104,31,"Back9LowestRound",2010
68,68,"Vance Veazey",58,31,"Back9LowestRound",2010
68,68,"Scott Verplank",74,31,"Back9LowestRound",2010
68,68,"YE Yang",72,31,"Back9LowestRound",2010
