"CurrentStreakwithouta3Putt_RANKTHISWEEK_2012","CurrentStreakwithouta3Putt_RANKLASTWEEK_2012","CurrentStreakwithouta3Putt_PLAYERNAME_2012","CurrentStreakwithouta3Putt_EVENTS_2012","CurrentStreakwithouta3Putt_VALUE_2012","stat_name","year"
1,1,"Jason Kokrak",27,215,"CurrentStreakwithouta3Putt",2012
2,2,"Ryan Moore",24,151,"CurrentStreakwithouta3Putt",2012
3,3,"Nick Watney",26,116,"CurrentStreakwithouta3Putt",2012
4,4,"Seung Yul Noh",28,105,"CurrentStreakwithouta3Putt",2012
4,4,"Bubba Watson",19,105,"CurrentStreakwithouta3Putt",2012
6,6,"Brandt Snedeker",22,102,"CurrentStreakwithouta3Putt",2012
7,7,"Zach Johnson",25,99,"CurrentStreakwithouta3Putt",2012
8,8,"Rory McIlroy",16,97,"CurrentStreakwithouta3Putt",2012
9,9,"Luke Donald",17,94,"CurrentStreakwithouta3Putt",2012
10,10,"Dustin Johnson",19,92,"CurrentStreakwithouta3Putt",2012
11,11,"Tommy Biershenk",27,86,"CurrentStreakwithouta3Putt",2012
11,11,"Jerry Kelly",26,86,"CurrentStreakwithouta3Putt",2012
13,13,"Bryce Molder",25,85,"CurrentStreakwithouta3Putt",2012
14,14,"Jason Bohn",28,80,"CurrentStreakwithouta3Putt",2012
15,15,"Ryan Palmer",24,78,"CurrentStreakwithouta3Putt",2012
16,16,"Matt Bettencourt",31,76,"CurrentStreakwithouta3Putt",2012
16,16,"Harris English",27,76,"CurrentStreakwithouta3Putt",2012
18,18,"Billy Horschel",17,75,"CurrentStreakwithouta3Putt",2012
19,19,"Jim Furyk",24,74,"CurrentStreakwithouta3Putt",2012
20,20,"William McGirt",30,73,"CurrentStreakwithouta3Putt",2012
21,21,"Daniel Chopra",21,72,"CurrentStreakwithouta3Putt",2012
22,22,"John Merrick",26,71,"CurrentStreakwithouta3Putt",2012
23,23,"Tom Pernice Jr",23,68,"CurrentStreakwithouta3Putt",2012
24,24,"Ryuji Imada",28,67,"CurrentStreakwithouta3Putt",2012
24,24,"Boo Weekley",25,67,"CurrentStreakwithouta3Putt",2012
26,26,"Martin Flores",30,64,"CurrentStreakwithouta3Putt",2012
27,27,"Stuart Appleby",24,63,"CurrentStreakwithouta3Putt",2012
28,28,"Sean OHair",24,62,"CurrentStreakwithouta3Putt",2012
28,28,"Vaughn Taylor",26,62,"CurrentStreakwithouta3Putt",2012
30,30,"Michael Bradley",23,61,"CurrentStreakwithouta3Putt",2012
30,30,"Webb Simpson",22,61,"CurrentStreakwithouta3Putt",2012
32,32,"Chris Stroud",28,58,"CurrentStreakwithouta3Putt",2012
32,32,"Daniel Summerhays",26,58,"CurrentStreakwithouta3Putt",2012
34,34,"George McNeill",25,56,"CurrentStreakwithouta3Putt",2012
35,35,"JB Holmes",25,55,"CurrentStreakwithouta3Putt",2012
36,36,"Geoff Ogilvy",20,54,"CurrentStreakwithouta3Putt",2012
37,37,"Charl Schwartzel",16,53,"CurrentStreakwithouta3Putt",2012
38,38,"Brendon Todd",29,52,"CurrentStreakwithouta3Putt",2012
39,39,"Brandt Jobe",18,48,"CurrentStreakwithouta3Putt",2012
39,39,"Colt Knost",29,48,"CurrentStreakwithouta3Putt",2012
41,41,"Kyle Reifers",27,47,"CurrentStreakwithouta3Putt",2012
42,42,"Trevor Immelman",24,46,"CurrentStreakwithouta3Putt",2012
