"Total3Putts25_RANKTHISWEEK_2012","Total3Putts25_RANKLASTWEEK_2012","Total3Putts25_PLAYERNAME_2012","Total3Putts25_ROUNDS_2012","Total3Putts25_TOTAL3PUTTS25_2012","Total3Putts25_TOTAL3PUTTS_2012","stat_name","year"
1,1,"Ricky Barnes",92,54,68,"Total3Putts25",2012
2,2,"Troy Matteson",100,48,53,"Total3Putts25",2012
2,2,"Brendan Steele",77,48,52,"Total3Putts25",2012
2,2,"Josh Teater",97,48,62,"Total3Putts25",2012
5,5,"Chris Kirk",93,46,56,"Total3Putts25",2012
6,6,"Bobby Gates",87,45,54,"Total3Putts25",2012
7,7,"Blake Adams",107,44,51,"Total3Putts25",2012
7,7,"Brendon de Jonge",115,44,54,"Total3Putts25",2012
7,7,"Harris English",98,44,52,"Total3Putts25",2012
7,7,"Marc Leishman",84,44,54,"Total3Putts25",2012
11,11,"Greg Owen",90,43,54,"Total3Putts25",2012
12,12,"Kevin Chappell",91,42,56,"Total3Putts25",2012
13,13,"Cameron Beckman",81,41,59,"Total3Putts25",2012
13,13,"Graham DeLaet",79,41,50,"Total3Putts25",2012
13,13,"Charley Hoffman",88,41,53,"Total3Putts25",2012
13,13,"Scott Piercy",95,41,46,"Total3Putts25",2012
13,13,"DA Points",88,41,51,"Total3Putts25",2012
18,18,"Will Claxton",99,40,47,"Total3Putts25",2012
18,18,"Heath Slocum",93,40,47,"Total3Putts25",2012
18,18,"Johnson Wagner",88,40,48,"Total3Putts25",2012
21,21,"Mark Anderson",75,39,49,"Total3Putts25",2012
21,21,"Roberto Castro",92,39,44,"Total3Putts25",2012
21,21,"Ken Duke",104,39,53,"Total3Putts25",2012
21,21,"John Merrick",83,39,46,"Total3Putts25",2012
21,21,"Nick Watney",97,39,52,"Total3Putts25",2012
26,26,"David Hearn",95,38,46,"Total3Putts25",2012
26,26,"Justin Leonard",79,38,42,"Total3Putts25",2012
28,28,"Kyle Reifers",86,37,46,"Total3Putts25",2012
28,28,"Gary Woodland",70,37,48,"Total3Putts25",2012
30,30,"Keegan Bradley",90,36,47,"Total3Putts25",2012
30,30,"Cameron Tringale",88,36,47,"Total3Putts25",2012
32,32,"Kris Blanks",65,35,45,"Total3Putts25",2012
32,32,"Chad Campbell",84,35,47,"Total3Putts25",2012
32,32,"Bud Cauley",99,35,47,"Total3Putts25",2012
