"3PuttAvoidance_RANKTHISWEEK_2014","3PuttAvoidance_RANKLASTWEEK_2014","3PuttAvoidance_PLAYERNAME_2014","3PuttAvoidance_ROUNDS_2014","3PuttAvoidance_Pct_2014","3PuttAvoidance_TOTAL3PUTTS_2014","3PuttAvoidance_TOTALHOLESOVERALL_2014","stat_name","year"
1,1,"Freddie Jacobson",91,1.65,27,1638,"3PuttAvoidance",2014
2,2,"Jason Day",54,1.74,15,864,"3PuttAvoidance",2014
3,3,"Kevin Kisner",85,1.76,27,1530,"3PuttAvoidance",2014
4,4,"Jason Bohn",81,1.85,27,1458,"3PuttAvoidance",2014
4,4,"Justin Leonard",75,1.85,25,1350,"3PuttAvoidance",2014
6,6,"Jerry Kelly",80,1.88,27,1440,"3PuttAvoidance",2014
6,6,"Graeme McDowell",66,1.88,21,1116,"3PuttAvoidance",2014
8,8,"Brian Harman",111,1.9,38,1998,"3PuttAvoidance",2014
8,8,"Bryce Molder",77,1.9,25,1314,"3PuttAvoidance",2014
10,10,"Jonas Blixt",64,1.97,22,1116,"3PuttAvoidance",2014
10,10,"Zach Johnson",97,1.97,34,1728,"3PuttAvoidance",2014
12,12,"Bubba Watson",76,1.98,26,1314,"3PuttAvoidance",2014
13,13,"Rory McIlroy",66,2,23,1152,"3PuttAvoidance",2014
14,14,"Matt Kuchar",91,2.02,32,1584,"3PuttAvoidance",2014
14,14,"John Senden",99,2.02,36,1782,"3PuttAvoidance",2014
16,16,"William McGirt",96,2.03,35,1728,"3PuttAvoidance",2014
17,17,"Greg Chalmers",85,2.06,30,1458,"3PuttAvoidance",2014
18,18,"Chris Stroud",88,2.08,33,1584,"3PuttAvoidance",2014
19,19,"Brendon Todd",108,2.11,41,1944,"3PuttAvoidance",2014
20,20,"David Hearn",97,2.12,37,1746,"3PuttAvoidance",2014
21,21,"Ben Crane",81,2.13,31,1458,"3PuttAvoidance",2014
22,22,"Brendon de Jonge",109,2.14,42,1962,"3PuttAvoidance",2014
22,22,"Dustin Johnson",58,2.14,22,1026,"3PuttAvoidance",2014
22,22,"Jimmy Walker",98,2.14,37,1728,"3PuttAvoidance",2014
25,25,"Scott Langley",95,2.15,36,1674,"3PuttAvoidance",2014
26,26,"Aaron Baddeley",74,2.16,28,1296,"3PuttAvoidance",2014
27,27,"Tim Wilkinson",86,2.17,32,1476,"3PuttAvoidance",2014
28,28,"Daniel Summerhays",98,2.21,39,1764,"3PuttAvoidance",2014
29,29,"KJ Choi",80,2.22,32,1440,"3PuttAvoidance",2014
29,29,"Ryo Ishikawa",75,2.22,30,1350,"3PuttAvoidance",2014
31,31,"Brian Stuard",91,2.23,35,1566,"3PuttAvoidance",2014
32,32,"Chad Collins",78,2.25,30,1332,"3PuttAvoidance",2014
33,33,"Keegan Bradley",89,2.27,36,1584,"3PuttAvoidance",2014
33,33,"Erik Compton",88,2.27,36,1584,"3PuttAvoidance",2014
35,35,"Marc Leishman",81,2.29,33,1440,"3PuttAvoidance",2014
35,35,"Ben Martin",80,2.29,33,1440,"3PuttAvoidance",2014
37,37,"Jason Kokrak",65,2.31,27,1170,"3PuttAvoidance",2014
38,38,"Rickie Fowler",91,2.35,36,1530,"3PuttAvoidance",2014
39,39,"Johnson Wagner",69,2.39,28,1170,"3PuttAvoidance",2014
40,40,"Matt Jones",83,2.41,36,1494,"3PuttAvoidance",2014
41,41,"Troy Merritt",62,2.42,27,1116,"3PuttAvoidance",2014
42,42,"Ben Curtis",77,2.44,32,1314,"3PuttAvoidance",2014
43,43,"Luke Donald",57,2.48,25,1008,"3PuttAvoidance",2014
43,43,"Hunter Mahan",88,2.48,38,1530,"3PuttAvoidance",2014
43,43,"Kevin Na",94,2.48,42,1692,"3PuttAvoidance",2014
46,46,"Sergio Garcia",61,2.49,26,1044,"3PuttAvoidance",2014
46,46,"Will Wilcox",51,2.49,22,882,"3PuttAvoidance",2014
48,48,"Cameron Tringale",111,2.5,50,1998,"3PuttAvoidance",2014
49,49,"Russell Knox",92,2.54,42,1656,"3PuttAvoidance",2014
49,49,"Spencer Levin",59,2.54,27,1062,"3PuttAvoidance",2014
49,49,"Gary Woodland",93,2.54,42,1656,"3PuttAvoidance",2014
52,52,"Jonathan Byrd",76,2.55,33,1296,"3PuttAvoidance",2014
52,52,"Brandt Snedeker",89,2.55,40,1566,"3PuttAvoidance",2014
54,54,"Tyrone Van Aswegen",79,2.56,36,1404,"3PuttAvoidance",2014
55,55,"Paul Casey",56,2.58,26,1008,"3PuttAvoidance",2014
56,56,"Sean OHair",77,2.6,36,1386,"3PuttAvoidance",2014
56,56,"David Toms",64,2.6,29,1116,"3PuttAvoidance",2014
58,58,"Justin Rose",70,2.61,32,1224,"3PuttAvoidance",2014
59,59,"Richard Lee",80,2.64,37,1404,"3PuttAvoidance",2014
60,60,"Stuart Appleby",92,2.65,43,1620,"3PuttAvoidance",2014
60,60,"Retief Goosen",94,2.65,43,1620,"3PuttAvoidance",2014
60,60,"Ryan Moore",86,2.65,40,1512,"3PuttAvoidance",2014
