"PercentageofYardagecoveredbyTeeShots_RANKTHISWEEK_2012","PercentageofYardagecoveredbyTeeShots_RANKLASTWEEK_2012","PercentageofYardagecoveredbyTeeShots_PLAYERNAME_2012","PercentageofYardagecoveredbyTeeShots_ROUNDS_2012","PercentageofYardagecoveredbyTeeShots_AVGPct_2012","PercentageofYardagecoveredbyTeeShots_TOTALSHOTDISTANCE_2012","PercentageofYardagecoveredbyTeeShots_TOTALDISTANCE_2012","stat_name","year"
1,1,"Bubba Watson",68,67.05,222001.1,331091,"PercentageofYardagecoveredbyTeeShots",2012
2,2,"Charlie Beljan",61,65.84,178030.3,270380,"PercentageofYardagecoveredbyTeeShots",2012
3,3,"John Daly",50,65.83,156191.4,237250,"PercentageofYardagecoveredbyTeeShots",2012
4,4,"JB Holmes",90,65.75,328185.8,499138,"PercentageofYardagecoveredbyTeeShots",2012
5,5,"Dustin Johnson",70,65.19,223598.5,342996,"PercentageofYardagecoveredbyTeeShots",2012
6,6,"Robert Garrigus",89,64.8,305524.7,471493,"PercentageofYardagecoveredbyTeeShots",2012
7,7,"Rory McIlroy",60,64.76,167219.5,258219,"PercentageofYardagecoveredbyTeeShots",2012
8,8,"Scott Stallings",78,64.65,279545.1,432367,"PercentageofYardagecoveredbyTeeShots",2012
9,9,"Gary Woodland",70,64.52,219540.6,340287,"PercentageofYardagecoveredbyTeeShots",2012
10,10,"Kyle Stanley",86,64.46,288265.6,447231,"PercentageofYardagecoveredbyTeeShots",2012
11,11,"Edward Loar",59,64.38,175044.5,271889,"PercentageofYardagecoveredbyTeeShots",2012
12,12,"Harrison Frazar",56,64.33,197112.7,306397,"PercentageofYardagecoveredbyTeeShots",2012
13,13,"Scott Piercy",95,64.24,354748,552218,"PercentageofYardagecoveredbyTeeShots",2012
14,14,"Keegan Bradley",90,64.21,293618.4,457291,"PercentageofYardagecoveredbyTeeShots",2012
15,15,"Ryan Palmer",81,64.18,291135.8,453623,"PercentageofYardagecoveredbyTeeShots",2012
16,16,"Josh Teater",97,64.11,338584.1,528129,"PercentageofYardagecoveredbyTeeShots",2012
17,17,"Jason Kokrak",79,64.04,278533.8,434962,"PercentageofYardagecoveredbyTeeShots",2012
18,18,"Jhonattan Vegas",77,64.02,281978.6,440437,"PercentageofYardagecoveredbyTeeShots",2012
19,19,"Sean OHair",84,63.98,309792.6,484240,"PercentageofYardagecoveredbyTeeShots",2012
20,20,"Adam Scott",59,63.75,169488.1,265858,"PercentageofYardagecoveredbyTeeShots",2012
21,21,"Graham DeLaet",79,63.74,287344,450833,"PercentageofYardagecoveredbyTeeShots",2012
22,22,"Jason Day",57,63.62,191394.3,300848,"PercentageofYardagecoveredbyTeeShots",2012
22,22,"Troy Matteson",100,63.62,336653.1,529180,"PercentageofYardagecoveredbyTeeShots",2012
24,24,"Daniel Chopra",55,63.58,172581.7,271426,"PercentageofYardagecoveredbyTeeShots",2012
25,25,"Martin Laird",77,63.56,221802.2,348985,"PercentageofYardagecoveredbyTeeShots",2012
26,26,"Troy Kelly",68,63.5,206277.5,324825,"PercentageofYardagecoveredbyTeeShots",2012
26,26,"Louis Oosthuizen",65,63.5,198647.7,312808,"PercentageofYardagecoveredbyTeeShots",2012
28,28,"Seung Yul Noh",105,63.46,344187.7,542409,"PercentageofYardagecoveredbyTeeShots",2012
