"SandSavePercentage_RANKTHISWEEK_2009","SandSavePercentage_RANKLASTWEEK_2009","SandSavePercentage_PLAYERNAME_2009","SandSavePercentage_ROUNDS_2009","SandSavePercentage_Pct_2009","SandSavePercentage_SAVES_2009","SandSavePercentage_BUNKERS_2009","SandSavePercentage_TOTALOUPAR_2009","stat_name","year"
1,1,"Luke Donald",79,64.43,96,149,42,"SandSavePercentage",2009
2,2,"Kevin Na",91,62.64,109,174,40,"SandSavePercentage",2009
3,3,"Tiger Woods",64,61.86,60,97,16,"SandSavePercentage",2009
4,4,"Matt Kuchar",82,61.6,77,125,23,"SandSavePercentage",2009
4,4,"David Mathis",82,61.6,77,125,38,"SandSavePercentage",2009
6,6,"Webb Simpson",94,61.33,111,181,43,"SandSavePercentage",2009
7,7,"Mark Wilson",99,60.87,98,161,44,"SandSavePercentage",2009
8,8,"Retief Goosen",74,60,75,125,30,"SandSavePercentage",2009
8,8,"Chris Riley",77,60,72,120,32,"SandSavePercentage",2009
10,10,"Brad Adamonis",70,58.93,66,112,28,"SandSavePercentage",2009
11,11,"Bob Heintz",59,58.82,50,85,27,"SandSavePercentage",2009
12,12,"Rod Pampling",72,58.74,84,143,28,"SandSavePercentage",2009
13,13,"Joe Ogilvie",85,58.6,92,157,41,"SandSavePercentage",2009
14,14,"George McNeill",82,58.39,87,149,38,"SandSavePercentage",2009
15,15,"Jimmy Walker",74,58.06,72,124,32,"SandSavePercentage",2009
16,16,"Brian Gay",96,57.79,89,154,67,"SandSavePercentage",2009
17,17,"Jason Day",61,57.65,49,85,15,"SandSavePercentage",2009
17,17,"Bryce Molder",69,57.65,49,85,24,"SandSavePercentage",2009
19,19,"Nick OHern",90,57.58,76,132,42,"SandSavePercentage",2009
20,20,"Nathan Green",104,57.56,99,172,50,"SandSavePercentage",2009
21,21,"Cliff Kresge",78,57.52,65,113,45,"SandSavePercentage",2009
22,22,"Ian Poulter",59,57.14,56,98,22,"SandSavePercentage",2009
22,22,"Matt Weibring",65,57.14,48,84,23,"SandSavePercentage",2009
24,24,"Mike Weir",85,57.06,93,163,53,"SandSavePercentage",2009
25,25,"Tim Clark",81,57.02,65,114,40,"SandSavePercentage",2009
26,26,"Kevin Sutherland",96,56.96,90,158,28,"SandSavePercentage",2009
27,27,"Justin Rose",71,56.91,70,123,41,"SandSavePercentage",2009
28,28,"Ben Curtis",63,56.45,70,124,37,"SandSavePercentage",2009
29,29,"Hunter Mahan",94,56.44,92,163,42,"SandSavePercentage",2009
30,30,"Jerry Kelly",90,56.38,84,149,46,"SandSavePercentage",2009
31,31,"Charlie Wi",92,56.13,87,155,51,"SandSavePercentage",2009
32,32,"Cameron Beckman",87,56.1,69,123,48,"SandSavePercentage",2009
32,32,"Padraig Harrington",66,56.1,69,123,34,"SandSavePercentage",2009
34,34,"Michael Letzig",96,56.02,93,166,30,"SandSavePercentage",2009
35,35,"Chris DiMarco",97,55.48,81,146,48,"SandSavePercentage",2009
36,36,"Ken Duke",87,55.19,85,154,48,"SandSavePercentage",2009
37,37,"Ben Crane",93,55.17,96,174,65,"SandSavePercentage",2009
38,38,"Lucas Glover",93,55.13,86,156,40,"SandSavePercentage",2009
39,39,"Freddie Jacobson",83,55.1,81,147,44,"SandSavePercentage",2009
40,40,"Aron Price",89,54.96,72,131,50,"SandSavePercentage",2009
41,41,"Bill Haas",91,54.86,79,144,35,"SandSavePercentage",2009
42,42,"Geoff Ogilvy",78,54.81,74,135,32,"SandSavePercentage",2009
42,42,"Tom Pernice Jr",82,54.81,74,135,56,"SandSavePercentage",2009
44,44,"Briny Baird",89,54.74,75,137,44,"SandSavePercentage",2009
45,45,"Ryuji Imada",85,54.66,88,161,56,"SandSavePercentage",2009
46,46,"Robert Allenby",71,54.64,53,97,28,"SandSavePercentage",2009
47,47,"Steve Flesch",77,54.55,78,143,52,"SandSavePercentage",2009
47,47,"Jim Furyk",86,54.55,66,121,37,"SandSavePercentage",2009
49,49,"Steve Stricker",81,54.23,77,142,50,"SandSavePercentage",2009
50,50,"Zach Johnson",94,54.14,72,133,45,"SandSavePercentage",2009
51,51,"John Senden",100,53.85,91,169,53,"SandSavePercentage",2009
52,52,"Dean Wilson",81,53.77,57,106,40,"SandSavePercentage",2009
53,53,"Darron Stiles",52,53.73,36,67,23,"SandSavePercentage",2009
