"StrokesGainedTotal_RANKTHISWEEK_2006","StrokesGainedTotal_RANKLASTWEEK_2006","StrokesGainedTotal_PLAYERNAME_2006","StrokesGainedTotal_ROUNDS_2006","StrokesGainedTotal_AVERAGE_2006","StrokesGainedTotal_TOTALSGT_2006","StrokesGainedTotal_TOTALSGT2G_2006","StrokesGainedTotal_TOTALSGP_2006","StrokesGainedTotal_MEASUREDROUNDS_2006","stat_name","year"
1,1,"Tiger Woods",55,3.304,122.243,105.514,16.729,37,"StrokesGainedTotal",2006
2,2,"Jim Furyk",89,2.508,170.555,120.01,50.545,68,"StrokesGainedTotal",2006
3,3,"Adam Scott",70,2.08,106.1,112.627,-6.527,51,"StrokesGainedTotal",2006
4,4,"Luke Donald",66,1.929,82.958,59.722,23.236,43,"StrokesGainedTotal",2006
5,5,"Phil Mickelson",74,1.88,88.359,75.519,12.84,47,"StrokesGainedTotal",2006
6,6,"Steve Stricker",64,1.735,90.224,57.161,33.063,52,"StrokesGainedTotal",2006
7,7,"Vijay Singh",103,1.699,142.7,137.894,4.806,84,"StrokesGainedTotal",2006
8,8,"Trevor Immelman",86,1.607,117.298,113.105,4.193,73,"StrokesGainedTotal",2006
9,9,"Ernie Els",69,1.341,63.035,63.058,-0.023,47,"StrokesGainedTotal",2006
10,10,"Padraig Harrington",54,1.29,49.027,49.789,-0.762,38,"StrokesGainedTotal",2006
11,11,"Stewart Cink",93,1.289,94.083,36.365,57.718,73,"StrokesGainedTotal",2006
11,11,"Brett Quigley",109,1.289,121.167,59.205,61.962,94,"StrokesGainedTotal",2006
13,13,"Stuart Appleby",83,1.262,80.757,66.529,14.228,64,"StrokesGainedTotal",2006
14,14,"David Toms",76,1.249,77.448,56.249,21.199,62,"StrokesGainedTotal",2006
15,15,"Robert Allenby",79,1.245,74.695,60.504,14.191,60,"StrokesGainedTotal",2006
16,16,"Ian Poulter",53,1.203,50.521,42.435,8.086,42,"StrokesGainedTotal",2006
17,17,"Lucas Glover",105,1.198,103.048,90.004,13.044,86,"StrokesGainedTotal",2006
18,18,"Jonathan Byrd",66,1.166,62.97,51.395,11.575,54,"StrokesGainedTotal",2006
19,19,"Retief Goosen",68,1.144,52.64,47.548,5.092,46,"StrokesGainedTotal",2006
20,20,"Stephen Ames",63,1.112,48.935,29.482,19.453,44,"StrokesGainedTotal",2006
21,21,"Jose Maria Olazabal",62,1.102,42.985,28.511,14.474,39,"StrokesGainedTotal",2006
22,22,"Arron Oberholser",82,0.988,61.258,51.053,10.205,62,"StrokesGainedTotal",2006
23,23,"Vaughn Taylor",88,0.967,74.462,45.861,28.601,77,"StrokesGainedTotal",2006
24,24,"Jesper Parnevik",84,0.952,69.529,18.435,51.094,73,"StrokesGainedTotal",2006
25,25,"Tom Pernice Jr",108,0.85,73.943,27.645,46.298,87,"StrokesGainedTotal",2006
25,25,"John Senden",96,0.85,67.134,75.839,-8.705,79,"StrokesGainedTotal",2006
27,27,"KJ Choi",93,0.849,67.073,49.192,17.881,79,"StrokesGainedTotal",2006
28,28,"Rod Pampling",89,0.843,54.788,6.513,48.275,65,"StrokesGainedTotal",2006
29,29,"Sergio Garcia",59,0.841,32.793,38.492,-5.699,39,"StrokesGainedTotal",2006
