"ScoringAverageBeforeCut_RANKTHISWEEK_2013","ScoringAverageBeforeCut_RANKLASTWEEK_2013","ScoringAverageBeforeCut_PLAYERNAME_2013","ScoringAverageBeforeCut__2013","ScoringAverageBeforeCut_AVG_2013","ScoringAverageBeforeCut_TOTALSTROKES_2013","ScoringAverageBeforeCut_TOTALROUNDS_2013","stat_name","year"
1,1,"Steve Stricker",NA,68.67,1648,24,"ScoringAverageBeforeCut",2013
2,2,"Tiger Woods",NA,68.97,2069,30,"ScoringAverageBeforeCut",2013
3,3,"Justin Rose",NA,69.44,2222,32,"ScoringAverageBeforeCut",2013
4,4,"Sergio Garcia",NA,69.53,2225,32,"ScoringAverageBeforeCut",2013
5,5,"Chris Kirk",NA,69.54,3477,50,"ScoringAverageBeforeCut",2013
6,6,"Henrik Stenson",NA,69.56,2365,34,"ScoringAverageBeforeCut",2013
7,7,"Matt Kuchar",NA,69.67,3135,45,"ScoringAverageBeforeCut",2013
8,8,"Jordan Spieth",NA,69.7,3276,47,"ScoringAverageBeforeCut",2013
9,9,"Charles Howell III",NA,69.74,3487,50,"ScoringAverageBeforeCut",2013
10,10,"Adam Scott",NA,69.77,2093,30,"ScoringAverageBeforeCut",2013
11,11,"Brendon de Jonge",NA,69.87,4332,62,"ScoringAverageBeforeCut",2013
12,12,"Keegan Bradley",NA,69.9,3355,48,"ScoringAverageBeforeCut",2013
13,13,"Bob Estes",NA,69.95,2658,38,"ScoringAverageBeforeCut",2013
14,14,"Gary Woodland",NA,70,3500,50,"ScoringAverageBeforeCut",2013
15,15,"Charl Schwartzel",NA,70.03,2521,36,"ScoringAverageBeforeCut",2013
16,16,"Charley Hoffman",NA,70.04,3292,47,"ScoringAverageBeforeCut",2013
17,17,"Phil Mickelson",NA,70.07,3083,44,"ScoringAverageBeforeCut",2013
18,18,"Graham DeLaet",NA,70.08,3714,53,"ScoringAverageBeforeCut",2013
19,19,"Bill Haas",NA,70.1,3435,49,"ScoringAverageBeforeCut",2013
20,20,"Ryan Palmer",NA,70.13,3226,46,"ScoringAverageBeforeCut",2013
21,21,"Zach Johnson",NA,70.15,3297,47,"ScoringAverageBeforeCut",2013
22,22,"Harris English",NA,70.17,3789,54,"ScoringAverageBeforeCut",2013
23,23,"Roberto Castro",NA,70.2,4212,60,"ScoringAverageBeforeCut",2013
23,23,"Billy Horschel",NA,70.2,3791,54,"ScoringAverageBeforeCut",2013
23,23,"Bubba Watson",NA,70.2,2808,40,"ScoringAverageBeforeCut",2013
26,26,"Webb Simpson",NA,70.24,3512,50,"ScoringAverageBeforeCut",2013
27,27,"Jason Dufner",NA,70.26,2951,42,"ScoringAverageBeforeCut",2013
28,28,"Hunter Mahan",NA,70.29,3444,49,"ScoringAverageBeforeCut",2013
29,29,"Jimmy Walker",NA,70.3,3515,50,"ScoringAverageBeforeCut",2013
30,30,"Bryce Molder",NA,70.33,3376,48,"ScoringAverageBeforeCut",2013
31,31,"Cameron Percy",NA,70.34,2884,41,"ScoringAverageBeforeCut",2013
32,32,"Martin Flores",NA,70.35,3588,51,"ScoringAverageBeforeCut",2013
33,33,"Stuart Appleby",NA,70.38,3519,50,"ScoringAverageBeforeCut",2013
34,34,"Brad Fritsch",NA,70.4,3379,48,"ScoringAverageBeforeCut",2013
35,35,"Jerry Kelly",NA,70.41,3239,46,"ScoringAverageBeforeCut",2013
35,35,"Camilo Villegas",NA,70.41,3239,46,"ScoringAverageBeforeCut",2013
37,37,"Jim Furyk",NA,70.42,3028,43,"ScoringAverageBeforeCut",2013
38,38,"Boo Weekley",NA,70.45,3875,55,"ScoringAverageBeforeCut",2013
39,39,"KJ Choi",NA,70.46,3241,46,"ScoringAverageBeforeCut",2013
40,40,"Matt Jones",NA,70.48,3524,50,"ScoringAverageBeforeCut",2013
41,41,"Jason Day",NA,70.49,2890,41,"ScoringAverageBeforeCut",2013
41,41,"Chez Reavie",NA,70.49,3172,45,"ScoringAverageBeforeCut",2013
