"PresidentsCupUnitedes_RANKTHISWEEK_2006","PresidentsCupUnitedes_RANKLASTWEEK_2006","PresidentsCupUnitedes_PLAYERNAME_2006","PresidentsCupUnitedes__2006","PresidentsCupUnitedes_POINTS_2006","stat_name","year"
1,1,"Tiger Woods",NA,13276913,"PresidentsCupUnitedes",2006
2,2,"Jim Furyk",NA,7960249,"PresidentsCupUnitedes",2006
3,3,"Phil Mickelson",NA,4387335,"PresidentsCupUnitedes",2006
4,4,"Chad Campbell",NA,3721720,"PresidentsCupUnitedes",2006
5,5,"Lucas Glover",NA,3619104,"PresidentsCupUnitedes",2006
6,6,"Davis Love III",NA,3403589,"PresidentsCupUnitedes",2006
7,7,"David Toms",NA,3351987,"PresidentsCupUnitedes",2006
8,8,"Tom Pernice Jr",NA,3310486,"PresidentsCupUnitedes",2006
9,9,"Brett Wetterich",NA,3218880,"PresidentsCupUnitedes",2006
10,10,"Stewart Cink",NA,3104957,"PresidentsCupUnitedes",2006
11,11,"Vaughn Taylor",NA,2947290,"PresidentsCupUnitedes",2006
12,12,"Joe Durant",NA,2896102,"PresidentsCupUnitedes",2006
13,13,"Bart Bryant",NA,2876047,"PresidentsCupUnitedes",2006
14,14,"Dean Wilson",NA,2843700,"PresidentsCupUnitedes",2006
15,15,"Zach Johnson",NA,2698672,"PresidentsCupUnitedes",2006
16,16,"JJ Henry",NA,2672438,"PresidentsCupUnitedes",2006
17,17,"Chris DiMarco",NA,2639761,"PresidentsCupUnitedes",2006
18,18,"Jason Bohn",NA,2637004,"PresidentsCupUnitedes",2006
19,19,"Brett Quigley",NA,2626489,"PresidentsCupUnitedes",2006
20,20,"Tim Herron",NA,2613661,"PresidentsCupUnitedes",2006
21,21,"Ben Crane",NA,2589740,"PresidentsCupUnitedes",2006
22,22,"Olin Browne",NA,2470189,"PresidentsCupUnitedes",2006
23,23,"Arron Oberholser",NA,2467772,"PresidentsCupUnitedes",2006
24,24,"Ben Curtis",NA,2456654,"PresidentsCupUnitedes",2006
25,25,"Scott Verplank",NA,2336919,"PresidentsCupUnitedes",2006
26,26,"Jerry Kelly",NA,2307180,"PresidentsCupUnitedes",2006
27,27,"Charles Howell III",NA,2228082,"PresidentsCupUnitedes",2006
28,28,"Mark Calcavecchia",NA,1993617,"PresidentsCupUnitedes",2006
29,29,"Bo Van Pelt",NA,1939342,"PresidentsCupUnitedes",2006
30,30,"Tom Lehman",NA,1927129,"PresidentsCupUnitedes",2006
31,31,"Heath Slocum",NA,1915386,"PresidentsCupUnitedes",2006
32,32,"Sean OHair",NA,1886857,"PresidentsCupUnitedes",2006
33,33,"Fred Funk",NA,1858359,"PresidentsCupUnitedes",2006
34,34,"Steve Stricker",NA,1843311,"PresidentsCupUnitedes",2006
35,35,"Frank Lickliter II",NA,1816008,"PresidentsCupUnitedes",2006
36,36,"Ryan Moore",NA,1787388,"PresidentsCupUnitedes",2006
37,37,"Troy Matteson",NA,1778597,"PresidentsCupUnitedes",2006
38,38,"Shaun Micheel",NA,1766911,"PresidentsCupUnitedes",2006
39,39,"Ted Purdy",NA,1726973,"PresidentsCupUnitedes",2006
40,40,"Ryan Palmer",NA,1725960,"PresidentsCupUnitedes",2006
41,41,"John Rollins",NA,1693426,"PresidentsCupUnitedes",2006
42,42,"Jonathan Byrd",NA,1686870,"PresidentsCupUnitedes",2006
43,43,"Billy Mayfair",NA,1682838,"PresidentsCupUnitedes",2006
44,44,"Steve Lowery",NA,1682830,"PresidentsCupUnitedes",2006
45,45,"Woody Austin",NA,1678924,"PresidentsCupUnitedes",2006
46,46,"Jeff Maggert",NA,1619062,"PresidentsCupUnitedes",2006
47,47,"Brandt Jobe",NA,1581330,"PresidentsCupUnitedes",2006
48,48,"Jason Gore",NA,1567865,"PresidentsCupUnitedes",2006
49,49,"Harrison Frazar",NA,1550174,"PresidentsCupUnitedes",2006
50,50,"Nick Watney",NA,1520886,"PresidentsCupUnitedes",2006
51,51,"Steve Flesch",NA,1510345,"PresidentsCupUnitedes",2006
52,52,"JB Holmes",NA,1487604,"PresidentsCupUnitedes",2006
53,53,"Bob Estes",NA,1476575,"PresidentsCupUnitedes",2006
54,54,"Corey Pavin",NA,1471124,"PresidentsCupUnitedes",2006
55,55,"Brad Faxon",NA,1387806,"PresidentsCupUnitedes",2006
56,56,"Jeff Sluman",NA,1361344,"PresidentsCupUnitedes",2006
57,57,"Chris Couch",NA,1356731,"PresidentsCupUnitedes",2006
58,58,"Joey Sindelar",NA,1349252,"PresidentsCupUnitedes",2006
59,59,"Kenny Perry",NA,1343248,"PresidentsCupUnitedes",2006
60,60,"Charles Warren",NA,1317681,"PresidentsCupUnitedes",2006
61,61,"Eric Axley",NA,1274580,"PresidentsCupUnitedes",2006
62,62,"Wes Short Jr",NA,1267194,"PresidentsCupUnitedes",2006
63,63,"Craig Barlow",NA,1258238,"PresidentsCupUnitedes",2006
64,64,"Robert Gamez",NA,1243533,"PresidentsCupUnitedes",2006
65,65,"DJ Trahan",NA,1220616,"PresidentsCupUnitedes",2006
66,66,"Joe Ogilvie",NA,1219085,"PresidentsCupUnitedes",2006
67,67,"Billy Andrade",NA,1207427,"PresidentsCupUnitedes",2006
68,68,"Justin Leonard",NA,1201171,"PresidentsCupUnitedes",2006
69,69,"Kent Jones",NA,1194435,"PresidentsCupUnitedes",2006
70,70,"Hunter Mahan",NA,1180789,"PresidentsCupUnitedes",2006
