"ProximitytoHolefromSand_RANKTHISWEEK_2006","ProximitytoHolefromSand_RANKLASTWEEK_2006","ProximitytoHolefromSand_PLAYERNAME_2006","ProximitytoHolefromSand_ROUNDS_2006","ProximitytoHolefromSand_AVGDTP_2006","ProximitytoHolefromSand_TOTALDISTANCEFEET_2006","ProximitytoHolefromSand_OFSHOTS_2006","ProximitytoHolefromSand_SCRAMBLINGRANK_2006","stat_name","year"
1,1,"Corey Pavin",74,NA,543.75,78,1,"ProximitytoHolefromSand",2006
2,2,"Steve Flesch",119,NA,1075.083,152,22,"ProximitytoHolefromSand",2006
3,3,"Rory Sabbatini",84,NA,666.083,93,50,"ProximitytoHolefromSand",2006
4,4,"Ryuji Imada",105,NA,935,129,24,"ProximitytoHolefromSand",2006
5,5,"Mike Weir",88,NA,788.083,107,79,"ProximitytoHolefromSand",2006
6,6,"Mike Sposa",68,NA,593.417,77,47,"ProximitytoHolefromSand",2006
7,7,"Billy Andrade",78,NA,649.667,84,72,"ProximitytoHolefromSand",2006
7,7,"Luke Donald",66,NA,387.167,50,3,"ProximitytoHolefromSand",2006
7,7,"Jerry Kelly",100,NA,857.333,111,17,"ProximitytoHolefromSand",2006
7,7,"Steve Stricker",64,NA,455.25,59,2,"ProximitytoHolefromSand",2006
11,11,"Robert Damron",91,NA,880.917,111,100,"ProximitytoHolefromSand",2006
11,11,"Peter Lonard",77,NA,704.583,89,87,"ProximitytoHolefromSand",2006
11,11,"Rod Pampling",89,NA,915.25,116,85,"ProximitytoHolefromSand",2006
11,11,"Chris Riley",86,NA,1071.5,135,26,"ProximitytoHolefromSand",2006
11,11,"Vijay Singh",103,NA,984,124,39,"ProximitytoHolefromSand",2006
16,16,"Michael Allen",84,NA,648.917,81,70,"ProximitytoHolefromSand",2006
16,16,"James Driscoll",80,NA,1037,129,160,"ProximitytoHolefromSand",2006
18,18,"Marco Dawson",87,NA,765.333,95,121,"ProximitytoHolefromSand",2006
18,18,"Dudley Hart",83,NA,764,95,64,"ProximitytoHolefromSand",2006
18,18,"Tom Pernice Jr",108,NA,1024,127,80,"ProximitytoHolefromSand",2006
18,18,"Vaughn Taylor",88,NA,813.5,101,144,"ProximitytoHolefromSand",2006
22,22,"Doug Barron",74,NA,743,91,23,"ProximitytoHolefromSand",2006
22,22,"Brian Gay",107,NA,1064.583,131,5,"ProximitytoHolefromSand",2006
22,22,"Jeff Sluman",101,NA,1017.833,125,71,"ProximitytoHolefromSand",2006
22,22,"Jerry Smith",94,NA,901.417,110,41,"ProximitytoHolefromSand",2006
26,26,"Nathan Green",108,NA,1125.833,137,17,"ProximitytoHolefromSand",2006
27,27,"Craig Barlow",77,NA,660.75,79,159,"ProximitytoHolefromSand",2006
27,27,"Arron Oberholser",82,NA,754.667,91,98,"ProximitytoHolefromSand",2006
29,29,"Ernie Els",69,NA,738.417,88,53,"ProximitytoHolefromSand",2006
29,29,"Mark OMeara",52,NA,511.333,61,67,"ProximitytoHolefromSand",2006
29,29,"Kevin Sutherland",100,NA,814.667,97,30,"ProximitytoHolefromSand",2006
29,29,"Duffy Waldorf",96,NA,1076.75,128,61,"ProximitytoHolefromSand",2006
33,33,"Stuart Appleby",83,NA,886.25,104,56,"ProximitytoHolefromSand",2006
33,33,"Tim Clark",80,NA,668.667,79,58,"ProximitytoHolefromSand",2006
33,33,"Bill Haas",99,NA,1131.5,133,48,"ProximitytoHolefromSand",2006
33,33,"Stephen Leaney",84,NA,748.667,88,19,"ProximitytoHolefromSand",2006
33,33,"Shigeki Maruyama",94,NA,1097.667,129,21,"ProximitytoHolefromSand",2006
33,33,"Mark Wilson",79,NA,673.75,79,82,"ProximitytoHolefromSand",2006
39,39,"Stewart Cink",93,NA,881.833,103,27,"ProximitytoHolefromSand",2006
39,39,"JB Holmes",81,NA,695.833,81,188,"ProximitytoHolefromSand",2006
39,39,"Bob May",65,NA,573.917,67,144,"ProximitytoHolefromSand",2006
39,39,"Geoff Ogilvy",76,NA,667.167,78,69,"ProximitytoHolefromSand",2006
39,39,"Paul Stankowski",70,NA,672.083,78,114,"ProximitytoHolefromSand",2006
44,44,"Aaron Baddeley",78,NA,1252.75,144,51,"ProximitytoHolefromSand",2006
44,44,"Fred Funk",106,NA,877.417,101,42,"ProximitytoHolefromSand",2006
44,44,"Justin Rose",98,NA,937.583,108,84,"ProximitytoHolefromSand",2006
44,44,"John Senden",96,NA,814,94,86,"ProximitytoHolefromSand",2006
48,48,"Jason Bohn",104,NA,1234.667,141,13,"ProximitytoHolefromSand",2006
48,48,"Ben Curtis",86,NA,864,99,116,"ProximitytoHolefromSand",2006
48,48,"Brian Davis",92,NA,1241.25,142,49,"ProximitytoHolefromSand",2006
48,48,"Harrison Frazar",95,NA,1083.333,124,96,"ProximitytoHolefromSand",2006
52,52,"Retief Goosen",68,NA,549.083,62,108,"ProximitytoHolefromSand",2006
52,52,"Justin Leonard",83,NA,739.583,84,77,"ProximitytoHolefromSand",2006
52,52,"Bo Van Pelt",102,NA,1158.833,131,99,"ProximitytoHolefromSand",2006
55,55,"Kris Cox",83,NA,743.083,83,118,"ProximitytoHolefromSand",2006
55,55,"Len Mattiace",59,NA,743.333,83,143,"ProximitytoHolefromSand",2006
55,55,"Carl Pettersson",95,NA,1140.667,128,66,"ProximitytoHolefromSand",2006
55,55,"Ian Poulter",53,NA,438.083,49,36,"ProximitytoHolefromSand",2006
59,59,"Chad Campbell",91,NA,907.75,101,93,"ProximitytoHolefromSand",2006
59,59,"Robert Gamez",94,NA,1081,120,135,"ProximitytoHolefromSand",2006
59,59,"Kirk Triplett",58,NA,618.167,69,133,"ProximitytoHolefromSand",2006
59,59,"Brett Wetterich",82,NA,847.417,94,178,"ProximitytoHolefromSand",2006
63,63,"Paul Azinger",87,NA,1094.417,121,8,"ProximitytoHolefromSand",2006
63,63,"David Branshaw",98,NA,965.917,106,38,"ProximitytoHolefromSand",2006
63,63,"Tim Herron",82,NA,814,90,148,"ProximitytoHolefromSand",2006
63,63,"Skip Kendall",72,NA,629.083,69,73,"ProximitytoHolefromSand",2006
63,63,"Steve Lowery",99,NA,1060.917,117,111,"ProximitytoHolefromSand",2006
68,68,"Kent Jones",103,NA,1101.167,120,136,"ProximitytoHolefromSand",2006
68,68,"Joe Ogilvie",95,NA,1031.667,113,45,"ProximitytoHolefromSand",2006
68,68,"David Toms",76,NA,839.583,92,54,"ProximitytoHolefromSand",2006
71,71,"Daniel Chopra",110,NA,1340.083,145,105,"ProximitytoHolefromSand",2006
71,71,"Padraig Harrington",54,NA,415.167,45,36,"ProximitytoHolefromSand",2006
71,71,"DA Points",82,NA,1149.583,124,131,"ProximitytoHolefromSand",2006
71,71,"Tiger Woods",55,NA,313.167,34,10,"ProximitytoHolefromSand",2006
75,75,"John Daly",51,NA,627.083,67,186,"ProximitytoHolefromSand",2006
75,75,"Lucas Glover",105,NA,1117.083,120,129,"ProximitytoHolefromSand",2006
75,75,"Zach Johnson",98,NA,918,98,103,"ProximitytoHolefromSand",2006
75,75,"Larry Mize",53,NA,427.417,46,33,"ProximitytoHolefromSand",2006
79,79,"Mark Brooks",90,NA,957,102,107,"ProximitytoHolefromSand",2006
79,79,"Alex Cejka",93,NA,793.167,84,156,"ProximitytoHolefromSand",2006
79,79,"David Duval",71,NA,713.917,76,187,"ProximitytoHolefromSand",2006
79,79,"John Engler Jr",69,NA,994.75,106,176,"ProximitytoHolefromSand",2006
79,79,"Paul Goydos",72,NA,849.5,90,25,"ProximitytoHolefromSand",2006
79,79,"Heath Slocum",96,NA,912.75,97,141,"ProximitytoHolefromSand",2006
85,85,"Trevor Immelman",86,NA,819.333,86,32,"ProximitytoHolefromSand",2006
85,85,"Freddie Jacobson",56,NA,799.833,84,101,"ProximitytoHolefromSand",2006
85,85,"Lee Janzen",79,NA,1101.25,116,184,"ProximitytoHolefromSand",2006
85,85,"Dean Wilson",115,NA,1184.167,125,51,"ProximitytoHolefromSand",2006
89,89,"Bart Bryant",87,NA,593.083,62,142,"ProximitytoHolefromSand",2006
89,89,"Carlos Franco",86,NA,1159.583,121,163,"ProximitytoHolefromSand",2006
89,89,"Jeff Maggert",81,NA,785.333,82,178,"ProximitytoHolefromSand",2006
89,89,"Sean OHair",100,NA,1066.5,111,139,"ProximitytoHolefromSand",2006
89,89,"Adam Scott",70,NA,678.167,71,91,"ProximitytoHolefromSand",2006
89,89,"Wes Short Jr",96,NA,1228.583,128,194,"ProximitytoHolefromSand",2006
89,89,"Omar Uresti",61,NA,575.083,60,7,"ProximitytoHolefromSand",2006
96,96,"Jonathan Byrd",66,NA,735.667,76,20,"ProximitytoHolefromSand",2006
96,96,"Greg Chalmers",71,NA,945.917,98,126,"ProximitytoHolefromSand",2006
96,96,"Billy Mayfair",94,NA,1036.25,107,35,"ProximitytoHolefromSand",2006
96,96,"Ryan Palmer",101,NA,1186.25,123,74,"ProximitytoHolefromSand",2006
96,96,"Tag Ridings",103,NA,1106.333,114,160,"ProximitytoHolefromSand",2006
101,101,"Jim Furyk",89,NA,699.417,72,4,"ProximitytoHolefromSand",2006
101,101,"Davis Love III",85,NA,941.75,97,149,"ProximitytoHolefromSand",2006
101,101,"Jose Maria Olazabal",62,NA,460,47,95,"ProximitytoHolefromSand",2006
104,104,"Woody Austin",107,NA,1494.25,152,43,"ProximitytoHolefromSand",2006
104,104,"Robert Garrigus",85,NA,1094.417,111,158,"ProximitytoHolefromSand",2006
104,104,"John Huston",74,NA,957.833,97,63,"ProximitytoHolefromSand",2006
104,104,"David McKenzie",82,NA,825.167,84,112,"ProximitytoHolefromSand",2006
104,104,"DJ Trahan",92,NA,1054.333,107,128,"ProximitytoHolefromSand",2006
109,109,"Mark Calcavecchia",94,NA,1167,118,130,"ProximitytoHolefromSand",2006
