"Top5FinalRoundPerformance_RANKTHISWEEK_2012","Top5FinalRoundPerformance_RANKLASTWEEK_2012","Top5FinalRoundPerformance_PLAYERNAME_2012","Top5FinalRoundPerformance_EVENTS_2012","Top5FinalRoundPerformance_PctTIMESIMPROVED_2012","Top5FinalRoundPerformance_OFTIMESIMPROVED_2012","stat_name","year"
1,1,"Charlie Beljan",22,100,2,"Top5FinalRoundPerformance",2012
1,1,"Jonas Blixt",21,100,2,"Top5FinalRoundPerformance",2012
1,1,"Jason Bohn",28,100,1,"Top5FinalRoundPerformance",2012
1,1,"Scott Brown",24,100,1,"Top5FinalRoundPerformance",2012
1,1,"Chad Campbell",27,100,1,"Top5FinalRoundPerformance",2012
1,1,"Tim Clark",20,100,1,"Top5FinalRoundPerformance",2012
1,1,"Ben Curtis",19,100,2,"Top5FinalRoundPerformance",2012
1,1,"John Daly",15,100,1,"Top5FinalRoundPerformance",2012
1,1,"Brian Davis",29,100,2,"Top5FinalRoundPerformance",2012
1,1,"Graham DeLaet",23,100,1,"Top5FinalRoundPerformance",2012
1,1,"Sergio Garcia",16,100,2,"Top5FinalRoundPerformance",2012
1,1,"Brian Gay",28,100,1,"Top5FinalRoundPerformance",2012
1,1,"Bill Haas",23,100,1,"Top5FinalRoundPerformance",2012
1,1,"Billy Horschel",17,100,1,"Top5FinalRoundPerformance",2012
1,1,"Matt Jones",19,100,1,"Top5FinalRoundPerformance",2012
1,1,"Troy Kelly",23,100,1,"Top5FinalRoundPerformance",2012
1,1,"Chris Kirk",27,100,1,"Top5FinalRoundPerformance",2012
1,1,"Colt Knost",29,100,1,"Top5FinalRoundPerformance",2012
1,1,"Jason Kokrak",27,100,1,"Top5FinalRoundPerformance",2012
1,1,"Martin Laird",22,100,1,"Top5FinalRoundPerformance",2012
1,1,"Spencer Levin",26,100,2,"Top5FinalRoundPerformance",2012
1,1,"Davis Love III",20,100,2,"Top5FinalRoundPerformance",2012
1,1,"Troy Matteson",32,100,1,"Top5FinalRoundPerformance",2012
1,1,"Graeme McDowell",16,100,3,"Top5FinalRoundPerformance",2012
1,1,"William McGirt",30,100,1,"Top5FinalRoundPerformance",2012
1,1,"George McNeill",25,100,1,"Top5FinalRoundPerformance",2012
1,1,"John Merrick",26,100,1,"Top5FinalRoundPerformance",2012
1,1,"Phil Mickelson",22,100,4,"Top5FinalRoundPerformance",2012
1,1,"Nick OHern",26,100,1,"Top5FinalRoundPerformance",2012
1,1,"Louis Oosthuizen",19,100,4,"Top5FinalRoundPerformance",2012
1,1,"Ryan Palmer",24,100,2,"Top5FinalRoundPerformance",2012
1,1,"Carl Pettersson",26,100,4,"Top5FinalRoundPerformance",2012
1,1,"Scott Piercy",28,100,1,"Top5FinalRoundPerformance",2012
1,1,"DA Points",29,100,1,"Top5FinalRoundPerformance",2012
1,1,"Ian Poulter",15,100,1,"Top5FinalRoundPerformance",2012
1,1,"Dicky Pride",19,100,1,"Top5FinalRoundPerformance",2012
1,1,"Alexandre Rocha",21,100,2,"Top5FinalRoundPerformance",2012
1,1,"Andres Romero",22,100,1,"Top5FinalRoundPerformance",2012
1,1,"Justin Rose",19,100,3,"Top5FinalRoundPerformance",2012
1,1,"Rory Sabbatini",29,100,1,"Top5FinalRoundPerformance",2012
1,1,"John Senden",22,100,1,"Top5FinalRoundPerformance",2012
1,1,"Kyle Stanley",27,100,2,"Top5FinalRoundPerformance",2012
1,1,"Josh Teater",30,100,1,"Top5FinalRoundPerformance",2012
1,1,"Roland Thatcher",21,100,1,"Top5FinalRoundPerformance",2012
1,1,"DJ Trahan",27,100,1,"Top5FinalRoundPerformance",2012
1,1,"Johnson Wagner",27,100,2,"Top5FinalRoundPerformance",2012
1,1,"Bubba Watson",19,100,4,"Top5FinalRoundPerformance",2012
1,1,"Charlie Wi",25,100,3,"Top5FinalRoundPerformance",2012
1,1,"Mark Wilson",25,100,1,"Top5FinalRoundPerformance",2012
50,50,"Tiger Woods",19,83.3,5,"Top5FinalRoundPerformance",2012
51,51,"Jim Furyk",24,80,4,"Top5FinalRoundPerformance",2012
51,51,"Robert Garrigus",26,80,4,"Top5FinalRoundPerformance",2012
53,53,"Ernie Els",22,75,3,"Top5FinalRoundPerformance",2012
53,53,"Dustin Johnson",19,75,3,"Top5FinalRoundPerformance",2012
53,53,"Rory McIlroy",16,75,6,"Top5FinalRoundPerformance",2012
53,53,"Ryan Moore",24,75,3,"Top5FinalRoundPerformance",2012
53,53,"Steve Stricker",19,75,3,"Top5FinalRoundPerformance",2012
58,58,"Matt Every",25,66.7,2,"Top5FinalRoundPerformance",2012
58,58,"JJ Henry",28,66.7,2,"Top5FinalRoundPerformance",2012
58,58,"Matt Kuchar",22,66.7,2,"Top5FinalRoundPerformance",2012
58,58,"John Mallinger",25,66.7,2,"Top5FinalRoundPerformance",2012
58,58,"John Rollins",26,66.7,2,"Top5FinalRoundPerformance",2012
63,63,"Brandt Snedeker",22,60,3,"Top5FinalRoundPerformance",2012
64,64,"Zach Johnson",25,57.1,4,"Top5FinalRoundPerformance",2012
65,65,"Robert Allenby",27,50,1,"Top5FinalRoundPerformance",2012
65,65,"Sangmoon Bae",25,50,1,"Top5FinalRoundPerformance",2012
65,65,"Keegan Bradley",25,50,2,"Top5FinalRoundPerformance",2012
65,65,"Bud Cauley",28,50,1,"Top5FinalRoundPerformance",2012
65,65,"Will Claxton",28,50,1,"Top5FinalRoundPerformance",2012
65,65,"Ben Crane",23,50,1,"Top5FinalRoundPerformance",2012
65,65,"Jason Dufner",22,50,3,"Top5FinalRoundPerformance",2012
65,65,"Rickie Fowler",23,50,1,"Top5FinalRoundPerformance",2012
65,65,"Tom Gillis",23,50,1,"Top5FinalRoundPerformance",2012
65,65,"John Huh",28,50,2,"Top5FinalRoundPerformance",2012
65,65,"Billy Hurley III",27,50,1,"Top5FinalRoundPerformance",2012
65,65,"Ryo Ishikawa",18,50,1,"Top5FinalRoundPerformance",2012
65,65,"Seung Yul Noh",28,50,1,"Top5FinalRoundPerformance",2012
65,65,"Webb Simpson",22,50,2,"Top5FinalRoundPerformance",2012
65,65,"Scott Stallings",27,50,1,"Top5FinalRoundPerformance",2012
65,65,"Chris Stroud",28,50,1,"Top5FinalRoundPerformance",2012
65,65,"Daniel Summerhays",26,50,1,"Top5FinalRoundPerformance",2012
65,65,"Nick Watney",26,50,1,"Top5FinalRoundPerformance",2012
65,65,"Lee Westwood",15,50,1,"Top5FinalRoundPerformance",2012
84,84,"Jonathan Byrd",21,33.3,1,"Top5FinalRoundPerformance",2012
84,84,"Brendon de Jonge",31,33.3,1,"Top5FinalRoundPerformance",2012
84,84,"Ken Duke",30,33.3,1,"Top5FinalRoundPerformance",2012
84,84,"Charles Howell III",29,33.3,1,"Top5FinalRoundPerformance",2012
84,84,"Hunter Mahan",23,33.3,1,"Top5FinalRoundPerformance",2012
84,84,"Adam Scott",16,33.3,1,"Top5FinalRoundPerformance",2012
84,84,"Vijay Singh",27,33.3,1,"Top5FinalRoundPerformance",2012
84,84,"Henrik Stenson",15,33.3,1,"Top5FinalRoundPerformance",2012
92,92,"Kevin Na",25,25,1,"Top5FinalRoundPerformance",2012
92,92,"Bo Van Pelt",24,25,1,"Top5FinalRoundPerformance",2012
94,94,"Blake Adams",32,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Stuart Appleby",24,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Arjun Atwal",27,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Greg Chalmers",25,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Daniel Chopra",21,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Gary Christian",28,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Jason Day",17,0,NA,"Top5FinalRoundPerformance",2012
94,94,"James Driscoll",27,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Harris English",27,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Bob Estes",23,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Tommy Gainey",32,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Brian Harman",30,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Tim Herron",27,0,NA,"Top5FinalRoundPerformance",2012
94,94,"JB Holmes",25,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Trevor Immelman",24,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Freddie Jacobson",17,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Kevin Kisner",24,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Bill Lunde",25,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Jeff Maggert",27,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Bryce Molder",25,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Pat Perez",23,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Kevin Stadler",25,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Vaughn Taylor",26,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Brendon Todd",29,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Cameron Tringale",26,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Camilo Villegas",25,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Jimmy Walker",28,0,NA,"Top5FinalRoundPerformance",2012
94,94,"Boo Weekley",25,0,NA,"Top5FinalRoundPerformance",2012
