"NonmemberEarnings_RANKTHISWEEK_2006","NonmemberEarnings_RANKLASTWEEK_2006","NonmemberEarnings_PLAYERNAME_2006","NonmemberEarnings_EVENTS_2006","NonmemberEarnings_MONEY_2006","NonmemberEarnings_TOTAL_2006","stat_name","year"
1,1,"Angel Cabrera",12,623504,1021420,"NonmemberEarnings",2006
2,2,"Henrik Stenson",10,582303,821678,"NonmemberEarnings",2006
3,3,"Colin Montgomerie",8,501249,638749,"NonmemberEarnings",2006
4,4,"Anthony Kim",2,338067,338067,"NonmemberEarnings",2006
5,5,"Miguel Angel Jimenez",8,334011,458511,"NonmemberEarnings",2006
6,6,"Michael Campbell",10,323983,515983,"NonmemberEarnings",2006
7,7,"Hideto Tanihara",2,310831,310831,"NonmemberEarnings",2006
8,8,"Paul Casey",8,209401,529151,"NonmemberEarnings",2006
9,9,"Kenneth Ferrie",3,183255,183255,"NonmemberEarnings",2006
10,10,"Andres Romero",2,177225,177225,"NonmemberEarnings",2006
11,11,"Jason Day",7,174508,174508,"NonmemberEarnings",2006
12,12,"Ken Duke",2,138231,138231,"NonmemberEarnings",2006
13,13,"Scott Piercy",6,132042,132042,"NonmemberEarnings",2006
14,14,"Paul McGinley",9,130734,199984,"NonmemberEarnings",2006
15,15,"SK Ho",2,128891,128891,"NonmemberEarnings",2006
15,15,"Anthony Wall",3,128891,172891,"NonmemberEarnings",2006
17,17,"Robert Karlsson",5,118283,234283,"NonmemberEarnings",2006
18,18,"Charl Schwartzel",8,108282,211282,"NonmemberEarnings",2006
19,19,"Thomas Bjorn",7,104773,234273,"NonmemberEarnings",2006
20,20,"Mikko Ilonen",1,83655,83655,"NonmemberEarnings",2006
20,20,"Robert Rock",1,83655,83655,"NonmemberEarnings",2006
20,20,"Brett Rumford",1,83655,83655,"NonmemberEarnings",2006
23,23,"Shingo Katayama",6,82262,207262,"NonmemberEarnings",2006
24,24,"Kevin Stadler",6,75973,170973,"NonmemberEarnings",2006
25,25,"Peter Hedblom",2,74252,74252,"NonmemberEarnings",2006
26,26,"Roland Thatcher",1,74250,74250,"NonmemberEarnings",2006
27,27,"Scott Hend",6,61162,61162,"NonmemberEarnings",2006
28,28,"Paul Broadhurst",4,54097,133097,"NonmemberEarnings",2006
28,28,"Lee Slattery",1,54097,54097,"NonmemberEarnings",2006
30,30,"Stephen Gangluff",2,53584,53584,"NonmemberEarnings",2006
31,31,"Anders Hansen",1,53100,53100,"NonmemberEarnings",2006
32,32,"Jason Allred",2,52500,52500,"NonmemberEarnings",2006
33,33,"David Hearn",1,50438,50438,"NonmemberEarnings",2006
34,34,"Simon Khan",2,45546,45546,"NonmemberEarnings",2006
34,34,"Thaworn Wiratchant",3,45546,86046,"NonmemberEarnings",2006
36,36,"Mike Small",9,40256,40256,"NonmemberEarnings",2006
37,37,"Marcus Fraser",1,36483,36483,"NonmemberEarnings",2006
38,38,"Parker McLachlin",2,34674,34674,"NonmemberEarnings",2006
39,39,"Chad Collins",1,29459,29459,"NonmemberEarnings",2006
39,39,"Jason Dufner",2,29459,29459,"NonmemberEarnings",2006
39,39,"Lee Williams",1,29459,29459,"NonmemberEarnings",2006
42,42,"Jason Caron",1,29260,29260,"NonmemberEarnings",2006
43,43,"Richard Green",4,29250,64250,"NonmemberEarnings",2006
44,44,"Don Yrene",2,29239,29239,"NonmemberEarnings",2006
45,45,"Billy Hurley III",6,28910,28910,"NonmemberEarnings",2006
46,46,"Yusaku Miyazato",2,28163,28163,"NonmemberEarnings",2006
47,47,"Soren Kjeldsen",1,27619,27619,"NonmemberEarnings",2006
48,48,"WC Liang",1,25850,25850,"NonmemberEarnings",2006
49,49,"John Bickerton",4,21578,104828,"NonmemberEarnings",2006
49,49,"Simon Dyson",2,21578,77578,"NonmemberEarnings",2006
49,49,"Gonzalo Fdez Castano",5,21578,52578,"NonmemberEarnings",2006
49,49,"Andrew Marshall",1,21578,21578,"NonmemberEarnings",2006
49,49,"Simon Wakefield",2,21578,21578,"NonmemberEarnings",2006
54,54,"Philip Archer",1,20482,20482,"NonmemberEarnings",2006
55,55,"Yasuharu Imano",2,20400,20400,"NonmemberEarnings",2006
56,56,"Scott Sterling",1,20280,20280,"NonmemberEarnings",2006
57,57,"Rob Oppenheim",2,19500,19500,"NonmemberEarnings",2006
58,58,"Keiichiro Fukabori",4,19148,19148,"NonmemberEarnings",2006
59,59,"Andrew Buckle",2,18497,18497,"NonmemberEarnings",2006
60,60,"Marco Ruiz",1,18125,18125,"NonmemberEarnings",2006
61,61,"Jeev Milkha Singh",3,16676,16676,"NonmemberEarnings",2006
62,62,"Franklin Langham",1,16642,16642,"NonmemberEarnings",2006
63,63,"John Mallinger",3,16354,16354,"NonmemberEarnings",2006
64,64,"Esteban Toledo",2,15567,15567,"NonmemberEarnings",2006
65,65,"Azuma Yano",1,14007,14007,"NonmemberEarnings",2006
66,66,"Stuart Deane",1,13140,13140,"NonmemberEarnings",2006
67,67,"Jim Kane",1,12725,12725,"NonmemberEarnings",2006
