"Front9Par5ScoringAverage_RANKTHISWEEK_2016","Front9Par5ScoringAverage_RANKLASTWEEK_2016","Front9Par5ScoringAverage_PLAYERNAME_2016","Front9Par5ScoringAverage_ROUNDS_2016","Front9Par5ScoringAverage_AVG_2016","Front9Par5ScoringAverage_TOTALSTROKES_2016","Front9Par5ScoringAverage_TOTALHOLES_2016","stat_name","year"
1,1,"Bubba Watson",30,4.33,195,45,"Front9Par5ScoringAverage",2016
2,5,"Rory McIlroy",37,4.35,235,54,"Front9Par5ScoringAverage",2016
3,1,"Rickie Fowler",42,4.39,290,66,"Front9Par5ScoringAverage",2016
4,3,"Justin Rose",35,4.41,260,59,"Front9Par5ScoringAverage",2016
5,4,"Jamie Lovemark",57,4.43,421,95,"Front9Par5ScoringAverage",2016
5,9,"Harold Varner III",58,4.43,439,99,"Front9Par5ScoringAverage",2016
7,9,"Jason Dufner",53,4.44,355,80,"Front9Par5ScoringAverage",2016
7,9,"Smylie Kaufman",57,4.44,413,93,"Front9Par5ScoringAverage",2016
7,17,"Phil Mickelson",37,4.44,262,59,"Front9Par5ScoringAverage",2016
10,5,"Henrik Stenson",30,4.45,267,60,"Front9Par5ScoringAverage",2016
10,12,"Jimmy Walker",43,4.45,289,65,"Front9Par5ScoringAverage",2016
12,14,"Patrick Reed",53,4.46,424,95,"Front9Par5ScoringAverage",2016
13,14,"Branden Grace",31,4.48,242,54,"Front9Par5ScoringAverage",2016
13,5,"Morgan Hoffmann",43,4.48,300,67,"Front9Par5ScoringAverage",2016
13,13,"Justin Thomas",53,4.48,381,85,"Front9Par5ScoringAverage",2016
16,23,"Jason Bohn",37,4.49,283,63,"Front9Par5ScoringAverage",2016
16,17,"Jason Day",36,4.49,256,57,"Front9Par5ScoringAverage",2016
16,28,"Fabian Gomez",49,4.49,328,73,"Front9Par5ScoringAverage",2016
16,17,"Dustin Johnson",37,4.49,265,59,"Front9Par5ScoringAverage",2016
16,23,"Kevin Kisner",49,4.49,337,75,"Front9Par5ScoringAverage",2016
16,23,"Hideki Matsuyama",40,4.49,292,65,"Front9Par5ScoringAverage",2016
16,5,"Cameron Tringale",47,4.49,368,82,"Front9Par5ScoringAverage",2016
23,20,"Sergio Garcia",28,4.5,198,44,"Front9Par5ScoringAverage",2016
23,14,"Gary Woodland",45,4.5,333,74,"Front9Par5ScoringAverage",2016
25,28,"Daniel Summerhays",55,4.51,410,91,"Front9Par5ScoringAverage",2016
26,36,"Luke List",51,4.52,398,88,"Front9Par5ScoringAverage",2016
27,23,"Daniel Berger",52,4.53,390,86,"Front9Par5ScoringAverage",2016
27,20,"Martin Laird",46,4.53,353,78,"Front9Par5ScoringAverage",2016
29,36,"Tony Finau",49,4.54,381,84,"Front9Par5ScoringAverage",2016
29,32,"Marc Leishman",41,4.54,309,68,"Front9Par5ScoringAverage",2016
29,32,"Johnson Wagner",44,4.54,359,79,"Front9Par5ScoringAverage",2016
32,36,"Kevin Chappell",49,4.55,382,84,"Front9Par5ScoringAverage",2016
32,23,"Luke Donald",49,4.55,387,85,"Front9Par5ScoringAverage",2016
32,42,"Andrew Loupe",50,4.55,400,88,"Front9Par5ScoringAverage",2016
32,36,"Ryan Palmer",46,4.55,341,75,"Front9Par5ScoringAverage",2016
32,30,"Brendan Steele",48,4.55,373,82,"Front9Par5ScoringAverage",2016
37,42,"Brooks Koepka",39,4.56,260,57,"Front9Par5ScoringAverage",2016
37,42,"Danny Lee",53,4.56,406,89,"Front9Par5ScoringAverage",2016
37,42,"Scott Piercy",45,4.56,319,70,"Front9Par5ScoringAverage",2016
37,42,"Scott Pinckney",53,4.56,406,89,"Front9Par5ScoringAverage",2016
37,42,"Jordan Spieth",34,4.56,260,57,"Front9Par5ScoringAverage",2016
42,32,"Adam Hadwin",53,4.57,411,90,"Front9Par5ScoringAverage",2016
42,36,"Matt Jones",45,4.57,343,75,"Front9Par5ScoringAverage",2016
42,32,"Francesco Molinari",36,4.57,274,60,"Front9Par5ScoringAverage",2016
42,42,"Jhonattan Vegas",49,4.57,411,90,"Front9Par5ScoringAverage",2016
46,50,"Erik Compton",45,4.58,362,79,"Front9Par5ScoringAverage",2016
46,61,"Lucas Glover",53,4.58,421,92,"Front9Par5ScoringAverage",2016
46,36,"Sung Kang",51,4.58,408,89,"Front9Par5ScoringAverage",2016
46,53,"Ben Martin",48,4.58,353,77,"Front9Par5ScoringAverage",2016
46,50,"Dicky Pride",33,4.58,275,60,"Front9Par5ScoringAverage",2016
46,30,"Patrick Rodgers",49,4.58,380,83,"Front9Par5ScoringAverage",2016
46,20,"Adam Scott",39,4.58,275,60,"Front9Par5ScoringAverage",2016
46,53,"Will Wilcox",47,4.58,362,79,"Front9Par5ScoringAverage",2016
54,72,"James Hahn",45,4.59,363,79,"Front9Par5ScoringAverage",2016
54,42,"Padraig Harrington",38,4.59,280,61,"Front9Par5ScoringAverage",2016
54,53,"Graeme McDowell",33,4.59,234,51,"Front9Par5ScoringAverage",2016
54,53,"Pat Perez",28,4.59,202,44,"Front9Par5ScoringAverage",2016
54,53,"Rory Sabbatini",40,4.59,326,71,"Front9Par5ScoringAverage",2016
