"FirstTeeLateRound1ScoringAverage_RANKTHISWEEK_2014","FirstTeeLateRound1ScoringAverage_RANKLASTWEEK_2014","FirstTeeLateRound1ScoringAverage_PLAYERNAME_2014","FirstTeeLateRound1ScoringAverage__2014","FirstTeeLateRound1ScoringAverage_AVG_2014","FirstTeeLateRound1ScoringAverage_TOTALSTROKES_2014","FirstTeeLateRound1ScoringAverage_TOTALROUNDS_2014","stat_name","year"
1,1,"Rory McIlroy",NA,66.2,331,5,"FirstTeeLateRound1ScoringAverage",2014
2,2,"Pat Perez",NA,67,268,4,"FirstTeeLateRound1ScoringAverage",2014
3,3,"Jason Kokrak",NA,68,204,3,"FirstTeeLateRound1ScoringAverage",2014
3,3,"Ryan Palmer",NA,68,272,4,"FirstTeeLateRound1ScoringAverage",2014
5,5,"David Hearn",NA,68.33,410,6,"FirstTeeLateRound1ScoringAverage",2014
5,5,"Charley Hoffman",NA,68.33,410,6,"FirstTeeLateRound1ScoringAverage",2014
5,5,"Will Wilcox",NA,68.33,205,3,"FirstTeeLateRound1ScoringAverage",2014
8,8,"Ricky Barnes",NA,68.67,206,3,"FirstTeeLateRound1ScoringAverage",2014
8,8,"Ben Martin",NA,68.67,412,6,"FirstTeeLateRound1ScoringAverage",2014
8,8,"Wes Roach",NA,68.67,206,3,"FirstTeeLateRound1ScoringAverage",2014
11,11,"Jim Herman",NA,68.71,481,7,"FirstTeeLateRound1ScoringAverage",2014
12,12,"Sangmoon Bae",NA,68.8,344,5,"FirstTeeLateRound1ScoringAverage",2014
12,12,"JJ Henry",NA,68.8,344,5,"FirstTeeLateRound1ScoringAverage",2014
14,14,"Harris English",NA,68.89,620,9,"FirstTeeLateRound1ScoringAverage",2014
15,15,"Matt Every",NA,69,276,4,"FirstTeeLateRound1ScoringAverage",2014
15,15,"Kevin Kisner",NA,69,345,5,"FirstTeeLateRound1ScoringAverage",2014
15,15,"Scott Langley",NA,69,414,6,"FirstTeeLateRound1ScoringAverage",2014
18,18,"KJ Choi",NA,69.17,415,6,"FirstTeeLateRound1ScoringAverage",2014
18,18,"David Toms",NA,69.17,415,6,"FirstTeeLateRound1ScoringAverage",2014
20,20,"Martin Flores",NA,69.2,346,5,"FirstTeeLateRound1ScoringAverage",2014
21,21,"Ken Duke",NA,69.25,277,4,"FirstTeeLateRound1ScoringAverage",2014
21,21,"Bill Haas",NA,69.25,554,8,"FirstTeeLateRound1ScoringAverage",2014
23,23,"JB Holmes",NA,69.3,693,10,"FirstTeeLateRound1ScoringAverage",2014
24,24,"Jordan Spieth",NA,69.36,763,11,"FirstTeeLateRound1ScoringAverage",2014
25,25,"Paul Casey",NA,69.4,347,5,"FirstTeeLateRound1ScoringAverage",2014
25,25,"Brooks Koepka",NA,69.4,347,5,"FirstTeeLateRound1ScoringAverage",2014
25,25,"Andrew Loupe",NA,69.4,347,5,"FirstTeeLateRound1ScoringAverage",2014
25,25,"Shawn Stefani",NA,69.4,347,5,"FirstTeeLateRound1ScoringAverage",2014
29,29,"Zach Johnson",NA,69.42,833,12,"FirstTeeLateRound1ScoringAverage",2014
30,30,"Matt Kuchar",NA,69.46,903,13,"FirstTeeLateRound1ScoringAverage",2014
31,31,"Richard Lee",NA,69.5,278,4,"FirstTeeLateRound1ScoringAverage",2014
32,32,"Jamie Lovemark",NA,69.6,348,5,"FirstTeeLateRound1ScoringAverage",2014
32,32,"Jhonattan Vegas",NA,69.6,348,5,"FirstTeeLateRound1ScoringAverage",2014
32,32,"Boo Weekley",NA,69.6,348,5,"FirstTeeLateRound1ScoringAverage",2014
35,35,"Chris Kirk",NA,69.67,418,6,"FirstTeeLateRound1ScoringAverage",2014
35,35,"Graeme McDowell",NA,69.67,418,6,"FirstTeeLateRound1ScoringAverage",2014
