"RyderCupWorldPoints_RANKTHISWEEK_2016","RyderCupWorldPoints_RANKLASTWEEK_2016","RyderCupWorldPoints_PLAYERNAME_2016","RyderCupWorldPoints__2016","RyderCupWorldPoints_POINTS_2016","stat_name","year"
1,1,"Danny Willett",NA,237.14,"RyderCupWorldPoints",2016
2,2,"Henrik Stenson",NA,219.44,"RyderCupWorldPoints",2016
3,3,"Rory McIlroy",NA,190.68,"RyderCupWorldPoints",2016
4,4,"Justin Rose",NA,134.14,"RyderCupWorldPoints",2016
5,5,"Rafa Cabrera Bello",NA,127.17,"RyderCupWorldPoints",2016
6,6,"Matthew Fitzpatrick",NA,115.05,"RyderCupWorldPoints",2016
7,7,"Andy Sullivan",NA,108.99,"RyderCupWorldPoints",2016
8,8,"Sergio Garcia",NA,108.2,"RyderCupWorldPoints",2016
9,9,"Soren Kjeldsen",NA,87.74,"RyderCupWorldPoints",2016
10,10,"Thorbjorn Olesen",NA,87.2,"RyderCupWorldPoints",2016
11,11,"Thomas Pieters",NA,87.1,"RyderCupWorldPoints",2016
12,12,"Lee Westwood",NA,84.62,"RyderCupWorldPoints",2016
13,13,"Chris Wood",NA,81.36,"RyderCupWorldPoints",2016
14,14,"Victor Dubuisson",NA,72.75,"RyderCupWorldPoints",2016
15,15,"Jamie Donaldson",NA,71.67,"RyderCupWorldPoints",2016
16,16,"Joost Luiten",NA,68.85,"RyderCupWorldPoints",2016
17,17,"Graeme McDowell",NA,66.45,"RyderCupWorldPoints",2016
18,18,"Kristoffer Broberg",NA,66.18,"RyderCupWorldPoints",2016
19,19,"Lee Slattery",NA,66.16,"RyderCupWorldPoints",2016
20,20,"Lucas Bjerregaard",NA,59.89,"RyderCupWorldPoints",2016
21,21,"Luke Donald",NA,56.52,"RyderCupWorldPoints",2016
22,22,"Shane Lowry",NA,54.02,"RyderCupWorldPoints",2016
23,23,"Bernd Wiesberger",NA,53.03,"RyderCupWorldPoints",2016
24,24,"Ross Fisher",NA,52.84,"RyderCupWorldPoints",2016
25,25,"Martin Kaymer",NA,51.87,"RyderCupWorldPoints",2016
