"AveragePuttingDistanceGIR3PlusPutts_RANKTHISWEEK_2014","AveragePuttingDistanceGIR3PlusPutts_RANKLASTWEEK_2014","AveragePuttingDistanceGIR3PlusPutts_PLAYERNAME_2014","AveragePuttingDistanceGIR3PlusPutts_ROUNDS_2014","AveragePuttingDistanceGIR3PlusPutts_AVG_2014","AveragePuttingDistanceGIR3PlusPutts_DISTANCEFEET_2014","AveragePuttingDistanceGIR3PlusPutts_TOTALPUTTS_2014","stat_name","year"
1,1,"Danny Lee",84,NA,96.75,1,"AveragePuttingDistanceGIR3PlusPutts",2014
2,2,"Brendan Steele",89,NA,76.083,1,"AveragePuttingDistanceGIR3PlusPutts",2014
3,3,"Billy Hurley III",86,NA,69.917,1,"AveragePuttingDistanceGIR3PlusPutts",2014
4,4,"Mark Wilson",69,NA,67.167,1,"AveragePuttingDistanceGIR3PlusPutts",2014
5,5,"Jamie Lovemark",64,NA,65.75,1,"AveragePuttingDistanceGIR3PlusPutts",2014
6,6,"Ian Poulter",57,NA,131.25,2,"AveragePuttingDistanceGIR3PlusPutts",2014
7,7,"Hudson Swafford",75,NA,130.417,2,"AveragePuttingDistanceGIR3PlusPutts",2014
8,8,"Jim Renner",61,NA,64.167,1,"AveragePuttingDistanceGIR3PlusPutts",2014
9,9,"Keegan Bradley",89,NA,58.333,1,"AveragePuttingDistanceGIR3PlusPutts",2014
10,10,"Matt Every",85,NA,113.833,2,"AveragePuttingDistanceGIR3PlusPutts",2014
11,11,"Brian Harman",111,NA,55.917,1,"AveragePuttingDistanceGIR3PlusPutts",2014
12,12,"Bud Cauley",56,NA,55.417,1,"AveragePuttingDistanceGIR3PlusPutts",2014
13,13,"Aaron Baddeley",74,NA,53.333,1,"AveragePuttingDistanceGIR3PlusPutts",2014
13,13,"Martin Flores",85,NA,53.333,1,"AveragePuttingDistanceGIR3PlusPutts",2014
15,15,"John Peterson",62,NA,52.583,1,"AveragePuttingDistanceGIR3PlusPutts",2014
16,16,"Louis Oosthuizen",50,NA,105,2,"AveragePuttingDistanceGIR3PlusPutts",2014
16,16,"Michael Putnam",106,NA,52.5,1,"AveragePuttingDistanceGIR3PlusPutts",2014
18,18,"DA Points",75,NA,52.167,1,"AveragePuttingDistanceGIR3PlusPutts",2014
19,19,"Woody Austin",63,NA,52.083,1,"AveragePuttingDistanceGIR3PlusPutts",2014
20,20,"Rory Sabbatini",82,NA,249.417,5,"AveragePuttingDistanceGIR3PlusPutts",2014
21,21,"Webb Simpson",87,NA,48.083,1,"AveragePuttingDistanceGIR3PlusPutts",2014
22,22,"Martin Laird",66,NA,47.583,1,"AveragePuttingDistanceGIR3PlusPutts",2014
23,23,"Andrew Svoboda",77,NA,47.5,1,"AveragePuttingDistanceGIR3PlusPutts",2014
24,24,"Chris Kirk",105,NA,44.75,1,"AveragePuttingDistanceGIR3PlusPutts",2014
25,25,"Robert Garrigus",80,NA,44.25,1,"AveragePuttingDistanceGIR3PlusPutts",2014
26,26,"JB Holmes",86,NA,43.5,1,"AveragePuttingDistanceGIR3PlusPutts",2014
27,27,"Bill Haas",107,NA,41.833,1,"AveragePuttingDistanceGIR3PlusPutts",2014
28,28,"Erik Compton",88,NA,41.083,1,"AveragePuttingDistanceGIR3PlusPutts",2014
29,29,"James Driscoll",71,NA,80.25,2,"AveragePuttingDistanceGIR3PlusPutts",2014
30,30,"Carl Pettersson",91,NA,39.833,1,"AveragePuttingDistanceGIR3PlusPutts",2014
31,31,"Morgan Hoffmann",103,NA,39.667,1,"AveragePuttingDistanceGIR3PlusPutts",2014
32,32,"Kevin Tway",64,NA,39.583,1,"AveragePuttingDistanceGIR3PlusPutts",2014
33,33,"Andres Romero",81,NA,38.917,1,"AveragePuttingDistanceGIR3PlusPutts",2014
34,34,"Pat Perez",84,NA,38.083,1,"AveragePuttingDistanceGIR3PlusPutts",2014
35,35,"Ken Duke",80,NA,37.667,1,"AveragePuttingDistanceGIR3PlusPutts",2014
36,36,"Kyle Stanley",87,NA,37.583,1,"AveragePuttingDistanceGIR3PlusPutts",2014
37,37,"Stuart Appleby",92,NA,37,1,"AveragePuttingDistanceGIR3PlusPutts",2014
38,38,"Hunter Mahan",88,NA,35.167,1,"AveragePuttingDistanceGIR3PlusPutts",2014
39,39,"Geoff Ogilvy",84,NA,172.333,5,"AveragePuttingDistanceGIR3PlusPutts",2014
