"BirdieAverage_RANKTHISWEEK_2014","BirdieAverage_RANKLASTWEEK_2014","BirdieAverage_PLAYERNAME_2014","BirdieAverage_ROUNDS_2014","BirdieAverage_AVG_2014","BirdieAverage_OFBIRDIES_2014","BirdieAverage_TOTALROUNDS_2014","stat_name","year"
1,1,"Rory McIlroy",66,4.58,293,64,"BirdieAverage",2014
2,2,"Adam Scott",68,4.24,288,68,"BirdieAverage",2014
3,3,"Jimmy Walker",98,4.18,401,96,"BirdieAverage",2014
4,4,"Dustin Johnson",58,4.05,231,57,"BirdieAverage",2014
5,5,"Charl Schwartzel",64,4.02,249,62,"BirdieAverage",2014
6,6,"Jordan Spieth",102,3.97,389,98,"BirdieAverage",2014
7,7,"Henrik Stenson",56,3.96,214,54,"BirdieAverage",2014
7,7,"Bubba Watson",76,3.96,289,73,"BirdieAverage",2014
9,9,"Ryan Palmer",85,3.93,334,85,"BirdieAverage",2014
10,10,"Charley Hoffman",93,3.89,362,93,"BirdieAverage",2014
10,10,"Ryo Ishikawa",75,3.89,292,75,"BirdieAverage",2014
10,10,"Hideki Matsuyama",82,3.89,311,80,"BirdieAverage",2014
10,10,"Chris Stroud",88,3.89,342,88,"BirdieAverage",2014
14,14,"Rickie Fowler",91,3.88,330,85,"BirdieAverage",2014
15,15,"Sergio Garcia",61,3.86,224,58,"BirdieAverage",2014
16,16,"Robert Garrigus",80,3.84,307,80,"BirdieAverage",2014
16,16,"Brooks Koepka",56,3.84,215,56,"BirdieAverage",2014
18,18,"Keegan Bradley",89,3.82,336,88,"BirdieAverage",2014
18,18,"Kevin Chappell",100,3.82,367,96,"BirdieAverage",2014
18,18,"Matt Kuchar",91,3.82,336,88,"BirdieAverage",2014
21,21,"Ryan Moore",86,3.8,319,84,"BirdieAverage",2014
22,22,"Harris English",95,3.79,349,92,"BirdieAverage",2014
23,23,"Jason Kokrak",65,3.78,246,65,"BirdieAverage",2014
24,24,"Graham DeLaet",80,3.77,298,79,"BirdieAverage",2014
25,25,"Justin Rose",70,3.76,256,68,"BirdieAverage",2014
26,26,"Phil Mickelson",71,3.75,266,71,"BirdieAverage",2014
26,26,"Webb Simpson",87,3.75,315,84,"BirdieAverage",2014
28,28,"JB Holmes",86,3.73,321,86,"BirdieAverage",2014
28,28,"Wes Roach",67,3.73,235,63,"BirdieAverage",2014
30,30,"Andrew Loupe",65,3.72,227,61,"BirdieAverage",2014
30,30,"George McNeill",79,3.72,294,79,"BirdieAverage",2014
30,30,"Camilo Villegas",95,3.72,353,95,"BirdieAverage",2014
33,33,"Paul Casey",56,3.71,208,56,"BirdieAverage",2014
33,33,"Danny Lee",84,3.71,297,80,"BirdieAverage",2014
35,35,"Morgan Hoffmann",103,3.7,366,99,"BirdieAverage",2014
35,35,"Brian Stuard",91,3.7,322,87,"BirdieAverage",2014
35,35,"Lee Westwood",57,3.7,207,56,"BirdieAverage",2014
38,38,"Martin Kaymer",65,3.69,236,64,"BirdieAverage",2014
38,38,"Kevin Na",94,3.69,347,94,"BirdieAverage",2014
40,40,"Sangmoon Bae",76,3.68,280,76,"BirdieAverage",2014
40,40,"Angel Cabrera",69,3.68,254,69,"BirdieAverage",2014
40,40,"Chris Kirk",105,3.68,383,104,"BirdieAverage",2014
40,40,"Robert Streb",75,3.68,261,71,"BirdieAverage",2014
44,44,"Chesson Hadley",84,3.67,308,84,"BirdieAverage",2014
45,45,"Jerry Kelly",80,3.66,293,80,"BirdieAverage",2014
45,45,"Michael Thompson",74,3.66,271,74,"BirdieAverage",2014
47,47,"Luke Guthrie",85,3.65,310,85,"BirdieAverage",2014
47,47,"Charles Howell III",106,3.65,387,106,"BirdieAverage",2014
47,47,"Gary Woodland",93,3.65,336,92,"BirdieAverage",2014
50,50,"Kevin Kisner",85,3.64,309,85,"BirdieAverage",2014
51,51,"Jason Dufner",57,3.63,196,54,"BirdieAverage",2014
51,51,"Ian Poulter",57,3.63,203,56,"BirdieAverage",2014
53,53,"Matt Every",85,3.62,308,85,"BirdieAverage",2014
54,54,"Scott Brown",100,3.61,361,100,"BirdieAverage",2014
54,54,"Zach Johnson",97,3.61,347,96,"BirdieAverage",2014
54,54,"Graeme McDowell",66,3.61,224,62,"BirdieAverage",2014
54,54,"Kevin Stadler",90,3.61,321,89,"BirdieAverage",2014
58,58,"Stuart Appleby",92,3.6,324,90,"BirdieAverage",2014
58,58,"Brendan Steele",89,3.6,306,85,"BirdieAverage",2014
58,58,"Kevin Streelman",79,3.6,281,78,"BirdieAverage",2014
61,61,"Billy Horschel",92,3.59,323,90,"BirdieAverage",2014
61,61,"Jeff Overton",80,3.59,273,76,"BirdieAverage",2014
63,63,"Jason Day",54,3.58,172,48,"BirdieAverage",2014
64,64,"Will Ma Kenzie",82,3.57,293,82,"BirdieAverage",2014
65,65,"Bill Haas",107,3.56,374,105,"BirdieAverage",2014
65,65,"David Toms",64,3.56,221,62,"BirdieAverage",2014
67,67,"Tommy Gainey",73,3.55,245,69,"BirdieAverage",2014
67,67,"Brendon Todd",108,3.55,383,108,"BirdieAverage",2014
67,67,"Nick Watney",80,3.55,266,75,"BirdieAverage",2014
70,70,"Aaron Baddeley",74,3.54,255,72,"BirdieAverage",2014
70,70,"Marc Leishman",81,3.54,283,80,"BirdieAverage",2014
70,70,"Rory Sabbatini",82,3.54,276,78,"BirdieAverage",2014
73,73,"Russell Henley",92,3.53,325,92,"BirdieAverage",2014
73,73,"Jamie Lovemark",64,3.53,212,60,"BirdieAverage",2014
75,75,"Brad Fritsch",50,3.52,169,48,"BirdieAverage",2014
75,75,"Andres Romero",81,3.52,271,77,"BirdieAverage",2014
77,77,"Ricky Barnes",92,3.5,308,88,"BirdieAverage",2014
77,77,"Brian Harman",111,3.5,389,111,"BirdieAverage",2014
77,77,"Ben Martin",80,3.5,280,80,"BirdieAverage",2014
80,80,"William McGirt",96,3.49,335,96,"BirdieAverage",2014
80,80,"Seung Yul Noh",92,3.49,321,92,"BirdieAverage",2014
80,80,"Patrick Reed",92,3.49,314,90,"BirdieAverage",2014
83,83,"Freddie Jacobson",91,3.48,317,91,"BirdieAverage",2014
83,83,"Martin Laird",66,3.48,216,62,"BirdieAverage",2014
83,83,"Carl Pettersson",91,3.48,317,91,"BirdieAverage",2014
83,83,"Brandt Snedeker",89,3.48,303,87,"BirdieAverage",2014
87,87,"Charlie Beljan",76,3.47,250,72,"BirdieAverage",2014
87,87,"Scott Langley",95,3.47,323,93,"BirdieAverage",2014
87,87,"Hunter Mahan",88,3.47,295,85,"BirdieAverage",2014
87,87,"Tyrone Van Aswegen",79,3.47,271,78,"BirdieAverage",2014
91,91,"David Hearn",97,3.46,336,97,"BirdieAverage",2014
92,92,"Justin Hicks",103,3.45,342,99,"BirdieAverage",2014
92,92,"Daniel Summerhays",98,3.45,338,98,"BirdieAverage",2014
92,92,"Jhonattan Vegas",77,3.45,259,75,"BirdieAverage",2014
95,95,"Jim Furyk",84,3.44,275,80,"BirdieAverage",2014
95,95,"John Senden",99,3.44,341,99,"BirdieAverage",2014
97,97,"Bud Cauley",56,3.43,192,56,"BirdieAverage",2014
97,97,"Luke Donald",57,3.43,192,56,"BirdieAverage",2014
97,97,"Andrew Svoboda",77,3.43,264,77,"BirdieAverage",2014
100,100,"Jason Bohn",81,3.42,277,81,"BirdieAverage",2014
100,100,"Greg Chalmers",85,3.42,277,81,"BirdieAverage",2014
102,102,"Matt Jones",83,3.41,283,83,"BirdieAverage",2014
102,102,"Louis Oosthuizen",50,3.41,157,46,"BirdieAverage",2014
102,102,"Bo Van Pelt",83,3.41,283,83,"BirdieAverage",2014
105,105,"Jonas Blixt",64,3.4,211,62,"BirdieAverage",2014
105,105,"Troy Merritt",62,3.4,211,62,"BirdieAverage",2014
105,105,"Pat Perez",84,3.4,286,84,"BirdieAverage",2014
108,108,"Steven Bowditch",93,3.39,315,93,"BirdieAverage",2014
108,108,"Russell Knox",92,3.39,312,92,"BirdieAverage",2014
110,110,"Jonathan Byrd",76,3.38,243,72,"BirdieAverage",2014
111,111,"Brian Davis",93,3.37,313,93,"BirdieAverage",2014
112,112,"David Lingmerth",80,3.36,255,76,"BirdieAverage",2014
113,113,"KJ Choi",80,3.35,268,80,"BirdieAverage",2014
113,113,"Gonzalo Fdez Castano",83,3.35,275,82,"BirdieAverage",2014
113,113,"Cameron Tringale",111,3.35,372,111,"BirdieAverage",2014
116,116,"Erik Compton",88,3.34,294,88,"BirdieAverage",2014
116,116,"Martin Flores",85,3.34,284,85,"BirdieAverage",2014
116,116,"Michael Putnam",106,3.34,341,102,"BirdieAverage",2014
116,116,"Hudson Swafford",75,3.34,237,71,"BirdieAverage",2014
120,120,"Stewart Cink",91,3.33,303,91,"BirdieAverage",2014
120,120,"Tim Clark",75,3.33,250,75,"BirdieAverage",2014
120,120,"Ken Duke",80,3.33,260,78,"BirdieAverage",2014
120,120,"Brice Garnett",92,3.33,293,88,"BirdieAverage",2014
124,124,"James Driscoll",71,3.32,236,71,"BirdieAverage",2014
125,125,"Davis Love III",74,3.31,238,72,"BirdieAverage",2014
126,126,"Retief Goosen",94,3.3,297,90,"BirdieAverage",2014
126,126,"Geoff Ogilvy",84,3.3,264,80,"BirdieAverage",2014
128,128,"Brendon de Jonge",109,3.29,359,109,"BirdieAverage",2014
128,128,"Troy Matteson",62,3.29,191,58,"BirdieAverage",2014
128,128,"Kyle Stanley",87,3.29,273,83,"BirdieAverage",2014
131,131,"Ernie Els",85,3.28,259,79,"BirdieAverage",2014
131,131,"Shawn Stefani",60,3.28,197,60,"BirdieAverage",2014
133,133,"Richard Lee",80,3.27,255,78,"BirdieAverage",2014
133,133,"Bryce Molder",77,3.27,239,73,"BirdieAverage",2014
133,133,"Will Wilcox",51,3.27,160,49,"BirdieAverage",2014
136,136,"Robert Allenby",83,3.26,264,81,"BirdieAverage",2014
136,136,"Ben Crane",81,3.26,264,81,"BirdieAverage",2014
136,136,"Ben Curtis",77,3.26,238,73,"BirdieAverage",2014
139,139,"Spencer Levin",59,3.25,192,59,"BirdieAverage",2014
140,140,"Woody Austin",63,3.24,191,59,"BirdieAverage",2014
140,140,"John Merrick",87,3.24,269,83,"BirdieAverage",2014
140,140,"Vijay Singh",83,3.24,269,83,"BirdieAverage",2014
143,143,"Lucas Glover",68,3.23,213,66,"BirdieAverage",2014
143,143,"Heath Slocum",71,3.23,223,69,"BirdieAverage",2014
145,145,"Jim Renner",61,3.22,190,59,"BirdieAverage",2014
145,145,"Josh Teater",90,3.22,283,88,"BirdieAverage",2014
147,147,"Justin Leonard",75,3.19,239,75,"BirdieAverage",2014
148,148,"Chad Campbell",57,3.17,168,53,"BirdieAverage",2014
148,148,"Jim Herman",62,3.17,184,58,"BirdieAverage",2014
148,148,"John Huh",87,3.17,263,83,"BirdieAverage",2014
151,151,"Briny Baird",50,3.16,158,50,"BirdieAverage",2014
151,151,"Chad Collins",78,3.16,234,74,"BirdieAverage",2014
151,151,"Billy Hurley III",86,3.16,272,86,"BirdieAverage",2014
151,151,"Scott Stallings",77,3.16,240,76,"BirdieAverage",2014
151,151,"Charlie Wi",72,3.16,221,70,"BirdieAverage",2014
151,151,"Tim Wilkinson",86,3.16,259,82,"BirdieAverage",2014
157,157,"James Hahn",82,3.14,251,80,"BirdieAverage",2014
157,157,"Sean OHair",77,3.14,242,77,"BirdieAverage",2014
159,159,"John Peterson",62,3.12,187,60,"BirdieAverage",2014
160,160,"YE Yang",79,3.09,241,78,"BirdieAverage",2014
161,161,"Bronson La Cassie",51,3.06,144,47,"BirdieAverage",2014
162,162,"Derek Ernst",80,3.05,232,76,"BirdieAverage",2014
162,162,"Brian Gay",81,3.05,241,79,"BirdieAverage",2014
164,164,"Ted Potter Jr",68,3.04,207,68,"BirdieAverage",2014
165,165,"Trevor Immelman",84,3.03,242,80,"BirdieAverage",2014
165,165,"DA Points",75,3.03,221,73,"BirdieAverage",2014
165,165,"Kevin Tway",64,3.03,182,60,"BirdieAverage",2014
165,165,"Boo Weekley",73,3.03,218,72,"BirdieAverage",2014
169,169,"JJ Henry",91,3.01,262,87,"BirdieAverage",2014
170,170,"Nicholas Thompson",85,2.99,242,81,"BirdieAverage",2014
171,171,"Jeff Maggert",54,2.98,161,54,"BirdieAverage",2014
172,172,"Roberto Castro",76,2.97,220,74,"BirdieAverage",2014
173,173,"Mike Weir",69,2.95,192,65,"BirdieAverage",2014
174,174,"John Rollins",84,2.94,235,80,"BirdieAverage",2014
175,175,"Johnson Wagner",69,2.88,187,65,"BirdieAverage",2014
176,176,"Mark Wilson",69,2.75,179,65,"BirdieAverage",2014
177,177,"DH Lee",54,2.68,134,50,"BirdieAverage",2014
