"CarryDistance_RANKTHISWEEK_2007","CarryDistance_RANKLASTWEEK_2007","CarryDistance_PLAYERNAME_2007","CarryDistance_ROUNDS_2007","CarryDistance_AVG_2007","CarryDistance_TOTALDISTTOIMPACT_2007","CarryDistance_TOTALATTEMPTS_2007","CarryDistance_LONGESTCARRYDISTANCE_2007","CarryDistance_SHORTESTCARRYDISTANCE_2007","stat_name","year"
1,NA,"Bubba Watson",80,300.3,5104.5,17,336.2,251.5,"CarryDistance",2007
2,NA,"JB Holmes",71,300.2,8105.9,27,349.6,273.6,"CarryDistance",2007
3,NA,"John Daly",59,298.2,3577.9,12,319.9,248,"CarryDistance",2007
4,NA,"Robert Garrigus",95,293.2,13485.2,46,326.4,243.5,"CarryDistance",2007
5,NA,"Tiger Woods",63,289.8,7535.5,26,328.8,236,"CarryDistance",2007
6,NA,"Chris Couch",76,288.5,10097.9,35,325.5,249.5,"CarryDistance",2007
7,NA,"Charley Hoffman",97,286.6,15191.5,53,327.3,220,"CarryDistance",2007
8,NA,"Geoff Ogilvy",84,285.5,9136.8,32,338.6,255.1,"CarryDistance",2007
9,NA,"Davis Love III",66,285.1,9692,34,327.3,247.7,"CarryDistance",2007
9,NA,"Nick Watney",87,285.1,10548.7,37,318.5,257,"CarryDistance",2007
11,NA,"Bill Haas",93,285,10828.7,38,320.5,238.9,"CarryDistance",2007
12,NA,"Scott Gutschewski",67,284.9,7407.2,26,307.7,250.9,"CarryDistance",2007
13,NA,"Harrison Frazar",88,284.3,9949.2,35,318.9,248.3,"CarryDistance",2007
14,NA,"Charles Warren",101,284.1,16193.6,57,327.9,233,"CarryDistance",2007
15,NA,"Anthony Kim",93,283.9,12206.4,43,308.1,248.7,"CarryDistance",2007
16,NA,"Jason Gore",86,283.7,11346.8,40,315.5,253.2,"CarryDistance",2007
17,NA,"Kyle Reifers",71,282.3,5646.8,20,315.6,253.7,"CarryDistance",2007
18,NA,"Ernie Els",59,282.2,5644,20,300.4,262.9,"CarryDistance",2007
19,NA,"Brett Wetterich",88,281.9,9020.8,32,306.1,248.8,"CarryDistance",2007
20,NA,"Retief Goosen",50,281.3,5062.7,18,299.5,255.3,"CarryDistance",2007
21,NA,"Robert Allenby",90,281.2,12092.8,43,308.5,254.3,"CarryDistance",2007
22,NA,"Adam Scott",69,280.3,10090.9,36,320.1,258.3,"CarryDistance",2007
23,NA,"Padraig Harrington",64,280,8960.9,32,319.2,244,"CarryDistance",2007
24,NA,"Troy Matteson",87,279.6,10063.8,36,310.6,244.3,"CarryDistance",2007
25,NA,"Tag Ridings",52,279.5,5310.3,19,309.5,241.9,"CarryDistance",2007
26,NA,"Lucas Glover",98,279.4,11455.1,41,302,243.7,"CarryDistance",2007
26,NA,"Ryan Palmer",91,279.4,10618,38,305.1,244.8,"CarryDistance",2007
28,NA,"Henrik Stenson",52,279.3,6703.6,24,309.6,257.2,"CarryDistance",2007
29,NA,"Pat Perez",84,278.5,8632,31,315.6,240.6,"CarryDistance",2007
30,NA,"Charles Howell III",89,278.3,10298.4,37,302.6,245.2,"CarryDistance",2007
31,NA,"Craig Barlow",52,278.1,6118.1,22,338.3,235.5,"CarryDistance",2007
32,NA,"Camilo Villegas",82,277.7,9162.8,33,299.7,210.6,"CarryDistance",2007
33,NA,"Mathew Goggin",97,277.1,15797.4,57,297.9,245.1,"CarryDistance",2007
34,NA,"Matt Hendrix",63,276.9,7752,28,303.6,245.6,"CarryDistance",2007
35,NA,"Hunter Mahan",91,276.7,9129.6,33,316.1,231.1,"CarryDistance",2007
36,NA,"Vijay Singh",102,275.4,12946,47,312.9,239.3,"CarryDistance",2007
37,NA,"Sean OHair",98,275.1,15682,57,341.8,232.5,"CarryDistance",2007
38,NA,"Paul Stankowski",52,275,5225.3,19,299.3,253.5,"CarryDistance",2007
39,NA,"Bo Van Pelt",104,274.8,10717.3,39,306,246.8,"CarryDistance",2007
40,NA,"John Senden",97,274.6,12082,44,305.7,238.8,"CarryDistance",2007
41,NA,"Kevin Stadler",95,274.5,11529.5,42,305.7,243.9,"CarryDistance",2007
42,NA,"Stewart Cink",91,274.4,15091.1,55,303.3,249.3,"CarryDistance",2007
43,NA,"Mathias Gronberg",95,274.2,13709.5,50,298.7,238.8,"CarryDistance",2007
43,NA,"Todd Hamilton",76,274.2,8773.4,32,316.2,234.4,"CarryDistance",2007
45,NA,"DJ Trahan",99,274.1,10962.1,40,315.8,236.5,"CarryDistance",2007
46,NA,"Andrew Buckle",77,274,10412.8,38,309.7,230.8,"CarryDistance",2007
47,NA,"Stuart Appleby",74,273.7,10946.4,40,307.3,235.7,"CarryDistance",2007
47,NA,"Aaron Baddeley",83,273.7,6021.7,22,295.6,254.4,"CarryDistance",2007
