"Total1Putts2025_RANKTHISWEEK_2011","Total1Putts2025_RANKLASTWEEK_2011","Total1Putts2025_PLAYERNAME_2011","Total1Putts2025_ROUNDS_2011","Total1Putts2025_TOTAL_2011","Total1Putts2025_TOTALFORALLDISTANCES_2011","Total1Putts2025_PCTOFALL1PUTTS_2011","stat_name","year"
1,1,"Chez Reavie",92,33,557,5.9,"Total1Putts2025",2011
2,2,"Blake Adams",116,25,762,3.3,"Total1Putts2025",2011
2,2,"Cameron Tringale",110,25,651,3.8,"Total1Putts2025",2011
4,4,"John Senden",94,24,523,4.6,"Total1Putts2025",2011
4,4,"Webb Simpson",98,24,607,4,"Total1Putts2025",2011
6,6,"Carl Pettersson",95,22,644,3.4,"Total1Putts2025",2011
7,7,"Kris Blanks",92,21,529,4,"Total1Putts2025",2011
7,7,"Brendon de Jonge",105,21,672,3.1,"Total1Putts2025",2011
7,7,"Brian Gay",90,21,555,3.8,"Total1Putts2025",2011
7,7,"Johnson Wagner",81,21,479,4.4,"Total1Putts2025",2011
11,11,"Aaron Baddeley",77,20,470,4.3,"Total1Putts2025",2011
11,11,"David Hearn",88,20,518,3.9,"Total1Putts2025",2011
11,11,"John Rollins",85,20,476,4.2,"Total1Putts2025",2011
14,14,"Steven Bowditch",86,19,581,3.3,"Total1Putts2025",2011
14,14,"Billy Mayfair",94,19,567,3.4,"Total1Putts2025",2011
16,16,"Stephen Ames",69,18,420,4.3,"Total1Putts2025",2011
16,16,"Rickie Fowler",84,18,502,3.6,"Total1Putts2025",2011
16,16,"Marc Leishman",87,18,547,3.3,"Total1Putts2025",2011
16,16,"Shaun Micheel",77,18,447,4,"Total1Putts2025",2011
16,16,"Roland Thatcher",67,18,446,4,"Total1Putts2025",2011
21,21,"Kevin Chappell",78,17,437,3.9,"Total1Putts2025",2011
21,21,"Hunter Haas",96,17,609,2.8,"Total1Putts2025",2011
21,21,"Bill Lunde",92,17,516,3.3,"Total1Putts2025",2011
21,21,"Hunter Mahan",92,17,549,3.1,"Total1Putts2025",2011
21,21,"William McGirt",103,17,605,2.8,"Total1Putts2025",2011
21,21,"Tim Petrovic",88,17,566,3,"Total1Putts2025",2011
21,21,"Josh Teater",104,17,606,2.8,"Total1Putts2025",2011
21,21,"David Toms",78,17,419,4.1,"Total1Putts2025",2011
21,21,"Mark Wilson",89,17,504,3.4,"Total1Putts2025",2011
30,30,"David Mathis",83,16,511,3.1,"Total1Putts2025",2011
30,30,"John Merrick",71,16,400,4,"Total1Putts2025",2011
30,30,"Bryce Molder",82,16,549,2.9,"Total1Putts2025",2011
30,30,"Ryan Moore",79,16,447,3.6,"Total1Putts2025",2011
30,30,"Nick OHern",89,16,521,3.1,"Total1Putts2025",2011
30,30,"Jeff Overton",92,16,517,3.1,"Total1Putts2025",2011
