"3PuttAvoidance1520_RANKTHISWEEK_2009","3PuttAvoidance1520_RANKLASTWEEK_2009","3PuttAvoidance1520_PLAYERNAME_2009","3PuttAvoidance1520_ROUNDS_2009","3PuttAvoidance1520_Pct_2009","3PuttAvoidance1520_TOTAL3PUTTS_2009","3PuttAvoidance1520_ATTEMPTS_2009","3PuttAvoidance1520_2PUTTORBETTERPct_2009","stat_name","year"
1,1,"Robert Allenby",71,0,NA,99,100,"3PuttAvoidance1520",2009
1,1,"Alex Cejka",82,0,NA,151,100,"3PuttAvoidance1520",2009
1,1,"Tim Clark",81,0,NA,116,100,"3PuttAvoidance1520",2009
1,1,"Ben Curtis",63,0,NA,96,100,"3PuttAvoidance1520",2009
1,1,"Jason Day",61,0,NA,97,100,"3PuttAvoidance1520",2009
1,1,"Luke Donald",79,0,NA,123,100,"3PuttAvoidance1520",2009
1,1,"Steve Elkington",70,0,NA,129,100,"3PuttAvoidance1520",2009
1,1,"Jim Furyk",86,0,NA,131,100,"3PuttAvoidance1520",2009
1,1,"Retief Goosen",74,0,NA,111,100,"3PuttAvoidance1520",2009
1,1,"Bob Heintz",59,0,NA,96,100,"3PuttAvoidance1520",2009
1,1,"Charley Hoffman",97,0,NA,157,100,"3PuttAvoidance1520",2009
1,1,"Lee Janzen",74,0,NA,109,100,"3PuttAvoidance1520",2009
1,1,"Tom Lehman",55,0,NA,76,100,"3PuttAvoidance1520",2009
1,1,"George McNeill",82,0,NA,133,100,"3PuttAvoidance1520",2009
1,1,"James Nitties",86,0,NA,138,100,"3PuttAvoidance1520",2009
1,1,"Chris Riley",77,0,NA,123,100,"3PuttAvoidance1520",2009
1,1,"John Rollins",92,0,NA,133,100,"3PuttAvoidance1520",2009
1,1,"Adam Scott",53,0,NA,67,100,"3PuttAvoidance1520",2009
1,1,"Scott Sterling",51,0,NA,94,100,"3PuttAvoidance1520",2009
1,1,"Camilo Villegas",76,0,NA,106,100,"3PuttAvoidance1520",2009
21,21,"Webb Simpson",94,0.59,1,170,99.4,"3PuttAvoidance1520",2009
22,22,"Nathan Green",104,0.6,1,168,99.4,"3PuttAvoidance1520",2009
22,22,"Troy Matteson",95,0.6,1,167,99.4,"3PuttAvoidance1520",2009
24,24,"Tim Herron",87,0.61,1,163,99.3,"3PuttAvoidance1520",2009
24,24,"Charles Howell III",99,0.61,1,163,99.3,"3PuttAvoidance1520",2009
24,24,"Vaughn Taylor",88,0.61,1,164,99.3,"3PuttAvoidance1520",2009
27,27,"Hunter Mahan",94,0.62,1,161,99.3,"3PuttAvoidance1520",2009
27,27,"Greg Owen",97,0.62,1,162,99.3,"3PuttAvoidance1520",2009
29,29,"Justin Leonard",95,0.65,1,154,99.3,"3PuttAvoidance1520",2009
29,29,"Michael Letzig",96,0.65,1,155,99.3,"3PuttAvoidance1520",2009
31,31,"Brad Adamonis",70,0.67,1,150,99.3,"3PuttAvoidance1520",2009
32,32,"JJ Henry",97,0.68,1,148,99.3,"3PuttAvoidance1520",2009
32,32,"Brett Quigley",92,0.68,1,148,99.3,"3PuttAvoidance1520",2009
34,34,"Freddie Jacobson",83,0.69,1,144,99.3,"3PuttAvoidance1520",2009
35,35,"Briny Baird",89,0.71,1,141,99.2,"3PuttAvoidance1520",2009
36,36,"David Mathis",82,0.72,1,139,99.2,"3PuttAvoidance1520",2009
36,36,"Jeff Overton",92,0.72,1,138,99.2,"3PuttAvoidance1520",2009
38,38,"Greg Chalmers",85,0.74,1,135,99.2,"3PuttAvoidance1520",2009
38,38,"Matt Kuchar",82,0.74,1,136,99.2,"3PuttAvoidance1520",2009
38,38,"Spencer Levin",75,0.74,1,136,99.2,"3PuttAvoidance1520",2009
38,38,"Scott McCarron",91,0.74,1,136,99.2,"3PuttAvoidance1520",2009
38,38,"Rod Pampling",72,0.74,1,136,99.2,"3PuttAvoidance1520",2009
43,43,"Stuart Appleby",79,0.75,1,134,99.2,"3PuttAvoidance1520",2009
43,43,"Bill Lunde",83,0.75,1,133,99.2,"3PuttAvoidance1520",2009
45,45,"Cliff Kresge",78,0.76,1,132,99.2,"3PuttAvoidance1520",2009
46,46,"Mike Weir",85,0.78,1,128,99.2,"3PuttAvoidance1520",2009
47,47,"Brandt Snedeker",81,0.79,1,127,99.2,"3PuttAvoidance1520",2009
48,48,"Ryuji Imada",85,0.8,1,125,99.2,"3PuttAvoidance1520",2009
49,49,"Martin Laird",72,0.83,1,121,99.1,"3PuttAvoidance1520",2009
50,50,"Michael Allen",73,0.85,1,118,99.1,"3PuttAvoidance1520",2009
51,51,"Colt Knost",71,0.88,1,114,99.1,"3PuttAvoidance1520",2009
52,52,"Mathew Goggin",76,0.89,1,112,99.1,"3PuttAvoidance1520",2009
53,53,"Corey Pavin",73,0.93,1,108,99,"3PuttAvoidance1520",2009
53,53,"Jimmy Walker",74,0.93,1,107,99,"3PuttAvoidance1520",2009
55,55,"Kris Blanks",60,0.94,1,106,99,"3PuttAvoidance1520",2009
56,56,"Tommy Armour III",58,0.95,1,105,99,"3PuttAvoidance1520",2009
57,57,"Steve Stricker",81,0.96,1,104,99,"3PuttAvoidance1520",2009
58,58,"Derek Fathauer",63,1.02,1,98,98.9,"3PuttAvoidance1520",2009
59,59,"Bart Bryant",58,1.04,1,96,98.9,"3PuttAvoidance1520",2009
60,60,"JB Holmes",74,1.05,1,95,98.9,"3PuttAvoidance1520",2009
60,60,"Jarrod Lyle",65,1.05,1,95,98.9,"3PuttAvoidance1520",2009
62,62,"KJ Choi",65,1.06,1,94,98.9,"3PuttAvoidance1520",2009
63,63,"Brad Faxon",59,1.1,1,91,98.9,"3PuttAvoidance1520",2009
64,64,"David Duval",56,1.14,1,88,98.8,"3PuttAvoidance1520",2009
64,64,"Sergio Garcia",59,1.14,1,88,98.8,"3PuttAvoidance1520",2009
66,66,"Tim Petrovic",97,1.15,2,174,98.8,"3PuttAvoidance1520",2009
67,67,"Chris DiMarco",97,1.16,2,172,98.8,"3PuttAvoidance1520",2009
68,68,"Ernie Els",70,1.2,1,83,98.8,"3PuttAvoidance1520",2009
69,69,"Matt Bettencourt",98,1.23,2,162,98.7,"3PuttAvoidance1520",2009
69,69,"Marc Leishman",91,1.23,2,163,98.7,"3PuttAvoidance1520",2009
69,69,"Patrick Sheehan",51,1.23,1,81,98.7,"3PuttAvoidance1520",2009
72,72,"Mark Wilson",99,1.26,2,159,98.7,"3PuttAvoidance1520",2009
73,73,"Tag Ridings",50,1.3,1,77,98.7,"3PuttAvoidance1520",2009
74,74,"Scott Verplank",88,1.34,2,149,98.6,"3PuttAvoidance1520",2009
75,75,"Carl Pettersson",86,1.35,2,148,98.6,"3PuttAvoidance1520",2009
76,76,"Chad Campbell",90,1.37,2,146,98.6,"3PuttAvoidance1520",2009
76,76,"John Merrick",91,1.37,2,146,98.6,"3PuttAvoidance1520",2009
78,78,"Dustin Johnson",85,1.38,2,145,98.6,"3PuttAvoidance1520",2009
79,79,"Richard Johnson",85,1.41,2,142,98.5,"3PuttAvoidance1520",2009
79,79,"Kevin Na",91,1.41,2,142,98.5,"3PuttAvoidance1520",2009
81,81,"Scott Piercy",85,1.46,2,137,98.5,"3PuttAvoidance1520",2009
82,82,"Charlie Wi",92,1.47,2,136,98.5,"3PuttAvoidance1520",2009
82,82,"Tiger Woods",64,1.47,1,68,98.5,"3PuttAvoidance1520",2009
84,84,"Tom Pernice Jr",82,1.52,2,132,98.4,"3PuttAvoidance1520",2009
85,85,"Steve Flesch",77,1.57,2,127,98.4,"3PuttAvoidance1520",2009
85,85,"YE Yang",83,1.57,2,127,98.4,"3PuttAvoidance1520",2009
87,87,"Paul Goydos",79,1.67,2,120,98.3,"3PuttAvoidance1520",2009
88,88,"Glen Day",79,1.69,2,118,98.3,"3PuttAvoidance1520",2009
89,89,"Harrison Frazar",93,1.7,3,176,98.3,"3PuttAvoidance1520",2009
90,90,"DJ Trahan",96,1.71,3,175,98.2,"3PuttAvoidance1520",2009
91,91,"Brian Davis",103,1.73,3,173,98.2,"3PuttAvoidance1520",2009
92,92,"Stephen Ames",77,1.74,2,115,98.2,"3PuttAvoidance1520",2009
93,93,"Aaron Baddeley",66,1.82,2,110,98.1,"3PuttAvoidance1520",2009
93,93,"Kevin Stadler",65,1.82,2,110,98.1,"3PuttAvoidance1520",2009
95,95,"Brendon de Jonge",90,1.83,3,164,98.1,"3PuttAvoidance1520",2009
95,95,"Justin Rose",71,1.83,2,109,98.1,"3PuttAvoidance1520",2009
97,97,"Parker McLachlin",71,1.89,2,106,98.1,"3PuttAvoidance1520",2009
98,98,"Ricky Barnes",67,1.9,2,105,98.1,"3PuttAvoidance1520",2009
98,98,"Anthony Kim",76,1.9,2,105,98.1,"3PuttAvoidance1520",2009
98,98,"Geoff Ogilvy",78,1.9,2,105,98.1,"3PuttAvoidance1520",2009
101,101,"Jason Bohn",88,1.91,3,157,98,"3PuttAvoidance1520",2009
102,102,"Bill Haas",91,1.92,3,156,98,"3PuttAvoidance1520",2009
103,103,"Brian Gay",96,1.94,3,155,98,"3PuttAvoidance1520",2009
103,103,"Bryce Molder",69,1.94,2,103,98,"3PuttAvoidance1520",2009
103,103,"Casey Wittenberg",71,1.94,2,103,98,"3PuttAvoidance1520",2009
106,106,"Lucas Glover",93,1.96,3,153,98,"3PuttAvoidance1520",2009
106,106,"Marc Turnesa",77,1.96,3,153,98,"3PuttAvoidance1520",2009
108,108,"Ryan Palmer",78,2.04,3,147,97.9,"3PuttAvoidance1520",2009
109,109,"John Mallinger",90,2.08,3,144,97.9,"3PuttAvoidance1520",2009
110,110,"Peter Lonard",86,2.13,3,141,97.8,"3PuttAvoidance1520",2009
110,110,"John Senden",100,2.13,4,188,97.8,"3PuttAvoidance1520",2009
110,110,"Vijay Singh",71,2.13,2,94,97.8,"3PuttAvoidance1520",2009
113,113,"Jeff Klauk",97,2.14,4,187,97.8,"3PuttAvoidance1520",2009
113,113,"Dean Wilson",81,2.14,3,140,97.8,"3PuttAvoidance1520",2009
115,115,"Bob Estes",78,2.16,3,139,97.8,"3PuttAvoidance1520",2009
115,115,"Zach Johnson",94,2.16,3,139,97.8,"3PuttAvoidance1520",2009
117,117,"Ben Crane",93,2.17,3,138,97.8,"3PuttAvoidance1520",2009
117,117,"Boo Weekley",79,2.17,3,138,97.8,"3PuttAvoidance1520",2009
119,119,"Johnson Wagner",81,2.19,3,137,97.8,"3PuttAvoidance1520",2009
120,120,"Jeff Quinney",78,2.22,3,135,97.7,"3PuttAvoidance1520",2009
121,121,"Heath Slocum",95,2.23,4,179,97.7,"3PuttAvoidance1520",2009
122,122,"Phil Mickelson",66,2.25,2,89,97.7,"3PuttAvoidance1520",2009
122,122,"Kevin Streelman",97,2.25,4,178,97.7,"3PuttAvoidance1520",2009
124,124,"Todd Hamilton",83,2.26,3,133,97.7,"3PuttAvoidance1520",2009
124,124,"Ted Purdy",101,2.26,4,177,97.7,"3PuttAvoidance1520",2009
126,126,"Kenny Perry",92,2.27,3,132,97.7,"3PuttAvoidance1520",2009
