"ScoringAverageActual_RANKTHISWEEK_2006","ScoringAverageActual_RANKLASTWEEK_2006","ScoringAverageActual_PLAYERNAME_2006","ScoringAverageActual_ROUNDS_2006","ScoringAverageActual_AVG_2006","ScoringAverageActual_TOTALSTROKES_2006","ScoringAverageActual_TOTALROUNDS_2006","stat_name","year"
1,1,"Tiger Woods",55,68.73,3574,52,"ScoringAverageActual",2006
2,2,"Jim Furyk",89,69.45,6112,88,"ScoringAverageActual",2006
3,3,"Steve Stricker",64,69.55,4312,62,"ScoringAverageActual",2006
4,4,"Trevor Immelman",86,69.93,6014,86,"ScoringAverageActual",2006
5,5,"Jonathan Byrd",66,69.97,4618,66,"ScoringAverageActual",2006
6,6,"Adam Scott",70,70.01,4761,68,"ScoringAverageActual",2006
7,7,"Luke Donald",66,70.06,4414,63,"ScoringAverageActual",2006
8,8,"Phil Mickelson",74,70.07,4835,69,"ScoringAverageActual",2006
9,9,"Vijay Singh",103,70.21,7021,100,"ScoringAverageActual",2006
10,10,"Stewart Cink",93,70.3,6186,88,"ScoringAverageActual",2006
11,11,"Brett Quigley",109,70.31,7383,105,"ScoringAverageActual",2006
12,12,"Brian Gay",107,70.32,7524,107,"ScoringAverageActual",2006
13,13,"Justin Rose",98,70.35,6683,95,"ScoringAverageActual",2006
14,14,"Arron Oberholser",82,70.37,5559,79,"ScoringAverageActual",2006
15,15,"Frank Lickliter II",99,70.47,6836,97,"ScoringAverageActual",2006
16,16,"Robert Allenby",79,70.48,5427,77,"ScoringAverageActual",2006
17,17,"Briny Baird",81,70.51,5429,77,"ScoringAverageActual",2006
17,17,"John Senden",96,70.51,6557,93,"ScoringAverageActual",2006
19,19,"Lucas Glover",105,70.56,7127,101,"ScoringAverageActual",2006
20,20,"David Toms",76,70.57,4869,69,"ScoringAverageActual",2006
20,20,"Scott Verplank",88,70.57,6069,86,"ScoringAverageActual",2006
22,22,"Charley Hoffman",100,70.62,6921,98,"ScoringAverageActual",2006
23,23,"Ernie Els",69,70.63,4520,64,"ScoringAverageActual",2006
24,24,"Jesper Parnevik",84,70.64,5934,84,"ScoringAverageActual",2006
25,25,"KJ Choi",93,70.65,6500,92,"ScoringAverageActual",2006
25,25,"Daniel Chopra",110,70.65,7560,107,"ScoringAverageActual",2006
25,25,"Tom Pernice Jr",108,70.65,7348,104,"ScoringAverageActual",2006
28,28,"Bubba Watson",83,70.66,5582,79,"ScoringAverageActual",2006
29,29,"Bob Estes",85,70.68,6008,85,"ScoringAverageActual",2006
29,29,"Kevin Sutherland",100,70.68,6785,96,"ScoringAverageActual",2006
29,29,"Brett Wetterich",82,70.68,5796,82,"ScoringAverageActual",2006
32,32,"Charles Warren",93,70.69,6362,90,"ScoringAverageActual",2006
33,33,"Hunter Mahan",98,70.7,6929,98,"ScoringAverageActual",2006
34,34,"Dean Wilson",115,70.71,7849,111,"ScoringAverageActual",2006
35,35,"Shigeki Maruyama",94,70.72,6506,92,"ScoringAverageActual",2006
36,36,"Jeff Gove",91,70.74,6154,87,"ScoringAverageActual",2006
37,37,"Joe Durant",101,70.75,7146,101,"ScoringAverageActual",2006
38,38,"Ryuji Imada",105,70.76,7218,102,"ScoringAverageActual",2006
38,38,"Mike Weir",88,70.76,6015,85,"ScoringAverageActual",2006
40,40,"Harrison Frazar",95,70.77,6440,91,"ScoringAverageActual",2006
41,41,"Stephen Ames",63,70.79,4389,62,"ScoringAverageActual",2006
41,41,"David Branshaw",98,70.79,6937,98,"ScoringAverageActual",2006
41,41,"Steve Flesch",119,70.79,8141,115,"ScoringAverageActual",2006
41,41,"Stephen Leaney",84,70.79,5946,84,"ScoringAverageActual",2006
41,41,"Bo Van Pelt",102,70.79,7221,102,"ScoringAverageActual",2006
46,46,"Jerry Kelly",100,70.8,7080,100,"ScoringAverageActual",2006
46,46,"Rory Sabbatini",84,70.8,5876,83,"ScoringAverageActual",2006
46,46,"Mark Wilson",79,70.8,5381,76,"ScoringAverageActual",2006
49,49,"Bob May",65,70.81,4390,62,"ScoringAverageActual",2006
49,49,"Omar Uresti",61,70.81,4178,59,"ScoringAverageActual",2006
51,51,"Jason Bohn",104,70.82,7365,104,"ScoringAverageActual",2006
51,51,"Nick Watney",97,70.82,6728,95,"ScoringAverageActual",2006
53,53,"JJ Henry",96,70.84,6588,93,"ScoringAverageActual",2006
53,53,"Joe Ogilvie",95,70.84,6446,91,"ScoringAverageActual",2006
55,55,"Zach Johnson",98,70.85,6235,88,"ScoringAverageActual",2006
55,55,"Richard Johnson",94,70.85,6660,94,"ScoringAverageActual",2006
57,57,"Steve Elkington",52,70.86,3614,51,"ScoringAverageActual",2006
57,57,"Vaughn Taylor",88,70.86,6236,88,"ScoringAverageActual",2006
59,59,"Stuart Appleby",83,70.87,5528,78,"ScoringAverageActual",2006
60,60,"Chad Campbell",91,70.9,6168,87,"ScoringAverageActual",2006
60,60,"Fred Funk",106,70.9,7444,105,"ScoringAverageActual",2006
60,60,"Jerry Smith",94,70.9,6523,92,"ScoringAverageActual",2006
63,63,"Shaun Micheel",96,70.91,6595,93,"ScoringAverageActual",2006
63,63,"Corey Pavin",74,70.91,4964,70,"ScoringAverageActual",2006
65,65,"Padraig Harrington",54,70.92,3546,50,"ScoringAverageActual",2006
66,66,"Jeff Sluman",101,70.93,7164,101,"ScoringAverageActual",2006
67,67,"Kenny Perry",73,70.94,5108,72,"ScoringAverageActual",2006
68,68,"Ryan Palmer",101,70.95,7024,99,"ScoringAverageActual",2006
69,69,"Brent Geiberger",99,70.96,6883,97,"ScoringAverageActual",2006
69,69,"Nathan Green",108,70.96,7380,104,"ScoringAverageActual",2006
69,69,"Bill Haas",99,70.96,6812,96,"ScoringAverageActual",2006
72,72,"Alex Cejka",93,70.97,6458,91,"ScoringAverageActual",2006
73,73,"Retief Goosen",68,70.98,4259,60,"ScoringAverageActual",2006
73,73,"Jeff Overton",95,70.98,6601,93,"ScoringAverageActual",2006
73,73,"Rod Pampling",89,70.98,5962,84,"ScoringAverageActual",2006
76,76,"Billy Mayfair",94,71,6674,94,"ScoringAverageActual",2006
76,76,"Greg Owen",79,71,5467,77,"ScoringAverageActual",2006
78,78,"Marco Dawson",87,71.01,6178,87,"ScoringAverageActual",2006
78,78,"Daisuke Maruyama",83,71.01,5610,79,"ScoringAverageActual",2006
80,80,"Eric Axley",91,71.03,6322,89,"ScoringAverageActual",2006
80,80,"Paul Azinger",87,71.03,6180,87,"ScoringAverageActual",2006
80,80,"Ryan Moore",68,71.03,4617,65,"ScoringAverageActual",2006
80,80,"Duffy Waldorf",96,71.03,6535,92,"ScoringAverageActual",2006
84,84,"Tim Clark",80,71.04,5612,79,"ScoringAverageActual",2006
84,84,"John Cook",67,71.04,4760,67,"ScoringAverageActual",2006
84,84,"Chris DiMarco",83,71.04,5541,78,"ScoringAverageActual",2006
84,84,"Ian Poulter",53,71.04,3694,52,"ScoringAverageActual",2006
84,84,"Heath Slocum",96,71.04,6607,93,"ScoringAverageActual",2006
89,89,"Kent Jones",103,71.05,7176,101,"ScoringAverageActual",2006
90,90,"Michael Allen",84,71.06,5969,84,"ScoringAverageActual",2006
91,91,"Mathias Gronberg",92,71.07,6325,89,"ScoringAverageActual",2006
91,91,"Dudley Hart",83,71.07,5899,83,"ScoringAverageActual",2006
91,91,"Chris Riley",86,71.07,5828,82,"ScoringAverageActual",2006
94,94,"Camilo Villegas",95,71.08,6610,93,"ScoringAverageActual",2006
95,95,"Billy Andrade",78,71.09,5261,74,"ScoringAverageActual",2006
95,95,"Jose Maria Olazabal",62,71.09,4123,58,"ScoringAverageActual",2006
97,97,"Skip Kendall",72,71.1,5119,72,"ScoringAverageActual",2006
98,98,"Woody Austin",107,71.11,7609,107,"ScoringAverageActual",2006
98,98,"Brian Davis",92,71.11,6400,90,"ScoringAverageActual",2006
98,98,"Davis Love III",85,71.11,5404,76,"ScoringAverageActual",2006
101,101,"John Rollins",93,71.12,6472,91,"ScoringAverageActual",2006
102,102,"Bernhard Langer",77,71.13,5121,72,"ScoringAverageActual",2006
103,103,"Will Ma Kenzie",91,71.14,6260,88,"ScoringAverageActual",2006
104,104,"Kris Cox",83,71.15,5763,81,"ScoringAverageActual",2006
105,105,"Geoff Ogilvy",76,71.19,4983,70,"ScoringAverageActual",2006
106,106,"Brandt Jobe",91,71.2,6266,88,"ScoringAverageActual",2006
106,106,"David McKenzie",82,71.2,5696,80,"ScoringAverageActual",2006
108,108,"Troy Matteson",101,71.21,7192,101,"ScoringAverageActual",2006
109,109,"Craig Barlow",77,71.22,5199,73,"ScoringAverageActual",2006
109,109,"Steve Lowery",99,71.22,6908,97,"ScoringAverageActual",2006
111,111,"Ben Crane",85,71.23,5698,80,"ScoringAverageActual",2006
112,112,"Bart Bryant",87,71.24,6127,86,"ScoringAverageActual",2006
112,112,"Paul Goydos",72,71.24,5129,72,"ScoringAverageActual",2006
112,112,"JP Hayes",55,71.24,3918,55,"ScoringAverageActual",2006
115,115,"Jonathan Kaye",95,71.25,6555,92,"ScoringAverageActual",2006
116,116,"Arjun Atwal",97,71.27,6771,95,"ScoringAverageActual",2006
117,117,"Justin Leonard",83,71.28,5631,79,"ScoringAverageActual",2006
118,118,"Shane Bertsch",104,71.29,7272,102,"ScoringAverageActual",2006
119,119,"Carl Pettersson",95,71.31,6632,93,"ScoringAverageActual",2006
120,120,"Freddie Jacobson",56,71.32,3994,56,"ScoringAverageActual",2006
121,121,"John Huston",74,71.33,5136,72,"ScoringAverageActual",2006
122,122,"Olin Browne",108,71.35,7420,104,"ScoringAverageActual",2006
123,123,"Bubba Dickerson",98,71.36,6851,96,"ScoringAverageActual",2006
124,124,"Chris Smith",67,71.37,4782,67,"ScoringAverageActual",2006
125,125,"Jeff Brehaut",100,71.38,6852,96,"ScoringAverageActual",2006
126,126,"Scott Gutschewski",53,71.39,3641,51,"ScoringAverageActual",2006
127,127,"Patrick Sheehan",104,71.4,7140,100,"ScoringAverageActual",2006
127,127,"Tjaart van der Walt",60,71.4,4070,57,"ScoringAverageActual",2006
129,129,"Aaron Baddeley",78,71.41,5427,76,"ScoringAverageActual",2006
130,130,"Todd Fischer",101,71.43,7072,99,"ScoringAverageActual",2006
131,131,"JB Holmes",81,71.44,5501,77,"ScoringAverageActual",2006
132,132,"Sergio Garcia",59,71.45,3930,55,"ScoringAverageActual",2006
133,133,"Charles Howell III",96,71.46,6646,93,"ScoringAverageActual",2006
134,134,"Paul Stankowski",70,71.47,5003,70,"ScoringAverageActual",2006
134,134,"Bob Tway",81,71.47,5575,78,"ScoringAverageActual",2006
136,136,"Tommy Armour III",65,71.48,4646,65,"ScoringAverageActual",2006
136,136,"DJ Trahan",92,71.48,6433,90,"ScoringAverageActual",2006
138,138,"DA Points",82,71.5,5720,80,"ScoringAverageActual",2006
138,138,"Ted Purdy",103,71.5,7221,101,"ScoringAverageActual",2006
140,140,"Henrik Bjornstad",97,71.51,6793,95,"ScoringAverageActual",2006
140,140,"Robert Gamez",94,71.51,6722,94,"ScoringAverageActual",2006
142,142,"Robert Garrigus",85,71.53,5937,83,"ScoringAverageActual",2006
143,143,"Rich Beem",85,71.54,5938,83,"ScoringAverageActual",2006
144,144,"Robert Damron",91,71.55,6511,91,"ScoringAverageActual",2006
144,144,"Kirk Triplett",58,71.55,4007,56,"ScoringAverageActual",2006
146,146,"Chris Couch",75,71.56,5367,75,"ScoringAverageActual",2006
147,147,"Brian Bateman",69,71.57,4652,65,"ScoringAverageActual",2006
147,147,"Mathew Goggin",72,71.57,5010,70,"ScoringAverageActual",2006
