"ScramblingAverageDistancetoHole_RANKTHISWEEK_2012","ScramblingAverageDistancetoHole_RANKLASTWEEK_2012","ScramblingAverageDistancetoHole_PLAYERNAME_2012","ScramblingAverageDistancetoHole_ROUNDS_2012","ScramblingAverageDistancetoHole_AVGDTP_2012","ScramblingAverageDistancetoHole_TOTALDISTANCEFEET_2012","ScramblingAverageDistancetoHole_ATTEMPTS_2012","stat_name","year"
1,1,"Justin Rose",69,NA,1681.5,251,"ScramblingAverageDistancetoHole",2012
2,2,"Trevor Immelman",76,NA,2191.167,319,"ScramblingAverageDistancetoHole",2012
3,3,"David Toms",60,NA,1593.917,228,"ScramblingAverageDistancetoHole",2012
4,4,"Webb Simpson",77,NA,2278.083,323,"ScramblingAverageDistancetoHole",2012
4,4,"Chris Stroud",86,NA,3070.417,431,"ScramblingAverageDistancetoHole",2012
6,6,"Rory McIlroy",60,NA,1465.75,205,"ScramblingAverageDistancetoHole",2012
7,7,"Jason Dufner",83,NA,2188.25,303,"ScramblingAverageDistancetoHole",2012
8,8,"Jonathan Byrd",69,NA,2225.667,304,"ScramblingAverageDistancetoHole",2012
8,8,"Roberto Castro",92,NA,2662.333,361,"ScramblingAverageDistancetoHole",2012
8,8,"Jim Furyk",85,NA,2462.417,337,"ScramblingAverageDistancetoHole",2012
8,8,"Charl Schwartzel",56,NA,1578.333,216,"ScramblingAverageDistancetoHole",2012
8,8,"Charlie Wi",86,NA,3284.75,448,"ScramblingAverageDistancetoHole",2012
13,13,"Zach Johnson",95,NA,3109.167,418,"ScramblingAverageDistancetoHole",2012
13,13,"Phil Mickelson",79,NA,2468.167,334,"ScramblingAverageDistancetoHole",2012
15,15,"Justin Leonard",79,NA,3155.917,421,"ScramblingAverageDistancetoHole",2012
16,16,"Bud Cauley",99,NA,3628.667,473,"ScramblingAverageDistancetoHole",2012
16,16,"Bill Haas",79,NA,2624.667,341,"ScramblingAverageDistancetoHole",2012
16,16,"Tim Herron",88,NA,2984.75,389,"ScramblingAverageDistancetoHole",2012
16,16,"Charles Howell III",98,NA,3091,402,"ScramblingAverageDistancetoHole",2012
16,16,"Jerry Kelly",84,NA,3211.417,418,"ScramblingAverageDistancetoHole",2012
21,21,"Steve Stricker",73,NA,1851.25,240,"ScramblingAverageDistancetoHole",2012
21,21,"Tiger Woods",69,NA,1807.917,233,"ScramblingAverageDistancetoHole",2012
23,23,"Rory Sabbatini",84,NA,3293.417,422,"ScramblingAverageDistancetoHole",2012
24,24,"Ken Duke",104,NA,4185.917,526,"ScramblingAverageDistancetoHole",2012
24,24,"Padraig Harrington",67,NA,2048.083,258,"ScramblingAverageDistancetoHole",2012
24,24,"Nick OHern",78,NA,3066.833,389,"ScramblingAverageDistancetoHole",2012
24,24,"Brandt Snedeker",81,NA,2906.167,366,"ScramblingAverageDistancetoHole",2012
24,24,"Bubba Watson",68,NA,1903.5,241,"ScramblingAverageDistancetoHole",2012
29,29,"Luke Donald",63,NA,2071.25,259,"ScramblingAverageDistancetoHole",2012
29,29,"Bob Estes",78,NA,3066.5,383,"ScramblingAverageDistancetoHole",2012
29,29,"David Hearn",95,NA,3746.917,470,"ScramblingAverageDistancetoHole",2012
29,29,"JJ Henry",93,NA,2727.417,341,"ScramblingAverageDistancetoHole",2012
29,29,"Kevin Kisner",69,NA,2532,317,"ScramblingAverageDistancetoHole",2012
29,29,"Russell Knox",72,NA,2156,269,"ScramblingAverageDistancetoHole",2012
29,29,"Matt Kuchar",86,NA,3017.25,379,"ScramblingAverageDistancetoHole",2012
36,36,"KJ Choi",71,NA,2502.583,309,"ScramblingAverageDistancetoHole",2012
36,36,"Chris Couch",61,NA,2479,308,"ScramblingAverageDistancetoHole",2012
36,36,"Matt Every",80,NA,2641.5,327,"ScramblingAverageDistancetoHole",2012
36,36,"JB Holmes",90,NA,3461.75,427,"ScramblingAverageDistancetoHole",2012
36,36,"Davis Love III",64,NA,2235.167,277,"ScramblingAverageDistancetoHole",2012
36,36,"Kevin Na",80,NA,3046.583,377,"ScramblingAverageDistancetoHole",2012
36,36,"Kyle Stanley",86,NA,2840.25,353,"ScramblingAverageDistancetoHole",2012
36,36,"Camilo Villegas",79,NA,2865.833,354,"ScramblingAverageDistancetoHole",2012
36,36,"Mark Wilson",84,NA,3018.583,375,"ScramblingAverageDistancetoHole",2012
45,45,"Aaron Baddeley",73,NA,2970.833,365,"ScramblingAverageDistancetoHole",2012
45,45,"Jonas Blixt",72,NA,3001.5,368,"ScramblingAverageDistancetoHole",2012
45,45,"Sergio Garcia",57,NA,1869.667,230,"ScramblingAverageDistancetoHole",2012
45,45,"Brian Harman",101,NA,3997.25,491,"ScramblingAverageDistancetoHole",2012
45,45,"JJ Killeen",101,NA,4408.25,540,"ScramblingAverageDistancetoHole",2012
45,45,"Pat Perez",81,NA,3131,385,"ScramblingAverageDistancetoHole",2012
51,51,"Chad Campbell",84,NA,3176.167,386,"ScramblingAverageDistancetoHole",2012
51,51,"Greg Chalmers",88,NA,3898.333,471,"ScramblingAverageDistancetoHole",2012
51,51,"Tim Clark",60,NA,2284.25,277,"ScramblingAverageDistancetoHole",2012
51,51,"Ben Crane",73,NA,2794.583,339,"ScramblingAverageDistancetoHole",2012
51,51,"Ernie Els",80,NA,2899.583,352,"ScramblingAverageDistancetoHole",2012
51,51,"Billy Mayfair",90,NA,3775.583,457,"ScramblingAverageDistancetoHole",2012
51,51,"William McGirt",96,NA,3471.417,421,"ScramblingAverageDistancetoHole",2012
51,51,"Rocco Mediate",70,NA,2649,320,"ScramblingAverageDistancetoHole",2012
51,51,"Ian Poulter",57,NA,1851.917,224,"ScramblingAverageDistancetoHole",2012
51,51,"Adam Scott",59,NA,1774.25,214,"ScramblingAverageDistancetoHole",2012
51,51,"John Senden",81,NA,2647.417,320,"ScramblingAverageDistancetoHole",2012
62,62,"Marco Dawson",60,NA,2133,257,"ScramblingAverageDistancetoHole",2012
62,62,"Jason Day",57,NA,2256.583,272,"ScramblingAverageDistancetoHole",2012
62,62,"Rickie Fowler",84,NA,2905.417,348,"ScramblingAverageDistancetoHole",2012
62,62,"Danny Lee",74,NA,2695.333,323,"ScramblingAverageDistancetoHole",2012
62,62,"John Mallinger",74,NA,2954.417,356,"ScramblingAverageDistancetoHole",2012
62,62,"Vijay Singh",99,NA,3624.667,434,"ScramblingAverageDistancetoHole",2012
68,68,"Brian Gay",91,NA,3785.917,450,"ScramblingAverageDistancetoHole",2012
68,68,"Matt Jones",53,NA,2062.75,244,"ScramblingAverageDistancetoHole",2012
68,68,"Geoff Ogilvy",73,NA,2662.583,317,"ScramblingAverageDistancetoHole",2012
71,71,"Stuart Appleby",75,NA,3084.167,364,"ScramblingAverageDistancetoHole",2012
71,71,"Spencer Levin",81,NA,3521.833,416,"ScramblingAverageDistancetoHole",2012
71,71,"Bill Lunde",83,NA,2837.917,333,"ScramblingAverageDistancetoHole",2012
71,71,"George McNeill",85,NA,3463.75,409,"ScramblingAverageDistancetoHole",2012
71,71,"Jeff Overton",101,NA,4226,496,"ScramblingAverageDistancetoHole",2012
71,71,"Rod Pampling",88,NA,3191.583,374,"ScramblingAverageDistancetoHole",2012
