"ProximitytoHolefromOtherLocations_RANKTHISWEEK_2014","ProximitytoHolefromOtherLocations_RANKLASTWEEK_2014","ProximitytoHolefromOtherLocations_PLAYERNAME_2014","ProximitytoHolefromOtherLocations_ROUNDS_2014","ProximitytoHolefromOtherLocations_AVGDTP_2014","ProximitytoHolefromOtherLocations_TOTALDISTANCEFEET_2014","ProximitytoHolefromOtherLocations_OFSHOTS_2014","ProximitytoHolefromOtherLocations_SCRAMBLINGRANK_2014","stat_name","year"
1,1,"Justin Leonard",75,NA,7.027,122,6,"ProximitytoHolefromOtherLocations",2014
2,2,"Paul Casey",56,NA,5.451,88,128,"ProximitytoHolefromOtherLocations",2014
3,3,"Jonathan Byrd",76,NA,9.2,143,99,"ProximitytoHolefromOtherLocations",2014
3,3,"Jeff Maggert",54,NA,5.734,90,93,"ProximitytoHolefromOtherLocations",2014
5,5,"Zach Johnson",97,NA,8.939,133,36,"ProximitytoHolefromOtherLocations",2014
5,5,"Pat Perez",84,NA,9.6,144,46,"ProximitytoHolefromOtherLocations",2014
7,7,"Luke Donald",57,NA,5.603,82,38,"ProximitytoHolefromOtherLocations",2014
7,7,"Jim Furyk",84,NA,6.112,90,1,"ProximitytoHolefromOtherLocations",2014
7,7,"John Merrick",87,NA,10.434,154,175,"ProximitytoHolefromOtherLocations",2014
7,7,"Wes Roach",67,NA,7.389,108,103,"ProximitytoHolefromOtherLocations",2014
11,11,"Brian Gay",81,NA,9.218,134,3,"ProximitytoHolefromOtherLocations",2014
11,11,"Louis Oosthuizen",50,NA,3.719,54,172,"ProximitytoHolefromOtherLocations",2014
11,11,"Ian Poulter",57,NA,5.027,73,98,"ProximitytoHolefromOtherLocations",2014
14,14,"Stuart Appleby",92,NA,11.475,164,34,"ProximitytoHolefromOtherLocations",2014
14,14,"Scott Brown",100,NA,11.276,161,86,"ProximitytoHolefromOtherLocations",2014
14,14,"Ernie Els",85,NA,9.57,136,26,"ProximitytoHolefromOtherLocations",2014
17,17,"Gonzalo Fdez Castano",83,NA,10.96,155,100,"ProximitytoHolefromOtherLocations",2014
17,17,"Tyrone Van Aswegen",79,NA,8.455,119,94,"ProximitytoHolefromOtherLocations",2014
17,17,"Boo Weekley",73,NA,7.374,104,160,"ProximitytoHolefromOtherLocations",2014
20,20,"Bud Cauley",56,NA,7.683,106,57,"ProximitytoHolefromOtherLocations",2014
20,20,"Jason Day",54,NA,4.436,62,5,"ProximitytoHolefromOtherLocations",2014
20,20,"Jordan Spieth",102,NA,11.082,153,13,"ProximitytoHolefromOtherLocations",2014
23,23,"Steven Bowditch",93,NA,13.025,179,120,"ProximitytoHolefromOtherLocations",2014
23,23,"Matt Every",85,NA,8.56,118,82,"ProximitytoHolefromOtherLocations",2014
23,23,"JB Holmes",86,NA,12.97,177,89,"ProximitytoHolefromOtherLocations",2014
23,23,"Phil Mickelson",71,NA,6.033,83,20,"ProximitytoHolefromOtherLocations",2014
23,23,"Kevin Na",94,NA,11.676,159,4,"ProximitytoHolefromOtherLocations",2014
28,28,"Stewart Cink",91,NA,7.598,103,142,"ProximitytoHolefromOtherLocations",2014
28,28,"Chad Collins",78,NA,11.45,154,60,"ProximitytoHolefromOtherLocations",2014
28,28,"Trevor Immelman",84,NA,10.622,144,150,"ProximitytoHolefromOtherLocations",2014
28,28,"DH Lee",54,NA,5.806,78,86,"ProximitytoHolefromOtherLocations",2014
28,28,"Troy Merritt",62,NA,6.842,92,130,"ProximitytoHolefromOtherLocations",2014
28,28,"Patrick Reed",92,NA,10.521,142,69,"ProximitytoHolefromOtherLocations",2014
28,28,"Robert Streb",75,NA,8.702,118,80,"ProximitytoHolefromOtherLocations",2014
28,28,"Tim Wilkinson",86,NA,12.18,164,10,"ProximitytoHolefromOtherLocations",2014
36,36,"Brad Fritsch",50,NA,5.468,73,54,"ProximitytoHolefromOtherLocations",2014
36,36,"Brian Harman",111,NA,14.311,190,60,"ProximitytoHolefromOtherLocations",2014
36,36,"Jim Herman",62,NA,7.369,98,149,"ProximitytoHolefromOtherLocations",2014
36,36,"Bronson La Cassie",51,NA,6.192,83,48,"ProximitytoHolefromOtherLocations",2014
36,36,"Rory McIlroy",66,NA,5.462,73,88,"ProximitytoHolefromOtherLocations",2014
41,41,"Kevin Chappell",100,NA,12.135,159,114,"ProximitytoHolefromOtherLocations",2014
41,41,"Jerry Kelly",80,NA,9.971,131,16,"ProximitytoHolefromOtherLocations",2014
41,41,"Kevin Kisner",85,NA,8.17,108,122,"ProximitytoHolefromOtherLocations",2014
41,41,"Davis Love III",74,NA,8.756,115,140,"ProximitytoHolefromOtherLocations",2014
41,41,"Geoff Ogilvy",84,NA,10.583,140,137,"ProximitytoHolefromOtherLocations",2014
41,41,"John Senden",99,NA,11.373,149,49,"ProximitytoHolefromOtherLocations",2014
41,41,"Brandt Snedeker",89,NA,8.9,117,66,"ProximitytoHolefromOtherLocations",2014
41,41,"Chris Stroud",88,NA,11.76,155,18,"ProximitytoHolefromOtherLocations",2014
49,49,"Erik Compton",88,NA,13.464,175,83,"ProximitytoHolefromOtherLocations",2014
49,49,"Luke Guthrie",85,NA,12.933,167,29,"ProximitytoHolefromOtherLocations",2014
49,49,"David Hearn",97,NA,13.091,169,35,"ProximitytoHolefromOtherLocations",2014
49,49,"John Huh",87,NA,10.21,133,107,"ProximitytoHolefromOtherLocations",2014
49,49,"Billy Hurley III",86,NA,9.808,128,26,"ProximitytoHolefromOtherLocations",2014
49,49,"Hideki Matsuyama",82,NA,8.479,110,41,"ProximitytoHolefromOtherLocations",2014
49,49,"Justin Rose",70,NA,6.948,90,31,"ProximitytoHolefromOtherLocations",2014
49,49,"Daniel Summerhays",98,NA,12.458,161,96,"ProximitytoHolefromOtherLocations",2014
49,49,"David Toms",64,NA,9.424,123,23,"ProximitytoHolefromOtherLocations",2014
58,58,"Woody Austin",63,NA,9.561,123,146,"ProximitytoHolefromOtherLocations",2014
58,58,"Aaron Baddeley",74,NA,10.919,140,47,"ProximitytoHolefromOtherLocations",2014
58,58,"Ricky Barnes",92,NA,13.871,178,19,"ProximitytoHolefromOtherLocations",2014
58,58,"Roberto Castro",76,NA,8.895,114,136,"ProximitytoHolefromOtherLocations",2014
58,58,"Tim Clark",75,NA,8.676,111,70,"ProximitytoHolefromOtherLocations",2014
58,58,"Brian Davis",93,NA,15.293,196,25,"ProximitytoHolefromOtherLocations",2014
58,58,"Harris English",95,NA,10.991,141,110,"ProximitytoHolefromOtherLocations",2014
58,58,"Freddie Jacobson",91,NA,11.855,152,28,"ProximitytoHolefromOtherLocations",2014
58,58,"Seung Yul Noh",92,NA,10.869,139,45,"ProximitytoHolefromOtherLocations",2014
58,58,"Shawn Stefani",60,NA,8.928,115,67,"ProximitytoHolefromOtherLocations",2014
68,68,"Morgan Hoffmann",103,NA,13.118,167,106,"ProximitytoHolefromOtherLocations",2014
68,68,"Ryo Ishikawa",75,NA,11.104,140,152,"ProximitytoHolefromOtherLocations",2014
68,68,"Jamie Lovemark",64,NA,7.751,98,129,"ProximitytoHolefromOtherLocations",2014
68,68,"Ben Martin",80,NA,9.262,117,75,"ProximitytoHolefromOtherLocations",2014
68,68,"Bryce Molder",77,NA,9.42,119,44,"ProximitytoHolefromOtherLocations",2014
68,68,"Ted Potter Jr",68,NA,8.547,108,11,"ProximitytoHolefromOtherLocations",2014
68,68,"Adam Scott",68,NA,6.973,88,37,"ProximitytoHolefromOtherLocations",2014
68,68,"Brendan Steele",89,NA,11.254,142,67,"ProximitytoHolefromOtherLocations",2014
68,68,"Camilo Villegas",95,NA,11.256,142,125,"ProximitytoHolefromOtherLocations",2014
68,68,"Mike Weir",69,NA,10.308,130,56,"ProximitytoHolefromOtherLocations",2014
78,78,"Keegan Bradley",89,NA,10.85,135,14,"ProximitytoHolefromOtherLocations",2014
78,78,"James Driscoll",71,NA,10.227,128,141,"ProximitytoHolefromOtherLocations",2014
78,78,"Rickie Fowler",91,NA,7.466,93,17,"ProximitytoHolefromOtherLocations",2014
78,78,"Jim Renner",61,NA,8.573,107,177,"ProximitytoHolefromOtherLocations",2014
78,78,"Webb Simpson",87,NA,9.777,122,77,"ProximitytoHolefromOtherLocations",2014
