"ProximitytoHolefrom2030yards_RANKTHISWEEK_2015","ProximitytoHolefrom2030yards_RANKLASTWEEK_2015","ProximitytoHolefrom2030yards_PLAYERNAME_2015","ProximitytoHolefrom2030yards_ROUNDS_2015","ProximitytoHolefrom2030yards_AVGDTP_2015","ProximitytoHolefrom2030yards_TOTALDISTANCEFEET_2015","ProximitytoHolefrom2030yards_OFSHOTS_2015","ProximitytoHolefrom2030yards_SCRAMBLINGRANK_2015","stat_name","year"
1,1,"Kevin Na",98,NA,690.667,103,19,"ProximitytoHolefrom2030yards",2015
2,2,"Tim Wilkinson",73,NA,645,89,111,"ProximitytoHolefrom2030yards",2015
3,3,"Greg Owen",58,NA,357.5,49,74,"ProximitytoHolefrom2030yards",2015
3,3,"Webb Simpson",81,NA,652.833,89,9,"ProximitytoHolefrom2030yards",2015
3,3,"Byron Smith",59,NA,337.5,46,172,"ProximitytoHolefrom2030yards",2015
6,6,"Jason Dufner",76,NA,524.417,71,162,"ProximitytoHolefrom2030yards",2015
6,6,"Matt Kuchar",97,NA,931.833,126,13,"ProximitytoHolefrom2030yards",2015
8,8,"Colt Knost",90,NA,753.25,98,97,"ProximitytoHolefrom2030yards",2015
8,8,"Brendon Todd",96,NA,888.25,116,22,"ProximitytoHolefrom2030yards",2015
10,10,"Luke Donald",71,NA,717.667,92,46,"ProximitytoHolefrom2030yards",2015
11,11,"JB Holmes",89,NA,812.417,103,85,"ProximitytoHolefrom2030yards",2015
11,11,"Jordan Spieth",91,NA,650.25,82,4,"ProximitytoHolefrom2030yards",2015
13,13,"Derek Ernst",75,NA,700.917,87,135,"ProximitytoHolefrom2030yards",2015
13,13,"Padraig Harrington",60,NA,566.417,70,137,"ProximitytoHolefrom2030yards",2015
13,13,"Whee Kim",71,NA,502.417,62,123,"ProximitytoHolefrom2030yards",2015
13,13,"Pat Perez",96,NA,803.167,99,69,"ProximitytoHolefrom2030yards",2015
17,17,"Steven Alker",62,NA,565.667,69,39,"ProximitytoHolefrom2030yards",2015
17,17,"Danny Lee",120,NA,1155.917,142,52,"ProximitytoHolefrom2030yards",2015
17,17,"John Merrick",78,NA,654,80,134,"ProximitytoHolefrom2030yards",2015
17,17,"Ryan Moore",81,NA,663.583,81,65,"ProximitytoHolefrom2030yards",2015
17,17,"Brandt Snedeker",98,NA,992.667,121,15,"ProximitytoHolefrom2030yards",2015
17,17,"Chris Stroud",84,NA,770,94,71,"ProximitytoHolefrom2030yards",2015
23,23,"Chad Collins",79,NA,698.917,85,1,"ProximitytoHolefrom2030yards",2015
23,23,"Brian Davis",86,NA,815.25,99,56,"ProximitytoHolefrom2030yards",2015
23,23,"Charles Howell III",105,NA,1257.75,153,151,"ProximitytoHolefrom2030yards",2015
23,23,"Phil Mickelson",70,NA,831.917,101,84,"ProximitytoHolefrom2030yards",2015
27,27,"Jamie Donaldson",50,NA,514.5,62,81,"ProximitytoHolefrom2030yards",2015
27,27,"Luke Guthrie",84,NA,813.333,98,127,"ProximitytoHolefrom2030yards",2015
27,27,"Morgan Hoffmann",85,NA,1042.417,125,92,"ProximitytoHolefrom2030yards",2015
27,27,"Ben Martin",93,NA,870.167,104,174,"ProximitytoHolefrom2030yards",2015
27,27,"SJ Park",79,NA,733.583,88,8,"ProximitytoHolefrom2030yards",2015
27,27,"Heath Slocum",57,NA,468.917,56,138,"ProximitytoHolefrom2030yards",2015
