"3PuttAvoidanceRound4_RANKTHISWEEK_2005","3PuttAvoidanceRound4_RANKLASTWEEK_2005","3PuttAvoidanceRound4_PLAYERNAME_2005","3PuttAvoidanceRound4__2005","3PuttAvoidanceRound4_Pct_2005","3PuttAvoidanceRound4_TOTAL3PUTTS_2005","3PuttAvoidanceRound4_TOTALHOLES_2005","stat_name","year"
1,1,"Justin Bolli",NA,0.69,1,144,"3PuttAvoidanceRound4",2005
2,2,"Jim Carter",NA,0.93,1,108,"3PuttAvoidanceRound4",2005
2,2,"Brian Gay",NA,0.93,3,324,"3PuttAvoidanceRound4",2005
2,2,"Bradley Hughes",NA,0.93,1,108,"3PuttAvoidanceRound4",2005
5,5,"Doug Barron",NA,1.01,2,198,"3PuttAvoidanceRound4",2005
5,5,"Mario Tiziani",NA,1.01,2,198,"3PuttAvoidanceRound4",2005
7,7,"Jason Bohn",NA,1.31,4,306,"3PuttAvoidanceRound4",2005
8,8,"Tom Pernice Jr",NA,1.32,5,378,"3PuttAvoidanceRound4",2005
9,9,"Chad Campbell",NA,1.39,5,360,"3PuttAvoidanceRound4",2005
9,9,"Hunter Haas",NA,1.39,3,216,"3PuttAvoidanceRound4",2005
9,9,"Hideto Tanihara",NA,1.39,1,72,"3PuttAvoidanceRound4",2005
12,12,"Olin Browne",NA,1.46,5,342,"3PuttAvoidanceRound4",2005
12,12,"Bart Bryant",NA,1.46,5,342,"3PuttAvoidanceRound4",2005
14,14,"Arjun Atwal",NA,1.48,4,270,"3PuttAvoidanceRound4",2005
15,15,"Omar Uresti",NA,1.59,4,252,"3PuttAvoidanceRound4",2005
16,16,"Stewart Cink",NA,1.67,6,360,"3PuttAvoidanceRound4",2005
17,17,"Cameron Beckman",NA,1.74,5,288,"3PuttAvoidanceRound4",2005
17,17,"Bob Tway",NA,1.74,5,288,"3PuttAvoidanceRound4",2005
19,19,"Jeff Hart",NA,1.85,3,162,"3PuttAvoidanceRound4",2005
19,19,"Bob Heintz",NA,1.85,3,162,"3PuttAvoidanceRound4",2005
19,19,"Zach Johnson",NA,1.85,6,324,"3PuttAvoidanceRound4",2005
19,19,"Ryan Palmer",NA,1.85,6,324,"3PuttAvoidanceRound4",2005
19,19,"Phillip Price",NA,1.85,4,216,"3PuttAvoidanceRound4",2005
19,19,"Loren Roberts",NA,1.85,3,162,"3PuttAvoidanceRound4",2005
19,19,"Steve Stricker",NA,1.85,3,162,"3PuttAvoidanceRound4",2005
26,26,"John Huston",NA,1.98,5,252,"3PuttAvoidanceRound4",2005
27,27,"Paul Azinger",NA,2.02,4,198,"3PuttAvoidanceRound4",2005
27,27,"Matt Gogel",NA,2.02,4,198,"3PuttAvoidanceRound4",2005
27,27,"Jose Maria Olazabal",NA,2.02,4,198,"3PuttAvoidanceRound4",2005
30,30,"Jerry Kelly",NA,2.05,7,342,"3PuttAvoidanceRound4",2005
30,30,"Vaughn Taylor",NA,2.05,7,342,"3PuttAvoidanceRound4",2005
32,32,"Ben Curtis",NA,2.08,3,144,"3PuttAvoidanceRound4",2005
33,33,"Bob Estes",NA,2.12,8,378,"3PuttAvoidanceRound4",2005
34,34,"DA Points",NA,2.14,5,234,"3PuttAvoidanceRound4",2005
35,35,"Dudley Hart",NA,2.16,7,324,"3PuttAvoidanceRound4",2005
35,35,"JJ Henry",NA,2.16,7,324,"3PuttAvoidanceRound4",2005
37,37,"Woody Austin",NA,2.22,8,360,"3PuttAvoidanceRound4",2005
38,38,"Jesper Parnevik",NA,2.29,7,306,"3PuttAvoidanceRound4",2005
39,39,"Hank Kuehne",NA,2.31,5,216,"3PuttAvoidanceRound4",2005
39,39,"Kevin Stadler",NA,2.31,5,216,"3PuttAvoidanceRound4",2005
39,39,"Darron Stiles",NA,2.31,5,216,"3PuttAvoidanceRound4",2005
42,42,"Daniel Chopra",NA,2.34,8,342,"3PuttAvoidanceRound4",2005
43,43,"Chris Anderson",NA,2.38,3,126,"3PuttAvoidanceRound4",2005
43,43,"Tom Byrum",NA,2.38,6,252,"3PuttAvoidanceRound4",2005
43,43,"Luke Donald",NA,2.38,6,252,"3PuttAvoidanceRound4",2005
43,43,"Glen Hnatiuk",NA,2.38,3,126,"3PuttAvoidanceRound4",2005
43,43,"Bernhard Langer",NA,2.38,6,252,"3PuttAvoidanceRound4",2005
