"ApexHeight_RANKTHISWEEK_2016","ApexHeight_RANKLASTWEEK_2016","ApexHeight_PLAYERNAME_2016","ApexHeight_ROUNDS_2016","ApexHeight_AVG_2016","ApexHeight_TOTALAPEXHEIGHT_2016","ApexHeight_TOTALATTEMPTS_2016","ApexHeight_HIGHESTAPEXPOINT_2016","ApexHeight_LOWESTAPEXPOINT_2016","stat_name","year"
1,1,"JB Holmes",39,NA,NA,31,NA,NA,"ApexHeight",2016
2,2,"Justin Thomas",53,NA,NA,47,NA,NA,"ApexHeight",2016
3,3,"Smylie Kaufman",57,NA,NA,39,NA,NA,"ApexHeight",2016
4,4,"Billy Horschel",45,NA,NA,43,NA,NA,"ApexHeight",2016
5,5,"Jamie Lovemark",57,NA,NA,54,NA,NA,"ApexHeight",2016
6,6,"Keegan Bradley",40,NA,NA,33,NA,NA,"ApexHeight",2016
7,7,"Gary Woodland",45,NA,NA,34,NA,NA,"ApexHeight",2016
8,13,"Rickie Fowler",42,NA,NA,35,NA,NA,"ApexHeight",2016
9,19,"Phil Mickelson",37,NA,NA,28,NA,NA,"ApexHeight",2016
10,8,"Carlos Ortiz",47,NA,NA,43,NA,NA,"ApexHeight",2016
11,10,"Rhein Gibson",36,NA,NA,26,NA,NA,"ApexHeight",2016
11,10,"Rory McIlroy",37,NA,NA,25,NA,NA,"ApexHeight",2016
13,12,"Hudson Swafford",52,NA,NA,35,NA,NA,"ApexHeight",2016
14,14,"Jason Day",36,NA,NA,28,NA,NA,"ApexHeight",2016
15,15,"Dustin Johnson",37,NA,NA,23,NA,NA,"ApexHeight",2016
16,9,"Danny Lee",53,NA,NA,43,NA,NA,"ApexHeight",2016
17,16,"Brett Stegmaier",57,NA,NA,54,NA,NA,"ApexHeight",2016
18,17,"Patrick Rodgers",49,NA,NA,39,NA,NA,"ApexHeight",2016
19,18,"Bill Haas",42,NA,NA,32,NA,NA,"ApexHeight",2016
20,21,"James Hahn",45,NA,NA,41,NA,NA,"ApexHeight",2016
21,20,"David Hearn",55,NA,NA,52,NA,NA,"ApexHeight",2016
22,25,"Hideki Matsuyama",40,NA,NA,31,NA,NA,"ApexHeight",2016
23,23,"Padraig Harrington",38,NA,NA,35,NA,NA,"ApexHeight",2016
24,22,"Martin Laird",46,NA,NA,36,NA,NA,"ApexHeight",2016
25,24,"Hiroshi Iwata",51,NA,NA,42,NA,NA,"ApexHeight",2016
26,28,"Retief Goosen",37,NA,NA,42,NA,NA,"ApexHeight",2016
27,27,"Luke List",51,NA,NA,44,NA,NA,"ApexHeight",2016
27,31,"Andrew Loupe",50,NA,NA,44,NA,NA,"ApexHeight",2016
29,26,"Hunter Mahan",43,NA,NA,40,NA,NA,"ApexHeight",2016
30,29,"Brooks Koepka",39,NA,NA,27,NA,NA,"ApexHeight",2016
30,29,"Ryan Palmer",46,NA,NA,51,NA,NA,"ApexHeight",2016
32,32,"Luke Donald",49,NA,NA,39,NA,NA,"ApexHeight",2016
33,33,"Brandt Snedeker",47,NA,NA,33,NA,NA,"ApexHeight",2016
34,34,"Bubba Watson",30,NA,NA,17,NA,NA,"ApexHeight",2016
35,37,"Justin Rose",35,NA,NA,28,NA,NA,"ApexHeight",2016
36,35,"Charley Hoffman",49,NA,NA,47,NA,NA,"ApexHeight",2016
36,35,"Scott Piercy",45,NA,NA,31,NA,NA,"ApexHeight",2016
38,38,"Tony Finau",49,NA,NA,33,NA,NA,"ApexHeight",2016
39,43,"Chesson Hadley",51,NA,NA,49,NA,NA,"ApexHeight",2016
40,39,"Jason Kokrak",52,NA,NA,39,NA,NA,"ApexHeight",2016
41,47,"Daniel Berger",52,NA,NA,41,NA,NA,"ApexHeight",2016
42,41,"Mark Hubbard",73,NA,NA,67,NA,NA,"ApexHeight",2016
43,39,"Brendan Steele",48,NA,NA,34,NA,NA,"ApexHeight",2016
44,44,"Morgan Hoffmann",43,NA,NA,42,NA,NA,"ApexHeight",2016
45,45,"Patrick Reed",53,NA,NA,40,NA,NA,"ApexHeight",2016
46,48,"Thomas Aiken",42,NA,NA,25,NA,NA,"ApexHeight",2016
47,42,"Michael Thompson",46,NA,NA,32,NA,NA,"ApexHeight",2016
48,50,"Scott Pinckney",53,NA,NA,39,NA,NA,"ApexHeight",2016
49,50,"Sean OHair",45,NA,NA,43,NA,NA,"ApexHeight",2016
50,54,"Kelly Kraft",35,NA,NA,21,NA,NA,"ApexHeight",2016
51,52,"Shawn Stefani",45,NA,NA,42,NA,NA,"ApexHeight",2016
52,46,"Steve Marino",40,NA,NA,26,NA,NA,"ApexHeight",2016
53,53,"Jordan Spieth",34,NA,NA,25,NA,NA,"ApexHeight",2016
54,62,"Robert Garrigus",34,NA,NA,25,NA,NA,"ApexHeight",2016
54,55,"Cameron Percy",22,NA,NA,16,NA,NA,"ApexHeight",2016
56,58,"Graham DeLaet",50,NA,NA,45,NA,NA,"ApexHeight",2016
57,61,"Kevin Chappell",49,NA,NA,35,NA,NA,"ApexHeight",2016
57,48,"Adam Hadwin",53,NA,NA,52,NA,NA,"ApexHeight",2016
59,60,"Seung Yul Noh",54,NA,NA,49,NA,NA,"ApexHeight",2016
60,55,"Bronson Burgoon",53,NA,NA,36,NA,NA,"ApexHeight",2016
60,57,"Davis Love III",40,NA,NA,37,NA,NA,"ApexHeight",2016
62,62,"Rory Sabbatini",40,NA,NA,22,NA,NA,"ApexHeight",2016
63,64,"Zach Johnson",42,NA,NA,36,NA,NA,"ApexHeight",2016
