"GIRPercentageLess100yards_RANKTHISWEEK_2012","GIRPercentageLess100yards_RANKLASTWEEK_2012","GIRPercentageLess100yards_PLAYERNAME_2012","GIRPercentageLess100yards_ROUNDS_2012","GIRPercentageLess100yards_Pct_2012","GIRPercentageLess100yards_GREENSHIT_2012","GIRPercentageLess100yards_TOTALHOLES_2012","GIRPercentageLess100yards_RELATIVETOPAR_2012","stat_name","year"
1,1,"Richard Lee",71,93.25,152,163,-0.46,"GIRPercentageLess100yards",2012
2,2,"Kyle Thompson",51,92.66,101,109,-0.37,"GIRPercentageLess100yards",2012
3,3,"KJ Choi",71,92.64,151,163,-0.53,"GIRPercentageLess100yards",2012
4,4,"Roberto Castro",92,92.34,229,248,-0.49,"GIRPercentageLess100yards",2012
5,5,"Henrik Stenson",51,91.04,122,134,-0.51,"GIRPercentageLess100yards",2012
6,6,"Bryce Molder",83,90.8,158,174,-0.54,"GIRPercentageLess100yards",2012
7,7,"Gary Woodland",70,90.65,194,214,-0.58,"GIRPercentageLess100yards",2012
8,8,"Robert Garrigus",89,90.55,249,275,-0.5,"GIRPercentageLess100yards",2012
9,9,"Bill Lunde",83,90.31,205,227,-0.5,"GIRPercentageLess100yards",2012
10,10,"Sean OHair",84,90.2,267,296,-0.55,"GIRPercentageLess100yards",2012
11,11,"David Hearn",95,89.91,205,228,-0.49,"GIRPercentageLess100yards",2012
12,12,"Louis Oosthuizen",65,89.88,151,168,-0.61,"GIRPercentageLess100yards",2012
13,13,"Will Claxton",99,89.86,248,276,-0.51,"GIRPercentageLess100yards",2012
14,14,"John Rollins",81,89.76,228,254,-0.54,"GIRPercentageLess100yards",2012
15,15,"Nick Watney",97,89.72,227,253,-0.59,"GIRPercentageLess100yards",2012
16,16,"John Merrick",83,89.69,200,223,-0.55,"GIRPercentageLess100yards",2012
16,16,"Rory Sabbatini",84,89.69,235,262,-0.51,"GIRPercentageLess100yards",2012
18,18,"Ernie Els",80,89.42,186,208,-0.52,"GIRPercentageLess100yards",2012
19,19,"Nathan Green",73,89.41,152,170,-0.53,"GIRPercentageLess100yards",2012
20,20,"Scott Brown",65,89.38,143,160,-0.45,"GIRPercentageLess100yards",2012
21,21,"DA Points",88,89.34,218,244,-0.49,"GIRPercentageLess100yards",2012
22,22,"Nick OHern",78,89.33,134,150,-0.4,"GIRPercentageLess100yards",2012
23,23,"Tiger Woods",69,89.21,124,139,-0.65,"GIRPercentageLess100yards",2012
24,24,"Jason Bohn",81,89.14,156,175,-0.47,"GIRPercentageLess100yards",2012
25,25,"Rocco Mediate",70,89.13,164,184,-0.49,"GIRPercentageLess100yards",2012
25,25,"David Toms",60,89.13,123,138,-0.44,"GIRPercentageLess100yards",2012
27,27,"Charles Howell III",98,89.11,221,248,-0.62,"GIRPercentageLess100yards",2012
28,28,"Scott Stallings",78,89.02,227,255,-0.55,"GIRPercentageLess100yards",2012
29,29,"Martin Flores",95,88.97,242,272,-0.51,"GIRPercentageLess100yards",2012
30,30,"Tim Herron",88,88.94,201,226,-0.5,"GIRPercentageLess100yards",2012
31,31,"Hunter Mahan",88,88.89,200,225,-0.43,"GIRPercentageLess100yards",2012
31,31,"Dicky Pride",62,88.89,120,135,-0.5,"GIRPercentageLess100yards",2012
31,31,"Josh Teater",97,88.89,288,324,-0.56,"GIRPercentageLess100yards",2012
