"Par5GoingfortheGreen_RANKTHISWEEK_2015","Par5GoingfortheGreen_RANKLASTWEEK_2015","Par5GoingfortheGreen_PLAYERNAME_2015","Par5GoingfortheGreen_ROUNDS_2015","Par5GoingfortheGreen_Pct_2015","Par5GoingfortheGreen_ATTEMPTS_2015","Par5GoingfortheGreen_NONATTEMPTS_2015","stat_name","year"
1,1,"Bubba Watson",71,73.81,124,44,"Par5GoingfortheGreen",2015
2,2,"Angel Cabrera",53,70.45,93,39,"Par5GoingfortheGreen",2015
3,3,"Patrick Rodgers",57,68.46,89,41,"Par5GoingfortheGreen",2015
4,4,"Jason Day",75,68.09,128,60,"Par5GoingfortheGreen",2015
5,5,"Tony Finau",106,68.03,200,94,"Par5GoingfortheGreen",2015
6,6,"Charl Schwartzel",67,67.69,88,42,"Par5GoingfortheGreen",2015
7,7,"Jason Kokrak",88,66.67,164,82,"Par5GoingfortheGreen",2015
8,8,"Jhonattan Vegas",90,66.22,149,76,"Par5GoingfortheGreen",2015
9,9,"Sergio Garcia",59,66.07,74,38,"Par5GoingfortheGreen",2015
10,10,"Charlie Beljan",76,65.36,117,62,"Par5GoingfortheGreen",2015
11,11,"Carlos Ortiz",100,65.17,174,93,"Par5GoingfortheGreen",2015
12,12,"Justin Thomas",106,64.38,197,109,"Par5GoingfortheGreen",2015
13,13,"Brooks Koepka",84,63.5,127,73,"Par5GoingfortheGreen",2015
14,14,"Matt Jones",89,62.95,141,83,"Par5GoingfortheGreen",2015
15,15,"Brendan Steele",88,62.69,163,97,"Par5GoingfortheGreen",2015
16,16,"Steven Bowditch",103,62.36,169,102,"Par5GoingfortheGreen",2015
17,17,"Charles Howell III",105,62.19,199,121,"Par5GoingfortheGreen",2015
18,18,"Sam Saunders",83,61.84,128,79,"Par5GoingfortheGreen",2015
19,19,"JB Holmes",89,61.79,131,81,"Par5GoingfortheGreen",2015
20,20,"Martin Flores",95,61.67,148,92,"Par5GoingfortheGreen",2015
21,21,"Ernie Els",57,60.61,80,52,"Par5GoingfortheGreen",2015
22,22,"Morgan Hoffmann",85,60.28,129,85,"Par5GoingfortheGreen",2015
