"StrokesGainedPutting_RANKTHISWEEK_2006","StrokesGainedPutting_RANKLASTWEEK_2006","StrokesGainedPutting_PLAYERNAME_2006","StrokesGainedPutting_ROUNDS_2006","StrokesGainedPutting_AVERAGE_2006","StrokesGainedPutting_TOTALPUTTSGAINED_2006","StrokesGainedPutting_MEASUREDROUNDS_2006","stat_name","year"
1,1,"Ben Crane",85,0.997,60.802,61,"StrokesGainedPutting",2006
2,2,"Stewart Cink",93,0.791,57.718,73,"StrokesGainedPutting",2006
3,3,"Jim Furyk",89,0.743,50.545,68,"StrokesGainedPutting",2006
3,3,"Rod Pampling",89,0.743,48.275,65,"StrokesGainedPutting",2006
5,5,"Richard Johnson",94,0.713,60.603,85,"StrokesGainedPutting",2006
6,6,"Jesper Parnevik",84,0.7,51.094,73,"StrokesGainedPutting",2006
7,7,"Brad Faxon",78,0.688,50.244,73,"StrokesGainedPutting",2006
8,8,"Brett Quigley",109,0.659,61.962,94,"StrokesGainedPutting",2006
9,9,"Dean Wilson",115,0.656,60.968,93,"StrokesGainedPutting",2006
10,10,"Steve Stricker",64,0.636,33.063,52,"StrokesGainedPutting",2006
11,11,"David Howell",52,0.635,19.058,30,"StrokesGainedPutting",2006
12,12,"Brian Gay",107,0.612,61.16,100,"StrokesGainedPutting",2006
13,13,"Daniel Chopra",110,0.601,54.091,90,"StrokesGainedPutting",2006
14,14,"Aaron Baddeley",78,0.596,40.51,68,"StrokesGainedPutting",2006
15,15,"Nathan Green",108,0.588,55.289,94,"StrokesGainedPutting",2006
16,16,"Luke Donald",66,0.54,23.236,43,"StrokesGainedPutting",2006
17,17,"Len Mattiace",59,0.534,27.747,52,"StrokesGainedPutting",2006
18,18,"Tom Pernice Jr",108,0.532,46.298,87,"StrokesGainedPutting",2006
19,19,"Geoff Ogilvy",76,0.471,24.495,52,"StrokesGainedPutting",2006
20,20,"Tiger Woods",55,0.452,16.729,37,"StrokesGainedPutting",2006
21,21,"Michael Allen",84,0.451,32.458,72,"StrokesGainedPutting",2006
22,22,"Stephen Ames",63,0.442,19.453,44,"StrokesGainedPutting",2006
23,23,"Mark OMeara",52,0.417,15.021,36,"StrokesGainedPutting",2006
24,24,"Brent Geiberger",99,0.399,35.911,90,"StrokesGainedPutting",2006
25,25,"Freddie Jacobson",56,0.38,20.528,54,"StrokesGainedPutting",2006
26,26,"Larry Mize",53,0.378,15.508,41,"StrokesGainedPutting",2006
27,27,"Jose Maria Olazabal",62,0.371,14.474,39,"StrokesGainedPutting",2006
27,27,"Vaughn Taylor",88,0.371,28.601,77,"StrokesGainedPutting",2006
29,29,"Carl Pettersson",95,0.363,27.194,75,"StrokesGainedPutting",2006
30,30,"David Toms",76,0.342,21.199,62,"StrokesGainedPutting",2006
31,31,"Tag Ridings",103,0.341,30.714,90,"StrokesGainedPutting",2006
32,32,"Vance Veazey",59,0.336,18.14,54,"StrokesGainedPutting",2006
33,33,"Greg Chalmers",71,0.308,17.557,57,"StrokesGainedPutting",2006
34,34,"Bernhard Langer",77,0.299,17.641,59,"StrokesGainedPutting",2006
35,35,"David McKenzie",82,0.296,20.429,69,"StrokesGainedPutting",2006
36,36,"Ryan Moore",68,0.283,16.441,58,"StrokesGainedPutting",2006
37,37,"Paul Azinger",87,0.279,22.354,80,"StrokesGainedPutting",2006
37,37,"Olin Browne",108,0.279,23.965,86,"StrokesGainedPutting",2006
39,39,"Stephen Leaney",84,0.277,21.312,77,"StrokesGainedPutting",2006
40,40,"Phil Mickelson",74,0.273,12.84,47,"StrokesGainedPutting",2006
41,41,"Davis Love III",85,0.272,15.511,57,"StrokesGainedPutting",2006
42,42,"Todd Fischer",101,0.271,24.382,90,"StrokesGainedPutting",2006
42,42,"Mark Wilson",79,0.271,19.483,72,"StrokesGainedPutting",2006
44,44,"Kent Jones",103,0.259,22.793,88,"StrokesGainedPutting",2006
45,45,"Arjun Atwal",97,0.241,19.75,82,"StrokesGainedPutting",2006
46,46,"Robert Allenby",79,0.237,14.191,60,"StrokesGainedPutting",2006
47,47,"Ben Curtis",86,0.236,15.782,67,"StrokesGainedPutting",2006
48,48,"Danny Ellis",68,0.231,13.834,60,"StrokesGainedPutting",2006
49,49,"Jimmy Walker",60,0.228,12.785,56,"StrokesGainedPutting",2006
50,50,"KJ Choi",93,0.226,17.881,79,"StrokesGainedPutting",2006
51,51,"Tim Clark",80,0.225,13.046,58,"StrokesGainedPutting",2006
52,52,"Stuart Appleby",83,0.222,14.228,64,"StrokesGainedPutting",2006
53,53,"Harrison Frazar",95,0.219,16.46,75,"StrokesGainedPutting",2006
54,54,"Shigeki Maruyama",94,0.216,17.28,80,"StrokesGainedPutting",2006
55,55,"Frank Lickliter II",99,0.215,18.265,85,"StrokesGainedPutting",2006
56,56,"Jonathan Byrd",66,0.214,11.575,54,"StrokesGainedPutting",2006
57,57,"Eric Axley",91,0.212,16.711,79,"StrokesGainedPutting",2006
58,58,"Ian Poulter",53,0.193,8.086,42,"StrokesGainedPutting",2006
59,59,"JJ Henry",96,0.192,14.756,77,"StrokesGainedPutting",2006
60,60,"John Cook",67,0.188,10.327,55,"StrokesGainedPutting",2006
61,61,"Tommy Armour III",65,0.183,9.679,53,"StrokesGainedPutting",2006
62,62,"Marco Dawson",87,0.176,13.526,77,"StrokesGainedPutting",2006
63,63,"Chris Riley",86,0.174,12.025,69,"StrokesGainedPutting",2006
64,64,"Arron Oberholser",82,0.165,10.205,62,"StrokesGainedPutting",2006
65,65,"David Duval",71,0.155,8.193,53,"StrokesGainedPutting",2006
66,66,"Lucas Glover",105,0.152,13.044,86,"StrokesGainedPutting",2006
67,67,"Corey Pavin",74,0.145,8.273,57,"StrokesGainedPutting",2006
68,68,"Greg Kraft",79,0.144,9.679,67,"StrokesGainedPutting",2006
69,69,"Steve Flesch",119,0.141,14.472,103,"StrokesGainedPutting",2006
70,70,"Jeff Sluman",101,0.14,11.615,83,"StrokesGainedPutting",2006
71,71,"Shaun Micheel",96,0.135,10.538,78,"StrokesGainedPutting",2006
72,72,"Brandt Jobe",91,0.128,8.974,70,"StrokesGainedPutting",2006
73,73,"Ted Purdy",103,0.126,10.093,80,"StrokesGainedPutting",2006
74,74,"Tim Petrovic",95,0.122,10.142,83,"StrokesGainedPutting",2006
75,75,"Retief Goosen",68,0.111,5.092,46,"StrokesGainedPutting",2006
76,76,"Chris Smith",67,0.108,6.367,59,"StrokesGainedPutting",2006
77,77,"DA Points",82,0.104,7.386,71,"StrokesGainedPutting",2006
78,78,"Billy Mayfair",94,0.1,7.693,77,"StrokesGainedPutting",2006
78,78,"Duffy Waldorf",96,0.1,8.208,82,"StrokesGainedPutting",2006
80,80,"Hunter Mahan",98,0.099,8.814,89,"StrokesGainedPutting",2006
81,81,"Fred Funk",106,0.091,7.75,85,"StrokesGainedPutting",2006
81,81,"John Rollins",93,0.091,6.894,76,"StrokesGainedPutting",2006
81,81,"Jason Schultz",77,0.091,5.901,65,"StrokesGainedPutting",2006
84,84,"Doug Barron",74,0.085,5.683,67,"StrokesGainedPutting",2006
85,85,"Shane Bertsch",104,0.08,7.242,90,"StrokesGainedPutting",2006
86,86,"Kevin Sutherland",100,0.078,6.822,87,"StrokesGainedPutting",2006
86,86,"Scott Verplank",88,0.078,5.293,68,"StrokesGainedPutting",2006
88,88,"Jason Gore",86,0.074,5.34,72,"StrokesGainedPutting",2006
89,89,"Ron Whittaker",81,0.065,4.621,71,"StrokesGainedPutting",2006
90,90,"JP Hayes",55,0.062,3.113,50,"StrokesGainedPutting",2006
90,90,"Charley Hoffman",100,0.062,5.559,89,"StrokesGainedPutting",2006
92,92,"JL Lewis",57,0.058,2.897,50,"StrokesGainedPutting",2006
93,93,"Trevor Immelman",86,0.057,4.193,73,"StrokesGainedPutting",2006
93,93,"Vijay Singh",103,0.057,4.806,84,"StrokesGainedPutting",2006
95,95,"Skip Kendall",72,0.056,3.317,59,"StrokesGainedPutting",2006
96,96,"Charles Howell III",96,0.049,3.868,79,"StrokesGainedPutting",2006
97,97,"Bo Van Pelt",102,0.047,4.204,90,"StrokesGainedPutting",2006
98,98,"Zach Johnson",98,0.046,3.551,77,"StrokesGainedPutting",2006
99,99,"Henrik Bjornstad",97,0.042,3.776,89,"StrokesGainedPutting",2006
99,99,"Jerry Kelly",100,0.042,3.552,84,"StrokesGainedPutting",2006
101,101,"James Driscoll",80,0.038,2.852,76,"StrokesGainedPutting",2006
101,101,"John Engler Jr",69,0.038,2.417,63,"StrokesGainedPutting",2006
103,103,"Chris DiMarco",83,0.036,2.171,61,"StrokesGainedPutting",2006
104,104,"Joe Ogilvie",95,0.033,2.587,78,"StrokesGainedPutting",2006
104,104,"Ryan Palmer",101,0.033,2.74,82,"StrokesGainedPutting",2006
106,106,"Dudley Hart",83,0.023,1.605,71,"StrokesGainedPutting",2006
107,107,"Brian Bateman",69,0.014,0.838,59,"StrokesGainedPutting",2006
108,108,"Bob Estes",85,0.012,0.92,75,"StrokesGainedPutting",2006
109,109,"Ryuji Imada",105,0.007,0.629,87,"StrokesGainedPutting",2006
110,110,"Ernie Els",69,0,-0.023,47,"StrokesGainedPutting",2006
111,111,"Briny Baird",81,-0.012,-0.828,70,"StrokesGainedPutting",2006
112,112,"Mike Sposa",68,-0.016,-0.945,58,"StrokesGainedPutting",2006
113,113,"Justin Rose",98,-0.017,-1.5,86,"StrokesGainedPutting",2006
114,114,"Padraig Harrington",54,-0.02,-0.762,38,"StrokesGainedPutting",2006
115,115,"Kirk Triplett",58,-0.032,-1.583,49,"StrokesGainedPutting",2006
116,116,"Mike Weir",88,-0.033,-2.066,63,"StrokesGainedPutting",2006
117,117,"Ryan Hietala",61,-0.036,-1.814,51,"StrokesGainedPutting",2006
117,117,"Tjaart van der Walt",60,-0.036,-1.865,52,"StrokesGainedPutting",2006
119,119,"Bob Tway",81,-0.038,-2.551,67,"StrokesGainedPutting",2006
120,120,"Steve Jones",83,-0.044,-3.057,69,"StrokesGainedPutting",2006
121,121,"Justin Leonard",83,-0.053,-3.463,65,"StrokesGainedPutting",2006
122,122,"Troy Matteson",101,-0.057,-5.05,88,"StrokesGainedPutting",2006
123,123,"Bart Bryant",87,-0.064,-4.568,71,"StrokesGainedPutting",2006
124,124,"Alex Aragon",63,-0.068,-3.655,54,"StrokesGainedPutting",2006
125,125,"Jason Bohn",104,-0.069,-6.18,89,"StrokesGainedPutting",2006
126,126,"Woody Austin",107,-0.076,-7.09,93,"StrokesGainedPutting",2006
126,126,"Chad Campbell",91,-0.076,-5.085,67,"StrokesGainedPutting",2006
128,128,"Jeff Overton",95,-0.077,-6.738,87,"StrokesGainedPutting",2006
129,129,"Nick Watney",97,-0.088,-7.581,86,"StrokesGainedPutting",2006
130,130,"Kris Cox",83,-0.106,-7.664,72,"StrokesGainedPutting",2006
131,131,"John Senden",96,-0.11,-8.705,79,"StrokesGainedPutting",2006
132,132,"Paul Stankowski",70,-0.114,-7.16,63,"StrokesGainedPutting",2006
133,133,"Tom Lehman",70,-0.12,-5.655,47,"StrokesGainedPutting",2006
134,134,"Steve Lowery",99,-0.126,-10.445,83,"StrokesGainedPutting",2006
135,135,"Adam Scott",70,-0.128,-6.527,51,"StrokesGainedPutting",2006
136,136,"David Branshaw",98,-0.133,-11.556,87,"StrokesGainedPutting",2006
137,137,"Rich Beem",85,-0.134,-8.728,65,"StrokesGainedPutting",2006
138,138,"Ian Leggatt",80,-0.138,-9.689,70,"StrokesGainedPutting",2006
139,139,"John Huston",74,-0.14,-9.115,65,"StrokesGainedPutting",2006
139,139,"Rory Sabbatini",84,-0.14,-8.958,64,"StrokesGainedPutting",2006
141,141,"Hidemichi Tanaka",74,-0.142,-9.223,65,"StrokesGainedPutting",2006
142,142,"Sergio Garcia",59,-0.146,-5.699,39,"StrokesGainedPutting",2006
143,143,"Todd Hamilton",72,-0.156,-8.726,56,"StrokesGainedPutting",2006
144,144,"Jeff Maggert",81,-0.158,-10.755,68,"StrokesGainedPutting",2006
145,145,"Jerry Smith",94,-0.164,-13.734,84,"StrokesGainedPutting",2006
146,146,"Sean OHair",100,-0.169,-12.836,76,"StrokesGainedPutting",2006
147,147,"Brett Wetterich",82,-0.174,-12.729,73,"StrokesGainedPutting",2006
148,148,"Mathias Gronberg",92,-0.176,-13.866,79,"StrokesGainedPutting",2006
149,149,"Billy Andrade",78,-0.18,-10.782,60,"StrokesGainedPutting",2006
150,150,"Robert Gamez",94,-0.183,-15,82,"StrokesGainedPutting",2006
151,151,"Jeff Brehaut",100,-0.189,-16.074,85,"StrokesGainedPutting",2006
