"TotalDrivingEfficiency_RANKTHISWEEK_2007","TotalDrivingEfficiency_RANKLASTWEEK_2007","TotalDrivingEfficiency_PLAYERNAME_2007","TotalDrivingEfficiency_ROUNDS_2007","TotalDrivingEfficiency_COMBINEDRANK_2007","TotalDrivingEfficiency_CARRYEFFICIENCYRANK_2007","TotalDrivingEfficiency_TOTALDISTEFFICRANK_2007","stat_name","year"
1,NA,"Kirk Triplett",77,2,1,1,"TotalDrivingEfficiency",2007
2,NA,"Luke Donald",69,5,2,3,"TotalDrivingEfficiency",2007
3,NA,"Craig Barlow",52,9,4,5,"TotalDrivingEfficiency",2007
4,NA,"Mark Wilson",87,15,6,9,"TotalDrivingEfficiency",2007
5,NA,"Billy Mayfair",98,16,9,7,"TotalDrivingEfficiency",2007
5,NA,"Darron Stiles",65,16,5,11,"TotalDrivingEfficiency",2007
5,NA,"Vaughn Taylor",91,16,12,4,"TotalDrivingEfficiency",2007
8,NA,"JP Hayes",89,18,10,8,"TotalDrivingEfficiency",2007
8,NA,"Jeff Maggert",79,18,7,11,"TotalDrivingEfficiency",2007
10,NA,"Mark Brooks",53,21,7,14,"TotalDrivingEfficiency",2007
11,NA,"Geoff Ogilvy",84,22,3,19,"TotalDrivingEfficiency",2007
12,NA,"Arron Oberholser",69,26,13,13,"TotalDrivingEfficiency",2007
13,NA,"Craig Bowden",78,36,30,6,"TotalDrivingEfficiency",2007
14,NA,"Mathew Goggin",97,43,26,17,"TotalDrivingEfficiency",2007
15,NA,"Alex Cejka",80,48,13,35,"TotalDrivingEfficiency",2007
15,NA,"Jeff Gove",103,48,20,28,"TotalDrivingEfficiency",2007
17,NA,"John Daly",59,56,13,43,"TotalDrivingEfficiency",2007
18,NA,"Robert Allenby",90,57,23,34,"TotalDrivingEfficiency",2007
19,NA,"Hunter Mahan",91,62,17,45,"TotalDrivingEfficiency",2007
19,NA,"Kyle Reifers",71,62,13,49,"TotalDrivingEfficiency",2007
21,NA,"Cliff Kresge",107,66,41,25,"TotalDrivingEfficiency",2007
21,NA,"Vijay Singh",102,66,37,29,"TotalDrivingEfficiency",2007
23,NA,"Peter Lonard",85,68,51,17,"TotalDrivingEfficiency",2007
24,NA,"Joe Ogilvie",102,75,37,38,"TotalDrivingEfficiency",2007
24,NA,"Kevin Sutherland",85,75,23,52,"TotalDrivingEfficiency",2007
26,NA,"Jerry Kelly",101,77,63,14,"TotalDrivingEfficiency",2007
27,NA,"David Toms",80,79,40,39,"TotalDrivingEfficiency",2007
27,NA,"Jaco Van Zyl",51,79,22,57,"TotalDrivingEfficiency",2007
29,NA,"Steve Marino",106,80,45,35,"TotalDrivingEfficiency",2007
30,NA,"JB Holmes",71,82,17,65,"TotalDrivingEfficiency",2007
30,NA,"Steve Stricker",81,82,43,39,"TotalDrivingEfficiency",2007
32,NA,"Mathias Gronberg",95,86,54,32,"TotalDrivingEfficiency",2007
33,NA,"Rich Beem",89,91,28,63,"TotalDrivingEfficiency",2007
33,NA,"Matt Hendrix",63,91,67,24,"TotalDrivingEfficiency",2007
35,NA,"Padraig Harrington",64,92,35,57,"TotalDrivingEfficiency",2007
35,NA,"John Mallinger",96,92,67,25,"TotalDrivingEfficiency",2007
35,NA,"Joey Sindelar",75,92,17,75,"TotalDrivingEfficiency",2007
38,NA,"Davis Love III",66,94,27,67,"TotalDrivingEfficiency",2007
39,NA,"Mark Hensby",81,97,48,49,"TotalDrivingEfficiency",2007
39,NA,"Tim Herron",98,97,30,67,"TotalDrivingEfficiency",2007
39,NA,"Brandt Snedeker",105,97,35,62,"TotalDrivingEfficiency",2007
42,NA,"Stephen Leaney",82,99,70,29,"TotalDrivingEfficiency",2007
43,NA,"Briny Baird",115,100,45,55,"TotalDrivingEfficiency",2007
44,NA,"Eric Axley",107,101,54,47,"TotalDrivingEfficiency",2007
45,NA,"Shigeki Maruyama",84,102,79,23,"TotalDrivingEfficiency",2007
46,NA,"Bubba Dickerson",51,103,101,2,"TotalDrivingEfficiency",2007
47,NA,"Stuart Appleby",74,106,90,16,"TotalDrivingEfficiency",2007
47,NA,"Tim Clark",66,106,79,27,"TotalDrivingEfficiency",2007
