"EarlyPar4ScoringAverage_RANKTHISWEEK_2006","EarlyPar4ScoringAverage_RANKLASTWEEK_2006","EarlyPar4ScoringAverage_PLAYERNAME_2006","EarlyPar4ScoringAverage_ROUNDS_2006","EarlyPar4ScoringAverage_AVG_2006","EarlyPar4ScoringAverage_TOTALSTROKES_2006","EarlyPar4ScoringAverage_TOTALHOLES_2006","stat_name","year"
1,1,"Tiger Woods",55,3.86,610,158,"EarlyPar4ScoringAverage",2006
2,2,"Jim Furyk",89,3.92,1156,295,"EarlyPar4ScoringAverage",2006
3,3,"Jonathan Byrd",66,3.94,1287,327,"EarlyPar4ScoringAverage",2006
3,3,"Daniel Chopra",110,3.94,1811,460,"EarlyPar4ScoringAverage",2006
5,5,"Briny Baird",81,3.95,1323,335,"EarlyPar4ScoringAverage",2006
5,5,"Steve Stricker",64,3.95,1114,282,"EarlyPar4ScoringAverage",2006
7,7,"Phil Mickelson",74,3.97,1243,313,"EarlyPar4ScoringAverage",2006
7,7,"Justin Rose",98,3.97,1769,446,"EarlyPar4ScoringAverage",2006
9,9,"Brian Gay",107,3.99,2223,557,"EarlyPar4ScoringAverage",2006
9,9,"Adam Scott",70,3.99,1157,290,"EarlyPar4ScoringAverage",2006
9,9,"John Senden",96,3.99,2068,518,"EarlyPar4ScoringAverage",2006
9,9,"Vijay Singh",103,3.99,1773,444,"EarlyPar4ScoringAverage",2006
9,9,"Brett Wetterich",82,3.99,1569,393,"EarlyPar4ScoringAverage",2006
14,14,"Robert Allenby",79,4,1533,383,"EarlyPar4ScoringAverage",2006
14,14,"David Branshaw",98,4,2162,541,"EarlyPar4ScoringAverage",2006
14,14,"Steve Flesch",119,4,2767,691,"EarlyPar4ScoringAverage",2006
14,14,"Ryuji Imada",105,4,2314,578,"EarlyPar4ScoringAverage",2006
14,14,"David McKenzie",82,4,1722,430,"EarlyPar4ScoringAverage",2006
14,14,"Jesper Parnevik",84,4,1826,457,"EarlyPar4ScoringAverage",2006
14,14,"Chris Riley",86,4,1642,411,"EarlyPar4ScoringAverage",2006
14,14,"Bob Tway",81,4,1731,433,"EarlyPar4ScoringAverage",2006
22,22,"Jason Bohn",104,4.01,2342,584,"EarlyPar4ScoringAverage",2006
22,22,"Freddie Jacobson",56,4.01,1114,278,"EarlyPar4ScoringAverage",2006
22,22,"Greg Kraft",79,4.01,1714,427,"EarlyPar4ScoringAverage",2006
22,22,"Joe Ogilvie",95,4.01,1940,484,"EarlyPar4ScoringAverage",2006
22,22,"Greg Owen",79,4.01,1534,383,"EarlyPar4ScoringAverage",2006
22,22,"Jeff Sluman",101,4.01,2174,542,"EarlyPar4ScoringAverage",2006
22,22,"Omar Uresti",61,4.01,1360,339,"EarlyPar4ScoringAverage",2006
29,29,"Arjun Atwal",97,4.02,1863,463,"EarlyPar4ScoringAverage",2006
29,29,"KJ Choi",93,4.02,2175,541,"EarlyPar4ScoringAverage",2006
29,29,"Kris Cox",83,4.02,1789,445,"EarlyPar4ScoringAverage",2006
29,29,"Luke Donald",66,4.02,1142,284,"EarlyPar4ScoringAverage",2006
29,29,"Steve Elkington",52,4.02,1070,266,"EarlyPar4ScoringAverage",2006
29,29,"Harrison Frazar",95,4.02,1911,475,"EarlyPar4ScoringAverage",2006
29,29,"Lucas Glover",105,4.02,1901,473,"EarlyPar4ScoringAverage",2006
29,29,"Charley Hoffman",100,4.02,1773,441,"EarlyPar4ScoringAverage",2006
29,29,"Trevor Immelman",86,4.02,1527,380,"EarlyPar4ScoringAverage",2006
