"1PuttsperRound_RANKTHISWEEK_2011","1PuttsperRound_RANKLASTWEEK_2011","1PuttsperRound_PLAYERNAME_2011","1PuttsperRound_ROUNDS_2011","1PuttsperRound_AVG_2011","1PuttsperRound_TOTAL1PUTTS_2011","1PuttsperRound_TOTALROUNDS_2011","stat_name","year"
1,1,"Steve Stricker",70,8.06,556,69,"1PuttsperRound",2011
2,2,"Kevin Na",84,7.96,669,84,"1PuttsperRound",2011
3,3,"Luke Donald",73,7.9,529,67,"1PuttsperRound",2011
4,4,"Jason Day",76,7.84,572,73,"1PuttsperRound",2011
5,5,"Greg Chalmers",88,7.78,685,88,"1PuttsperRound",2011
6,6,"Geoff Ogilvy",69,7.7,508,66,"1PuttsperRound",2011
7,7,"Brandt Snedeker",85,7.65,650,85,"1PuttsperRound",2011
8,8,"Bryce Molder",82,7.55,619,82,"1PuttsperRound",2011
8,8,"Andres Romero",77,7.55,581,77,"1PuttsperRound",2011
10,10,"Charlie Wi",83,7.51,623,83,"1PuttsperRound",2011
11,11,"Anthony Kim",72,7.45,529,71,"1PuttsperRound",2011
11,11,"Ryan Moore",79,7.45,559,75,"1PuttsperRound",2011
11,11,"Pat Perez",76,7.45,566,76,"1PuttsperRound",2011
14,14,"Rickie Fowler",84,7.43,602,81,"1PuttsperRound",2011
15,15,"Chris Couch",73,7.42,542,73,"1PuttsperRound",2011
16,16,"Matt Kuchar",94,7.41,652,88,"1PuttsperRound",2011
17,17,"Roland Thatcher",67,7.39,495,67,"1PuttsperRound",2011
18,18,"Ryan Palmer",82,7.38,590,80,"1PuttsperRound",2011
19,19,"YE Yang",63,7.37,435,59,"1PuttsperRound",2011
20,20,"Nick Watney",80,7.36,567,77,"1PuttsperRound",2011
21,21,"Zach Johnson",79,7.33,572,78,"1PuttsperRound",2011
22,22,"Aaron Baddeley",77,7.31,563,77,"1PuttsperRound",2011
22,22,"Dean Wilson",62,7.31,453,62,"1PuttsperRound",2011
24,24,"Padraig Harrington",60,7.27,429,59,"1PuttsperRound",2011
24,24,"Robert Karlsson",61,7.27,429,59,"1PuttsperRound",2011
24,24,"Jimmy Walker",79,7.27,574,79,"1PuttsperRound",2011
27,27,"Brian Gay",90,7.23,651,90,"1PuttsperRound",2011
27,27,"Matt Jones",71,7.23,513,71,"1PuttsperRound",2011
29,29,"DA Points",89,7.22,643,89,"1PuttsperRound",2011
30,30,"Arjun Atwal",91,7.21,656,91,"1PuttsperRound",2011
31,31,"Steve Marino",76,7.2,547,76,"1PuttsperRound",2011
31,31,"Webb Simpson",98,7.2,706,98,"1PuttsperRound",2011
33,33,"Vaughn Taylor",89,7.18,639,89,"1PuttsperRound",2011
34,34,"Steve Flesch",88,7.17,631,88,"1PuttsperRound",2011
35,35,"Brian Davis",105,7.14,750,105,"1PuttsperRound",2011
36,36,"Ryuji Imada",83,7.13,592,83,"1PuttsperRound",2011
37,37,"Steven Bowditch",86,7.12,612,86,"1PuttsperRound",2011
37,37,"Ian Poulter",52,7.12,363,51,"1PuttsperRound",2011
39,39,"Ben Crane",76,7.11,519,73,"1PuttsperRound",2011
40,40,"Phil Mickelson",79,7.1,547,77,"1PuttsperRound",2011
41,41,"Chris Kirk",87,7.09,617,87,"1PuttsperRound",2011
42,42,"Kevin Streelman",90,7.07,636,90,"1PuttsperRound",2011
43,43,"Mark Wilson",89,7.06,614,87,"1PuttsperRound",2011
44,44,"Martin Laird",77,7.04,535,76,"1PuttsperRound",2011
45,45,"David Duval",67,7.03,471,67,"1PuttsperRound",2011
45,45,"Hunter Mahan",92,7.03,626,89,"1PuttsperRound",2011
45,45,"Adam Scott",60,7.03,415,59,"1PuttsperRound",2011
45,45,"Camilo Villegas",69,7.03,478,68,"1PuttsperRound",2011
49,49,"Matt Bettencourt",84,7.01,589,84,"1PuttsperRound",2011
50,50,"Carl Pettersson",95,6.99,664,95,"1PuttsperRound",2011
51,51,"Stuart Appleby",65,6.98,454,65,"1PuttsperRound",2011
51,51,"Jonathan Byrd",83,6.98,572,82,"1PuttsperRound",2011
51,51,"Justin Leonard",82,6.98,572,82,"1PuttsperRound",2011
51,51,"Charl Schwartzel",58,6.98,391,56,"1PuttsperRound",2011
55,55,"Lucas Glover",74,6.97,516,74,"1PuttsperRound",2011
56,56,"Michael Connell",76,6.96,529,76,"1PuttsperRound",2011
56,56,"Retief Goosen",50,6.96,341,49,"1PuttsperRound",2011
56,56,"Freddie Jacobson",92,6.96,640,92,"1PuttsperRound",2011
59,59,"Brendon de Jonge",105,6.95,730,105,"1PuttsperRound",2011
59,59,"Nathan Green",81,6.95,563,81,"1PuttsperRound",2011
61,61,"Vijay Singh",79,6.94,548,79,"1PuttsperRound",2011
62,62,"Blake Adams",116,6.93,804,116,"1PuttsperRound",2011
62,62,"Tim Petrovic",88,6.93,610,88,"1PuttsperRound",2011
64,64,"Scott McCarron",65,6.92,450,65,"1PuttsperRound",2011
65,65,"Marc Leishman",87,6.9,600,87,"1PuttsperRound",2011
66,66,"Ben Curtis",66,6.88,454,66,"1PuttsperRound",2011
66,66,"Harrison Frazar",58,6.88,399,58,"1PuttsperRound",2011
68,68,"Bo Van Pelt",92,6.86,617,90,"1PuttsperRound",2011
69,69,"Graeme McDowell",50,6.83,321,47,"1PuttsperRound",2011
70,70,"JP Hayes",56,6.82,382,56,"1PuttsperRound",2011
71,71,"Jeff Overton",92,6.81,620,91,"1PuttsperRound",2011
72,72,"Robert Garrigus",83,6.8,564,83,"1PuttsperRound",2011
72,72,"Paul Goydos",81,6.8,551,81,"1PuttsperRound",2011
72,72,"Garrett Willis",71,6.8,483,71,"1PuttsperRound",2011
75,75,"Sergio Garcia",61,6.79,414,61,"1PuttsperRound",2011
75,75,"Hunter Haas",96,6.79,652,96,"1PuttsperRound",2011
77,77,"Tim Herron",85,6.78,576,85,"1PuttsperRound",2011
77,77,"David Mathis",83,6.78,563,83,"1PuttsperRound",2011
79,79,"Cameron Beckman",71,6.76,480,71,"1PuttsperRound",2011
79,79,"Chris DiMarco",93,6.76,629,93,"1PuttsperRound",2011
79,79,"Jason Dufner",78,6.76,527,78,"1PuttsperRound",2011
79,79,"Matt McQuillan",59,6.76,399,59,"1PuttsperRound",2011
83,83,"Chez Reavie",92,6.75,621,92,"1PuttsperRound",2011
84,84,"Steve Elkington",50,6.74,337,50,"1PuttsperRound",2011
84,84,"Scott Piercy",78,6.74,526,78,"1PuttsperRound",2011
86,86,"KJ Choi",77,6.72,504,75,"1PuttsperRound",2011
86,86,"JB Holmes",57,6.72,356,53,"1PuttsperRound",2011
88,88,"Jarrod Lyle",83,6.7,556,83,"1PuttsperRound",2011
89,89,"Ricky Barnes",78,6.69,522,78,"1PuttsperRound",2011
89,89,"Bio Kim",71,6.69,475,71,"1PuttsperRound",2011
91,91,"Angel Cabrera",50,6.68,334,50,"1PuttsperRound",2011
92,92,"Robert Allenby",84,6.67,554,83,"1PuttsperRound",2011
93,93,"Woody Austin",59,6.66,393,59,"1PuttsperRound",2011
93,93,"Jerry Kelly",85,6.66,566,85,"1PuttsperRound",2011
93,93,"Sean OHair",71,6.66,466,70,"1PuttsperRound",2011
96,96,"Stephen Ames",69,6.65,459,69,"1PuttsperRound",2011
96,96,"Jim Furyk",87,6.65,572,86,"1PuttsperRound",2011
96,96,"Nate Smith",66,6.65,439,66,"1PuttsperRound",2011
96,96,"David Toms",78,6.65,519,78,"1PuttsperRound",2011
100,100,"Jason Bohn",74,6.64,491,74,"1PuttsperRound",2011
100,100,"Rocco Mediate",53,6.64,352,53,"1PuttsperRound",2011
100,100,"Joe Ogilvie",75,6.64,498,75,"1PuttsperRound",2011
100,100,"Paul Stankowski",78,6.64,518,78,"1PuttsperRound",2011
104,104,"Charley Hoffman",93,6.63,610,92,"1PuttsperRound",2011
105,105,"Justin Rose",79,6.62,510,77,"1PuttsperRound",2011
106,106,"Tommy Gainey",104,6.61,687,104,"1PuttsperRound",2011
106,106,"Bill Haas",93,6.61,608,92,"1PuttsperRound",2011
108,108,"Michael Putnam",67,6.6,442,67,"1PuttsperRound",2011
109,109,"Dustin Johnson",72,6.59,468,71,"1PuttsperRound",2011
109,109,"Bubba Watson",85,6.59,521,79,"1PuttsperRound",2011
111,111,"Kevin Chappell",78,6.58,513,78,"1PuttsperRound",2011
112,112,"Michael Thompson",79,6.57,519,79,"1PuttsperRound",2011
113,113,"Keegan Bradley",91,6.56,597,91,"1PuttsperRound",2011
113,113,"Alex Cejka",59,6.56,387,59,"1PuttsperRound",2011
113,113,"Charles Howell III",108,6.56,708,108,"1PuttsperRound",2011
116,116,"Brendan Steele",89,6.55,583,89,"1PuttsperRound",2011
117,117,"Rich Beem",53,6.53,346,53,"1PuttsperRound",2011
117,117,"Zack Miller",86,6.53,562,86,"1PuttsperRound",2011
119,119,"Chris Stroud",88,6.52,574,88,"1PuttsperRound",2011
119,119,"Gary Woodland",93,6.52,606,93,"1PuttsperRound",2011
121,121,"Shaun Micheel",77,6.51,501,77,"1PuttsperRound",2011
121,121,"Nick OHern",89,6.51,579,89,"1PuttsperRound",2011
121,121,"Daniel Summerhays",75,6.51,488,75,"1PuttsperRound",2011
124,124,"Stewart Cink",72,6.5,455,70,"1PuttsperRound",2011
124,124,"Trevor Immelman",84,6.5,546,84,"1PuttsperRound",2011
124,124,"Billy Mayfair",94,6.5,611,94,"1PuttsperRound",2011
127,127,"Troy Merritt",63,6.48,408,63,"1PuttsperRound",2011
127,127,"Cameron Tringale",110,6.48,713,110,"1PuttsperRound",2011
127,127,"Johnson Wagner",81,6.48,525,81,"1PuttsperRound",2011
130,130,"Shane Bertsch",62,6.47,401,62,"1PuttsperRound",2011
130,130,"Tom Gillis",55,6.47,356,55,"1PuttsperRound",2011
132,132,"Kevin Kisner",70,6.46,452,70,"1PuttsperRound",2011
133,133,"Tag Ridings",87,6.44,560,87,"1PuttsperRound",2011
134,134,"Ben Martin",74,6.43,476,74,"1PuttsperRound",2011
134,134,"Will Strickler",51,6.43,328,51,"1PuttsperRound",2011
136,136,"Spencer Levin",113,6.42,726,113,"1PuttsperRound",2011
137,137,"Sung Kang",63,6.41,404,63,"1PuttsperRound",2011
137,137,"Troy Matteson",91,6.41,583,91,"1PuttsperRound",2011
139,139,"Brandt Jobe",100,6.4,640,100,"1PuttsperRound",2011
139,139,"Rory Sabbatini",85,6.4,544,85,"1PuttsperRound",2011
141,141,"Davis Love III",70,6.39,447,70,"1PuttsperRound",2011
141,141,"Bill Lunde",92,6.39,588,92,"1PuttsperRound",2011
143,143,"William McGirt",103,6.38,657,103,"1PuttsperRound",2011
144,144,"Martin Piller",63,6.37,401,63,"1PuttsperRound",2011
144,144,"Chris Riley",76,6.37,484,76,"1PuttsperRound",2011
146,146,"John Rollins",85,6.35,540,85,"1PuttsperRound",2011
146,146,"DJ Trahan",91,6.35,578,91,"1PuttsperRound",2011
148,148,"Chad Campbell",99,6.33,627,99,"1PuttsperRound",2011
149,149,"Lee Janzen",62,6.31,391,62,"1PuttsperRound",2011
150,150,"DJ Brigman",67,6.3,422,67,"1PuttsperRound",2011
150,150,"James Driscoll",71,6.3,447,71,"1PuttsperRound",2011
152,152,"John Senden",94,6.29,591,94,"1PuttsperRound",2011
153,153,"Kris Blanks",92,6.27,577,92,"1PuttsperRound",2011
154,154,"Colt Knost",80,6.26,501,80,"1PuttsperRound",2011
155,155,"Scott Stallings",84,6.25,525,84,"1PuttsperRound",2011
156,156,"Rod Pampling",72,6.24,449,72,"1PuttsperRound",2011
157,157,"Derek Lamely",65,6.23,405,65,"1PuttsperRound",2011
157,157,"George McNeill",69,6.23,430,69,"1PuttsperRound",2011
157,157,"Jim Renner",65,6.23,405,65,"1PuttsperRound",2011
160,160,"Josh Teater",104,6.22,647,104,"1PuttsperRound",2011
161,161,"Jhonattan Vegas",84,6.21,522,84,"1PuttsperRound",2011
162,162,"Kyle Stanley",98,6.18,606,98,"1PuttsperRound",2011
163,163,"David Hearn",88,6.13,539,88,"1PuttsperRound",2011
163,163,"Billy Horschel",75,6.13,460,75,"1PuttsperRound",2011
165,165,"Kent Jones",76,6.11,464,76,"1PuttsperRound",2011
166,166,"Marc Turnesa",54,6.09,329,54,"1PuttsperRound",2011
167,167,"Heath Slocum",89,6.08,535,88,"1PuttsperRound",2011
168,168,"Aron Price",58,6.05,351,58,"1PuttsperRound",2011
169,169,"Michael Bradley",74,6.01,445,74,"1PuttsperRound",2011
170,170,"Andres Gonzales",60,6,360,60,"1PuttsperRound",2011
171,171,"JJ Henry",96,5.98,574,96,"1PuttsperRound",2011
172,172,"Fabian Gomez",84,5.95,500,84,"1PuttsperRound",2011
172,172,"Kevin Stadler",88,5.95,524,88,"1PuttsperRound",2011
174,174,"John Merrick",71,5.92,420,71,"1PuttsperRound",2011
175,175,"Joe Durant",71,5.89,418,71,"1PuttsperRound",2011
175,175,"Richard Johnson",64,5.89,377,64,"1PuttsperRound",2011
177,177,"Ernie Els",71,5.88,406,69,"1PuttsperRound",2011
178,178,"Alex Prugh",82,5.85,480,82,"1PuttsperRound",2011
179,179,"Bobby Gates",82,5.84,479,82,"1PuttsperRound",2011
180,180,"Briny Baird",60,5.82,349,60,"1PuttsperRound",2011
181,181,"Scott Gutschewski",67,5.81,389,67,"1PuttsperRound",2011
182,182,"Joseph Bramlett",73,5.78,422,73,"1PuttsperRound",2011
183,183,"Boo Weekley",66,5.64,372,66,"1PuttsperRound",2011
184,184,"Justin Hicks",60,5.45,327,60,"1PuttsperRound",2011
185,185,"Jim Herman",69,5.41,373,69,"1PuttsperRound",2011
186,186,"Alexandre Rocha",65,5.14,334,65,"1PuttsperRound",2011
