"FinalRoundPerformance_RANKTHISWEEK_2012","FinalRoundPerformance_RANKLASTWEEK_2012","FinalRoundPerformance_PLAYERNAME_2012","FinalRoundPerformance_EVENTS_2012","FinalRoundPerformance_Pct_2012","stat_name","year"
1,1,"Scott Brown",24,100,"FinalRoundPerformance",2012
2,2,"Luke Donald",17,93.33,"FinalRoundPerformance",2012
3,3,"Mark Anderson",25,91.67,"FinalRoundPerformance",2012
4,4,"Jim Furyk",24,89.47,"FinalRoundPerformance",2012
5,5,"Bubba Watson",19,86.67,"FinalRoundPerformance",2012
6,6,"Dicky Pride",19,83.33,"FinalRoundPerformance",2012
7,7,"Justin Rose",19,81.25,"FinalRoundPerformance",2012
8,8,"Ian Poulter",15,78.57,"FinalRoundPerformance",2012
9,9,"Kris Blanks",23,77.78,"FinalRoundPerformance",2012
10,10,"Troy Matteson",32,76.47,"FinalRoundPerformance",2012
11,11,"Jason Day",17,75,"FinalRoundPerformance",2012
11,11,"Carl Pettersson",26,75,"FinalRoundPerformance",2012
13,13,"Robert Garrigus",26,73.68,"FinalRoundPerformance",2012
14,14,"Jerry Kelly",26,73.33,"FinalRoundPerformance",2012
14,14,"Michael Thompson",25,73.33,"FinalRoundPerformance",2012
16,16,"Jeff Overton",29,72.73,"FinalRoundPerformance",2012
16,16,"Henrik Stenson",15,72.73,"FinalRoundPerformance",2012
16,16,"David Toms",19,72.73,"FinalRoundPerformance",2012
19,19,"Angel Cabrera",20,71.43,"FinalRoundPerformance",2012
19,19,"John Rollins",26,71.43,"FinalRoundPerformance",2012
21,21,"William McGirt",30,70.59,"FinalRoundPerformance",2012
21,21,"Geoff Ogilvy",20,70.59,"FinalRoundPerformance",2012
23,23,"Robert Allenby",27,70,"FinalRoundPerformance",2012
23,23,"Matt Bettencourt",31,70,"FinalRoundPerformance",2012
23,23,"John Daly",15,70,"FinalRoundPerformance",2012
23,23,"Colt Knost",29,70,"FinalRoundPerformance",2012
27,27,"Louis Oosthuizen",19,69.23,"FinalRoundPerformance",2012
27,27,"Lee Westwood",15,69.23,"FinalRoundPerformance",2012
29,29,"Dustin Johnson",19,68.75,"FinalRoundPerformance",2012
30,30,"Rickie Fowler",23,68.42,"FinalRoundPerformance",2012
31,31,"Charlie Beljan",22,66.67,"FinalRoundPerformance",2012
31,31,"KJ Choi",21,66.67,"FinalRoundPerformance",2012
31,31,"Charley Hoffman",27,66.67,"FinalRoundPerformance",2012
31,31,"Rory McIlroy",16,66.67,"FinalRoundPerformance",2012
