"ProximitytoHolefromFringe_RANKTHISWEEK_2009","ProximitytoHolefromFringe_RANKLASTWEEK_2009","ProximitytoHolefromFringe_PLAYERNAME_2009","ProximitytoHolefromFringe_ROUNDS_2009","ProximitytoHolefromFringe_AVGDTP_2009","ProximitytoHolefromFringe_TOTALDISTANCEFEET_2009","ProximitytoHolefromFringe_OFSHOTS_2009","ProximitytoHolefromFringe_SCRAMBLINGRANK_2009","stat_name","year"
1,1,"Bob Heintz",59,NA,103.083,44,26,"ProximitytoHolefromFringe",2009
2,2,"Steve Stricker",81,NA,174,71,2,"ProximitytoHolefromFringe",2009
2,2,"Tiger Woods",64,NA,110.167,45,1,"ProximitytoHolefromFringe",2009
4,4,"Mark Brooks",55,NA,133.75,54,10,"ProximitytoHolefromFringe",2009
4,4,"Jason Dufner",90,NA,191.083,76,52,"ProximitytoHolefromFringe",2009
4,4,"Jerry Kelly",90,NA,187.75,75,45,"ProximitytoHolefromFringe",2009
4,4,"Tom Lehman",55,NA,75.167,30,150,"ProximitytoHolefromFringe",2009
4,4,"Scott Sterling",51,NA,103.5,41,44,"ProximitytoHolefromFringe",2009
4,4,"DJ Trahan",96,NA,229.667,91,149,"ProximitytoHolefromFringe",2009
4,4,"Charles Warren",63,NA,151.5,61,121,"ProximitytoHolefromFringe",2009
11,11,"Padraig Harrington",66,NA,128.583,50,11,"ProximitytoHolefromFringe",2009
11,11,"Matt Jones",56,NA,149.333,58,22,"ProximitytoHolefromFringe",2009
11,11,"Matt Kuchar",82,NA,203.333,78,3,"ProximitytoHolefromFringe",2009
11,11,"Tag Ridings",50,NA,107.5,42,140,"ProximitytoHolefromFringe",2009
11,11,"Chris Riley",77,NA,198.25,78,9,"ProximitytoHolefromFringe",2009
11,11,"YE Yang",83,NA,174.75,68,90,"ProximitytoHolefromFringe",2009
17,17,"Brad Adamonis",70,NA,194.833,74,36,"ProximitytoHolefromFringe",2009
17,17,"Jonathan Byrd",89,NA,212.417,79,148,"ProximitytoHolefromFringe",2009
17,17,"Angel Cabrera",55,NA,155,58,117,"ProximitytoHolefromFringe",2009
17,17,"Jim Furyk",86,NA,165,62,8,"ProximitytoHolefromFringe",2009
17,17,"Michael Letzig",96,NA,272.833,101,29,"ProximitytoHolefromFringe",2009
17,17,"Will Ma Kenzie",69,NA,126.833,47,164,"ProximitytoHolefromFringe",2009
17,17,"Tim Petrovic",97,NA,277,104,5,"ProximitytoHolefromFringe",2009
24,24,"Ricky Barnes",67,NA,151.667,55,178,"ProximitytoHolefromFringe",2009
24,24,"Brian Davis",103,NA,260.667,95,95,"ProximitytoHolefromFringe",2009
24,24,"Jason Gore",74,NA,182.917,67,127,"ProximitytoHolefromFringe",2009
24,24,"JJ Henry",97,NA,203.583,75,89,"ProximitytoHolefromFringe",2009
24,24,"Kent Jones",73,NA,163.333,59,139,"ProximitytoHolefromFringe",2009
24,24,"Justin Leonard",95,NA,222.75,82,63,"ProximitytoHolefromFringe",2009
24,24,"Phil Mickelson",66,NA,131.167,48,109,"ProximitytoHolefromFringe",2009
24,24,"Kevin Na",91,NA,226.333,83,6,"ProximitytoHolefromFringe",2009
24,24,"Justin Rose",71,NA,164.333,60,87,"ProximitytoHolefromFringe",2009
24,24,"Mark Wilson",99,NA,208.083,75,21,"ProximitytoHolefromFringe",2009
34,34,"Harrison Frazar",93,NA,197.333,70,134,"ProximitytoHolefromFringe",2009
34,34,"Lee Janzen",74,NA,186.5,65,66,"ProximitytoHolefromFringe",2009
34,34,"Zach Johnson",94,NA,228.667,81,31,"ProximitytoHolefromFringe",2009
34,34,"George McNeill",82,NA,277.333,97,29,"ProximitytoHolefromFringe",2009
34,34,"Rod Pampling",72,NA,194.917,69,74,"ProximitytoHolefromFringe",2009
34,34,"John Senden",100,NA,267.167,94,128,"ProximitytoHolefromFringe",2009
34,34,"Marc Turnesa",77,NA,211.667,75,170,"ProximitytoHolefromFringe",2009
41,41,"Daniel Chopra",89,NA,284.667,97,152,"ProximitytoHolefromFringe",2009
41,41,"Chris DiMarco",97,NA,281.083,97,15,"ProximitytoHolefromFringe",2009
41,41,"Luke Donald",79,NA,177.083,61,20,"ProximitytoHolefromFringe",2009
41,41,"Retief Goosen",74,NA,175.167,60,64,"ProximitytoHolefromFringe",2009
41,41,"Steve Marino",98,NA,233.333,79,60,"ProximitytoHolefromFringe",2009
41,41,"Troy Matteson",95,NA,278,95,103,"ProximitytoHolefromFringe",2009
41,41,"Jeff Overton",92,NA,305.417,104,95,"ProximitytoHolefromFringe",2009
41,41,"Chez Reavie",81,NA,203.667,69,71,"ProximitytoHolefromFringe",2009
41,41,"Patrick Sheehan",51,NA,116.75,40,23,"ProximitytoHolefromFringe",2009
41,41,"Bo Van Pelt",100,NA,276.833,96,57,"ProximitytoHolefromFringe",2009
41,41,"Matt Weibring",65,NA,182.917,63,42,"ProximitytoHolefromFringe",2009
41,41,"Casey Wittenberg",71,NA,178.083,61,61,"ProximitytoHolefromFringe",2009
53,53,"Rich Beem",77,NA,185.667,62,132,"ProximitytoHolefromFringe",2009
53,53,"Ernie Els",70,NA,195.417,65,59,"ProximitytoHolefromFringe",2009
53,53,"Bob Estes",78,NA,242.5,80,28,"ProximitytoHolefromFringe",2009
53,53,"Robert Garrigus",83,NA,181.917,60,111,"ProximitytoHolefromFringe",2009
53,53,"Nathan Green",104,NA,285.25,96,40,"ProximitytoHolefromFringe",2009
53,53,"Bill Haas",91,NA,287.75,96,72,"ProximitytoHolefromFringe",2009
53,53,"Todd Hamilton",83,NA,226.083,76,105,"ProximitytoHolefromFringe",2009
53,53,"Freddie Jacobson",83,NA,240.083,80,51,"ProximitytoHolefromFringe",2009
53,53,"Colt Knost",71,NA,179.25,59,157,"ProximitytoHolefromFringe",2009
53,53,"Billy Mayfair",83,NA,258.5,87,169,"ProximitytoHolefromFringe",2009
53,53,"James Nitties",86,NA,254.167,85,106,"ProximitytoHolefromFringe",2009
53,53,"Joe Ogilvie",85,NA,287.083,96,41,"ProximitytoHolefromFringe",2009
53,53,"Nicholas Thompson",96,NA,253.583,85,122,"ProximitytoHolefromFringe",2009
53,53,"Dean Wilson",81,NA,198.083,66,119,"ProximitytoHolefromFringe",2009
67,67,"Eric Axley",71,NA,198.917,64,182,"ProximitytoHolefromFringe",2009
67,67,"Kris Blanks",60,NA,154.417,50,131,"ProximitytoHolefromFringe",2009
67,67,"Bart Bryant",58,NA,142.083,46,153,"ProximitytoHolefromFringe",2009
67,67,"Mark Calcavecchia",72,NA,194.083,63,101,"ProximitytoHolefromFringe",2009
67,67,"Fred Couples",54,NA,107.167,35,175,"ProximitytoHolefromFringe",2009
67,67,"Ben Crane",93,NA,292.25,95,32,"ProximitytoHolefromFringe",2009
67,67,"Sergio Garcia",59,NA,137.583,45,101,"ProximitytoHolefromFringe",2009
67,67,"Lucas Glover",93,NA,293.25,94,97,"ProximitytoHolefromFringe",2009
67,67,"Tim Herron",87,NA,256.583,84,69,"ProximitytoHolefromFringe",2009
67,67,"Spencer Levin",75,NA,196.417,63,15,"ProximitytoHolefromFringe",2009
67,67,"David Mathis",82,NA,213.583,69,47,"ProximitytoHolefromFringe",2009
67,67,"Scott McCarron",91,NA,278.417,91,18,"ProximitytoHolefromFringe",2009
67,67,"Bryce Molder",69,NA,197.833,64,37,"ProximitytoHolefromFringe",2009
67,67,"Nick OHern",90,NA,265.167,86,70,"ProximitytoHolefromFringe",2009
67,67,"Corey Pavin",73,NA,217.083,70,80,"ProximitytoHolefromFringe",2009
67,67,"Heath Slocum",95,NA,306.667,100,91,"ProximitytoHolefromFringe",2009
67,67,"Darron Stiles",52,NA,122.083,40,133,"ProximitytoHolefromFringe",2009
84,84,"Stephen Ames",77,NA,210.417,67,142,"ProximitytoHolefromFringe",2009
84,84,"Cameron Beckman",87,NA,293.5,93,77,"ProximitytoHolefromFringe",2009
84,84,"Stewart Cink",79,NA,217.667,68,113,"ProximitytoHolefromFringe",2009
84,84,"Steve Elkington",70,NA,210.083,66,99,"ProximitytoHolefromFringe",2009
84,84,"Brian Gay",96,NA,294.25,94,7,"ProximitytoHolefromFringe",2009
84,84,"Charley Hoffman",97,NA,284.833,91,79,"ProximitytoHolefromFringe",2009
84,84,"Ryuji Imada",85,NA,232.083,74,54,"ProximitytoHolefromFringe",2009
84,84,"Greg Kraft",51,NA,201.75,64,177,"ProximitytoHolefromFringe",2009
84,84,"John Mallinger",90,NA,254.667,81,104,"ProximitytoHolefromFringe",2009
84,84,"Kenny Perry",92,NA,235.75,74,13,"ProximitytoHolefromFringe",2009
84,84,"Brandt Snedeker",81,NA,212.167,67,25,"ProximitytoHolefromFringe",2009
84,84,"Kevin Stadler",65,NA,207.75,65,33,"ProximitytoHolefromFringe",2009
84,84,"Camilo Villegas",76,NA,181.5,57,129,"ProximitytoHolefromFringe",2009
84,84,"Jay Williamson",69,NA,181.583,58,86,"ProximitytoHolefromFringe",2009
98,98,"Michael Allen",73,NA,218.583,67,123,"ProximitytoHolefromFringe",2009
98,98,"Briny Baird",89,NA,241.083,75,126,"ProximitytoHolefromFringe",2009
98,98,"Jason Bohn",88,NA,320.5,99,163,"ProximitytoHolefromFringe",2009
98,98,"Alex Cejka",82,NA,232.083,71,108,"ProximitytoHolefromFringe",2009
98,98,"Mathew Goggin",76,NA,191,59,134,"ProximitytoHolefromFringe",2009
98,98,"Charles Howell III",99,NA,219.667,67,118,"ProximitytoHolefromFringe",2009
98,98,"John Merrick",91,NA,256.083,79,159,"ProximitytoHolefromFringe",2009
98,98,"Pat Perez",74,NA,239.417,73,78,"ProximitytoHolefromFringe",2009
98,98,"Ted Purdy",101,NA,290.417,89,151,"ProximitytoHolefromFringe",2009
98,98,"Chris Stroud",88,NA,231.083,72,168,"ProximitytoHolefromFringe",2009
98,98,"Mike Weir",85,NA,215.25,67,14,"ProximitytoHolefromFringe",2009
109,109,"Tommy Armour III",58,NA,190.083,57,137,"ProximitytoHolefromFringe",2009
109,109,"Aaron Baddeley",66,NA,189.083,57,92,"ProximitytoHolefromFringe",2009
109,109,"Jason Day",61,NA,149.167,45,35,"ProximitytoHolefromFringe",2009
109,109,"Brendon de Jonge",90,NA,277.667,83,155,"ProximitytoHolefromFringe",2009
109,109,"Ken Duke",87,NA,262.083,79,53,"ProximitytoHolefromFringe",2009
109,109,"Steve Flesch",77,NA,245.833,73,50,"ProximitytoHolefromFringe",2009
109,109,"Dustin Johnson",85,NA,199.5,60,143,"ProximitytoHolefromFringe",2009
109,109,"Bill Lunde",83,NA,289,87,49,"ProximitytoHolefromFringe",2009
109,109,"Hunter Mahan",94,NA,296.5,89,100,"ProximitytoHolefromFringe",2009
109,109,"Tom Pernice Jr",82,NA,271.583,81,12,"ProximitytoHolefromFringe",2009
109,109,"Carl Pettersson",86,NA,278.25,83,164,"ProximitytoHolefromFringe",2009
109,109,"Ian Poulter",59,NA,157.833,47,4,"ProximitytoHolefromFringe",2009
109,109,"Webb Simpson",94,NA,318.25,95,17,"ProximitytoHolefromFringe",2009
109,109,"Vaughn Taylor",88,NA,315.167,94,156,"ProximitytoHolefromFringe",2009
123,123,"Robert Allenby",71,NA,232.5,68,56,"ProximitytoHolefromFringe",2009
123,123,"Stuart Appleby",79,NA,243.75,72,160,"ProximitytoHolefromFringe",2009
123,123,"Anthony Kim",76,NA,245.167,72,124,"ProximitytoHolefromFringe",2009
123,123,"Davis Love III",89,NA,304.083,89,109,"ProximitytoHolefromFringe",2009
123,123,"Jeff Maggert",79,NA,266,78,68,"ProximitytoHolefromFringe",2009
123,123,"Greg Owen",97,NA,251.833,74,136,"ProximitytoHolefromFringe",2009
123,123,"Kevin Streelman",97,NA,245.083,71,167,"ProximitytoHolefromFringe",2009
123,123,"Charlie Wi",92,NA,280.667,83,83,"ProximitytoHolefromFringe",2009
131,131,"Greg Chalmers",85,NA,223.667,64,55,"ProximitytoHolefromFringe",2009
131,131,"Ryan Moore",89,NA,251.25,71,46,"ProximitytoHolefromFringe",2009
131,131,"Geoff Ogilvy",78,NA,215.167,61,62,"ProximitytoHolefromFringe",2009
131,131,"Rick Price",54,NA,172.167,49,161,"ProximitytoHolefromFringe",2009
131,131,"Brendon Todd",53,NA,137.417,39,180,"ProximitytoHolefromFringe",2009
131,131,"Scott Verplank",88,NA,238.833,68,75,"ProximitytoHolefromFringe",2009
131,131,"Brian Vranesh",51,NA,174.417,50,38,"ProximitytoHolefromFringe",2009
131,131,"Nick Watney",86,NA,262.833,75,84,"ProximitytoHolefromFringe",2009
131,131,"Bubba Watson",73,NA,208.25,59,166,"ProximitytoHolefromFringe",2009
140,140,"Derek Fathauer",63,NA,189.417,53,161,"ProximitytoHolefromFringe",2009
140,140,"Paul Goydos",79,NA,271.917,76,145,"ProximitytoHolefromFringe",2009
