"Top10Finishes_RANKTHISWEEK_2015","Top10Finishes_RANKLASTWEEK_2015","Top10Finishes_PLAYERNAME_2015","Top10Finishes_EVENTS_2015","Top10Finishes_TOP10_2015","Top10Finishes_1ST_2015","Top10Finishes_2ND_2015","Top10Finishes_3RD_2015","stat_name","year"
1,1,"Jordan Spieth",25,15,5,4,1,"Top10Finishes",2015
2,2,"Jason Day",20,11,5,NA,1,"Top10Finishes",2015
2,2,"Dustin Johnson",21,11,1,2,NA,"Top10Finishes",2015
4,4,"Zach Johnson",25,10,1,NA,1,"Top10Finishes",2015
4,4,"Bubba Watson",19,10,2,3,2,"Top10Finishes",2015
6,6,"Hideki Matsuyama",25,9,NA,1,2,"Top10Finishes",2015
6,6,"Robert Streb",30,9,1,1,NA,"Top10Finishes",2015
8,8,"Paul Casey",24,8,NA,2,2,"Top10Finishes",2015
8,8,"Brooks Koepka",23,8,1,NA,1,"Top10Finishes",2015
8,8,"Danny Lee",36,8,1,1,2,"Top10Finishes",2015
8,8,"Justin Rose",20,8,1,3,1,"Top10Finishes",2015
8,8,"Brandt Snedeker",27,8,1,1,NA,"Top10Finishes",2015
8,8,"Henrik Stenson",16,8,NA,4,NA,"Top10Finishes",2015
14,14,"Rickie Fowler",21,7,2,1,1,"Top10Finishes",2015
14,14,"Jim Furyk",19,7,1,NA,1,"Top10Finishes",2015
14,14,"Charley Hoffman",28,7,1,2,1,"Top10Finishes",2015
14,14,"JB Holmes",25,7,1,2,NA,"Top10Finishes",2015
14,14,"Matt Kuchar",25,7,NA,1,1,"Top10Finishes",2015
14,14,"Rory McIlroy",12,7,2,NA,NA,"Top10Finishes",2015
14,14,"Kevin Na",27,7,NA,1,NA,"Top10Finishes",2015
14,14,"Justin Thomas",30,7,NA,NA,NA,"Top10Finishes",2015
22,22,"Daniel Berger",31,6,NA,2,NA,"Top10Finishes",2015
22,22,"Jason Bohn",27,6,NA,2,NA,"Top10Finishes",2015
22,22,"Kevin Kisner",30,6,NA,3,NA,"Top10Finishes",2015
22,22,"Louis Oosthuizen",20,6,NA,2,NA,"Top10Finishes",2015
22,22,"Jimmy Walker",24,6,2,2,NA,"Top10Finishes",2015
22,22,"Boo Weekley",24,6,NA,1,1,"Top10Finishes",2015
28,28,"Sangmoon Bae",30,5,1,NA,NA,"Top10Finishes",2015
28,28,"Jon Curran",28,5,NA,1,NA,"Top10Finishes",2015
28,28,"Tony Finau",31,5,NA,NA,NA,"Top10Finishes",2015
28,28,"Bill Haas",25,5,1,NA,NA,"Top10Finishes",2015
28,28,"Ben Martin",27,5,1,NA,NA,"Top10Finishes",2015
28,28,"Ryan Palmer",22,5,NA,1,NA,"Top10Finishes",2015
28,28,"Scott Piercy",28,5,1,1,1,"Top10Finishes",2015
28,28,"Webb Simpson",22,5,NA,1,NA,"Top10Finishes",2015
28,28,"Daniel Summerhays",29,5,NA,NA,NA,"Top10Finishes",2015
37,37,"Blayne Barber",26,4,NA,NA,NA,"Top10Finishes",2015
37,37,"Sergio Garcia",15,4,NA,2,NA,"Top10Finishes",2015
37,37,"Branden Grace",13,4,NA,NA,1,"Top10Finishes",2015
37,37,"David Hearn",30,4,NA,1,1,"Top10Finishes",2015
37,37,"Russell Henley",24,4,NA,NA,1,"Top10Finishes",2015
37,37,"Matt Jones",25,4,NA,NA,2,"Top10Finishes",2015
37,37,"Jerry Kelly",24,4,NA,NA,NA,"Top10Finishes",2015
37,37,"Colt Knost",29,4,NA,NA,NA,"Top10Finishes",2015
37,37,"Marc Leishman",23,4,NA,1,NA,"Top10Finishes",2015
37,37,"David Lingmerth",28,4,1,NA,1,"Top10Finishes",2015
37,37,"Hunter Mahan",24,4,NA,NA,1,"Top10Finishes",2015
37,37,"Ryan Moore",24,4,1,NA,NA,"Top10Finishes",2015
37,37,"Ian Poulter",19,4,NA,NA,1,"Top10Finishes",2015
37,37,"Patrick Reed",27,4,1,1,NA,"Top10Finishes",2015
37,37,"Rory Sabbatini",25,4,NA,NA,NA,"Top10Finishes",2015
37,37,"Brendan Steele",24,4,NA,1,NA,"Top10Finishes",2015
37,37,"Brendon Todd",27,4,NA,NA,NA,"Top10Finishes",2015
37,37,"Will Wilcox",17,4,NA,1,NA,"Top10Finishes",2015
37,37,"Gary Woodland",24,4,NA,2,1,"Top10Finishes",2015
56,56,"Keegan Bradley",24,3,NA,NA,NA,"Top10Finishes",2015
56,56,"Scott Brown",30,3,NA,NA,1,"Top10Finishes",2015
56,56,"Brendon de Jonge",31,3,NA,1,NA,"Top10Finishes",2015
56,56,"Graham DeLaet",22,3,NA,NA,NA,"Top10Finishes",2015
56,56,"Ken Duke",30,3,NA,NA,NA,"Top10Finishes",2015
56,56,"Harris English",29,3,NA,1,1,"Top10Finishes",2015
56,56,"Andres Gonzales",28,3,NA,NA,1,"Top10Finishes",2015
56,56,"Retief Goosen",25,3,NA,NA,1,"Top10Finishes",2015
56,56,"Chesson Hadley",30,3,NA,NA,NA,"Top10Finishes",2015
56,56,"Adam Hadwin",30,3,NA,NA,NA,"Top10Finishes",2015
56,56,"Brian Harman",29,3,NA,NA,1,"Top10Finishes",2015
56,56,"Charles Howell III",30,3,NA,NA,NA,"Top10Finishes",2015
56,56,"Chris Kirk",21,3,1,NA,NA,"Top10Finishes",2015
56,56,"Russell Knox",28,3,NA,NA,2,"Top10Finishes",2015
56,56,"Martin Laird",24,3,NA,NA,1,"Top10Finishes",2015
56,56,"Shane Lowry",13,3,1,NA,NA,"Top10Finishes",2015
56,56,"Will Ma Kenzie",16,3,NA,1,NA,"Top10Finishes",2015
56,56,"Troy Merritt",29,3,1,NA,1,"Top10Finishes",2015
56,56,"Phil Mickelson",19,3,NA,1,1,"Top10Finishes",2015
56,56,"Sean OHair",26,3,NA,1,NA,"Top10Finishes",2015
56,56,"Carl Pettersson",32,3,NA,NA,NA,"Top10Finishes",2015
56,56,"Scott Pinckney",27,3,NA,1,NA,"Top10Finishes",2015
56,56,"Charl Schwartzel",19,3,NA,NA,1,"Top10Finishes",2015
56,56,"Adam Scott",15,3,NA,NA,NA,"Top10Finishes",2015
56,56,"John Senden",24,3,NA,NA,NA,"Top10Finishes",2015
56,56,"Shawn Stefani",26,3,NA,1,NA,"Top10Finishes",2015
56,56,"Cameron Tringale",28,3,NA,1,NA,"Top10Finishes",2015
56,56,"Johnson Wagner",23,3,NA,1,NA,"Top10Finishes",2015
56,56,"Nick Watney",28,3,NA,1,NA,"Top10Finishes",2015
56,56,"Mark Wilson",28,3,NA,NA,NA,"Top10Finishes",2015
86,86,"Zac Blair",34,2,NA,NA,NA,"Top10Finishes",2015
86,86,"Steven Bowditch",32,2,1,1,NA,"Top10Finishes",2015
86,86,"Chad Campbell",30,2,NA,NA,NA,"Top10Finishes",2015
86,86,"Kevin Chappell",26,2,NA,NA,NA,"Top10Finishes",2015
86,86,"Austin Cook",7,2,NA,NA,NA,"Top10Finishes",2015
86,86,"Brian Davis",31,2,NA,NA,NA,"Top10Finishes",2015
86,86,"Luke Donald",20,2,NA,NA,NA,"Top10Finishes",2015
86,86,"Jamie Donaldson",16,2,NA,NA,NA,"Top10Finishes",2015
86,86,"Jason Dufner",21,2,NA,NA,NA,"Top10Finishes",2015
86,86,"Fabian Gomez",26,2,1,NA,NA,"Top10Finishes",2015
86,86,"Jason Gore",26,2,NA,1,NA,"Top10Finishes",2015
86,86,"Emiliano Grillo",5,2,NA,1,NA,"Top10Finishes",2015
86,86,"James Hahn",28,2,1,NA,NA,"Top10Finishes",2015
86,86,"Jim Herman",27,2,NA,NA,NA,"Top10Finishes",2015
86,86,"Morgan Hoffmann",26,2,NA,NA,NA,"Top10Finishes",2015
86,86,"Tom Hoge",26,2,NA,NA,NA,"Top10Finishes",2015
