"LeftRoughProximity_RANKTHISWEEK_2006","LeftRoughProximity_RANKLASTWEEK_2006","LeftRoughProximity_PLAYERNAME_2006","LeftRoughProximity_ROUNDS_2006","LeftRoughProximity_AVG_2006","LeftRoughProximity_ATTEMPTS_2006","LeftRoughProximity_TOTALDISTANCEFEET_2006","LeftRoughProximity_RELATIVETOPAR_2006","stat_name","year"
1,1,"Padraig Harrington",54,NA,74,2528,3,"LeftRoughProximity",2006
2,2,"Michael Allen",84,NA,145,5118,21,"LeftRoughProximity",2006
2,2,"Tiger Woods",55,NA,58,2047.25,-6,"LeftRoughProximity",2006
4,4,"Kirk Triplett",58,NA,55,1954.583,4,"LeftRoughProximity",2006
5,5,"Briny Baird",81,NA,98,3511.083,-1,"LeftRoughProximity",2006
6,6,"Doug Barron",74,NA,108,4051.25,23,"LeftRoughProximity",2006
7,7,"Rory Sabbatini",84,NA,130,4887.417,12,"LeftRoughProximity",2006
8,8,"Alex Cejka",93,NA,162,6205.667,28,"LeftRoughProximity",2006
8,8,"Vijay Singh",103,NA,161,6177.25,9,"LeftRoughProximity",2006
10,10,"Frank Lickliter II",99,NA,113,4342.583,12,"LeftRoughProximity",2006
11,11,"Brian Davis",92,NA,109,4226.667,17,"LeftRoughProximity",2006
12,12,"Kris Cox",83,NA,121,4713.75,16,"LeftRoughProximity",2006
12,12,"Greg Kraft",79,NA,95,3697.75,15,"LeftRoughProximity",2006
14,14,"Jon Mills",68,NA,102,3978.083,22,"LeftRoughProximity",2006
15,15,"Greg Owen",79,NA,107,4199.333,3,"LeftRoughProximity",2006
16,16,"Steve Stricker",64,NA,78,3077.167,1,"LeftRoughProximity",2006
17,17,"Todd Fischer",101,NA,150,5934.083,20,"LeftRoughProximity",2006
18,18,"Jason Bohn",104,NA,113,4494.583,13,"LeftRoughProximity",2006
18,18,"Danny Ellis",68,NA,94,3735.167,13,"LeftRoughProximity",2006
20,20,"David Toms",76,NA,74,2953.167,7,"LeftRoughProximity",2006
21,21,"Mark Calcavecchia",94,NA,104,4156.583,15,"LeftRoughProximity",2006
22,22,"Bob Tway",81,NA,128,5132.25,28,"LeftRoughProximity",2006
23,23,"Eric Axley",91,NA,134,5382.167,14,"LeftRoughProximity",2006
24,24,"John Rollins",93,NA,96,3860,12,"LeftRoughProximity",2006
