"StrokesGainedPutting_RANKTHISWEEK_2010","StrokesGainedPutting_RANKLASTWEEK_2010","StrokesGainedPutting_PLAYERNAME_2010","StrokesGainedPutting_ROUNDS_2010","StrokesGainedPutting_AVERAGE_2010","StrokesGainedPutting_TOTALPUTTSGAINED_2010","StrokesGainedPutting_MEASUREDROUNDS_2010","stat_name","year"
1,1,"Luke Donald",71,0.87,46.132,53,"StrokesGainedPutting",2010
2,2,"Carl Pettersson",99,0.818,67.878,83,"StrokesGainedPutting",2010
3,3,"Paul Casey",64,0.812,35.719,44,"StrokesGainedPutting",2010
4,4,"Dean Wilson",54,0.781,36.71,47,"StrokesGainedPutting",2010
5,5,"Greg Chalmers",93,0.772,67.195,87,"StrokesGainedPutting",2010
6,6,"Brian Gay",101,0.73,59.84,82,"StrokesGainedPutting",2010
7,7,"Retief Goosen",75,0.679,35.975,53,"StrokesGainedPutting",2010
8,8,"Matt Kuchar",97,0.648,48.62,75,"StrokesGainedPutting",2010
9,9,"Chad Collins",87,0.626,46.932,75,"StrokesGainedPutting",2010
10,10,"Zach Johnson",93,0.583,43.71,75,"StrokesGainedPutting",2010
11,11,"Charlie Wi",95,0.574,51.046,89,"StrokesGainedPutting",2010
12,12,"Ryuji Imada",90,0.551,46.287,84,"StrokesGainedPutting",2010
13,13,"Michael Sim",64,0.518,27.431,53,"StrokesGainedPutting",2010
14,14,"Troy Merritt",86,0.512,39.441,77,"StrokesGainedPutting",2010
15,15,"Aaron Baddeley",94,0.509,44.835,88,"StrokesGainedPutting",2010
15,15,"Matt Jones",89,0.509,40.741,80,"StrokesGainedPutting",2010
17,17,"Scott McCarron",90,0.507,42.12,83,"StrokesGainedPutting",2010
18,18,"Kevin Na",94,0.493,37.434,76,"StrokesGainedPutting",2010
19,19,"Bryce Molder",84,0.476,34.751,73,"StrokesGainedPutting",2010
20,20,"Brandt Snedeker",89,0.464,34.775,75,"StrokesGainedPutting",2010
21,21,"Charles Howell III",103,0.452,40.636,90,"StrokesGainedPutting",2010
22,22,"Steve Stricker",73,0.437,24.471,56,"StrokesGainedPutting",2010
23,23,"Ryan Palmer",84,0.433,30.714,71,"StrokesGainedPutting",2010
24,24,"Brad Faxon",58,0.426,20.448,48,"StrokesGainedPutting",2010
25,25,"Jeff Overton",89,0.409,29.067,71,"StrokesGainedPutting",2010
26,26,"Jim Furyk",76,0.402,24.105,60,"StrokesGainedPutting",2010
27,27,"Jeff Quinney",91,0.388,31.049,80,"StrokesGainedPutting",2010
28,28,"Pat Perez",90,0.379,31.476,83,"StrokesGainedPutting",2010
29,29,"Stephen Ames",75,0.375,25.886,69,"StrokesGainedPutting",2010
30,30,"Geoff Ogilvy",62,0.37,18.519,50,"StrokesGainedPutting",2010
30,30,"Webb Simpson",98,0.37,34.035,92,"StrokesGainedPutting",2010
32,32,"Matt Bettencourt",91,0.368,25.757,70,"StrokesGainedPutting",2010
33,33,"Daniel Chopra",74,0.361,24.172,67,"StrokesGainedPutting",2010
34,34,"Tom Gillis",97,0.359,32.351,90,"StrokesGainedPutting",2010
35,35,"Nathan Green",86,0.339,27.489,81,"StrokesGainedPutting",2010
36,36,"Michael Connell",89,0.337,25.943,77,"StrokesGainedPutting",2010
37,37,"Skip Kendall",58,0.333,16.339,49,"StrokesGainedPutting",2010
38,38,"Paul Stankowski",62,0.332,17.592,53,"StrokesGainedPutting",2010
39,39,"Ernie Els",72,0.33,18.134,55,"StrokesGainedPutting",2010
40,40,"Steve Elkington",74,0.328,19.381,59,"StrokesGainedPutting",2010
41,41,"George McNeill",79,0.319,22.315,70,"StrokesGainedPutting",2010
42,42,"James Driscoll",78,0.315,23.321,74,"StrokesGainedPutting",2010
43,43,"Chris Couch",66,0.302,17.831,59,"StrokesGainedPutting",2010
44,44,"Ryan Moore",80,0.299,18.258,61,"StrokesGainedPutting",2010
45,45,"Brian Stuard",81,0.289,20.497,71,"StrokesGainedPutting",2010
46,46,"David Toms",86,0.274,19.18,70,"StrokesGainedPutting",2010
47,47,"Tim Clark",88,0.269,18.273,68,"StrokesGainedPutting",2010
48,48,"Padraig Harrington",57,0.267,11.761,44,"StrokesGainedPutting",2010
49,49,"Ben Crane",85,0.266,17.545,66,"StrokesGainedPutting",2010
50,50,"Steve Marino",81,0.261,16.464,63,"StrokesGainedPutting",2010
51,51,"Andres Romero",73,0.254,18.311,72,"StrokesGainedPutting",2010
