"PGAChampionshipPoints_RANKTHISWEEK_2009","PGAChampionshipPoints_RANKLASTWEEK_2009","PGAChampionshipPoints_PLAYERNAME_2009","PGAChampionshipPoints_EVENTS_2009","PGAChampionshipPoints_POINTS_2009","stat_name","year"
1,1,"Tiger Woods",6,5030000,"PGAChampionshipPoints",2009
2,2,"Steve Stricker",6,2346883,"PGAChampionshipPoints",2009
3,3,"Padraig Harrington",6,2211258,"PGAChampionshipPoints",2009
4,4,"YE Yang",6,1701575,"PGAChampionshipPoints",2009
5,5,"Heath Slocum",8,1659750,"PGAChampionshipPoints",2009
6,6,"Matt Kuchar",6,1543200,"PGAChampionshipPoints",2009
7,7,"Phil Mickelson",6,1522194,"PGAChampionshipPoints",2009
8,8,"Jim Furyk",7,1490850,"PGAChampionshipPoints",2009
9,9,"Ryan Moore",7,1225144,"PGAChampionshipPoints",2009
10,10,"Sean OHair",6,1146750,"PGAChampionshipPoints",2009
11,11,"Stephen Ames",7,1141863,"PGAChampionshipPoints",2009
12,12,"Scott Verplank",6,1077750,"PGAChampionshipPoints",2009
13,13,"Troy Matteson",6,1069650,"PGAChampionshipPoints",2009
14,14,"Ernie Els",6,1050875,"PGAChampionshipPoints",2009
15,15,"Zach Johnson",7,976733,"PGAChampionshipPoints",2009
16,16,"Marc Leishman",7,972737,"PGAChampionshipPoints",2009
17,17,"Robert Allenby",6,891363,"PGAChampionshipPoints",2009
18,18,"Martin Laird",4,882705,"PGAChampionshipPoints",2009
19,19,"Dustin Johnson",7,861306,"PGAChampionshipPoints",2009
20,20,"Angel Cabrera",6,853125,"PGAChampionshipPoints",2009
21,21,"Jason Dufner",6,847594,"PGAChampionshipPoints",2009
22,22,"Hunter Mahan",7,791629,"PGAChampionshipPoints",2009
23,23,"George McNeill",6,783200,"PGAChampionshipPoints",2009
24,24,"Justin Leonard",7,713488,"PGAChampionshipPoints",2009
25,25,"John Senden",7,710675,"PGAChampionshipPoints",2009
26,26,"Vaughn Taylor",5,685460,"PGAChampionshipPoints",2009
27,27,"Sergio Garcia",6,679754,"PGAChampionshipPoints",2009
28,28,"Lucas Glover",7,672099,"PGAChampionshipPoints",2009
29,29,"Steve Marino",7,657000,"PGAChampionshipPoints",2009
30,30,"Jason Bohn",7,649471,"PGAChampionshipPoints",2009
31,31,"Mike Weir",7,648650,"PGAChampionshipPoints",2009
32,32,"Brandt Snedeker",8,621784,"PGAChampionshipPoints",2009
33,33,"Chad Campbell",7,614904,"PGAChampionshipPoints",2009
34,34,"Bill Haas",7,612088,"PGAChampionshipPoints",2009
35,35,"Tim Petrovic",8,599661,"PGAChampionshipPoints",2009
36,36,"Kevin Na",5,595050,"PGAChampionshipPoints",2009
37,37,"Lee Westwood",2,595000,"PGAChampionshipPoints",2009
38,38,"Justin Rose",7,593465,"PGAChampionshipPoints",2009
39,39,"Rickie Fowler",3,571090,"PGAChampionshipPoints",2009
40,40,"Nick Watney",7,560069,"PGAChampionshipPoints",2009
41,41,"Freddie Jacobson",8,535115,"PGAChampionshipPoints",2009
42,42,"Tim Clark",8,527329,"PGAChampionshipPoints",2009
43,43,"Jerry Kelly",7,525731,"PGAChampionshipPoints",2009
44,44,"Kenny Perry",6,525438,"PGAChampionshipPoints",2009
