"PresidentsCupUnitedes_RANKTHISWEEK_2016","PresidentsCupUnitedes_RANKLASTWEEK_2016","PresidentsCupUnitedes_PLAYERNAME_2016","PresidentsCupUnitedes__2016","PresidentsCupUnitedes_POINTS_2016","stat_name","year"
1,1,"Jordan Spieth",NA,1741,"PresidentsCupUnitedes",2016
2,2,"Brandt Snedeker",NA,1353,"PresidentsCupUnitedes",2016
3,3,"Kevin Na",NA,1260,"PresidentsCupUnitedes",2016
4,4,"Kevin Kisner",NA,1254,"PresidentsCupUnitedes",2016
5,6,"Patrick Reed",NA,1246,"PresidentsCupUnitedes",2016
6,5,"Bubba Watson",NA,1222,"PresidentsCupUnitedes",2016
7,10,"Rickie Fowler",NA,1122,"PresidentsCupUnitedes",2016
8,7,"Justin Thomas",NA,1109,"PresidentsCupUnitedes",2016
9,8,"Dustin Johnson",NA,1057,"PresidentsCupUnitedes",2016
10,9,"Smylie Kaufman",NA,1019,"PresidentsCupUnitedes",2016
11,11,"Charley Hoffman",NA,944,"PresidentsCupUnitedes",2016
12,12,"Kevin Chappell",NA,939,"PresidentsCupUnitedes",2016
13,14,"Daniel Berger",NA,919,"PresidentsCupUnitedes",2016
14,17,"Phil Mickelson",NA,906,"PresidentsCupUnitedes",2016
15,13,"Jason Dufner",NA,882,"PresidentsCupUnitedes",2016
16,16,"Jamie Lovemark",NA,840,"PresidentsCupUnitedes",2016
17,15,"Bill Haas",NA,825,"PresidentsCupUnitedes",2016
18,73,"James Hahn",NA,806,"PresidentsCupUnitedes",2016
19,18,"JB Holmes",NA,802,"PresidentsCupUnitedes",2016
20,19,"Jim Herman",NA,784,"PresidentsCupUnitedes",2016
21,20,"Charles Howell III",NA,766,"PresidentsCupUnitedes",2016
22,21,"Scott Piercy",NA,722,"PresidentsCupUnitedes",2016
23,23,"Patton Kizzire",NA,679,"PresidentsCupUnitedes",2016
24,27,"William McGirt",NA,658,"PresidentsCupUnitedes",2016
25,22,"Jimmy Walker",NA,651,"PresidentsCupUnitedes",2016
26,68,"Roberto Castro",NA,648,"PresidentsCupUnitedes",2016
27,31,"Harris English",NA,646,"PresidentsCupUnitedes",2016
28,29,"Tony Finau",NA,642,"PresidentsCupUnitedes",2016
29,24,"Ryan Moore",NA,628,"PresidentsCupUnitedes",2016
30,25,"Jason Bohn",NA,613,"PresidentsCupUnitedes",2016
31,26,"Matt Kuchar",NA,609,"PresidentsCupUnitedes",2016
32,28,"Brooks Koepka",NA,607,"PresidentsCupUnitedes",2016
33,30,"Zach Johnson",NA,599,"PresidentsCupUnitedes",2016
34,35,"Brendan Steele",NA,589,"PresidentsCupUnitedes",2016
35,32,"Jason Kokrak",NA,586,"PresidentsCupUnitedes",2016
36,33,"Brian Stuard",NA,573,"PresidentsCupUnitedes",2016
37,35,"Vaughn Taylor",NA,566,"PresidentsCupUnitedes",2016
38,34,"Billy Horschel",NA,559,"PresidentsCupUnitedes",2016
39,37,"Peter Malnati",NA,528,"PresidentsCupUnitedes",2016
40,38,"Chris Kirk",NA,524,"PresidentsCupUnitedes",2016
41,39,"Kevin Streelman",NA,488,"PresidentsCupUnitedes",2016
42,47,"Daniel Summerhays",NA,483,"PresidentsCupUnitedes",2016
43,57,"Andrew Loupe",NA,482,"PresidentsCupUnitedes",2016
44,40,"Ryan Palmer",NA,476,"PresidentsCupUnitedes",2016
45,41,"Scott Brown",NA,473,"PresidentsCupUnitedes",2016
46,42,"Zac Blair",NA,472,"PresidentsCupUnitedes",2016
47,43,"Chez Reavie",NA,471,"PresidentsCupUnitedes",2016
48,48,"Harold Varner III",NA,470,"PresidentsCupUnitedes",2016
49,55,"Lucas Glover",NA,469,"PresidentsCupUnitedes",2016
50,45,"Cameron Tringale",NA,465,"PresidentsCupUnitedes",2016
51,44,"Bryce Molder",NA,463,"PresidentsCupUnitedes",2016
52,46,"Kyle Reifers",NA,461,"PresidentsCupUnitedes",2016
53,54,"Robert Streb",NA,428,"PresidentsCupUnitedes",2016
54,49,"Ricky Barnes",NA,423,"PresidentsCupUnitedes",2016
55,50,"Patrick Rodgers",NA,422,"PresidentsCupUnitedes",2016
56,51,"John Huh",NA,421,"PresidentsCupUnitedes",2016
57,52,"Russell Henley",NA,413,"PresidentsCupUnitedes",2016
58,65,"Gary Woodland",NA,407,"PresidentsCupUnitedes",2016
59,60,"Mark Hubbard",NA,403,"PresidentsCupUnitedes",2016
60,53,"Spencer Levin",NA,402,"PresidentsCupUnitedes",2016
61,63,"Sean OHair",NA,398,"PresidentsCupUnitedes",2016
62,58,"Colt Knost",NA,397,"PresidentsCupUnitedes",2016
63,64,"Brian Harman",NA,397,"PresidentsCupUnitedes",2016
64,56,"Jon Curran",NA,377,"PresidentsCupUnitedes",2016
65,59,"Will Wilcox",NA,371,"PresidentsCupUnitedes",2016
66,61,"Luke List",NA,369,"PresidentsCupUnitedes",2016
67,62,"Chad Campbell",NA,368,"PresidentsCupUnitedes",2016
68,66,"Troy Merritt",NA,360,"PresidentsCupUnitedes",2016
69,67,"Brett Stegmaier",NA,350,"PresidentsCupUnitedes",2016
70,69,"Derek Fathauer",NA,343,"PresidentsCupUnitedes",2016
71,70,"Kyle Stanley",NA,336,"PresidentsCupUnitedes",2016
72,71,"David Toms",NA,336,"PresidentsCupUnitedes",2016
73,74,"Boo Weekley",NA,333,"PresidentsCupUnitedes",2016
74,75,"Scott Stallings",NA,313,"PresidentsCupUnitedes",2016
75,72,"Hudson Swafford",NA,310,"PresidentsCupUnitedes",2016
76,86,"Johnson Wagner",NA,292,"PresidentsCupUnitedes",2016
77,76,"Michael Kim",NA,283,"PresidentsCupUnitedes",2016
78,77,"Ben Crane",NA,279,"PresidentsCupUnitedes",2016
79,78,"Blayne Barber",NA,279,"PresidentsCupUnitedes",2016
80,79,"Bronson Burgoon",NA,278,"PresidentsCupUnitedes",2016
81,80,"Tyler Aldridge",NA,278,"PresidentsCupUnitedes",2016
82,87,"Jason Gore",NA,275,"PresidentsCupUnitedes",2016
83,81,"Ben Martin",NA,275,"PresidentsCupUnitedes",2016
84,82,"Chad Collins",NA,274,"PresidentsCupUnitedes",2016
85,83,"Keegan Bradley",NA,271,"PresidentsCupUnitedes",2016
86,84,"Jerry Kelly",NA,263,"PresidentsCupUnitedes",2016
87,90,"Chris Stroud",NA,258,"PresidentsCupUnitedes",2016
88,85,"Jeff Overton",NA,256,"PresidentsCupUnitedes",2016
89,88,"Steve Marino",NA,248,"PresidentsCupUnitedes",2016
90,89,"Stewart Cink",NA,244,"PresidentsCupUnitedes",2016
91,92,"Tom Hoge",NA,228,"PresidentsCupUnitedes",2016
92,91,"Webb Simpson",NA,223,"PresidentsCupUnitedes",2016
93,104,"Chesson Hadley",NA,220,"PresidentsCupUnitedes",2016
94,95,"Hunter Mahan",NA,209,"PresidentsCupUnitedes",2016
95,93,"Morgan Hoffmann",NA,196,"PresidentsCupUnitedes",2016
96,94,"Will Ma Kenzie",NA,195,"PresidentsCupUnitedes",2016
97,96,"Erik Compton",NA,191,"PresidentsCupUnitedes",2016
98,111,"Scott Langley",NA,183,"PresidentsCupUnitedes",2016
99,97,"Shawn Stefani",NA,172,"PresidentsCupUnitedes",2016
100,102,"Scott Pinckney",NA,171,"PresidentsCupUnitedes",2016
101,98,"Michael Thompson",NA,170,"PresidentsCupUnitedes",2016
102,99,"Justin Leonard",NA,170,"PresidentsCupUnitedes",2016
103,100,"George McNeill",NA,163,"PresidentsCupUnitedes",2016
104,101,"Brice Garnett",NA,163,"PresidentsCupUnitedes",2016
105,103,"Steve Stricker",NA,161,"PresidentsCupUnitedes",2016
106,105,"Sam Saunders",NA,155,"PresidentsCupUnitedes",2016
107,106,"Davis Love III",NA,154,"PresidentsCupUnitedes",2016
108,107,"Rob Oppenheim",NA,153,"PresidentsCupUnitedes",2016
109,108,"Nick Watney",NA,150,"PresidentsCupUnitedes",2016
110,112,"Steve Wheatcroft",NA,148,"PresidentsCupUnitedes",2016
111,109,"Luke Guthrie",NA,146,"PresidentsCupUnitedes",2016
112,110,"Mark Wilson",NA,144,"PresidentsCupUnitedes",2016
113,113,"JJ Henry",NA,120,"PresidentsCupUnitedes",2016
114,121,"Robert Garrigus",NA,113,"PresidentsCupUnitedes",2016
115,114,"Matt Every",NA,112,"PresidentsCupUnitedes",2016
116,115,"Brendon Todd",NA,105,"PresidentsCupUnitedes",2016
117,116,"DJ Trahan",NA,100,"PresidentsCupUnitedes",2016
118,117,"Bud Cauley",NA,100,"PresidentsCupUnitedes",2016
119,124,"Derek Ernst",NA,94,"PresidentsCupUnitedes",2016
120,118,"Shane Bertsch",NA,91,"PresidentsCupUnitedes",2016
121,119,"Kelly Kraft",NA,88,"PresidentsCupUnitedes",2016
122,120,"Jonathan Byrd",NA,73,"PresidentsCupUnitedes",2016
123,122,"Andres Gonzales",NA,73,"PresidentsCupUnitedes",2016
124,123,"Wes Roach",NA,72,"PresidentsCupUnitedes",2016
125,125,"Marc Turnesa",NA,61,"PresidentsCupUnitedes",2016
126,126,"Pat Perez",NA,60,"PresidentsCupUnitedes",2016
127,127,"Ken Duke",NA,54,"PresidentsCupUnitedes",2016
128,128,"Brian Gay",NA,49,"PresidentsCupUnitedes",2016
129,129,"Tim Herron",NA,47,"PresidentsCupUnitedes",2016
130,130,"Joe Affrunti",NA,46,"PresidentsCupUnitedes",2016
131,131,"Michael Bradley",NA,46,"PresidentsCupUnitedes",2016
132,132,"Cameron Beckman",NA,45,"PresidentsCupUnitedes",2016
133,133,"Billy Hurley III",NA,35,"PresidentsCupUnitedes",2016
134,134,"John Merrick",NA,32,"PresidentsCupUnitedes",2016
135,135,"DA Points",NA,31,"PresidentsCupUnitedes",2016
136,136,"Michael Putnam",NA,30,"PresidentsCupUnitedes",2016
137,137,"Andrew Landry",NA,28,"PresidentsCupUnitedes",2016
138,138,"Frank Lickliter II",NA,28,"PresidentsCupUnitedes",2016
139,139,"Dicky Pride",NA,28,"PresidentsCupUnitedes",2016
140,140,"Fred Funk",NA,26,"PresidentsCupUnitedes",2016
141,141,"Billy Mayfair",NA,25,"PresidentsCupUnitedes",2016
142,142,"Justin Hicks",NA,20,"PresidentsCupUnitedes",2016
143,143,"Darron Stiles",NA,19,"PresidentsCupUnitedes",2016
144,144,"Larry Mize",NA,19,"PresidentsCupUnitedes",2016
145,145,"Bo Van Pelt",NA,18,"PresidentsCupUnitedes",2016
146,146,"John Rollins",NA,12,"PresidentsCupUnitedes",2016
147,147,"Ted Purdy",NA,10,"PresidentsCupUnitedes",2016
148,148,"Steve Flesch",NA,6,"PresidentsCupUnitedes",2016
149,149,"Tom Gillis",NA,5,"PresidentsCupUnitedes",2016
150,150,"Alex Prugh",NA,2,"PresidentsCupUnitedes",2016
151,151,"Tim Petrovic",NA,1,"PresidentsCupUnitedes",2016
152,152,"Tommy Gainey",NA,1,"PresidentsCupUnitedes",2016
153,153,"Charlie Beljan",NA,1,"PresidentsCupUnitedes",2016
153,153,"John Peterson",NA,1,"PresidentsCupUnitedes",2016
155,155,"Eric Axley",NA,1,"PresidentsCupUnitedes",2016
