"LongestHoleOutsinyards_RANKTHISWEEK_2015","LongestHoleOutsinyards_RANKLASTWEEK_2015","LongestHoleOutsinyards_PLAYERNAME_2015","LongestHoleOutsinyards_ROUNDS_2015","LongestHoleOutsinyards_DISTANCE_2015","LongestHoleOutsinyards_TOURNAMENT_2015","LongestHoleOutsinyards_ROUNDCOURSE_2015","LongestHoleOutsinyards_HOLE_2015","stat_name","year"
1,1,"Aaron Baddeley",76,336,NA,1,17,"LongestHoleOutsinyards",2015
2,2,"Daniel Berger",97,237,NA,3,6,"LongestHoleOutsinyards",2015
3,3,"Brandt Jobe",17,233,NA,1,3,"LongestHoleOutsinyards",2015
4,4,"Colt Knost",90,227,NA,2,17,"LongestHoleOutsinyards",2015
5,5,"Eric Axley",57,225,NA,1,13,"LongestHoleOutsinyards",2015
6,6,"Brian Harman",90,218,NA,4,14,"LongestHoleOutsinyards",2015
7,7,"Mark Anderson",20,212,NA,1,3,"LongestHoleOutsinyards",2015
8,8,"Jonathan Byrd",69,211,NA,2,15,"LongestHoleOutsinyards",2015
8,9,"Lee Westwood",56,211,NA,1,10,"LongestHoleOutsinyards",2015
8,10,"DH Lee",6,211,NA,4,17,"LongestHoleOutsinyards",2015
8,11,"Geoff Ogilvy",50,211,NA,1,4,"LongestHoleOutsinyards",2015
12,12,"Jason Dufner",76,208,NA,2,16,"LongestHoleOutsinyards",2015
13,13,"Zach Johnson",90,207,NA,4,16,"LongestHoleOutsinyards",2015
13,14,"JB Holmes",89,207,NA,3,4,"LongestHoleOutsinyards",2015
13,15,"Dustin Johnson",75,207,NA,3,4,"LongestHoleOutsinyards",2015
16,16,"Andres Romero",69,204,NA,1,17,"LongestHoleOutsinyards",2015
18,18,"Mark Hubbard",79,195,NA,2,7,"LongestHoleOutsinyards",2015
19,19,"Ryan Armour",46,193,NA,2,6,"LongestHoleOutsinyards",2015
20,20,"Danny Lee",120,191,NA,1,17,"LongestHoleOutsinyards",2015
21,21,"David Hearn",97,186,NA,2,4,"LongestHoleOutsinyards",2015
22,22,"Jordan Spieth",91,184,NA,1,2,"LongestHoleOutsinyards",2015
22,23,"Rickie Fowler",76,184,NA,1,9,"LongestHoleOutsinyards",2015
24,25,"Ryo Ishikawa",90,183,NA,1,16,"LongestHoleOutsinyards",2015
26,26,"Billy Hurley III",83,181,NA,2,15,"LongestHoleOutsinyards",2015
27,27,"Roger Sloan",56,180,NA,1,4,"LongestHoleOutsinyards",2015
28,28,"Robert Streb",110,179,NA,2,18,"LongestHoleOutsinyards",2015
28,29,"Patrick Reed",103,179,NA,3,16,"LongestHoleOutsinyards",2015
28,30,"John Huh",102,179,NA,1,11,"LongestHoleOutsinyards",2015
32,32,"Andrew Svoboda",80,178,NA,1,7,"LongestHoleOutsinyards",2015
33,33,"Seung Yul Noh",65,177,NA,3,17,"LongestHoleOutsinyards",2015
33,34,"Vaughn Taylor",46,177,NA,4,10,"LongestHoleOutsinyards",2015
35,35,"John Peterson",84,176,NA,3,10,"LongestHoleOutsinyards",2015
38,38,"Will Ma Kenzie",49,174,NA,3,6,"LongestHoleOutsinyards",2015
38,39,"Zac Blair",108,174,NA,2,3,"LongestHoleOutsinyards",2015
40,40,"Ryan Moore",81,172,NA,4,6,"LongestHoleOutsinyards",2015
42,42,"Cameron Beckman",23,171,NA,4,18,"LongestHoleOutsinyards",2015
42,43,"Scott Piercy",90,171,NA,4,7,"LongestHoleOutsinyards",2015
44,44,"Hudson Swafford",97,169,NA,2,14,"LongestHoleOutsinyards",2015
44,45,"William McGirt",103,169,NA,4,17,"LongestHoleOutsinyards",2015
47,47,"Hideki Matsuyama",95,167,NA,2,5,"LongestHoleOutsinyards",2015
48,48,"Johnson Wagner",68,164,NA,1,11,"LongestHoleOutsinyards",2015
50,50,"Scott Brown",97,162,NA,4,3,"LongestHoleOutsinyards",2015
50,51,"Padraig Harrington",60,162,NA,1,8,"LongestHoleOutsinyards",2015
52,52,"Tim Clark",42,161,NA,2,18,"LongestHoleOutsinyards",2015
52,53,"Justin Leonard",61,161,NA,3,15,"LongestHoleOutsinyards",2015
54,54,"Ricky Barnes",82,160,NA,2,4,"LongestHoleOutsinyards",2015
54,55,"Matt Every",73,160,NA,2,10,"LongestHoleOutsinyards",2015
56,56,"Jonas Blixt",78,159,NA,1,17,"LongestHoleOutsinyards",2015
56,58,"Alexandre Rocha",4,159,NA,4,1,"LongestHoleOutsinyards",2015
56,59,"Spencer Levin",99,159,NA,3,10,"LongestHoleOutsinyards",2015
60,60,"Fabian Gomez",83,158,NA,3,4,"LongestHoleOutsinyards",2015
61,61,"Ken Duke",93,154,NA,2,8,"LongestHoleOutsinyards",2015
62,62,"Lucas Glover",79,152,NA,2,6,"LongestHoleOutsinyards",2015
66,66,"Steven Bowditch",103,146,NA,3,6,"LongestHoleOutsinyards",2015
66,67,"Brian Davis",86,146,NA,1,1,"LongestHoleOutsinyards",2015
68,68,"Jason Day",75,143,NA,3,17,"LongestHoleOutsinyards",2015
68,69,"Chad Campbell",97,143,NA,3,3,"LongestHoleOutsinyards",2015
68,70,"Nick Watney",91,143,NA,3,9,"LongestHoleOutsinyards",2015
71,71,"Tony Finau",106,142,NA,1,11,"LongestHoleOutsinyards",2015
72,72,"James Hahn",94,141,NA,4,7,"LongestHoleOutsinyards",2015
72,73,"Erik Compton",86,141,NA,1,7,"LongestHoleOutsinyards",2015
72,74,"Andrew Loupe",40,141,NA,3,11,"LongestHoleOutsinyards",2015
76,76,"Jhonattan Vegas",90,140,NA,2,16,"LongestHoleOutsinyards",2015
76,78,"Martin Laird",77,140,NA,1,17,"LongestHoleOutsinyards",2015
76,77,"Jeff Overton",94,140,NA,1,3,"LongestHoleOutsinyards",2015
79,79,"George McNeill",93,138,NA,1,18,"LongestHoleOutsinyards",2015
79,80,"Justin Thomas",106,138,NA,1,18,"LongestHoleOutsinyards",2015
81,82,"Chris Kirk",76,137,NA,3,17,"LongestHoleOutsinyards",2015
83,83,"Charlie Beljan",76,136,NA,1,3,"LongestHoleOutsinyards",2015
84,84,"Andres Gonzales",90,135,NA,3,1,"LongestHoleOutsinyards",2015
85,85,"Jason Bohn",95,134,NA,1,6,"LongestHoleOutsinyards",2015
86,86,"Francesco Molinari",56,133,NA,3,16,"LongestHoleOutsinyards",2015
88,89,"Derek Fathauer",81,130,NA,1,4,"LongestHoleOutsinyards",2015
88,90,"Bernd Wiesberger",33,130,NA,4,10,"LongestHoleOutsinyards",2015
88,91,"Retief Goosen",81,130,NA,1,8,"LongestHoleOutsinyards",2015
94,94,"Paul Casey",87,126,NA,4,3,"LongestHoleOutsinyards",2015
94,95,"Brendon de Jonge",106,126,NA,1,14,"LongestHoleOutsinyards",2015
97,99,"David Toms",62,123,NA,2,2,"LongestHoleOutsinyards",2015
