"LongestHoleOutsinyards_RANKTHISWEEK_2009","LongestHoleOutsinyards_RANKLASTWEEK_2009","LongestHoleOutsinyards_PLAYERNAME_2009","LongestHoleOutsinyards_ROUNDS_2009","LongestHoleOutsinyards_DISTANCE_2009","LongestHoleOutsinyards_TOURNAMENT_2009","LongestHoleOutsinyards_ROUNDCOURSE_2009","LongestHoleOutsinyards_HOLE_2009","stat_name","year"
1,1,"Nicholas Thompson",96,261,NA,3,11,"LongestHoleOutsinyards",2009
2,2,"Robert Garrigus",83,256,NA,2,4,"LongestHoleOutsinyards",2009
3,3,"John Senden",100,250,NA,2,2,"LongestHoleOutsinyards",2009
4,4,"Webb Simpson",94,221,NA,2,17,"LongestHoleOutsinyards",2009
5,5,"Jonathan Kaye",49,214,NA,3,7,"LongestHoleOutsinyards",2009
5,6,"Omar Uresti",27,214,NA,2,7,"LongestHoleOutsinyards",2009
7,7,"Rickie Fowler",20,211,NA,4,5,"LongestHoleOutsinyards",2009
8,8,"Peter Lonard",86,203,NA,1,12,"LongestHoleOutsinyards",2009
8,9,"Corey Pavin",73,203,NA,4,8,"LongestHoleOutsinyards",2009
10,10,"Casey Wittenberg",71,202,NA,3,4,"LongestHoleOutsinyards",2009
11,11,"Mike Weir",85,200,NA,3,4,"LongestHoleOutsinyards",2009
12,13,"Chad Campbell",90,199,NA,3,16,"LongestHoleOutsinyards",2009
12,14,"Ted Purdy",101,199,NA,3,16,"LongestHoleOutsinyards",2009
15,15,"Retief Goosen",74,195,NA,2,4,"LongestHoleOutsinyards",2009
16,16,"Matt Weibring",65,194,NA,2,4,"LongestHoleOutsinyards",2009
17,17,"Vaughn Taylor",88,192,NA,2,7,"LongestHoleOutsinyards",2009
18,18,"Matthew Borchert",48,191,NA,2,14,"LongestHoleOutsinyards",2009
19,19,"Dicky Pride",29,189,NA,2,13,"LongestHoleOutsinyards",2009
20,20,"John Mallinger",90,184,NA,5,3,"LongestHoleOutsinyards",2009
21,21,"Daniel Chopra",89,179,NA,3,4,"LongestHoleOutsinyards",2009
22,22,"Brett Quigley",92,178,NA,2,12,"LongestHoleOutsinyards",2009
23,23,"Lee Janzen",74,177,NA,2,17,"LongestHoleOutsinyards",2009
24,24,"Paul Claxton",2,176,NA,2,10,"LongestHoleOutsinyards",2009
25,25,"Scott Gutschewski",47,174,NA,4,6,"LongestHoleOutsinyards",2009
26,26,"Camilo Villegas",76,170,NA,2,17,"LongestHoleOutsinyards",2009
26,27,"James Driscoll",49,170,NA,2,12,"LongestHoleOutsinyards",2009
26,28,"Paul Goydos",79,170,NA,3,16,"LongestHoleOutsinyards",2009
29,29,"Tim Herron",87,169,NA,2,5,"LongestHoleOutsinyards",2009
29,30,"Davis Love III",89,169,NA,1,10,"LongestHoleOutsinyards",2009
31,31,"Steve Elkington",70,168,NA,1,3,"LongestHoleOutsinyards",2009
33,34,"Harrison Frazar",93,164,NA,4,9,"LongestHoleOutsinyards",2009
33,33,"Bubba Watson",73,164,NA,2,17,"LongestHoleOutsinyards",2009
33,35,"Chris Riley",77,164,NA,3,1,"LongestHoleOutsinyards",2009
36,36,"Tommy Armour III",58,163,NA,2,7,"LongestHoleOutsinyards",2009
36,37,"Briny Baird",89,163,NA,1,6,"LongestHoleOutsinyards",2009
38,38,"Ben Crane",93,162,NA,3,5,"LongestHoleOutsinyards",2009
39,39,"Matt Jones",56,161,NA,3,3,"LongestHoleOutsinyards",2009
39,40,"Dean Wilson",81,161,NA,1,13,"LongestHoleOutsinyards",2009
42,42,"Craig Barlow",13,159,NA,1,3,"LongestHoleOutsinyards",2009
43,43,"Heath Slocum",95,158,NA,4,5,"LongestHoleOutsinyards",2009
43,44,"JB Holmes",74,158,NA,3,4,"LongestHoleOutsinyards",2009
43,45,"Jeff Klauk",97,158,NA,2,11,"LongestHoleOutsinyards",2009
46,46,"Derek Fathauer",63,156,NA,2,1,"LongestHoleOutsinyards",2009
47,47,"Sal Spallone",2,155,NA,2,8,"LongestHoleOutsinyards",2009
47,48,"Charley Hoffman",97,155,NA,5,8,"LongestHoleOutsinyards",2009
49,49,"Tag Ridings",50,154,NA,1,11,"LongestHoleOutsinyards",2009
50,50,"Brian Bateman",55,153,NA,2,1,"LongestHoleOutsinyards",2009
51,51,"Steve Lowery",83,150,NA,2,14,"LongestHoleOutsinyards",2009
51,52,"Dustin Johnson",85,150,NA,1,1,"LongestHoleOutsinyards",2009
53,53,"Michael Sim",12,149,NA,4,10,"LongestHoleOutsinyards",2009
53,54,"Nathan Green",104,149,NA,1,5,"LongestHoleOutsinyards",2009
55,55,"Joe Durant",62,148,NA,1,7,"LongestHoleOutsinyards",2009
55,56,"Jason Bohn",88,148,NA,3,15,"LongestHoleOutsinyards",2009
57,57,"Bart Bryant",58,147,NA,3,3,"LongestHoleOutsinyards",2009
58,58,"Billy Mayfair",83,145,NA,1,3,"LongestHoleOutsinyards",2009
59,59,"Marc Leishman",91,144,NA,3,6,"LongestHoleOutsinyards",2009
61,62,"Michael Allen",73,143,NA,4,9,"LongestHoleOutsinyards",2009
63,63,"Adam Scott",53,142,NA,1,3,"LongestHoleOutsinyards",2009
64,64,"Scott Verplank",88,141,NA,1,15,"LongestHoleOutsinyards",2009
66,66,"Rory Sabbatini",81,139,NA,4,11,"LongestHoleOutsinyards",2009
66,67,"Michael Letzig",96,139,NA,4,15,"LongestHoleOutsinyards",2009
69,69,"Ernie Els",70,137,NA,1,1,"LongestHoleOutsinyards",2009
70,70,"Troy Matteson",95,135,NA,1,2,"LongestHoleOutsinyards",2009
70,71,"Kevin Sutherland",96,135,NA,4,7,"LongestHoleOutsinyards",2009
72,72,"Steve Marino",98,134,NA,4,13,"LongestHoleOutsinyards",2009
72,74,"Charles Warren",63,134,NA,1,17,"LongestHoleOutsinyards",2009
75,75,"Phil Schmitt",2,133,NA,1,13,"LongestHoleOutsinyards",2009
75,77,"Arjun Atwal",31,133,NA,2,15,"LongestHoleOutsinyards",2009
75,79,"Leif Olson",51,133,NA,2,15,"LongestHoleOutsinyards",2009
80,80,"Brandt Snedeker",81,132,NA,2,6,"LongestHoleOutsinyards",2009
80,81,"Gregory Havret",4,132,NA,2,1,"LongestHoleOutsinyards",2009
82,82,"Tiger Woods",64,131,NA,4,6,"LongestHoleOutsinyards",2009
83,84,"John Merrick",91,129,NA,2,1,"LongestHoleOutsinyards",2009
83,85,"Bo Van Pelt",100,129,NA,1,1,"LongestHoleOutsinyards",2009
88,90,"Tom Pernice Jr",82,127,NA,1,11,"LongestHoleOutsinyards",2009
91,91,"Mark Brooks",55,126,NA,1,1,"LongestHoleOutsinyards",2009
91,92,"Patrick Sheehan",51,126,NA,1,13,"LongestHoleOutsinyards",2009
94,94,"John Rollins",92,124,NA,2,5,"LongestHoleOutsinyards",2009
95,95,"Aaron Watkins",48,123,NA,1,15,"LongestHoleOutsinyards",2009
95,96,"Charlie Wi",92,123,NA,3,9,"LongestHoleOutsinyards",2009
95,97,"Mathias Gronberg",37,123,NA,2,12,"LongestHoleOutsinyards",2009
98,99,"Jimmy Walker",74,122,NA,2,4,"LongestHoleOutsinyards",2009
100,100,"Vance Veazey",4,121,NA,1,9,"LongestHoleOutsinyards",2009
101,101,"Kevin Stadler",65,120,NA,1,9,"LongestHoleOutsinyards",2009
101,103,"Ian Poulter",59,120,NA,1,5,"LongestHoleOutsinyards",2009
104,105,"Greg Owen",97,117,NA,2,15,"LongestHoleOutsinyards",2009
106,106,"Mark Hensby",14,114,NA,4,16,"LongestHoleOutsinyards",2009
106,107,"JJ Henry",97,114,NA,1,1,"LongestHoleOutsinyards",2009
106,108,"Ken Duke",87,114,NA,2,4,"LongestHoleOutsinyards",2009
110,110,"JL Lewis",10,112,NA,1,6,"LongestHoleOutsinyards",2009
111,111,"DA Points",99,110,NA,1,8,"LongestHoleOutsinyards",2009
112,112,"Ryan Moore",89,109,NA,2,13,"LongestHoleOutsinyards",2009
113,113,"Chez Reavie",81,108,NA,1,17,"LongestHoleOutsinyards",2009
113,114,"Vijay Singh",71,108,NA,2,18,"LongestHoleOutsinyards",2009
115,115,"Justin Leonard",95,107,NA,2,15,"LongestHoleOutsinyards",2009
116,116,"Jeev Milkha Singh",49,105,NA,4,4,"LongestHoleOutsinyards",2009
116,117,"Jason Dufner",90,105,NA,1,6,"LongestHoleOutsinyards",2009
118,119,"Mark Wilson",99,104,NA,2,18,"LongestHoleOutsinyards",2009
118,120,"Woody Austin",84,104,NA,2,3,"LongestHoleOutsinyards",2009
121,121,"Kenny Perry",92,103,NA,1,17,"LongestHoleOutsinyards",2009
121,122,"Tim Clark",81,103,NA,4,17,"LongestHoleOutsinyards",2009
123,123,"Trevor Immelman",41,101,NA,4,6,"LongestHoleOutsinyards",2009
124,125,"Mark Calcavecchia",72,100,NA,4,3,"LongestHoleOutsinyards",2009
127,127,"Steve Stricker",81,98,NA,4,6,"LongestHoleOutsinyards",2009
127,129,"Bill Lunde",83,98,NA,1,17,"LongestHoleOutsinyards",2009
130,131,"Nick OHern",90,97,NA,4,8,"LongestHoleOutsinyards",2009
132,132,"Stephen Ames",77,96,NA,1,18,"LongestHoleOutsinyards",2009
134,134,"Tommy Gainey",46,93,NA,2,1,"LongestHoleOutsinyards",2009
134,135,"Scott Piercy",85,93,NA,4,10,"LongestHoleOutsinyards",2009
