"Approach150175yardsRTPScore_RANKTHISWEEK_2012","Approach150175yardsRTPScore_RANKLASTWEEK_2012","Approach150175yardsRTPScore_PLAYERNAME_2012","Approach150175yardsRTPScore_ROUNDS_2012","Approach150175yardsRTPScore_AVGRTP_2012","stat_name","year"
1,1,"Tiger Woods",69,-0.188,"Approach150175yardsRTPScore",2012
2,2,"Sergio Garcia",57,-0.141,"Approach150175yardsRTPScore",2012
3,3,"Webb Simpson",77,-0.126,"Approach150175yardsRTPScore",2012
4,4,"Hunter Mahan",88,-0.122,"Approach150175yardsRTPScore",2012
4,4,"Jeff Overton",101,-0.122,"Approach150175yardsRTPScore",2012
6,6,"Brandt Snedeker",81,-0.121,"Approach150175yardsRTPScore",2012
6,6,"Lee Westwood",60,-0.121,"Approach150175yardsRTPScore",2012
8,8,"Scott Piercy",95,-0.118,"Approach150175yardsRTPScore",2012
9,9,"Graeme McDowell",55,-0.116,"Approach150175yardsRTPScore",2012
10,10,"Bo Van Pelt",84,-0.115,"Approach150175yardsRTPScore",2012
11,11,"Jason Dufner",83,-0.11,"Approach150175yardsRTPScore",2012
12,12,"Spencer Levin",81,-0.108,"Approach150175yardsRTPScore",2012
13,13,"Jonathan Byrd",69,-0.107,"Approach150175yardsRTPScore",2012
14,14,"Adam Scott",59,-0.106,"Approach150175yardsRTPScore",2012
15,15,"Matt Every",80,-0.105,"Approach150175yardsRTPScore",2012
16,16,"Ryan Moore",89,-0.102,"Approach150175yardsRTPScore",2012
17,17,"Matt Kuchar",86,-0.101,"Approach150175yardsRTPScore",2012
18,18,"Zach Johnson",95,-0.099,"Approach150175yardsRTPScore",2012
19,19,"Bryce Molder",83,-0.092,"Approach150175yardsRTPScore",2012
19,19,"Justin Rose",69,-0.092,"Approach150175yardsRTPScore",2012
21,21,"Robert Allenby",76,-0.088,"Approach150175yardsRTPScore",2012
22,22,"Sean OHair",84,-0.083,"Approach150175yardsRTPScore",2012
23,23,"Blake Adams",107,-0.082,"Approach150175yardsRTPScore",2012
23,23,"Bill Haas",79,-0.082,"Approach150175yardsRTPScore",2012
25,25,"Keegan Bradley",90,-0.081,"Approach150175yardsRTPScore",2012
25,25,"Brian Gay",91,-0.081,"Approach150175yardsRTPScore",2012
25,25,"Vaughn Taylor",81,-0.081,"Approach150175yardsRTPScore",2012
28,28,"Carl Pettersson",92,-0.079,"Approach150175yardsRTPScore",2012
29,29,"Padraig Harrington",67,-0.077,"Approach150175yardsRTPScore",2012
29,29,"DA Points",88,-0.077,"Approach150175yardsRTPScore",2012
29,29,"David Toms",60,-0.077,"Approach150175yardsRTPScore",2012
32,32,"Jim Furyk",85,-0.076,"Approach150175yardsRTPScore",2012
33,33,"Robert Garrigus",89,-0.075,"Approach150175yardsRTPScore",2012
34,34,"Gary Christian",91,-0.074,"Approach150175yardsRTPScore",2012
34,34,"Chris Kirk",93,-0.074,"Approach150175yardsRTPScore",2012
34,34,"David Mathis",83,-0.074,"Approach150175yardsRTPScore",2012
34,34,"Kevin Streelman",89,-0.074,"Approach150175yardsRTPScore",2012
38,38,"Ian Poulter",57,-0.073,"Approach150175yardsRTPScore",2012
