"Front9ScoringAverage_RANKTHISWEEK_2008","Front9ScoringAverage_RANKLASTWEEK_2008","Front9ScoringAverage_PLAYERNAME_2008","Front9ScoringAverage_ROUNDS_2008","Front9ScoringAverage_AVG_2008","Front9ScoringAverage_TOTALSTROKES_2008","Front9ScoringAverage_TOTALHOLES_2008","stat_name","year"
1,1,"Bob Tway",70,34.69,2428,70,"Front9ScoringAverage",2008
2,2,"Phil Mickelson",80,34.87,2720,78,"Front9ScoringAverage",2008
3,3,"Anthony Kim",81,34.88,2825,81,"Front9ScoringAverage",2008
4,4,"Steve Marino",119,34.93,4157,119,"Front9ScoringAverage",2008
5,5,"Kevin Sutherland",98,34.97,3427,98,"Front9ScoringAverage",2008
6,6,"Brian Gay",102,34.98,3568,102,"Front9ScoringAverage",2008
7,7,"Mike Weir",88,35.06,3050,87,"Front9ScoringAverage",2008
8,8,"Steve Allan",58,35.07,2034,58,"Front9ScoringAverage",2008
8,8,"Jim Furyk",95,35.07,3297,94,"Front9ScoringAverage",2008
8,8,"Justin Leonard",101,35.07,3332,95,"Front9ScoringAverage",2008
11,11,"Chad Campbell",94,35.1,3299,94,"Front9ScoringAverage",2008
11,11,"Sergio Garcia",72,35.1,2457,70,"Front9ScoringAverage",2008
11,11,"Kenny Perry",97,35.1,3405,97,"Front9ScoringAverage",2008
14,14,"Charlie Wi",97,35.12,3407,97,"Front9ScoringAverage",2008
15,15,"Kevin Na",97,35.13,3408,97,"Front9ScoringAverage",2008
15,15,"Ryan Palmer",69,35.13,2424,69,"Front9ScoringAverage",2008
17,17,"John Senden",93,35.14,3233,92,"Front9ScoringAverage",2008
18,18,"Pat Perez",93,35.15,3234,92,"Front9ScoringAverage",2008
18,18,"Carl Pettersson",110,35.15,3866,110,"Front9ScoringAverage",2008
20,20,"Bob Estes",90,35.17,3165,90,"Front9ScoringAverage",2008
20,20,"Corey Pavin",69,35.17,2427,69,"Front9ScoringAverage",2008
20,20,"Camilo Villegas",79,35.17,2743,78,"Front9ScoringAverage",2008
23,23,"Steve Elkington",84,35.18,2955,84,"Front9ScoringAverage",2008
23,23,"Bill Haas",99,35.18,3483,99,"Front9ScoringAverage",2008
25,25,"Billy Mayfair",103,35.19,3625,103,"Front9ScoringAverage",2008
26,26,"Robert Allenby",108,35.2,3766,107,"Front9ScoringAverage",2008
26,26,"Glen Day",64,35.2,2253,64,"Front9ScoringAverage",2008
28,28,"Ben Crane",86,35.21,3028,86,"Front9ScoringAverage",2008
28,28,"Mark Wilson",107,35.21,3767,107,"Front9ScoringAverage",2008
30,30,"Joe Durant",92,35.22,3240,92,"Front9ScoringAverage",2008
31,31,"Stewart Cink",87,35.23,2854,81,"Front9ScoringAverage",2008
32,32,"Zach Johnson",85,35.24,2960,84,"Front9ScoringAverage",2008
32,32,"Chris Riley",51,35.24,1797,51,"Front9ScoringAverage",2008
34,34,"Hunter Mahan",87,35.25,2996,85,"Front9ScoringAverage",2008
35,35,"Aaron Baddeley",76,35.27,2575,73,"Front9ScoringAverage",2008
36,36,"Tom Pernice Jr",104,35.28,3669,104,"Front9ScoringAverage",2008
36,36,"Vijay Singh",82,35.28,2752,78,"Front9ScoringAverage",2008
36,36,"Scott Verplank",82,35.28,2858,81,"Front9ScoringAverage",2008
39,39,"Alejandro Canizares",52,35.29,1835,52,"Front9ScoringAverage",2008
39,39,"Tim Clark",90,35.29,3141,89,"Front9ScoringAverage",2008
39,39,"Tim Herron",97,35.29,3423,97,"Front9ScoringAverage",2008
42,42,"Nick OHern",82,35.3,2824,80,"Front9ScoringAverage",2008
