"MoneyLeaders_RANKTHISWEEK_2012","MoneyLeaders_RANKLASTWEEK_2012","MoneyLeaders_PLAYERNAME_2012","MoneyLeaders_EVENTS_2012","MoneyLeaders_MONEY_2012","MoneyLeaders_YTDVICTORIES_2012","stat_name","year"
1,1,"Rory McIlroy",16,8047952,4,"MoneyLeaders",2012
2,2,"Tiger Woods",19,6133158,3,"MoneyLeaders",2012
3,3,"Brandt Snedeker",22,4989739,2,"MoneyLeaders",2012
4,4,"Jason Dufner",22,4869304,2,"MoneyLeaders",2012
5,5,"Bubba Watson",19,4644997,1,"MoneyLeaders",2012
6,6,"Zach Johnson",25,4504244,2,"MoneyLeaders",2012
7,7,"Justin Rose",19,4290930,1,"MoneyLeaders",2012
8,8,"Phil Mickelson",22,4203821,1,"MoneyLeaders",2012
9,9,"Hunter Mahan",23,4019193,2,"MoneyLeaders",2012
10,10,"Keegan Bradley",25,3910658,1,"MoneyLeaders",2012
11,11,"Matt Kuchar",22,3903065,1,"MoneyLeaders",2012
12,12,"Jim Furyk",24,3623805,NA,"MoneyLeaders",2012
13,13,"Carl Pettersson",26,3538656,1,"MoneyLeaders",2012
14,14,"Luke Donald",17,3512024,1,"MoneyLeaders",2012
15,15,"Louis Oosthuizen",19,3460995,NA,"MoneyLeaders",2012
16,16,"Ernie Els",22,3453118,1,"MoneyLeaders",2012
17,17,"Webb Simpson",22,3436758,1,"MoneyLeaders",2012
18,18,"Steve Stricker",19,3420021,1,"MoneyLeaders",2012
19,19,"Dustin Johnson",19,3393820,1,"MoneyLeaders",2012
20,20,"Robert Garrigus",26,3206530,NA,"MoneyLeaders",2012
21,21,"Rickie Fowler",23,3066293,1,"MoneyLeaders",2012
22,22,"Nick Watney",26,3044224,1,"MoneyLeaders",2012
23,23,"Bo Van Pelt",24,3043509,NA,"MoneyLeaders",2012
24,24,"Lee Westwood",15,3016569,NA,"MoneyLeaders",2012
25,25,"Adam Scott",16,2899557,NA,"MoneyLeaders",2012
26,26,"Ryan Moore",24,2858944,1,"MoneyLeaders",2012
27,27,"Scott Piercy",28,2699205,1,"MoneyLeaders",2012
28,28,"John Huh",28,2692113,1,"MoneyLeaders",2012
29,29,"Sergio Garcia",16,2510116,1,"MoneyLeaders",2012
30,30,"Ben Curtis",19,2494153,1,"MoneyLeaders",2012
31,31,"Graeme McDowell",16,2408279,NA,"MoneyLeaders",2012
32,32,"Kyle Stanley",27,2351857,1,"MoneyLeaders",2012
33,33,"Bill Haas",23,2349951,1,"MoneyLeaders",2012
34,34,"Jonas Blixt",21,2255695,1,"MoneyLeaders",2012
35,35,"Johnson Wagner",27,2225007,1,"MoneyLeaders",2012
36,36,"Martin Laird",22,2172883,NA,"MoneyLeaders",2012
37,37,"Mark Wilson",25,2144780,1,"MoneyLeaders",2012
38,38,"Kevin Na",25,2029943,NA,"MoneyLeaders",2012
39,39,"Brendon de Jonge",31,2015252,NA,"MoneyLeaders",2012
40,40,"Matt Every",25,1972166,NA,"MoneyLeaders",2012
41,41,"Marc Leishman",23,1933761,1,"MoneyLeaders",2012
42,42,"John Senden",22,1916651,NA,"MoneyLeaders",2012
43,43,"Charlie Wi",25,1845397,NA,"MoneyLeaders",2012
44,44,"Bud Cauley",28,1774479,NA,"MoneyLeaders",2012
45,45,"Ian Poulter",15,1715271,1,"MoneyLeaders",2012
46,46,"Ben Crane",23,1701365,NA,"MoneyLeaders",2012
47,47,"David Toms",19,1658428,NA,"MoneyLeaders",2012
48,48,"Jimmy Walker",28,1638419,NA,"MoneyLeaders",2012
49,49,"Seung Yul Noh",28,1629751,NA,"MoneyLeaders",2012
50,50,"Jonathan Byrd",21,1616789,NA,"MoneyLeaders",2012
51,51,"Vijay Singh",27,1586305,NA,"MoneyLeaders",2012
52,52,"Jeff Overton",29,1563670,NA,"MoneyLeaders",2012
53,53,"Padraig Harrington",18,1546272,NA,"MoneyLeaders",2012
