"BestYTD1PuttorBetterStreak_RANKTHISWEEK_2010","BestYTD1PuttorBetterStreak_RANKLASTWEEK_2010","BestYTD1PuttorBetterStreak_PLAYERNAME_2010","BestYTD1PuttorBetterStreak_EVENTS_2010","BestYTD1PuttorBetterStreak_VALUE_2010","stat_name","year"
1,1,"Brian Gay",30,14,"BestYTD1PuttorBetterStreak",2010
2,2,"Jarrod Lyle",18,13,"BestYTD1PuttorBetterStreak",2010
3,3,"Scott Piercy",28,11,"BestYTD1PuttorBetterStreak",2010
3,3,"Rory Sabbatini",26,11,"BestYTD1PuttorBetterStreak",2010
5,5,"Rich Barcelo",25,10,"BestYTD1PuttorBetterStreak",2010
5,5,"Cameron Beckman",25,10,"BestYTD1PuttorBetterStreak",2010
5,5,"Matt Bettencourt",32,10,"BestYTD1PuttorBetterStreak",2010
5,5,"Tim Clark",24,10,"BestYTD1PuttorBetterStreak",2010
5,5,"Ben Crane",24,10,"BestYTD1PuttorBetterStreak",2010
5,5,"Luke Donald",20,10,"BestYTD1PuttorBetterStreak",2010
5,5,"Paul Goydos",25,10,"BestYTD1PuttorBetterStreak",2010
5,5,"Ryuji Imada",28,10,"BestYTD1PuttorBetterStreak",2010
5,5,"Robert Karlsson",11,10,"BestYTD1PuttorBetterStreak",2010
5,5,"Jeff Klauk",13,10,"BestYTD1PuttorBetterStreak",2010
5,5,"George McNeill",28,10,"BestYTD1PuttorBetterStreak",2010
5,5,"Kevin Na",26,10,"BestYTD1PuttorBetterStreak",2010
5,5,"Michael Sim",20,10,"BestYTD1PuttorBetterStreak",2010
5,5,"Paul Stankowski",18,10,"BestYTD1PuttorBetterStreak",2010
5,5,"Tom Watson",3,10,"BestYTD1PuttorBetterStreak",2010
5,5,"Bubba Watson",22,10,"BestYTD1PuttorBetterStreak",2010
5,5,"Brett Wetterich",16,10,"BestYTD1PuttorBetterStreak",2010
5,5,"Charlie Wi",27,10,"BestYTD1PuttorBetterStreak",2010
23,23,"Michael Allen",17,9,"BestYTD1PuttorBetterStreak",2010
23,23,"Arjun Atwal",13,9,"BestYTD1PuttorBetterStreak",2010
23,23,"Ricky Barnes",28,9,"BestYTD1PuttorBetterStreak",2010
23,23,"KJ Choi",22,9,"BestYTD1PuttorBetterStreak",2010
23,23,"Chad Collins",26,9,"BestYTD1PuttorBetterStreak",2010
23,23,"Jim Furyk",21,9,"BestYTD1PuttorBetterStreak",2010
23,23,"Mathias Gronberg",22,9,"BestYTD1PuttorBetterStreak",2010
23,23,"Zach Johnson",25,9,"BestYTD1PuttorBetterStreak",2010
23,23,"Martin Kaymer",10,9,"BestYTD1PuttorBetterStreak",2010
23,23,"Bill Lunde",28,9,"BestYTD1PuttorBetterStreak",2010
23,23,"John Mallinger",29,9,"BestYTD1PuttorBetterStreak",2010
23,23,"Troy Merritt",29,9,"BestYTD1PuttorBetterStreak",2010
23,23,"Shaun Micheel",21,9,"BestYTD1PuttorBetterStreak",2010
23,23,"Bryce Molder",26,9,"BestYTD1PuttorBetterStreak",2010
23,23,"Ryan Moore",24,9,"BestYTD1PuttorBetterStreak",2010
23,23,"Eddie Olson",1,9,"BestYTD1PuttorBetterStreak",2010
23,23,"Carl Pettersson",29,9,"BestYTD1PuttorBetterStreak",2010
23,23,"Andres Romero",21,9,"BestYTD1PuttorBetterStreak",2010
23,23,"Justin Rose",22,9,"BestYTD1PuttorBetterStreak",2010
23,23,"Brandt Snedeker",26,9,"BestYTD1PuttorBetterStreak",2010
43,43,"Woody Austin",29,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Aaron Baddeley",26,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Henrik Bjornstad",26,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Mark Brooks",14,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Paul Casey",17,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Greg Chalmers",27,8,"BestYTD1PuttorBetterStreak",2010
43,43,"John Daly",20,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Brian Davis",32,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Brendon de Jonge",32,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Graham DeLaet",28,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Jason Dufner",25,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Joe Durant",19,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Steve Elkington",22,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Ernie Els",20,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Rickie Fowler",28,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Carlos Franco",11,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Harrison Frazar",17,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Nathan Green",27,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Tim Herron",24,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Charley Hoffman",24,8,"BestYTD1PuttorBetterStreak",2010
43,43,"JB Holmes",26,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Trevor Immelman",19,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Lee Janzen",26,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Richard Johnson",27,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Matt Jones",27,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Anthony Kim",14,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Matt Kuchar",26,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Martin Laird",26,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Marc Leishman",26,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Justin Leonard",27,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Michael Letzig",27,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Hunter Mahan",25,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Graeme McDowell",10,8,"BestYTD1PuttorBetterStreak",2010
43,43,"John Merrick",31,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Phil Mickelson",20,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Joe Ogilvie",32,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Greg Owen",27,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Ryan Palmer",27,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Brenden Pappas",24,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Corey Pavin",8,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Pat Perez",27,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Kenny Perry",20,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Alvaro Quiros",9,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Webb Simpson",31,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Henrik Stenson",15,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Ron Streck",1,8,"BestYTD1PuttorBetterStreak",2010
43,43,"David Toms",25,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Bo Van Pelt",28,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Scott Verplank",22,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Lee Westwood",11,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Dean Wilson",18,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Chris Wilson",26,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Willie Wood",2,8,"BestYTD1PuttorBetterStreak",2010
43,43,"Kaname Yokoo",2,8,"BestYTD1PuttorBetterStreak",2010
97,97,"Blake Adams",26,7,"BestYTD1PuttorBetterStreak",2010
97,97,"Steve Allan",2,7,"BestYTD1PuttorBetterStreak",2010
97,97,"Robert Allenby",22,7,"BestYTD1PuttorBetterStreak",2010
97,97,"Stuart Appleby",31,7,"BestYTD1PuttorBetterStreak",2010
97,97,"Briny Baird",28,7,"BestYTD1PuttorBetterStreak",2010
97,97,"Rich Beem",11,7,"BestYTD1PuttorBetterStreak",2010
