"YTDConsecutiveCuts_RANKTHISWEEK_2014","YTDConsecutiveCuts_RANKLASTWEEK_2014","YTDConsecutiveCuts_PLAYERNAME_2014","YTDConsecutiveCuts__2014","YTDConsecutiveCuts_NUMBEROFCUTS_2014","stat_name","year"
1,1,"Jim Furyk",NA,21,"YTDConsecutiveCuts",2014
2,2,"Rory McIlroy",NA,17,"YTDConsecutiveCuts",2014
2,2,"Adam Scott",NA,17,"YTDConsecutiveCuts",2014
4,4,"Bill Haas",NA,15,"YTDConsecutiveCuts",2014
5,5,"Retief Goosen",NA,14,"YTDConsecutiveCuts",2014
6,6,"Francesco Molinari",NA,12,"YTDConsecutiveCuts",2014
6,6,"Henrik Stenson",NA,12,"YTDConsecutiveCuts",2014
8,8,"Steve Stricker",NA,11,"YTDConsecutiveCuts",2014
9,9,"Matt Kuchar",NA,10,"YTDConsecutiveCuts",2014
9,9,"Graeme McDowell",NA,10,"YTDConsecutiveCuts",2014
11,11,"Kevin Chappell",NA,9,"YTDConsecutiveCuts",2014
11,11,"Rickie Fowler",NA,9,"YTDConsecutiveCuts",2014
11,11,"Sergio Garcia",NA,9,"YTDConsecutiveCuts",2014
11,11,"Jerry Kelly",NA,9,"YTDConsecutiveCuts",2014
11,11,"Phil Mickelson",NA,9,"YTDConsecutiveCuts",2014
16,16,"Zach Johnson",NA,8,"YTDConsecutiveCuts",2014
16,16,"Andres Romero",NA,8,"YTDConsecutiveCuts",2014
16,16,"Justin Rose",NA,8,"YTDConsecutiveCuts",2014
16,16,"Kevin Stadler",NA,8,"YTDConsecutiveCuts",2014
20,20,"Jason Day",NA,7,"YTDConsecutiveCuts",2014
20,20,"Ernie Els",NA,7,"YTDConsecutiveCuts",2014
20,20,"Jeff Overton",NA,7,"YTDConsecutiveCuts",2014
20,20,"Ryan Palmer",NA,7,"YTDConsecutiveCuts",2014
20,20,"Patrick Reed",NA,7,"YTDConsecutiveCuts",2014
20,20,"Charl Schwartzel",NA,7,"YTDConsecutiveCuts",2014
26,26,"JJ Henry",NA,6,"YTDConsecutiveCuts",2014
26,26,"Brooks Koepka",NA,6,"YTDConsecutiveCuts",2014
26,26,"Hunter Mahan",NA,6,"YTDConsecutiveCuts",2014
26,26,"William McGirt",NA,6,"YTDConsecutiveCuts",2014
26,26,"Bubba Watson",NA,6,"YTDConsecutiveCuts",2014
31,31,"Ricky Barnes",NA,5,"YTDConsecutiveCuts",2014
31,31,"Joe Durant",NA,5,"YTDConsecutiveCuts",2014
31,31,"Derek Ernst",NA,5,"YTDConsecutiveCuts",2014
