"AverageDistancetoHoleAfterTeeShot_RANKTHISWEEK_2011","AverageDistancetoHoleAfterTeeShot_RANKLASTWEEK_2011","AverageDistancetoHoleAfterTeeShot_PLAYERNAME_2011","AverageDistancetoHoleAfterTeeShot_ROUNDS_2011","AverageDistancetoHoleAfterTeeShot_AVG_2011","AverageDistancetoHoleAfterTeeShot_TOTALDISTAFTERTEESHOT_2011","AverageDistancetoHoleAfterTeeShot_TOTALTEESHOTS_2011","stat_name","year"
95,95,"Ben Crane",76,173.8,5386547,861,"AverageDistancetoHoleAfterTeeShot",2011
95,95,"David Duval",67,173.8,4980958,796,"AverageDistancetoHoleAfterTeeShot",2011
95,95,"Lucas Glover",74,173.8,5248080,839,"AverageDistancetoHoleAfterTeeShot",2011
95,95,"Camilo Villegas",69,173.8,4931665,788,"AverageDistancetoHoleAfterTeeShot",2011
99,99,"Lee Janzen",62,174,4316597,689,"AverageDistancetoHoleAfterTeeShot",2011
100,100,"Scott McCarron",65,174.3,4680963,746,"AverageDistancetoHoleAfterTeeShot",2011
100,100,"Alexandre Rocha",65,174.3,4228022,674,"AverageDistancetoHoleAfterTeeShot",2011
102,102,"Briny Baird",60,174.5,4272886,680,"AverageDistancetoHoleAfterTeeShot",2011
102,102,"Jason Dufner",78,174.5,5653602,900,"AverageDistancetoHoleAfterTeeShot",2011
102,102,"Kevin Kisner",70,174.5,4924629,784,"AverageDistancetoHoleAfterTeeShot",2011
102,102,"Ben Martin",74,174.5,5604424,892,"AverageDistancetoHoleAfterTeeShot",2011
106,106,"Chad Campbell",99,174.7,7495805,1192,"AverageDistancetoHoleAfterTeeShot",2011
107,107,"Matt Kuchar",94,174.8,6249053,993,"AverageDistancetoHoleAfterTeeShot",2011
108,108,"Matt Jones",71,174.9,5529538,878,"AverageDistancetoHoleAfterTeeShot",2011
109,109,"Geoff Ogilvy",69,175.3,4676046,741,"AverageDistancetoHoleAfterTeeShot",2011
109,109,"John Senden",94,175.3,7068444,1120,"AverageDistancetoHoleAfterTeeShot",2011
111,111,"JJ Henry",96,175.7,6889390,1089,"AverageDistancetoHoleAfterTeeShot",2011
111,111,"Freddie Jacobson",92,175.7,6111081,966,"AverageDistancetoHoleAfterTeeShot",2011
111,111,"Spencer Levin",113,175.7,8188932,1295,"AverageDistancetoHoleAfterTeeShot",2011
111,111,"Charl Schwartzel",58,175.7,3535349,559,"AverageDistancetoHoleAfterTeeShot",2011
115,115,"Troy Merritt",63,175.9,4944602,781,"AverageDistancetoHoleAfterTeeShot",2011
115,115,"Chez Reavie",92,175.9,7186532,1135,"AverageDistancetoHoleAfterTeeShot",2011
117,117,"Hunter Haas",96,176,7424693,1172,"AverageDistancetoHoleAfterTeeShot",2011
117,117,"Trevor Immelman",84,176,5836818,921,"AverageDistancetoHoleAfterTeeShot",2011
117,117,"Ryan Moore",79,176,5251788,829,"AverageDistancetoHoleAfterTeeShot",2011
120,120,"DJ Brigman",67,176.1,4755399,750,"AverageDistancetoHoleAfterTeeShot",2011
120,120,"Ian Poulter",52,176.1,3435351,542,"AverageDistancetoHoleAfterTeeShot",2011
122,122,"Jason Bohn",74,176.3,5907578,931,"AverageDistancetoHoleAfterTeeShot",2011
122,122,"Heath Slocum",89,176.3,6518255,1027,"AverageDistancetoHoleAfterTeeShot",2011
124,124,"Cameron Beckman",71,176.4,5588739,880,"AverageDistancetoHoleAfterTeeShot",2011
125,125,"Brendon de Jonge",105,176.6,8028752,1263,"AverageDistancetoHoleAfterTeeShot",2011
125,125,"Justin Hicks",60,176.6,3878193,610,"AverageDistancetoHoleAfterTeeShot",2011
127,127,"Justin Rose",79,176.7,5558641,874,"AverageDistancetoHoleAfterTeeShot",2011
128,128,"Stuart Appleby",65,176.8,5236996,823,"AverageDistancetoHoleAfterTeeShot",2011
129,129,"Shane Bertsch",62,176.9,4585617,720,"AverageDistancetoHoleAfterTeeShot",2011
129,129,"Fabian Gomez",84,176.9,6016754,945,"AverageDistancetoHoleAfterTeeShot",2011
129,129,"Steve Stricker",70,176.9,4720193,741,"AverageDistancetoHoleAfterTeeShot",2011
129,129,"Vaughn Taylor",89,176.9,7234727,1136,"AverageDistancetoHoleAfterTeeShot",2011
133,133,"Arjun Atwal",91,177.2,7247858,1136,"AverageDistancetoHoleAfterTeeShot",2011
134,134,"YE Yang",63,177.3,3715176,582,"AverageDistancetoHoleAfterTeeShot",2011
135,135,"Kris Blanks",92,177.6,7369960,1153,"AverageDistancetoHoleAfterTeeShot",2011
135,135,"Stewart Cink",72,177.6,4570248,715,"AverageDistancetoHoleAfterTeeShot",2011
137,137,"DA Points",89,177.7,6519048,1019,"AverageDistancetoHoleAfterTeeShot",2011
138,138,"Retief Goosen",50,177.8,3469489,542,"AverageDistancetoHoleAfterTeeShot",2011
139,139,"Steve Flesch",88,177.9,6840154,1068,"AverageDistancetoHoleAfterTeeShot",2011
140,140,"Matt McQuillan",59,178.1,4258391,664,"AverageDistancetoHoleAfterTeeShot",2011
141,141,"Paul Stankowski",78,178.3,5724312,892,"AverageDistancetoHoleAfterTeeShot",2011
141,141,"Charlie Wi",83,178.3,6798095,1059,"AverageDistancetoHoleAfterTeeShot",2011
143,143,"Ryuji Imada",83,178.5,6719757,1046,"AverageDistancetoHoleAfterTeeShot",2011
144,144,"Jarrod Lyle",83,178.6,6353840,988,"AverageDistancetoHoleAfterTeeShot",2011
145,145,"Tim Petrovic",88,178.8,6817223,1059,"AverageDistancetoHoleAfterTeeShot",2011
145,145,"Mark Wilson",89,178.8,6199739,963,"AverageDistancetoHoleAfterTeeShot",2011
147,147,"Billy Mayfair",94,178.9,7591539,1179,"AverageDistancetoHoleAfterTeeShot",2011
148,148,"Stephen Ames",69,179,5340860,829,"AverageDistancetoHoleAfterTeeShot",2011
148,148,"Joe Durant",71,179,5697115,884,"AverageDistancetoHoleAfterTeeShot",2011
148,148,"Kent Jones",76,179,5972456,927,"AverageDistancetoHoleAfterTeeShot",2011
151,151,"Brian Davis",105,179.2,8192843,1270,"AverageDistancetoHoleAfterTeeShot",2011
151,151,"JP Hayes",56,179.2,4277012,663,"AverageDistancetoHoleAfterTeeShot",2011
153,153,"Jim Furyk",87,179.4,6309973,977,"AverageDistancetoHoleAfterTeeShot",2011
154,154,"Aron Price",58,179.5,4400386,681,"AverageDistancetoHoleAfterTeeShot",2011
155,155,"Woody Austin",59,179.7,4464860,690,"AverageDistancetoHoleAfterTeeShot",2011
155,155,"Steve Elkington",50,179.7,3752184,580,"AverageDistancetoHoleAfterTeeShot",2011
157,157,"Nathan Green",81,179.9,6225342,961,"AverageDistancetoHoleAfterTeeShot",2011
158,158,"Rich Beem",53,180.1,4058339,626,"AverageDistancetoHoleAfterTeeShot",2011
159,159,"Shaun Micheel",77,180.4,5759897,887,"AverageDistancetoHoleAfterTeeShot",2011
160,160,"Johnson Wagner",81,181,6325677,971,"AverageDistancetoHoleAfterTeeShot",2011
161,161,"Luke Donald",73,181.2,4715505,723,"AverageDistancetoHoleAfterTeeShot",2011
162,162,"Colt Knost",80,181.3,6062986,929,"AverageDistancetoHoleAfterTeeShot",2011
162,162,"David Toms",78,181.3,5318373,815,"AverageDistancetoHoleAfterTeeShot",2011
162,162,"Garrett Willis",71,181.3,5762612,883,"AverageDistancetoHoleAfterTeeShot",2011
165,165,"Chris DiMarco",93,181.4,7410564,1135,"AverageDistancetoHoleAfterTeeShot",2011
165,165,"Bryce Molder",82,181.4,6385296,978,"AverageDistancetoHoleAfterTeeShot",2011
165,165,"Chris Riley",76,181.4,6130686,939,"AverageDistancetoHoleAfterTeeShot",2011
168,168,"Jerry Kelly",85,181.6,6157004,942,"AverageDistancetoHoleAfterTeeShot",2011
169,169,"Michael Connell",76,181.9,6494333,992,"AverageDistancetoHoleAfterTeeShot",2011
169,169,"David Mathis",83,181.9,6369869,973,"AverageDistancetoHoleAfterTeeShot",2011
169,169,"Kevin Na",84,181.9,6111276,933,"AverageDistancetoHoleAfterTeeShot",2011
172,172,"Justin Leonard",82,182.1,6659430,1016,"AverageDistancetoHoleAfterTeeShot",2011
173,173,"Greg Chalmers",88,182.2,7169140,1093,"AverageDistancetoHoleAfterTeeShot",2011
174,174,"Zach Johnson",79,182.4,5845245,890,"AverageDistancetoHoleAfterTeeShot",2011
174,174,"Daniel Summerhays",75,182.4,5908339,900,"AverageDistancetoHoleAfterTeeShot",2011
176,176,"KJ Choi",77,182.5,5295807,806,"AverageDistancetoHoleAfterTeeShot",2011
177,177,"Ben Curtis",66,183.1,5676858,861,"AverageDistancetoHoleAfterTeeShot",2011
178,178,"Rocco Mediate",53,183.4,4391258,665,"AverageDistancetoHoleAfterTeeShot",2011
179,179,"Nick OHern",89,183.5,6990909,1058,"AverageDistancetoHoleAfterTeeShot",2011
180,180,"Nate Smith",66,184.4,4826236,727,"AverageDistancetoHoleAfterTeeShot",2011
181,181,"Alex Cejka",59,184.5,4271825,643,"AverageDistancetoHoleAfterTeeShot",2011
182,182,"Paul Goydos",81,185.1,6808707,1022,"AverageDistancetoHoleAfterTeeShot",2011
182,182,"Marc Turnesa",54,185.1,4231294,635,"AverageDistancetoHoleAfterTeeShot",2011
184,184,"Dean Wilson",62,186.4,5192978,774,"AverageDistancetoHoleAfterTeeShot",2011
185,185,"Brian Gay",90,186.5,6862150,1022,"AverageDistancetoHoleAfterTeeShot",2011
186,186,"Richard Johnson",64,187.5,4993907,740,"AverageDistancetoHoleAfterTeeShot",2011
