"LongestHoleOutsinyards_RANKTHISWEEK_2005","LongestHoleOutsinyards_RANKLASTWEEK_2005","LongestHoleOutsinyards_PLAYERNAME_2005","LongestHoleOutsinyards_ROUNDS_2005","LongestHoleOutsinyards_DISTANCE_2005","LongestHoleOutsinyards_TOURNAMENT_2005","LongestHoleOutsinyards_ROUNDCOURSE_2005","LongestHoleOutsinyards_HOLE_2005","stat_name","year"
1,715,"Chris Riley",67,418,NA,1,8,"LongestHoleOutsinyards",2005
2,1,"Marco Dawson",82,256,NA,3,9,"LongestHoleOutsinyards",2005
3,2,"Mathias Gronberg",60,247,NA,4,6,"LongestHoleOutsinyards",2005
4,3,"Tim Petrovic",97,240,NA,1,11,"LongestHoleOutsinyards",2005
5,4,"Bill Glasson",54,217,NA,4,16,"LongestHoleOutsinyards",2005
6,5,"Dean Wilson",86,216,NA,2,9,"LongestHoleOutsinyards",2005
7,6,"Jason Allred",75,208,NA,4,3,"LongestHoleOutsinyards",2005
8,7,"Peter Lonard",85,206,NA,1,3,"LongestHoleOutsinyards",2005
9,8,"Shigeki Maruyama",99,202,NA,3,4,"LongestHoleOutsinyards",2005
9,9,"Darron Stiles",78,202,NA,4,15,"LongestHoleOutsinyards",2005
11,10,"David Toms",87,201,NA,3,4,"LongestHoleOutsinyards",2005
12,11,"Phil Mickelson",81,200,NA,3,7,"LongestHoleOutsinyards",2005
12,12,"Stephen Leaney",89,200,NA,3,3,"LongestHoleOutsinyards",2005
14,13,"Jay Delsing",37,196,NA,1,7,"LongestHoleOutsinyards",2005
15,14,"Vijay Singh",111,195,NA,4,17,"LongestHoleOutsinyards",2005
17,16,"Richard Green",37,194,NA,1,11,"LongestHoleOutsinyards",2005
18,17,"Hidemichi Tanaka",106,192,NA,1,17,"LongestHoleOutsinyards",2005
19,18,"Matt Kuchar",60,189,NA,4,7,"LongestHoleOutsinyards",2005
20,19,"Tom Lehman",69,188,NA,3,11,"LongestHoleOutsinyards",2005
21,20,"Kevin Stadler",96,186,NA,2,3,"LongestHoleOutsinyards",2005
22,21,"Michael Long",72,184,NA,2,12,"LongestHoleOutsinyards",2005
23,22,"Andrew Magee",82,182,NA,2,2,"LongestHoleOutsinyards",2005
24,23,"Robert Allenby",95,180,NA,4,11,"LongestHoleOutsinyards",2005
24,24,"Loren Roberts",54,180,NA,2,16,"LongestHoleOutsinyards",2005
26,25,"Joey Sindelar",104,179,NA,1,10,"LongestHoleOutsinyards",2005
27,26,"Jose Coceres",56,178,NA,2,17,"LongestHoleOutsinyards",2005
28,27,"Stewart Cink",98,177,NA,4,5,"LongestHoleOutsinyards",2005
29,28,"Steve Lowery",100,176,NA,3,18,"LongestHoleOutsinyards",2005
32,31,"Esteban Toledo",19,172,NA,1,18,"LongestHoleOutsinyards",2005
32,32,"Ben Curtis",65,172,NA,1,12,"LongestHoleOutsinyards",2005
34,33,"Hideto Tanihara",50,170,NA,2,9,"LongestHoleOutsinyards",2005
35,34,"Darren Clarke",41,167,NA,1,6,"LongestHoleOutsinyards",2005
35,35,"Tag Ridings",93,167,NA,1,15,"LongestHoleOutsinyards",2005
37,36,"DJ Trahan",81,165,NA,3,16,"LongestHoleOutsinyards",2005
37,37,"Brendan Jones",81,165,NA,1,4,"LongestHoleOutsinyards",2005
37,38,"Billy Andrade",83,165,NA,1,13,"LongestHoleOutsinyards",2005
40,39,"Daniel Chopra",108,164,NA,2,1,"LongestHoleOutsinyards",2005
40,41,"Steve Allan",102,164,NA,1,13,"LongestHoleOutsinyards",2005
43,42,"JL Lewis",98,163,NA,2,2,"LongestHoleOutsinyards",2005
45,45,"Omar Uresti",84,162,NA,1,17,"LongestHoleOutsinyards",2005
47,46,"Craig Barlow",81,161,NA,3,17,"LongestHoleOutsinyards",2005
48,48,"Jim Furyk",94,156,NA,2,8,"LongestHoleOutsinyards",2005
50,49,"Jay Williamson",53,155,NA,3,7,"LongestHoleOutsinyards",2005
52,51,"Franklin Langham",91,154,NA,2,1,"LongestHoleOutsinyards",2005
52,52,"Jonathan Kaye",77,154,NA,1,4,"LongestHoleOutsinyards",2005
54,53,"Matt Gogel",78,153,NA,3,18,"LongestHoleOutsinyards",2005
57,56,"Todd Hamilton",94,151,NA,2,15,"LongestHoleOutsinyards",2005
58,57,"Greg Owen",84,150,NA,1,13,"LongestHoleOutsinyards",2005
58,58,"Robin Freeman",21,150,NA,4,13,"LongestHoleOutsinyards",2005
61,60,"Ryan Moore",48,149,NA,4,4,"LongestHoleOutsinyards",2005
62,61,"Rich Beem",66,148,NA,3,11,"LongestHoleOutsinyards",2005
63,62,"John Morgan",27,147,NA,4,10,"LongestHoleOutsinyards",2005
64,63,"John Maginnes",37,143,NA,2,18,"LongestHoleOutsinyards",2005
65,64,"Tjaart van der Walt",56,141,NA,2,17,"LongestHoleOutsinyards",2005
65,65,"Jim Carter",62,141,NA,3,4,"LongestHoleOutsinyards",2005
65,66,"Notah Begay III",30,141,NA,2,6,"LongestHoleOutsinyards",2005
69,69,"Richard Johnson",50,138,NA,3,1,"LongestHoleOutsinyards",2005
71,70,"Jesper Parnevik",84,137,NA,1,5,"LongestHoleOutsinyards",2005
72,71,"Geoff Ogilvy",97,136,NA,1,18,"LongestHoleOutsinyards",2005
73,72,"Tom Kite",31,135,NA,1,1,"LongestHoleOutsinyards",2005
74,73,"John Daly",78,134,NA,1,9,"LongestHoleOutsinyards",2005
74,74,"Brenden Pappas",51,134,NA,2,5,"LongestHoleOutsinyards",2005
77,76,"Arron Oberholser",65,131,NA,2,3,"LongestHoleOutsinyards",2005
77,77,"Joey Snyder III",102,131,NA,2,11,"LongestHoleOutsinyards",2005
79,78,"Brad Faxon",75,129,NA,1,6,"LongestHoleOutsinyards",2005
82,81,"Billy McKay",2,127,NA,1,16,"LongestHoleOutsinyards",2005
83,82,"Patrick Sheehan",114,125,NA,3,18,"LongestHoleOutsinyards",2005
83,83,"Guy Boros",17,125,NA,1,18,"LongestHoleOutsinyards",2005
83,84,"Steve Jones",56,125,NA,2,13,"LongestHoleOutsinyards",2005
83,85,"Cameron Beckman",96,125,NA,3,18,"LongestHoleOutsinyards",2005
87,86,"Harrison Frazar",105,123,NA,4,18,"LongestHoleOutsinyards",2005
87,87,"Briny Baird",98,123,NA,4,12,"LongestHoleOutsinyards",2005
89,88,"Scott McCarron",78,122,NA,1,6,"LongestHoleOutsinyards",2005
90,89,"Paul Gow",78,120,NA,4,17,"LongestHoleOutsinyards",2005
91,90,"Glen Day",80,117,NA,1,18,"LongestHoleOutsinyards",2005
91,92,"Mike Hulbert",11,117,NA,1,5,"LongestHoleOutsinyards",2005
91,94,"Tom Pernice Jr",111,117,NA,2,11,"LongestHoleOutsinyards",2005
96,96,"Grant Waite",19,116,NA,4,15,"LongestHoleOutsinyards",2005
96,97,"Mark Calcavecchia",92,116,NA,2,9,"LongestHoleOutsinyards",2005
99,98,"Frank Lickliter II",100,115,NA,4,12,"LongestHoleOutsinyards",2005
99,99,"Thomas Bjorn",24,115,NA,1,4,"LongestHoleOutsinyards",2005
102,101,"Josh Teater",2,112,NA,1,13,"LongestHoleOutsinyards",2005
104,104,"Hank Kuehne",84,111,NA,1,15,"LongestHoleOutsinyards",2005
104,105,"Gavin Coles",70,111,NA,1,2,"LongestHoleOutsinyards",2005
107,106,"Sergio Garcia",73,110,NA,4,7,"LongestHoleOutsinyards",2005
109,108,"Charles Howell III",95,109,NA,2,17,"LongestHoleOutsinyards",2005
109,109,"Chris Anderson",66,109,NA,1,15,"LongestHoleOutsinyards",2005
109,111,"Jason Gore",28,109,NA,2,12,"LongestHoleOutsinyards",2005
113,112,"Ryan Palmer",101,108,NA,4,2,"LongestHoleOutsinyards",2005
114,113,"Angel Cabrera",32,105,NA,2,13,"LongestHoleOutsinyards",2005
114,114,"Roland Thatcher",75,105,NA,3,6,"LongestHoleOutsinyards",2005
114,115,"Bob Estes",92,105,NA,1,12,"LongestHoleOutsinyards",2005
118,117,"Blaine McCallister",29,103,NA,2,3,"LongestHoleOutsinyards",2005
118,118,"Bradley Hughes",52,103,NA,1,4,"LongestHoleOutsinyards",2005
120,119,"Mark OMeara",66,102,NA,3,5,"LongestHoleOutsinyards",2005
120,122,"Mike Springer",14,102,NA,1,15,"LongestHoleOutsinyards",2005
125,125,"Ryuji Imada",78,100,NA,4,1,"LongestHoleOutsinyards",2005
125,126,"Arjun Atwal",65,100,NA,4,18,"LongestHoleOutsinyards",2005
130,129,"Chris Smith",93,96,NA,2,6,"LongestHoleOutsinyards",2005
131,130,"Mark Brooks",72,94,NA,3,2,"LongestHoleOutsinyards",2005
131,131,"Vaughn Taylor",99,94,NA,4,11,"LongestHoleOutsinyards",2005
