"ProximitytoHolefromSand_RANKTHISWEEK_2010","ProximitytoHolefromSand_RANKLASTWEEK_2010","ProximitytoHolefromSand_PLAYERNAME_2010","ProximitytoHolefromSand_ROUNDS_2010","ProximitytoHolefromSand_AVGDTP_2010","ProximitytoHolefromSand_TOTALDISTANCEFEET_2010","ProximitytoHolefromSand_OFSHOTS_2010","ProximitytoHolefromSand_SCRAMBLINGRANK_2010","stat_name","year"
1,1,"Mike Weir",59,NA,445.5,77,82,"ProximitytoHolefromSand",2010
2,2,"Padraig Harrington",57,NA,539.583,77,42,"ProximitytoHolefromSand",2010
3,3,"Luke Donald",71,NA,670.333,95,4,"ProximitytoHolefromSand",2010
3,3,"Justin Rose",78,NA,932.833,131,13,"ProximitytoHolefromSand",2010
5,5,"Mark Wilson",87,NA,690.833,95,27,"ProximitytoHolefromSand",2010
6,6,"Tom Pernice Jr",74,NA,517.917,68,63,"ProximitytoHolefromSand",2010
7,7,"David Lutterus",69,NA,762.083,99,158,"ProximitytoHolefromSand",2010
7,7,"Vijay Singh",75,NA,760.25,99,129,"ProximitytoHolefromSand",2010
7,7,"YE Yang",72,NA,748.333,98,134,"ProximitytoHolefromSand",2010
10,10,"Jonathan Byrd",85,NA,785.083,101,34,"ProximitytoHolefromSand",2010
10,10,"Shaun Micheel",70,NA,425.333,55,40,"ProximitytoHolefromSand",2010
12,12,"Steve Stricker",73,NA,706.333,90,14,"ProximitytoHolefromSand",2010
13,13,"KJ Choi",82,NA,846.917,107,20,"ProximitytoHolefromSand",2010
13,13,"Geoff Ogilvy",62,NA,658.583,83,135,"ProximitytoHolefromSand",2010
13,13,"Rory Sabbatini",79,NA,1043.75,132,128,"ProximitytoHolefromSand",2010
13,13,"Brandt Snedeker",89,NA,951.833,120,43,"ProximitytoHolefromSand",2010
17,17,"Aaron Baddeley",94,NA,1144,143,117,"ProximitytoHolefromSand",2010
17,17,"Ryuji Imada",90,NA,883.667,110,18,"ProximitytoHolefromSand",2010
17,17,"Camilo Villegas",78,NA,700.75,88,107,"ProximitytoHolefromSand",2010
20,20,"Ricky Barnes",103,NA,1071.583,133,64,"ProximitytoHolefromSand",2010
20,20,"Greg Chalmers",93,NA,982.083,122,10,"ProximitytoHolefromSand",2010
20,20,"Pat Perez",90,NA,968.833,120,26,"ProximitytoHolefromSand",2010
