"3PuttAvoidance1520_RANKTHISWEEK_2013","3PuttAvoidance1520_RANKLASTWEEK_2013","3PuttAvoidance1520_PLAYERNAME_2013","3PuttAvoidance1520_ROUNDS_2013","3PuttAvoidance1520_Pct_2013","3PuttAvoidance1520_TOTAL3PUTTS_2013","3PuttAvoidance1520_ATTEMPTS_2013","3PuttAvoidance1520_2PUTTORBETTERPct_2013","stat_name","year"
1,1,"Stephen Ames",49,0,NA,77,100,"3PuttAvoidance1520",2013
1,1,"Jonas Blixt",76,0,NA,114,100,"3PuttAvoidance1520",2013
1,1,"Jason Bohn",70,0,NA,123,100,"3PuttAvoidance1520",2013
1,1,"Chad Campbell",78,0,NA,140,100,"3PuttAvoidance1520",2013
1,1,"Ben Curtis",59,0,NA,79,100,"3PuttAvoidance1520",2013
1,1,"Graham DeLaet",94,0,NA,155,100,"3PuttAvoidance1520",2013
1,1,"Luke Donald",60,0,NA,71,100,"3PuttAvoidance1520",2013
1,1,"Martin Flores",83,0,NA,152,100,"3PuttAvoidance1520",2013
1,1,"Scott Gardiner",61,0,NA,106,100,"3PuttAvoidance1520",2013
1,1,"Bobby Gates",49,0,NA,71,100,"3PuttAvoidance1520",2013
1,1,"Lucas Glover",65,0,NA,87,100,"3PuttAvoidance1520",2013
1,1,"Peter Hanson",45,0,NA,56,100,"3PuttAvoidance1520",2013
1,1,"JJ Henry",83,0,NA,140,100,"3PuttAvoidance1520",2013
1,1,"Tim Herron",45,0,NA,86,100,"3PuttAvoidance1520",2013
1,1,"Charles Howell III",87,0,NA,151,100,"3PuttAvoidance1520",2013
1,1,"Doug LaBelle II",72,0,NA,102,100,"3PuttAvoidance1520",2013
1,1,"Jeff Maggert",63,0,NA,103,100,"3PuttAvoidance1520",2013
1,1,"Hunter Mahan",91,0,NA,125,100,"3PuttAvoidance1520",2013
1,1,"Troy Matteson",68,0,NA,113,100,"3PuttAvoidance1520",2013
1,1,"Eric Meierdierks",48,0,NA,68,100,"3PuttAvoidance1520",2013
1,1,"Alistair Presnell",59,0,NA,74,100,"3PuttAvoidance1520",2013
1,1,"Charl Schwartzel",69,0,NA,98,100,"3PuttAvoidance1520",2013
1,1,"Adam Scott",61,0,NA,81,100,"3PuttAvoidance1520",2013
1,1,"John Senden",79,0,NA,116,100,"3PuttAvoidance1520",2013
1,1,"Shawn Stefani",63,0,NA,101,100,"3PuttAvoidance1520",2013
1,1,"Henrik Stenson",65,0,NA,78,100,"3PuttAvoidance1520",2013
1,1,"Darron Stiles",51,0,NA,100,100,"3PuttAvoidance1520",2013
1,1,"Andrew Svoboda",46,0,NA,62,100,"3PuttAvoidance1520",2013
1,1,"Vaughn Taylor",50,0,NA,71,100,"3PuttAvoidance1520",2013
