"Approach200225yardsRTP_RANKTHISWEEK_2013","Approach200225yardsRTP_RANKLASTWEEK_2013","Approach200225yardsRTP_PLAYERNAME_2013","Approach200225yardsRTP_ROUNDS_2013","Approach200225yardsRTP_AVGRTP_2013","stat_name","year"
1,1,"Steven Bowditch",67,-0.161,"Approach200225yardsRTP",2013
1,1,"Keegan Bradley",88,-0.161,"Approach200225yardsRTP",2013
3,3,"Kyle Stanley",71,-0.152,"Approach200225yardsRTP",2013
4,4,"John Rollins",77,-0.15,"Approach200225yardsRTP",2013
5,5,"Tiger Woods",61,-0.146,"Approach200225yardsRTP",2013
6,6,"Daniel Summerhays",83,-0.145,"Approach200225yardsRTP",2013
7,7,"Carl Pettersson",82,-0.143,"Approach200225yardsRTP",2013
8,8,"Henrik Stenson",65,-0.13,"Approach200225yardsRTP",2013
9,9,"Ryan Palmer",79,-0.123,"Approach200225yardsRTP",2013
10,10,"Charl Schwartzel",69,-0.12,"Approach200225yardsRTP",2013
11,11,"Steve LeBrun",66,-0.118,"Approach200225yardsRTP",2013
12,12,"Zach Johnson",84,-0.113,"Approach200225yardsRTP",2013
13,13,"Harris English",95,-0.109,"Approach200225yardsRTP",2013
14,14,"Kevin Streelman",86,-0.105,"Approach200225yardsRTP",2013
15,15,"Steve Stricker",51,-0.104,"Approach200225yardsRTP",2013
16,16,"Martin Flores",83,-0.103,"Approach200225yardsRTP",2013
17,17,"Charlie Beljan",62,-0.092,"Approach200225yardsRTP",2013
18,18,"Scott Brown",65,-0.082,"Approach200225yardsRTP",2013
19,19,"Nicolas Colsaerts",50,-0.078,"Approach200225yardsRTP",2013
20,20,"Hunter Mahan",91,-0.073,"Approach200225yardsRTP",2013
21,21,"DJ Trahan",48,-0.07,"Approach200225yardsRTP",2013
22,22,"Graham DeLaet",94,-0.069,"Approach200225yardsRTP",2013
23,23,"Rod Pampling",46,-0.066,"Approach200225yardsRTP",2013
24,24,"Sergio Garcia",65,-0.065,"Approach200225yardsRTP",2013
25,25,"David Lingmerth",68,-0.063,"Approach200225yardsRTP",2013
26,26,"Brendan Steele",86,-0.061,"Approach200225yardsRTP",2013
27,27,"Matt Kuchar",93,-0.058,"Approach200225yardsRTP",2013
28,28,"Gary Woodland",94,-0.057,"Approach200225yardsRTP",2013
29,29,"Charles Howell III",87,-0.052,"Approach200225yardsRTP",2013
29,29,"Matt Jones",83,-0.052,"Approach200225yardsRTP",2013
31,31,"Graeme McDowell",53,-0.051,"Approach200225yardsRTP",2013
31,31,"Patrick Reed",83,-0.051,"Approach200225yardsRTP",2013
31,31,"Cameron Tringale",80,-0.051,"Approach200225yardsRTP",2013
34,34,"Charley Hoffman",84,-0.045,"Approach200225yardsRTP",2013
35,35,"Scott Stallings",79,-0.044,"Approach200225yardsRTP",2013
36,36,"Brandt Jobe",62,-0.042,"Approach200225yardsRTP",2013
36,36,"Andres Romero",63,-0.042,"Approach200225yardsRTP",2013
36,36,"Shawn Stefani",63,-0.042,"Approach200225yardsRTP",2013
39,39,"Bud Cauley",67,-0.041,"Approach200225yardsRTP",2013
40,40,"Rory Sabbatini",86,-0.038,"Approach200225yardsRTP",2013
41,41,"Jason Bohn",70,-0.035,"Approach200225yardsRTP",2013
42,42,"David Toms",49,-0.033,"Approach200225yardsRTP",2013
43,43,"Rory McIlroy",56,-0.032,"Approach200225yardsRTP",2013
44,44,"Kevin Chappell",80,-0.029,"Approach200225yardsRTP",2013
44,44,"Kevin Stadler",83,-0.029,"Approach200225yardsRTP",2013
46,46,"Stephen Ames",49,-0.028,"Approach200225yardsRTP",2013
46,46,"Luke List",65,-0.028,"Approach200225yardsRTP",2013
46,46,"John Merrick",79,-0.028,"Approach200225yardsRTP",2013
49,49,"Brad Fritsch",81,-0.027,"Approach200225yardsRTP",2013
50,50,"Brian Davis",91,-0.026,"Approach200225yardsRTP",2013
50,50,"Cameron Percy",68,-0.026,"Approach200225yardsRTP",2013
52,52,"Robert Garrigus",69,-0.025,"Approach200225yardsRTP",2013
53,53,"Padraig Harrington",52,-0.023,"Approach200225yardsRTP",2013
53,53,"Lee Westwood",70,-0.023,"Approach200225yardsRTP",2013
55,55,"Stuart Appleby",88,-0.022,"Approach200225yardsRTP",2013
55,55,"Rickie Fowler",75,-0.022,"Approach200225yardsRTP",2013
55,55,"Marc Leishman",77,-0.022,"Approach200225yardsRTP",2013
58,58,"Bobby Gates",49,-0.02,"Approach200225yardsRTP",2013
58,58,"Justin Rose",62,-0.02,"Approach200225yardsRTP",2013
58,58,"Josh Teater",86,-0.02,"Approach200225yardsRTP",2013
61,61,"Brandt Snedeker",79,-0.019,"Approach200225yardsRTP",2013
61,61,"YE Yang",56,-0.019,"Approach200225yardsRTP",2013
63,63,"Bill Haas",85,-0.016,"Approach200225yardsRTP",2013
64,64,"Jim Furyk",80,-0.015,"Approach200225yardsRTP",2013
65,65,"Nick Watney",88,-0.014,"Approach200225yardsRTP",2013
66,66,"Sangmoon Bae",83,0,"Approach200225yardsRTP",2013
66,66,"Luke Donald",60,0,"Approach200225yardsRTP",2013
66,66,"Ryo Ishikawa",72,0,"Approach200225yardsRTP",2013
66,66,"Ben Kohles",75,0,"Approach200225yardsRTP",2013
66,66,"Scott Langley",79,0,"Approach200225yardsRTP",2013
66,66,"Phil Mickelson",78,0,"Approach200225yardsRTP",2013
66,66,"Adam Scott",61,0,"Approach200225yardsRTP",2013
66,66,"Jordan Spieth",82,0,"Approach200225yardsRTP",2013
74,74,"Jason Day",86,0.009,"Approach200225yardsRTP",2013
75,75,"Trevor Immelman",73,0.01,"Approach200225yardsRTP",2013
75,75,"Bubba Watson",76,0.01,"Approach200225yardsRTP",2013
77,77,"Jason Kokrak",78,0.011,"Approach200225yardsRTP",2013
