"DrivingAccuracyPercentage_RANKTHISWEEK_2012","DrivingAccuracyPercentage_RANKLASTWEEK_2012","DrivingAccuracyPercentage_PLAYERNAME_2012","DrivingAccuracyPercentage_ROUNDS_2012","DrivingAccuracyPercentage_Pct_2012","DrivingAccuracyPercentage_FAIRWAYSHIT_2012","DrivingAccuracyPercentage_POSSIBLEFAIRWAYS_2012","stat_name","year"
1,1,"Jerry Kelly",84,73,814,1115,"DrivingAccuracyPercentage",2012
2,2,"Heath Slocum",93,71.69,851,1187,"DrivingAccuracyPercentage",2012
3,3,"Tim Clark",60,71.6,600,838,"DrivingAccuracyPercentage",2012
4,4,"Jim Furyk",85,70.71,828,1171,"DrivingAccuracyPercentage",2012
5,5,"Graeme McDowell",55,70.11,530,756,"DrivingAccuracyPercentage",2012
6,6,"David Toms",60,69.75,565,810,"DrivingAccuracyPercentage",2012
7,7,"Ben Curtis",62,69.7,566,812,"DrivingAccuracyPercentage",2012
8,8,"Chris DiMarco",83,69.24,761,1099,"DrivingAccuracyPercentage",2012
9,9,"Gary Christian",91,68.95,817,1185,"DrivingAccuracyPercentage",2012
10,10,"Richard Lee",71,68.72,624,908,"DrivingAccuracyPercentage",2012
11,11,"John Huh",99,68.69,950,1383,"DrivingAccuracyPercentage",2012
12,12,"Mark Wilson",84,68.62,748,1090,"DrivingAccuracyPercentage",2012
13,13,"Chez Reavie",83,68.57,792,1155,"DrivingAccuracyPercentage",2012
14,14,"Zach Johnson",95,68.53,897,1309,"DrivingAccuracyPercentage",2012
15,15,"Colt Knost",79,68,731,1075,"DrivingAccuracyPercentage",2012
16,16,"John Mallinger",74,67.93,661,973,"DrivingAccuracyPercentage",2012
17,17,"Hunter Mahan",88,67.74,777,1147,"DrivingAccuracyPercentage",2012
18,18,"Brian Davis",91,67.24,815,1212,"DrivingAccuracyPercentage",2012
19,19,"Jeff Maggert",83,67.16,777,1157,"DrivingAccuracyPercentage",2012
20,20,"Russell Knox",72,67.03,618,922,"DrivingAccuracyPercentage",2012
21,21,"Jason Dufner",83,66.9,764,1142,"DrivingAccuracyPercentage",2012
22,22,"Billy Horschel",63,66.58,512,769,"DrivingAccuracyPercentage",2012
23,23,"Tom Gillis",75,66.09,690,1044,"DrivingAccuracyPercentage",2012
24,24,"John Senden",81,65.93,716,1086,"DrivingAccuracyPercentage",2012
25,25,"Kevin Na",80,65.91,727,1103,"DrivingAccuracyPercentage",2012
26,26,"Kris Blanks",65,65.84,586,890,"DrivingAccuracyPercentage",2012
27,27,"Blake Adams",107,65.83,946,1437,"DrivingAccuracyPercentage",2012
28,28,"Justin Rose",69,65.82,624,948,"DrivingAccuracyPercentage",2012
29,29,"Ryan Moore",89,65.75,816,1241,"DrivingAccuracyPercentage",2012
30,30,"Ken Duke",104,65.69,915,1393,"DrivingAccuracyPercentage",2012
31,31,"Chris Couch",61,65.49,537,820,"DrivingAccuracyPercentage",2012
32,32,"Stuart Appleby",75,65.45,648,990,"DrivingAccuracyPercentage",2012
33,33,"Brian Harman",101,65.44,922,1409,"DrivingAccuracyPercentage",2012
34,34,"Roberto Castro",92,65.36,785,1201,"DrivingAccuracyPercentage",2012
34,34,"Will Claxton",99,65.36,866,1325,"DrivingAccuracyPercentage",2012
36,36,"Billy Mayfair",90,65.2,783,1201,"DrivingAccuracyPercentage",2012
37,37,"Luke Donald",63,65.16,563,864,"DrivingAccuracyPercentage",2012
38,38,"Boo Weekley",74,65.15,600,921,"DrivingAccuracyPercentage",2012
39,39,"Ian Poulter",57,65.13,510,783,"DrivingAccuracyPercentage",2012
40,40,"Kevin Stadler",85,65.09,701,1077,"DrivingAccuracyPercentage",2012
41,41,"Gavin Coles",72,65.08,600,922,"DrivingAccuracyPercentage",2012
42,42,"Matt Kuchar",86,65.06,743,1142,"DrivingAccuracyPercentage",2012
43,43,"Jason Bohn",81,65,678,1043,"DrivingAccuracyPercentage",2012
44,44,"Bo Van Pelt",84,64.79,749,1156,"DrivingAccuracyPercentage",2012
45,45,"Scott Dunlap",57,64.66,461,713,"DrivingAccuracyPercentage",2012
45,45,"DA Points",88,64.66,796,1231,"DrivingAccuracyPercentage",2012
47,47,"John Merrick",83,64.46,711,1103,"DrivingAccuracyPercentage",2012
48,48,"Rickie Fowler",84,64.43,748,1161,"DrivingAccuracyPercentage",2012
49,49,"Cameron Tringale",88,64.41,789,1225,"DrivingAccuracyPercentage",2012
50,50,"Ben Crane",73,64.36,650,1010,"DrivingAccuracyPercentage",2012
51,51,"John Rollins",81,64.25,690,1074,"DrivingAccuracyPercentage",2012
52,52,"Ted Potter Jr",77,64.18,654,1019,"DrivingAccuracyPercentage",2012
53,53,"Henrik Stenson",51,64.13,422,658,"DrivingAccuracyPercentage",2012
54,54,"KJ Choi",71,64.08,628,980,"DrivingAccuracyPercentage",2012
55,55,"Tiger Woods",69,63.93,599,937,"DrivingAccuracyPercentage",2012
56,56,"Bill Haas",79,63.62,696,1094,"DrivingAccuracyPercentage",2012
57,57,"Alexandre Rocha",62,63.47,497,783,"DrivingAccuracyPercentage",2012
58,58,"Brendan Steele",77,63.44,649,1023,"DrivingAccuracyPercentage",2012
59,59,"Brendon de Jonge",115,63.42,983,1550,"DrivingAccuracyPercentage",2012
60,60,"Nick OHern",78,63.34,653,1031,"DrivingAccuracyPercentage",2012
61,61,"Steve Stricker",73,63.31,623,984,"DrivingAccuracyPercentage",2012
62,62,"David Mathis",83,63.22,679,1074,"DrivingAccuracyPercentage",2012
63,63,"JJ Henry",93,63.18,748,1184,"DrivingAccuracyPercentage",2012
64,64,"Rod Pampling",88,62.72,700,1116,"DrivingAccuracyPercentage",2012
65,65,"Kyle Thompson",51,62.65,411,656,"DrivingAccuracyPercentage",2012
66,66,"Brandt Jobe",57,62.48,463,741,"DrivingAccuracyPercentage",2012
67,67,"Louis Oosthuizen",65,62.41,548,878,"DrivingAccuracyPercentage",2012
68,68,"Steve Wheatcroft",56,62.37,436,699,"DrivingAccuracyPercentage",2012
69,69,"Pat Perez",81,62.33,685,1099,"DrivingAccuracyPercentage",2012
70,70,"Johnson Wagner",88,62.32,769,1234,"DrivingAccuracyPercentage",2012
71,71,"Chris Stroud",86,62.31,749,1202,"DrivingAccuracyPercentage",2012
72,72,"David Hearn",95,62.25,826,1327,"DrivingAccuracyPercentage",2012
73,73,"Charley Hoffman",88,62.23,763,1226,"DrivingAccuracyPercentage",2012
74,74,"Rocco Mediate",70,62.22,555,892,"DrivingAccuracyPercentage",2012
75,75,"Roland Thatcher",55,62.19,426,685,"DrivingAccuracyPercentage",2012
76,76,"Lee Westwood",60,62.17,470,756,"DrivingAccuracyPercentage",2012
77,77,"Brian Gay",91,62.1,752,1211,"DrivingAccuracyPercentage",2012
78,78,"Geoff Ogilvy",73,62.01,622,1003,"DrivingAccuracyPercentage",2012
78,78,"Camilo Villegas",79,62.01,666,1074,"DrivingAccuracyPercentage",2012
80,80,"Greg Chalmers",88,62,752,1213,"DrivingAccuracyPercentage",2012
81,81,"Daniel Summerhays",81,61.93,667,1077,"DrivingAccuracyPercentage",2012
82,82,"Jeff Overton",101,61.91,837,1352,"DrivingAccuracyPercentage",2012
83,83,"Stephen Ames",54,61.88,448,724,"DrivingAccuracyPercentage",2012
84,84,"Hunter Haas",69,61.82,544,880,"DrivingAccuracyPercentage",2012
85,85,"Kyle Reifers",86,61.7,704,1141,"DrivingAccuracyPercentage",2012
86,86,"Cameron Beckman",81,61.67,663,1075,"DrivingAccuracyPercentage",2012
87,87,"Keegan Bradley",90,61.65,762,1236,"DrivingAccuracyPercentage",2012
87,87,"Charlie Wi",86,61.65,738,1197,"DrivingAccuracyPercentage",2012
89,89,"Kevin Streelman",89,61.63,747,1212,"DrivingAccuracyPercentage",2012
90,90,"Vijay Singh",99,61.62,851,1381,"DrivingAccuracyPercentage",2012
91,91,"Bryce Molder",83,61.59,680,1104,"DrivingAccuracyPercentage",2012
92,92,"Webb Simpson",77,61.47,654,1064,"DrivingAccuracyPercentage",2012
93,93,"Charl Schwartzel",56,61.41,463,754,"DrivingAccuracyPercentage",2012
94,94,"Dicky Pride",62,61.38,464,756,"DrivingAccuracyPercentage",2012
95,95,"DJ Trahan",73,61.33,590,962,"DrivingAccuracyPercentage",2012
96,96,"Josh Teater",97,61.3,795,1297,"DrivingAccuracyPercentage",2012
97,97,"Tom Pernice Jr",62,61.26,495,808,"DrivingAccuracyPercentage",2012
98,98,"Sergio Garcia",57,61.15,477,780,"DrivingAccuracyPercentage",2012
99,99,"George McNeill",85,61.14,689,1127,"DrivingAccuracyPercentage",2012
100,100,"Arjun Atwal",79,61.12,621,1016,"DrivingAccuracyPercentage",2012
101,101,"Kevin Kisner",69,61.1,520,851,"DrivingAccuracyPercentage",2012
102,102,"YE Yang",64,61.06,530,868,"DrivingAccuracyPercentage",2012
103,103,"Rory Sabbatini",84,61.04,716,1173,"DrivingAccuracyPercentage",2012
104,104,"Matt Every",80,60.89,646,1061,"DrivingAccuracyPercentage",2012
105,105,"Bob Estes",78,60.72,660,1087,"DrivingAccuracyPercentage",2012
106,106,"Vaughn Taylor",81,60.59,635,1048,"DrivingAccuracyPercentage",2012
107,107,"William McGirt",96,60.58,776,1281,"DrivingAccuracyPercentage",2012
108,108,"Billy Hurley III",70,60.56,559,923,"DrivingAccuracyPercentage",2012
109,109,"Brandt Snedeker",81,60.5,657,1086,"DrivingAccuracyPercentage",2012
110,110,"Graham DeLaet",79,60.36,632,1047,"DrivingAccuracyPercentage",2012
111,111,"Justin Leonard",79,60.34,630,1044,"DrivingAccuracyPercentage",2012
112,112,"Bud Cauley",99,60.33,832,1379,"DrivingAccuracyPercentage",2012
113,113,"Scott Brown",65,60.22,495,822,"DrivingAccuracyPercentage",2012
114,114,"Chad Campbell",84,60.19,706,1173,"DrivingAccuracyPercentage",2012
115,115,"Greg Owen",90,60.16,755,1255,"DrivingAccuracyPercentage",2012
116,116,"Patrick Sheehan",58,60.11,437,727,"DrivingAccuracyPercentage",2012
117,117,"Garth Mulroy",59,60.1,479,797,"DrivingAccuracyPercentage",2012
118,118,"Sean OHair",84,59.98,706,1177,"DrivingAccuracyPercentage",2012
119,119,"Tim Herron",88,59.93,736,1228,"DrivingAccuracyPercentage",2012
120,120,"Padraig Harrington",67,59.86,525,877,"DrivingAccuracyPercentage",2012
121,121,"Trevor Immelman",76,59.7,634,1062,"DrivingAccuracyPercentage",2012
121,121,"Chris Kirk",93,59.7,745,1248,"DrivingAccuracyPercentage",2012
123,123,"Adam Scott",59,59.61,484,812,"DrivingAccuracyPercentage",2012
124,124,"Kyle Stanley",86,59.49,699,1175,"DrivingAccuracyPercentage",2012
125,125,"Harris English",98,59.47,813,1367,"DrivingAccuracyPercentage",2012
126,126,"Michael Thompson",80,59.43,662,1114,"DrivingAccuracyPercentage",2012
127,127,"Robert Allenby",76,59.34,629,1060,"DrivingAccuracyPercentage",2012
127,127,"Seung Yul Noh",105,59.34,804,1355,"DrivingAccuracyPercentage",2012
129,129,"Martin Laird",77,59.16,604,1021,"DrivingAccuracyPercentage",2012
130,130,"Davis Love III",64,59.11,529,895,"DrivingAccuracyPercentage",2012
131,131,"Bill Lunde",83,59.1,617,1044,"DrivingAccuracyPercentage",2012
132,132,"Nathan Green",73,58.97,536,909,"DrivingAccuracyPercentage",2012
133,133,"Jonas Blixt",72,58.9,576,978,"DrivingAccuracyPercentage",2012
134,134,"Nick Watney",97,58.86,774,1315,"DrivingAccuracyPercentage",2012
135,135,"Bubba Watson",68,58.84,546,928,"DrivingAccuracyPercentage",2012
136,136,"Brendon Todd",78,58.77,573,975,"DrivingAccuracyPercentage",2012
137,137,"Bobby Gates",87,58.6,678,1157,"DrivingAccuracyPercentage",2012
138,138,"Erik Compton",81,58.33,595,1020,"DrivingAccuracyPercentage",2012
139,139,"Charlie Beljan",61,58.19,430,739,"DrivingAccuracyPercentage",2012
140,140,"Ricky Barnes",92,58.1,714,1229,"DrivingAccuracyPercentage",2012
140,140,"Scott Stallings",78,58.1,635,1093,"DrivingAccuracyPercentage",2012
142,142,"Sangmoon Bae",81,58.08,622,1071,"DrivingAccuracyPercentage",2012
143,143,"Freddie Jacobson",61,57.98,487,840,"DrivingAccuracyPercentage",2012
144,144,"Ryan Palmer",81,57.95,656,1132,"DrivingAccuracyPercentage",2012
145,145,"Jonathan Byrd",69,57.88,551,952,"DrivingAccuracyPercentage",2012
145,145,"Miguel Angel Carballo",73,57.88,525,907,"DrivingAccuracyPercentage",2012
147,147,"Mathew Goggin",65,57.86,493,852,"DrivingAccuracyPercentage",2012
148,148,"Carl Pettersson",92,57.63,740,1284,"DrivingAccuracyPercentage",2012
149,149,"Sung Kang",75,57.53,569,989,"DrivingAccuracyPercentage",2012
150,150,"Danny Lee",74,57.44,529,921,"DrivingAccuracyPercentage",2012
151,151,"Spencer Levin",81,57.3,632,1103,"DrivingAccuracyPercentage",2012
152,152,"Tommy Biershenk",74,57.22,543,949,"DrivingAccuracyPercentage",2012
153,153,"Angel Cabrera",54,57.02,398,698,"DrivingAccuracyPercentage",2012
154,154,"Kevin Chappell",91,56.73,687,1211,"DrivingAccuracyPercentage",2012
155,155,"Ernie Els",80,56.71,617,1088,"DrivingAccuracyPercentage",2012
156,156,"Rory McIlroy",60,56.61,428,756,"DrivingAccuracyPercentage",2012
157,157,"Robert Garrigus",89,56.58,701,1239,"DrivingAccuracyPercentage",2012
158,158,"Dustin Johnson",70,56.3,527,936,"DrivingAccuracyPercentage",2012
159,159,"Ryuji Imada",78,56.13,595,1060,"DrivingAccuracyPercentage",2012
160,160,"JJ Killeen",101,56.09,728,1298,"DrivingAccuracyPercentage",2012
161,161,"Scott Piercy",95,56.06,745,1329,"DrivingAccuracyPercentage",2012
162,162,"Marco Dawson",60,56.04,422,753,"DrivingAccuracyPercentage",2012
163,163,"Edward Loar",59,56.01,415,741,"DrivingAccuracyPercentage",2012
164,164,"John Daly",50,55.78,357,640,"DrivingAccuracyPercentage",2012
165,165,"Tommy Gainey",98,55.63,761,1368,"DrivingAccuracyPercentage",2012
166,166,"Matt Jones",53,55.49,379,683,"DrivingAccuracyPercentage",2012
